Animal,Session,group,BaseStart,BaseEnd,NoSzstart2,NoSzend2,SzArtifactStart,SzArtifactEnd,SeizureStart,SeizureEnd,Bsz 
8790,2,1,-60,-20,6,120,-21,3.2,3.3,5.85,1
8799,2,1,-60,-11,30,120,-12,19,20.5,29,1
12224,2,1,-60,-8,13,120,-7.5,8,8.5,11.45,1
12233,2,1,-60,-3,30,120,-2,9,10,27.04,1
12234,2,1,-60,-2,39,120,-1,11,12,37.45,1
8793,2,2,-60,-6,12,120,-5.5,2.5,3,11.315,1
8797,2,2,-60,-20,18,120,-19.5,3,4.5,17.185,1
12226,2,2,-60,-2,19,120,-1.2,6,6.85,17.355,1
12227,2,2,-60,-2,20,120,-1,7,8.8,16.425,1
12229,2,2,-60,-2,42,120,-1,7.5,8.1,32.2,1
12228,2,2,-60,-2,16,120,-1,7,8.5,10.72,1
8790,3,1,-60,-22.2,11,120,-20,2,2.7,10.09,1
12224,3,1,-60,-8,22,120,-2,8,9.2,19.095,1
12234,3,1,-60,-2,28,120,-1,9.5,11,20.2,1
8793,3,2,-60,-17,16,120,0,1,2.5,3.4,1
8797,3,2,-60,-12,29,120,0,1,3,27.8,1
12226,3,2,-60,-2,18,120,-1,1,7.6,16.35,1
12227,3,2,-60,-2,23,120,-1,8,9,21.65,2
12228,3,2,-60,-2,15,120,-1,8,8.45,13.48,1
8790,4,1,-60,-14,22,120,0,1,4.05,20.04,1
8800,4,1,-60,-16,102,120,0,1,4.35,18.54,1
12224,4,1,-60,-9,26,120,0,1,9.2,17.065,1
12233,4,1,-60,-4,31,120,0,1,7.9,31.455,1
12234,4,1,-60,-5,51,120,0,1,10.4,16.545,2
8797,4,2,-60,-13.8,18,120,0,1,2.5,16.13,1
12226,4,2,-60,-2,20,120,0,1,8.4,16.09,1
12227,4,2,-60,-3,30,87,0,1,9.3,25.545,2
12228,4,2,-60,-3,20,35,0,1,12,14,1
12229,4,2,-60,-4,32,120,0,1,13,22.535,1
8790,5,1,-60,-30,34,120,0,1,4.3,30.05,1
8799,5,1,-60,-22,18,120,0,1,2.7,11.685,1
8800,5,1,-60,-46,28,120,0,1,3,24.4,1
12224,5,1,-60,-8,46,120,0,1,9.1,15.7,2
12233,5,1,-60,-2,30,50,0,1,9.3,21.615,1
12234,5,1,-60,-2,26,120,0,0,14.9,25.685,2
8797,5,2,-60,-24,25,120,0,1,5,23.525,2
12226,5,2,-60,-5,22,120,0,1,6,19.72,1
12227,5,2,-60,-2,29,120,0,1,10,27.505,2
12228,5,2,-60,-2,17,120,0,1,11.4,16.15,1
8790,6,1,-60,-20,23,120,0,1,4.4,20.3,1
8799,6,1,-16,-11.4,33,120,0,1,2.6,31.945,2
8800,6,1,-17,-1,110,120,0,1,4.6,15.92,1
12233,6,1,-60,-2,23,120,0,0,9.4,20.73,1
12234,6,1,-60,-2,80,120,0,1,15,19,2
8797,6,2,-60,-20,31,120,0,1,3,29.265,2
12227,6,2,-60,-2,23,120,0,1,7.6,22.43,2
12228,6,2,-60,-4,57,120,0,1,7.5,53.945,1
