max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   193736   193853   193985   213184   213482   213690   214138   917978   918597   918774  1055100  1055219  1055344  1055456  1055566  1055677  1055788  1055898  1056133  1056257  1056371  1056496  1056609  1056721  1056844  1056982  1057104  1057225  1057354  1057483  1057616  1057734  1057878  1058030  1058764  1059223  1059368  1064636  1065118  1065236  1067828  1067953  1068066  1068178  1068304  1096607  1096858  1096970  1097089  1097201  1097333  1097738  1097943  1098238  1098377  1098502  1098622  1098973  1099094  1099442  1102684  1102804  1103007  1103140  1103296  1103699  1103828  1103972  1104107  1104419  1104901  1105028  1105222  1105392  1105546  1105694  1105817  1105929  1106172  1106302  1106418  1106555  1107417  1107528  1107646  1111742  1111880  1112024  1112512  1112634  1112749  1112906  1113043  1113575  1113693  1113821  1113949  1114063  1114205  1114348  1114496  1114606  1114844  1114993  1115379  1116306  1116435  1116546  1116686  1116810  1117402  1117524  1117638  1117780  1117908  1118033  1118196  1119598  1119739  1119881  1120067  1120768  1121256  1121368  1121480  1121858  1121992  1122110  1122877  1123002  1123149  1124220  1124333  1124449  1124590  1125229  1125348  1125538  1125689  1126883  1127009  1127205  1127350  1127709  1127984  1128162  1137971  1138102  1138213  1138355  1138466  1139287  1139400  1139833  1139950  1140062  1140496  1140628  1140741  1144088  1144239  1144383  1144554  1144666  1145217  1145344  1145503  1145954  1146074  1146184  1146330  1146461  1146576  1147275  1147564  1147679  1147838  1147997  1148674  1148823  1148988  1149146  1150026  1150167  1150284  1150457  1151125  1151280  1153549  1154020  1154137  1154253  1154364  1154609  1154837  1155570  1155721  1155851  1155962  1156857  1156975  1157110  1157254  1158992  1159117  1159598  1159744  1159857  1161731  1162044  1162219  1169441  1169560  1169675  1169812  1169973  1170119  1170244  1170368  1170487  1170621  1170742  1170853  1171002  1171125  1171261  1172006  1173822  1178890  1179036  1179166  1179283  1179683  1179795  1179921  1180034  1180160  1180273  1180764  1180874  1180991  1181126  1181238  1181716  1181829  1181943  1182066  1182181  1182728  1182875  1183033  1183147  1184002  1184150  1184301  1184444  1184593  1184751  1184913, 1   205774   206070  1078298  1078492  1078609  1078737  1078952  1079093  1080006  1080116  1080651  1081014  1081759  1081913  1082139  1083132  1083275  1083421  1088934  1089076  1089957  1090186  1090328  1090473  1090619  1091537  1091685  1091883  1092013  1132075  1132355  1132682  1132796  1132942  1134082  1134296  1134943  1135049  1135638, 203745   204312   204850  1077933  1131793, 204223   204669   206055  1092070  1135656, 209781  1164523  1166871, 210879  1165527  1167154, 212903  1054910  1067610  1096397  1102535  1105685  1115136  1120576  1127555  1137787  1137823  1153771  1161452  1169222, 214187  1065277  1068323  1099177  1105130  1114764  1120006  1127307  1127796  1137796  1151314  1159837  1162059  1185022, 1077510, 1077518, 1077526, 1164532, 1164542, 1164693, 1165537, L, 1169244, 1169255, 1185027, 0, 0, 0, 0, 0, 1185053, 1185058, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1185600  1185779  1185908  1186032  1186179  1186783  1186932  1187060  1187196  1187308  1187461  1187589  1188347  1188571  1188694  1188805  1188946  1189114  1189291  1189433  1189597  1189794  1189942  1190727  1190845  1190961  1191786  1191917  1192029  1192147  1192300  1192491  1192613  1192769  1193790  1193919  1194076  1194808  1194927  1195070  1195408  1195559  1197290  1197417  1197650  1197763  1197908  1198020  1198131  1198848  1198961  1199781  1199949  1200114  1200230  1200374  1200486  1200607  1200717  1200829  1201285  1201468  1201669  1203809  1203936  1204057  1204205  1204583  1204726  1204882  1205017  1205549  1205669  1205858  1206223  1206336  1206448  1206705  1207538  1207659  1207799  1207922  1208038  1208740  1208863  1209964  1213558  1213697  1213842  1213971  1214513  1214629  1214741  1214874  1215488  1216670  1216786  1216931  1217068  1217186  1217504  1217683  1217869  1218666  1218807  1218953  1219065  1219279  1236344  1236458  1236569  1236692  1236865  1236995  1237106  1237519  1237669  1237780  1238135  1238269  1238596  1238942  1239341  1239451  1239566  1239703  1239833  1239992  1240128  1240653  1240813  1240933  1241086  1241205  1241332  1241457  1241602  1241715  1242102  1242221  1242391  1243194  1243327  1243440  1243577  1244640  1244760  1244894  1245026  1245339  1245454  1245586  1245701  1245844  1245975  1246089  1246791  1247480  1247638  1247774  1247884  1248582  1248702  1250722  1250870  1250993  1251154  1251997  1252124  1252451  1252584  1306018  1306139  1306286  1306516  1306677  1306788  1306906  1307710  1307843  1308029  1308184  1308436  1308689  1308882  1309008  1309121  1311565  1312019  1312142  1312265  1312886  1313246  1313367  1313483  1313662  1313803  1313914  1314650  1314793  1314918  1316098  1316225  1316348  1317382  1317500  1317635  1318822  1318938  1319128  1319317  1319484  1319605  1319723  1320619  1320751  1321567  1321711  1322192  1322330  1322442  1322602  1323378  1323491  1323624  1323796  1324413  1324528  1325177  1325304  1325513  1325646  1326802  1326914  1327336, 1259886  1260140  1260273  1260404  1261061  1261262  1262352  1267608  1267759  1267871  1268381  1268995  1269150  1269274  1272437  1272584  1272752  1272858  1273508  1273657  1276945  1277072   127722  1277864  1278086  1278224  1280179  1280306  1280437  1281189  1281306  1283848  1283963  1285000  1285227  1285850  1285971  1286397  1287595  1287744  1289660  1289798  1290838  1290975  1291621  1294030  1294237  1294630  1294764  1296884  1297038  1297280  1297419  1298220  1298331  1299978  1300869  1301363  1302384  1302572  1303216  1331800  1332281  1332413  1332544  1332668  1333067  1333182  1333815  1333933  1336078  1341218  1341363  1341503  1341644  1342371  1342649  1342790  1342897  1343512  1343659  1344336  1345326  1345556  1346864  1346995  1347149  1348047  1348726  1348859  1350764  1350995  1351327  1351980  1352404  1353784  1353982  1354298, 1259405  1267200  1295821  1295930  1301978  1302171  1331430, 1262315  1295783  1295830  1301967  1302128  1303175  1354552, 1329445, 1329612, 1185768  1197134  1207389  1217174  1217563  1217648  1218682  1236112  1242122  1305801  1307564  1319165  1319354  1319441  1325483, 1195499  1206629  1217105  1217266  1217622  1218664  1219220  1242109  1252492  1306838  1319080  1319249  1319413  1325467  1327316, 1195504, 1195509, 1195515, 1329447, 1329452, 1329603, 1329615, R, 1331436, , 1354560, 0, 0, 0, 0, 0, 1354610, 1354619, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1331440, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1356258, 1356418, 1357605, , 1355569, 1355569, 1355570, 1356259, 1356261, 1356411, 1356419, L, 1357608, , , 1, 0, 0, 0, 1, 1357634, 1357637, L2:R1, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1357628
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1357780  1357923  1358062  1358196  1358318, , 1363299, , 1361405, 1361720, , 1358320, 1358321, 1358322, 1358324, 1361406, 1361410, 1361561, 1361722, R, 1363304, , , 1, 0, 0, 0, 1, 1363335, 1363340, L2:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1363329
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1384239  1384350  1384462  1384606  1384720  1384835  1384952  1385073  1385199  1385323  1385450  1385576  1385703  1385833  1387118  1387251  1395341  1395480  1395601  1395721  1395832  1395952  1396067  1396182  1396294  1396667  1396798  1396916  1397036  1397184  1397296  1397524  1397659  1397818  1397958  1398094  1398234  1398392  1398573  1398684  1398867, 1363831  1363976  1364093  1364682  1365238  1365355  1368096  1368235  1368387  1369058  1369572  1369767  1371779  1371986  1372929  1373169  1373868  1374333  1375451  1375613  1376217  1376328  1377254, 1369207  1379997  1380096, 1369176  1377215  1380076  1380875, 1382604, 1382777, 1384053, 1398991, 1369177, 1369179, 1369181, 1382608, 1382615, 1382766, 1382782, L, 1384065, 1384070, 1399002, 0, 0, 0, 0, 0, 1399067, 1399078, L3:R2, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1399242  1399732  1400690  1400829  1400965  1401128  1401268  1401448  1401587  1402319  1402431  1402556  1402697  1403880  1403994  1405071  1405227  1405362  1406830  1407598  1408636  1408781  1408899  1409780  1409899  1410775  1410960, 1414529  1414873  1414984  1415102  1415221  1415370  1416455  1416764  1420760  1420920  1421077  1422017  1422169  1422309  1422866  1422994  1423473, 1414238, 1423780, 1412615, 1412866, 1399528  1409653, 1408839  1410804, 1408842, 1408845, 1408849, 1412619, 1412625, 1412776, 1412871, R, 1414248, , 1423788, 0, 0, 0, 0, 0, 1423837, 1423846, L3:R3, 66.67, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1414254, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1427393  1427533  1427710  1427838  1427958  1428086  1428446  1428590  1429362  1429918, 1425369, 1424022  1433003, 1425376, 1431620, 1431788, 1427198  1429411  1429682, 1428566  1429442  1429764, 1425377, 1425378, 1425379, 1431623, 1431627, 1431778, 1431792, R, 1433011, , , 1, 0, 0, 0, 1, 1433058, 1433064, L3:R4, 57.14, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1433050
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1436175  1436307  1436513  1436627  1436785, 1433473  1433584  1433874  1433988  1441319  1441439  1441548  1441658  1441775  1441894  1442018  1443134  1443631  1447686  1447816  1447936  1448537  1448653  1448796, 1440891, 1434242  1448791, 1439423, 1439667, 1435983, 1436810, 1434243, 1434244, 1434246, 1439425, 1439428, 1439579, 1439670, R, 1440898, , 1448801, 0, 0, 0, 0, 0, 1448836, 1448843, L3:R5, 62.50, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1440902, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1450333, 1450493, 1451721, , 1449423, 1449424, 1449424, 1450334, 1450336, 1450486, 1450494, L, 1451724, , , 1, 0, 0, 0, 1, 1451750, 1451753, L4:R5, 55.56, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1451744
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1451908  1452035  1452165, , 1455610, , 1453634  1454101, 1453795  1454339, , 1452161, 1452310, 1452312, 1452313, 1453635, 1453638, 1453788, 1453797, R, 1455616, , , 1, 0, 0, 0, 1, 1455648, 1455652, L4:R6, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1455642
