max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   240607   240728   240940   254578   254725   254868   255044   255353   255472   255705  6729039  6729473  6730024  6730155  6730482  6730619  6730762  6731207  6893012  6893125  6893258  6893378  6893498  6893634  6893746  6893865  6894017  6894135  6894257  6894373  6894501  6894630  6894743  6894868  6895012  6895137  6895263  6895393  6895555  6895682  6895833  6895969  6900782  6901578  6901855  6901968  6902088  6902200  6902339  6902473  6902634  6902748  6902861  6902977  6903396  6903516  6903696  6903896  6904019  6904147  6904283  6904416  6904556  6905499  6905631  6906030  6906160  6906283  6906520  6906732  6906857  6907003  6907295  6907409  6907792  6907908  6908057  6908176  6908359  6908511  6908636  6908780  6908922  6909071  6909194  6909949  6910282  6910400  6910586  6910717  6910923  6912626  6912768  6912883  6913573  6913695  6913822  6913950  6914085  6915780  6915892  6916025  6916146  6916280  6916398  6916903  6917114  6917254  6917380  6917492  6918113  6918228  6918418  6938369  6938529  6938782, 1   263037   263401   263571  6732084  6885654  6885783  6885943  6886063  6886184  6886307  6886428  6886544  6886674  6887220  6887429  6887663  6887814  6887943  6888073  6888210  6888350  6888487  6888594  6889445  6890051  6890272  6890733  6922548  6922782  6922896  6923008  6923141  6923300  6923431  6923744  6923928  6924084  6943660  6943793  6943913  6944039  6944161  6944288  6944419  6944562  6948393  6948524  6948678  6948869  6949020  6949153  6949305  6949707  6949903  6950080  6950225  6950395  6950517  6952144  6952261  6952938  6953389  6953543  6953672  6953791  6954037  6954912  6955034  6955260  6955384  6955515  6957356  6958519  6958725  6958833  6959506  6959943  6960069  6960212  6960380, 253184   253938  6892618  6938214, 253684   255731  6918247  6938730, 259904  6941803, 261125  6942001, 262535  6885276  6922238  6942964, 263578  6890693  6924169  6960772, 6890699, 6890707, 6890715, 6941810, 6941819, 6941970, 6942009, R, 6942982, 6942991, 6960773, 0, 0, 0, 0, 0, 6960784, 6960786, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6977661  6977774  6977901  6978020  6978136  6978269  6978444  6978574  6982113  6982256  6982371  6982491  6982605  6982838  6982967  6983091  6983222  6983343  6983480  6983596  6983776  6986496  6987119  6987248  6987367  6987505  6987620  6987739  6987949  6988067  6988591  6988720  6988856  6988971  6989081, 6960815, 6977531  6981798, 6978502  6989145, 6980043, 6980438, , , 6961994, 6961995, 6961995, 6980045, 6980048, 6980199, 6980441, L, 6981805, , 6989151, 0, 0, 0, 0, 0, 6989193, 6989201, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 6981808, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6989306, 7006057  7006167, 7011721, , 7010582, 7010902, 7005745, 7006226, 6989764, 6989764, 6989765, 7010583, 7010586, 7010737, 7010904, L, 7011726, , , 1, 0, 0, 0, 1, 7011757, 7011761, L2:R1, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 7011750
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7011969  7012101  7012219  7012374  7012495  7012617, , , 7012646, 7017177, 7017703, 7018842, , 7012647, 7012649, 7012651, 7017178, 7017181, 7017332, 7017705, R, 7018847, , , 1, 0, 0, 0, 1, 7018880, 7018884, L2:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 7018872
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7049518  7049700  7049907  7050041  7050167  7050303  7050436  7050572  7050683  7050801  7050923  7051058  7051191  7051303  7051423  7051552  7051682  7051795  7051958  7052130  7052270  7052585  7052751  7052870  7053011  7053151  7053284  7053884  7054019  7054182  7054364  7054730  7054959  7055117  7055272  7055414  7056117  7056245  7056602  7056828  7056972  7057102  7057216  7057643  7057797  7058117  7058236  7058366  7058508  7058619  7058756  7059116  7059243  7059373  7059533  7059855  7059969  7060094  7060214  7060326  7060579  7060697  7061107  7061232  7061385  7061567  7061975  7062162  7062279  7062493  7062653  7062793  7062912  7063027  7063163, 7019352  7019460  7019581  7034456  7035626  7035869  7036677  7037120  7037331  7037547  7038477  7039050  7039288  7039414  7039697  7039838  7040284  7040432  7040548  7041586  7041713  7041830  7041976  7042157  7042332  7042453  7042618  7043006  7043123  7043339  7043537  7043691  7043841  7044662  7044781  7044918  7045556  7045739  7045956, 7025858  7049314  7061133  7061243  7061901, 7026093  7061103  7061159  7061270  7063112, 7064960  7076333, 7065467  7076709, 7033933  7035400, 7019543  7034397  7045983, 7019543, 7019545, 7019546, 7064963, 7064967, 7065118, 7065472, , , , , 1, 1, 0, 0, 0, 7080515, 7080520, L2:R2, 50.00, 000(1)1, 000(1)1, , 204, no_go, 7080507
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 7084288  7084408  7087946  7088119  7088352  7088481  7088619  7088741  7088859  7088991  7089189  7090360  7097150  7097272  7097837  7098074  7098217  7098354  7099330  7099452  7099582  7100653  7100836  7100965  7101108  7101233  7101981  7102106  7102235  7102374  7102528  7102659, , , 7086103, 7086468, 7083852  7087467, 7084413  7102910, 7080990, 7080990, 7080991, 7086104, 7086107, 7086257, 7086470, R, 7087471, 7087474, 7102916, 0, 0, 0, 0, 0, 7102955, 7102962, L2:R3, 60.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7105776  7105910, 7103062, 7105588, 7105895, 7107590  7113734, 7108139  7113968, 7114984, , 7103404, 7103405, 7103406, 7107591, 7107594, 7107745, 7108141, R, 7114989, , , 1, 0, 0, 0, 1, 7115023, 7115028, L2:R4, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 7115017
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7121629  7121771  7121890  7122037  7122206  7122711  7122914  7123025  7127783, 7115360  7115466  7115728  7116935  7117074  7118311  7119629  7119738  7120149, 7121419  7137296, 7123017, 7134091  7134757  7135808, 7134505  7135326  7136301, 7116540  7118101  7118413  7119247, 7115688  7117046  7118320  7118476  7120143, 7115689, 7115691, 7115692, 7134095, 7134101, 7134252, 7134511, L, 7137308, , , 1, 0, 0, 0, 1, 7137373, 7137381, L3:R4, 42.86, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 7137363
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7137524  7137645, 7143459  7143666  7143867  7143995  7144116  7144238  7144361  7144485  7144613  7144740  7144898  7145005  7145113  7145256  7145377  7150823  7150946  7151082  7151428  7151555, , 7137754, 7139232  7141991, 7139664  7142122, 7143042, 7151678, 7137934, 7137935, 7137936, 7139233, 7139235, 7139386, 7139666, R, 7143047, 7143050, 7151683, 0, 0, 0, 0, 0, 7151717, 7151723, L3:R5, 50.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 7151809, , , 7153976  7155472, 7154137  7155499, 7156842, , 7152155, 7152156, 7152156, 7153977, 7153979, 7154130, 7154138, R, 7156846, , , 1, 0, 0, 0, 1, 7156876, 7156880, L3:R6, 44.44, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 7156870
