max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, L_reward_ts, well_off_ts, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1   734086   735834   818909   819140   819257   819376   819478   819581   819688   819954   820066   820207   820517   820630   820731   820842   820952   821059   821164   821275   821401   821525   821635   821768   821897   822002   822157   822320   822489   822607   822709   822853   822961   823110   823264   823540   823846   823948   824060   824237   824351   824510   824617   824888   825008   825288  1025397  1025551  1025683  1025815  1025946  1026095  1026224  1026380  1026524  1026711  1058574  1058698  1058814  1058927  1059317  1059424  1059555  1138854  1138963  1139091  1139203  1139427  1139642  1139800  1139940, 751531, 751532, 751533, 818622   818714  1025088  1025138  1025236  1030106  1030658  1058120  1067736  1097551  1097719  1138425  1140425, 818649   825254  1025123  1025214  1026772  1030128  1031071  1059731  1067930  1097564  1097743  1140063  1141660, 836573   884070   893509   894046   914438   914699   947506  1035175  1035490  1035854  1100682  1100756  1102260  1122008, 836771   892475   894004   895881   914522   916288   948631  1035194  1035597  1037732  1100734  1102223  1102281  1122131, 1142112  1142310, 1142116, 1142122, 1142273  1142278, 1142283  1143794, 1142289, 204, no_go, 1, 1, 0, 0, 0, 1157335, 1157345, 1157352, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1188736  1188840  1189019  1189127  1189548  1189691  1208656  1208785  1217549  1217656  1217789  1217906  1218073  1219069  1219190  1219320  1219433  1219554  1219689  1219803  1219928  1220071  1220195  1220318  1220445  1220571  1220700  1220834  1220966  1221098  1221259  1221647  1221769  1221878  1222019  1222153  1222290  1222424  1222529  1222636  1222748  1222856  1223015  1223160  1223298  1223438  1223581  1223729  1224206  1224396  1224569  1224686  1224830  1224962  1225110  1225330  1225434  1225538  1227192  1227297  1227412  1227540  1227674  1227803  1227945  1228091  1228231  1228381  1228530  1228683  1228790  1229050  1231774  1231891  1231993  1232166  1232340  1232449  1232563  1232684  1232786  1232945  1233108  1233423  1233604  1233743, 1158270, 1158272, 1158273, 1188441  1217134  1226793  1231537  1240320  1240559, 1189859  1225714  1229043  1233702  1240524  1240571, 1166276  1166375  1195245  1195314  1196347  1196567  1196626  1197450  1197555  1197664  1197740  1197891  1199758  1199950  1200553  1201271  1201418  1248631, 1166300  1166401  1195268  1195358  1196414  1196611  1197426  1197502  1197595  1197679  1197869  1198172  1199886  1199979  1200574  1201314  1201452  1261696, 1241743  1242226, 1241748, 1241755, 1241905  1241911, 1241916  1242840, 1241923, , , 0, 0, 0, 0, 0, , 1261749, 1261758, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1248645, 1248652, 1261703, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1278573  1278685  1278818  1279030  1279194  1279342  1279454  1279744  1279900  1280007  1280114  1280266  1339124  1339227  1339347  1339468  1339612  1340013  1340124  1340249  1392550  1392657  1392796  1392971  1393104  1393259  1393362  1393738  1393908  1394034, 1262379, 1262380, 1262380, 1278188  1278266  1338611  1339014  1392110  1478625, 1278230  1280322  1338640  1340281  1394112  1479321, 1263361  1284478  1320096  1321253  1375414  1375755  1384276  1419730  1441826  1450437  1454941  1455251, 1264535  1284492  1321154  1321289  1375494  1376681  1384523  1420275  1442398  1450711  1455017  1456800, 1463436  1463782  1465836  1467035, 1463446, 1463457, 1463607  1463617, 1463680  1463821  1465881  1468085, 1463690, , , 0, 0, 0, 0, 0, , 1479568, 1479568, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1478649, , 1479333, 1478662
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1479787  1479979  1480091  1480236  1480421  1480527  1480719  1480826  1480939  1481057  1481167  1481283  1481400  1481521  1481645  1481764  1481889  1482016  1482145  1482281  1482420  1482552  1482682  1482806  1482944  1483086  1483235  1483375  1483522  1483665  1483810  1483949  1484104  1484243  1484837  1485362  1485484  1485646  1485758  1485879  1485981  1486108  1486228  1486343  1486483  1486659  1487289  1487405  1487513  1487617  1487804  1487923  1488043  1488150  1488304  1488797  1488925  1489071  1489524  1489669  1489787  1489894  1490007  1490116  1490350  1490459  1490579  1490718  1491025  1491181  1491415  1491523  1491643  1506923  1507038  1507267  1507381  1507514  1507645  1507779  1507932  1533298  1533425  1533560  1533730  1533876  1533978  1534323  1534474  1553683, 1491661, 1491672, 1491681, 1479580  1505466  1506498  1506751  1533037  1534641  1553387, 1491652  1505622  1506654  1507978  1534515  1535038  1553739, 1513306, 1514054, 1538457  1539456, 1538626, 1538628, 1538778  1538779, 1538780  1539735, 1538782, , , 0, 0, 0, 0, 0, , 1553760, 1553763, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1553391, , 1553741, 1553393
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1554216  1554336  1554450  1554572  1554685  1554793  1554898  1555004  1555118  1555246  1555363  1555482  1555606  1555721  1555856  1555987  1556144  1556319  1556716  1556819  1556990  1557208  1557345  1557486  1557626  1557738  1557844  1557994  1558129  1558356  1558497  1558633  1558773  1558904  1559371  1559475  1559585  1560036  1560172  1560285  1560386  1560648  1560755  1560899  1561282  1561433  1561703  1561828  1561991  1562168  1562271  1562379  1562543  1562882  1563014  1563119  1563250  1563542  1563675  1563782  1564015  1564566  1564719  1564860  1565026  1565152  1565255  1565370  1565565  1565670  1565847  1566810  1566929  1567091  1567228  1567364  1567500  1567648  1567834  1567948  1572701  1573164  1573367  1573981  1574199  1574352  1574519  1574654  1574799  1574946  1575049  1575172  1575459, 1565904, 1565914, 1565923, 1553814  1565938  1566461  1569531  1572364  1572915  1575789, 1565895  1566007  1568283  1569597  1572732  1575440  1576050, 1581914, 1591980, 1580598, 1580599, 1580601, 1580752  1580753, 1580760, 1580761, , , 0, 0, 0, 0, 0, , 1591999, 1592002, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1581918, 1581920, 1591982, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1622107  1622240  1622471  1622602  1622749  1622891  1623030  1623143  1623282  1623544  1623661  1623766  1623876  1624013  1624123  1628096  1628264, 1592521, 1592522, 1592523, 1621681  1621748  1626992  1627092  1627207  1627955, 1621733  1624242  1627049  1627127  1627287  1628271, 1592051  1592781  1594625  1607931  1615055  1631071  1634446  1644273, 1592193  1593256  1595230  1608551  1615581  1633452  1634569  1653541, 1639227, 1639234, 1639242, 1639393  1639400, 1639414, 1639422, , , 0, 0, 0, 0, 0, , 1653605, 1653615, L3:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1644290, 1644299, 1653550, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1660328  1660434  1660548  1660650  1660978  1661087  1661215  1661374  1707270  1707374  1707478  1707625  1707740  1707871  1707980  1708084  1708442  1708652  1708776  1708920  1709024  1719555  1719729  1719840  1719958  1720131  1720257  1743008  1743177  1743286  1743418  1743606  1743716  1743820  1743931  1744047  1744165  1744284  1744406  1744532  1744672  1744788  1744904  1745035  1745183  1745320  1745491  1745789  1745898  1746002  1746142  1746354  1746743  1746862  1747000  1747180  1747286  1747405  1747763  1747877  1747997  1748147  1748328  1748445  1748582  1748699  1748960  1749183  1749304  1749469  1749598  1749925  1750050, 1655380, 1655382, 1655383, 1659978  1661608  1706997  1719269  1742633, 1661408  1661794  1709070  1720265  1750190, 1653754  1656855  1668155  1675402  1691040  1697302  1730371, 1655379  1657292  1671086  1675454  1692137  1697879  1730748, 1733591, 1733598, 1733607, 1733758  1733767, 1733781, 1733789, , , 0, 0, 0, 0, 0, , 1750202, 1750205, L3:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1742651, , 1750191, 1742660
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1750234  1763720  1763863  1763966  1764378  1764494  1764610  1764726  1764852  1764975  1765099  1765219  1765362  1765491  1765632  1765767  1765882  1766028  1766261  1766403  1766509  1766742  1766893  1767041  1767272  1767824  1767932  1768436  1768562  1769092  1769202  1769375  1769482  1769651  1769753  1769899  1770131  1770888  1770999  1771105  1771243  1771381  1771510  1771684  1771883  1771985  1772132  1772364  1772782  1772903  1773020  1773201  1773322  1773868  1774133  1774286  1774432  1774609  1774711  1774898  1775006  1775109  1775234  1775345  1775566  1775721  1775826  1775929  1776158  1776267  1776406  1776526  1776670  1777054  1777159  1777316  1777497  1777603  1777721  1777855  1778268  1778370  1778487  1778833, 1750647, 1750648, 1750648, 1763492, 1778942, 1754152  1756303  1756944, 1755804  1756517  1757463, 1762168, 1762170, 1762173, 1762324  1762326, 1762335, 1762338, , , 0, 0, 0, 0, 0, , 1779154, 1779155, L3:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1763499, , 1778956, 1763502
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1779166  1780047  1780237  1780356  1780458  1780563  1784210  1784351  1784520  1791501  1791761  1791932  1792049  1792178, 1779683, 1779684, 1779685, 1779783  1779876  1780143  1780269  1784030  1790945, 1779830  1780126  1780185  1780539  1784583  1792147, 1787576  1795371, 1788218  1805111, 1793264, 1793269, 1793275, 1793425  1793430, 1794280, 1794285, , , 0, 0, 0, 0, 0, , 1805158, 1805166, L4:R4, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1795382, 1795389, 1805117, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
