max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   102365   102482   102713   102825   107005   107226   107383   107581   107762   107901   108097   829466   829848   829949   832280  1030947  1031066  1031172  1031275  1031383  1031497  1031646  1031759  1031875  1031988  1032111  1032227  1032399  1049174  1049506  1049654  1049781  1049935  1073317  1073474  1073575  1073769, 1   102160   116668   116987   117176   117413   276025   283746   285754   286015   287143   290138   292658   336588   343363   343957   372905   388776   389102   389441   452697   453116   453365   453516   454111   455996   456158   456435   457214   457374   457526   463502   463632   466585   468270   468530   468816   469152   469491   469652   469830   470350   470545   470713   470856   470978   471160   471315   471698   472300   472425   477778   477916   498314   515591   728248   788810   788972   789666   811470   811884   812077   813305   830924   832312   908796   908926   909176   910152   910448   910954   913029   913231   913401   913545   913782   914023   914659   914897   915177   915306   915572   916541   920635   921866   922056   923520   923721   923847   924229   924356   924602   925048   925575   926155   926769   927294   928013   928217   928363   928582   928891   929240   929602   930232   931089   931234   935382   935513   947690   947855   949881   950266   950643   951063   951630   951955   952182   952303   953196   954181   956404   957954   958074   958566   958874   960108   961125   961366   961562   962040   962937   963124   963932   964063   964384   975653   975823   976024   976155   976841   977240   988876   989703   990522   990845   991081   991207   991839   992090   992678   993269   993509   993804   995197   995771   996008   996141   996330  1010757  1011331  1013971  1014609  1057788  1057973  1058181  1058317  1058453  1058587  1058721  1058856  1058992  1059140  1059287  1059443  1059926  1060291  1060733  1060883  1079769  1079897  1080977  1081114  1081508  1081647  1082015  1082176  1082519, 106754  1030637  1048953  1072949, 108156  1032386  1049900  1073845, 111175  1077321  1077685  1077756, 111897  1077484  1077741  1078150, 116167   116436  1056889  1079471, 116422   117405  1060840  1082815, 1004263, 1004271, 1004278, 1077322, 1077325, 1077475  1077477, 1077486, R, 1079477, 1079480, 1082819, 0, 0, 0, 0, 0, 1082850, 1082855, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1095541  1095647  1095762  1095930  1096083  1096188  1096294  1109043  1109168  1109346  1109577  1109690  1109810  1111148  1128753  1128857  1128994  1129112  1129223  1129335  1129440  1129554  1129663  1129786  1129914  1130043  1130237  1130456  1130594  1131010  1131523  1131661  1131804  1132498  1132628  1132769  1132925  1133263  1133429  1133545  1133649  1133771  1133921  1134081  1134188  1134295, 1082930  1117434  1117558  1117809  1117979  1118855  1119094  1119228  1120832  1121116  1122317  1122506, 1095397  1108842  1109067  1110980  1128593, 1096282  1109038  1109745  1111245  1134307, 1124560, 1124750, 1089202  1089651  1107121  1117096  1119681  1120729  1121987, 1089536  1089847  1107181  1119340  1119937  1121266  1122446, 1084068, 1084068, 1084069, 1124568, 1124577, 1124728  1124737, 1124758, L, 1128610, , 1134320, 0, 0, 0, 0, 0, 1134542, 1134543, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1128619
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1134616  1134751  1135610  1135737  1135916  1137700  1137846  1137988  1152054  1152160  1152275  1152407  1152537  1152667  1152773  1152917  1174836  1174992  1175154  1176562  1176673  1176779  1176884  1177233, 1155798  1155922  1156084  1167907  1184713  1185115  1185374  1186014  1186149  1186281  1186416  1186657  1186805  1186953  1187185  1187338  1187476  1187731  1187909  1188269  1188440  1188637, 1134557  1135429  1137419  1137554  1151698  1174454  1176384  1177283  1177472, 1134746  1135726  1137470  1137913  1152939  1175166  1177259  1177314  1177675, 1181952, 1182142, 1155605  1167446  1184402, 1156292  1167872  1188687, 1135113, 1135115, 1135116, 1181959, 1181968, 1182119  1182128, 1182150, R, 1184419, 1184429, 1188699, 0, 0, 0, 0, 0, 1188769, 1188782, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1203102  1203221  1204709  1204832  1204940  1205055  1205209  1238833  1238939  1239060  1239163  1239318  1239433  1239543  1239666  1239842  1239971  1240122  1240255  1240375  1240478  1240651  1240800  1241226  1241329  1241515  1241638  1241971  1242624  1242779  1242923  1243071  1243210  1243332  1243482  1243661  1244822  1244944  1245100  1245250  1245371  1245544  1246164  1246282  1246509  1246611  1246720  1246833  1246941  1247063  1247214  1247341  1247522  1247656  1247789  1247909  1248092  1248203  1248309  1248444  1248581  1249130, 1189046  1189192  1189495  1189715  1197299  1203132  1203253  1203480  1203615  1203806  1203938  1204152  1204508  1204675  1204850  1227732  1227859  1228091  1228395  1228984  1229566  1236780  1243682  1243955  1245113  1245263  1245475  1245754  1246452, 1203024  1204467  1205239  1238554, 1203312  1205157  1205358  1249179, 1234768, 1234957, 1188960  1189739  1196704  1197114  1227190  1227507, 1189724  1189819  1197091  1197297  1227478  1229552, 1189725, 1189726, 1189728, 1234776, 1234784, 1234935  1234942, 1234965, L, 1238571, , 1249182, 0, 0, 0, 0, 0, 1249201, 1249205, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1238580
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1249254  1250470  1250584  1250735  1250837  1252041  1252145  1267390  1267536  1267663  1267900  1268081  1268219  1269948  1270052  1278125  1278229  1278353  1278464  1278568  1278670  1278871  1279298  1295127  1295375  1301626  1303188  1327942  1328047  1328155  1328275  1328395  1328506  1328624  1328739  1328854  1329001  1329134  1329258  1329373  1329482  1329661  1329822  1330797  1330954  1331101  1331239  1331384  1331538  1331682  1332616  1332752  1332892  1333024  1333135  1333280  1333459  1333573  1333731  1334366  1334514  1334660  1334890  1335038  1335158, 1250233  1250572  1250711  1251054  1251196  1251451  1251590  1251854  1252325  1252575  1252775  1252951  1253133  1253323  1253464  1253618  1253793  1254094  1254523  1254760  1254886  1255184  1258815  1259244  1259457  1259616  1259871  1260022  1260153  1260292  1260558  1260706  1261347  1261508  1261991  1262189  1283243  1283379  1294076  1294319  1304066  1304312  1304471  1304810  1314146  1317997  1318253  1318623  1319196  1319924  1320118  1320530  1320678  1321530  1321824  1321958  1322168  1322366  1323328  1323536  1323761  1324375  1325836  1326562  1331008, 1250187  1251859  1267270  1267833  1267942  1269819  1277814  1294869  1301273  1327858, 1250811  1252249  1267630  1267855  1268257  1270090  1279413  1295422  1301310  1335224, 1326573, 1326750, 1254211  1255438  1258271  1258469  1258574  1262638  1263842  1282984  1283523  1303823  1324076, 1255419  1255462  1258452  1258550  1262276  1262948  1263856  1283398  1283634  1304960  1324444, 1249747, 1249748, 1249750, 1326578, 1326583, 1326734  1326739, 1326755, L, 1327869, , 1335234, 0, 0, 0, 0, 0, 1335303, 1335315, L3:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1327877
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1357207  1357316  1357875  1358022, 1353507  1353644  1354470  1354619  1354971  1355345  1356387  1356551  1356701  1357093  1357962  1358334  1359183  1360093  1360463  1361216  1361342  1361626  1367067  1367434  1367571  1367726  1368090  1368222  1368350  1368495  1368631  1368770  1368913  1369053  1369205  1369336  1369922  1370077  1370234  1370515  1370673  1370810  1371072  1371199  1371448  1371601  1371748  1372008  1372627, 1356918  1357724, 1357440  1358064, 1363105  1365605, 1365187  1365751, 1360627  1366874, 1361676  1372659, 1336105, 1336107, 1336108, 1363109, 1363116, 1363267  1363272, 1365192, R, 1366885, 1366891, 1372668, 0, 0, 0, 0, 0, 1372728, 1372738, L3:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1375448  1375565  1375720  1375908  1376016  1376130  1378455  1378568  1378678  1378795  1389277  1389412  1410522  1410726  1410831  1410933  1411035  1411139  1411444  1411563  1411970  1412680  1412798  1413057  1414070  1414188  1414294  1414499  1414639  1414758  1415038, 1373249  1374574  1375277  1383246  1383474  1392322  1392497  1395395  1395535  1395688  1395960  1396089  1396217  1396572  1417888  1418146  1418280  1418412  1420975  1421218  1421391  1422274  1422418  1422563  1422699  1422973  1423270  1423903  1424075  1425013  1425172  1425431  1425738  1425951  1426274, 1374928  1375100  1375261  1378321  1388940  1389046  1410323  1411060  1413849, 1375017  1375213  1376320  1378920  1389014  1389760  1410987  1413017  1415054, 1419486  1419738, 1419687  1420038, 1392060  1395087  1395180  1417517  1420645, 1392686  1395169  1396531  1418551  1426341, 1373403, 1373404, 1373404, 1419497, 1419508, 1419659  1419670, 1419699, R, 1420669, 1420682, 1426342, 0, 0, 0, 0, 0, 1426356, 1426358, L3:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446559  1447074  1447219  1448029  1448171  1451502  1451787, 1426685  1426837  1427662  1439382  1439524  1439670  1439839  1440184  1440356  1456613  1456864  1457055  1457552  1457684  1457811  1457960  1458108  1458286  1458428  1458917  1459073  1459227  1459373  1459513  1459761  1459920  1460071  1460324  1460524  1460673  1461029  1461181, 1446302  1447849, 1447168  1448549, 1454505, 1454681, 1426451  1427496  1439000  1456306, 1426751  1427808  1440359  1461460, 1427236, 1427238, 1427239, 1454510, 1454516, 1454666  1454671, 1454686, R, 1456317, 1456322, 1461469, 0, 0, 0, 0, 0, 1461523, 1461533, L3:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1475920  1476073  1476215  1477183  1477295  1477424  1477562  1492788  1492910  1497006  1497543  1497673  1497784  1497911  1498024  1498128  1498551  1498727  1499798, 1461664  1469343  1469618  1469935  1471332  1480610  1480751  1480911  1482729  1482851  1502791  1502951  1503081  1503240  1503365  1503893, 1475737  1477036  1492592  1496643  1496692  1497414  1498296  1508508, 1476250  1477576  1492897  1496672  1497187  1498190  1499748  1508675, 1505124  1505399, 1505348  1506981, 1467803  1467929  1469108  1469424  1470357  1471147  1480392  1482396  1502570, 1467897  1468264  1469362  1469932  1470456  1471571  1481056  1482929  1503948, 1462217, 1462218, 1462219, 1505134, 1505145, 1505296  1505306, 1505359, L, 1508532, , 1508687, 0, 0, 0, 0, 0, 1508763, 1508776, L4:R5, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1508543
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1509237  1509383  1509506  1509732  1509837  1510002  1510108  1510218  1510343  1510467  1510580  1510705  1510929  1511063  1511192  1511326  1511437  1511614  1511758  1512308  1512446  1512592  1512739  1512895  1513018  1513213  1513329  1513498  1513657  1514291  1514433  1515286  1515389  1515499  1515601  1515724  1515831  1515966  1516167  1516284  1516396  1516522  1516698  1516814  1517031  1517318  1517515  1517715  1517841  1517978  1518947  1519087  1519222  1519355  1519459  1520611  1520747  1520862  1521433  1521860  1523004  1523117  1526503  1526643  1526759  1527388  1527575  1527676  1527779  1527884  1528038  1528167  1528327  1528467  1528604  1528755  1528900  1529187  1529325  1529449  1529723  1529926  1530106  1530241  1530350  1530480  1530614  1530726  1530872  1531807  1532003  1532168  1532269  1532917  1533056  1533193  1533461  1533604  1533746  1533889  1534019  1534264  1534376  1534535  1534672  1534828  1534974  1535597  1535700  1535808  1535936  1536040  1536949  1537673  1537861  1537968  1538480  1538657  1538794  1539052  1539170  1539395  1539743  1539897  1540027  1540189  1540305  1540904  1541026  1541185  1541913  1542087  1542719  1545109  1545279  1553923  1554367  1554556  1554709  1554811  1554917  1555028  1555155  1555664  1556265  1599482  1599621  1599816  1599933  1600039  1600166  1600306  1600413  1601116  1601231  1601338  1601440  1601637  1601783  1604282  1608390  1608509  1608621  1608807  1608918  1611808  1611920  1628621  1628741  1628849  1628980  1630216  1631318  1631457  1631648  1637891  1637999  1638315, 1547025  1547160  1547684  1547830  1548144  1548404  1548527  1548656  1548962  1550027  1550174  1566731  1566902  1567024  1567191  1567447  1567893  1568248  1569166  1569381  1569622  1569755  1569893  1570020  1570299  1571979  1572292  1572473  1572643  1573030  1573203  1573330  1574654  1574803  1575185  1575337  1575488  1575719  1575917  1576504  1576637  1576776  1577553  1577684  1577929  1578414  1578591  1578904  1579219  1579461  1580026  1583329  1583454  1583702  1586882  1587007  1587281  1587406  1591529  1592034  1592739  1592864  1592998  1594276  1594436  1594591  1594927  1616871  1617656  1618122  1618402  1618624  1618747  1618884  1620500  1620627  1620777  1620929  1621062  1621263  1621391  1621569  1621722  1621981  1622120  1622279  1622434  1622580  1622727  1623664  1623814  1623963  1624087  1624458  1624641  1625234  1625567, 1509272  1521170  1522835  1526325  1539187  1544904  1553950  1554154  1599249  1599374  1600314  1601017  1601972  1602400  1602868  1603023  1608296  1611626  1627504  1628504  1637686, 1520822  1521405  1523103  1539121  1542786  1545268  1553990  1556240  1599352  1600294  1600453  1601616  1602198  1602828  1602979  1603306  1608866  1612052  1627700  1631463  1638349, 1645428  1645634  1646113, 1645614  1645858  1646393, 1546685  1565776  1566230  1566616  1567113  1567463  1567857  1568652  1568854  1571508  1577348  1583005  1586605  1591150  1591332  1616300  1616615  1617531  1642564  1649777, 1550143  1566215  1566262  1567060  1567360  1567781  1567994  1568671  1570238  1576872  1579951  1583712  1587597  1591161  1594873  1616460  1617039  1625542  1644434  1658801, 1520829, 1520836, 1520844, 1645434, 1645443, 1645594  1645601, 1645621, R, 1649794, 1649802, 1658809, 0, 0, 0, 0, 0, 1658864, 1658874, L4:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1676777  1676950  1677059  1677166  1677294  1677424  1677544  1677665  1677804  1677921  1678032  1678155  1678337  1678482  1678624  1678765  1678893  1679038  1679179  1679328  1679469  1679604  1679747  1679910  1680080  1680241  1680343  1680446  1680598  1680768  1680872  1681017  1681161  1681262  1681424  1681976  1682472  1682588  1682700  1682853  1683003  1683165  1683330  1683456  1683635  1683756  1683858  1684035  1684165  1684322  1684468  1684579  1684690  1684829  1684945  1685282  1685445  1685580  1685954  1686097  1686233  1686873  1687008, , 1676520, 1687038, 1674516, 1674683, 1667111  1670882  1672414  1672654, 1667714  1671570  1672427  1673631, 1659831, 1659832, 1659833, 1674518, 1674521, 1674672  1674675, 1674686, L, 1676526, , 1687050, 0, 0, 0, 0, 0, 1687118, 1687131, L5:R5, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1676530
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1688214  1688339  1689726  1695082  1696122  1696225  1696769  1721716  1721823  1722321  1722448  1722576  1722714  1723278  1742328  1742460  1742758  1742884  1743041  1743162  1745190  1745305  1753892  1753996  1754122  1754249  1754372  1754480  1754598  1754714  1754893  1755017  1755176  1755308  1755441  1755576  1755725  1755854  1756137  1756865  1777925  1778031  1778156  1778276  1778507  1779138  1785055  1785179  1785383  1785490  1785605  1785738  1785868  1786596  1787124  1787273  1787538  1787833  1787985  1788318  1812452  1812603  1812825  1813305  1836900  1837123  1837293  1837403  1837521  1837627  1838265  1838877  1839556  1839683  1843066  1843215  1843333  1843462  1843574  1844366  1844480  1844662  1844799  1845038  1845204  1845659  1845782  1846634  1846747  1847080  1848815  1849367  1849536  1849793  1851031  1851194  1851339  1852410  1852641  1852753  1852872  1853009  1853195  1855755  1855903  1856097  1856547  1856804  1857554  1857691  1857802  1857911  1858019  1858159  1858300  1859470  1863493  1877351  1877472  1877593  1877696  1877971  1878086  1897389  1897495  1897606  1897707  1897834  1897940  1898068  1898192  1898328  1898461  1898708  1898865  1899010  1899143  1899281  1899433  1899567  1899737  1899955  1900110  1900243  1900430  1900539  1900684  1900847  1901639  1901775  1903197  1903354  1903510  1903666  1903840  1903997  1904144  1904318  1905150  1905312  1905417  1905531  1905642  1905757  1906061  1906359, , 1688117  1689511  1694797  1695987  1696653  1721518  1722055  1742078  1744932  1753637  1771712  1777723  1778397  1778462  1784824  1787005  1787616  1787685  1812201  1836485  1836562  1836744  1839438  1842748  1844301  1845280  1845417  1846866  1849201  1850640  1851689  1851815  1852105  1852266  1853173  1855617  1859355  1863324  1877169  1877794  1896816, 1688408  1689742  1695045  1696230  1696913  1721805  1723445  1743145  1745432  1756833  1771828  1778354  1778423  1778486  1786537  1787052  1787630  1788570  1813311  1836523  1836641  1838838  1839643  1843592  1845242  1845358  1845712  1846982  1849624  1851268  1851722  1851839  1852242  1853114  1853187  1858312  1859523  1863586  1877715  1878078  1906541, 1895316, 1895519, 1698418  1718637  1718701  1729277  1729320  1746942  1759821  1760019  1761594  1781049  1792424  1794020  1815706  1819389  1828591  1829795  1831650  1865323  1867358  1879868  1885883  1889329  1889707  1890207  1891356  1891479  1891668, 1700163  1718656  1719171  1729305  1730039  1751317  1759943  1760414  1762776  1781635  1793864  1805315  1816707  1820014  1828702  1831636  1831671  1865726  1867885  1884220  1889085  1889344  1889746  1890222  1891405  1891511  1893457, 1687920, 1687921, 1687922, 1895327, 1895340, 1895490  1895501, 1895530, L, 1896840, , 1906545, 0, 0, 0, 0, 0, 1906574, 1906580, L5:R5, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1896853
