max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   736424   736697   736817   738297   819352   819462   819740   862812   862922   863033   863139   863261   863384   863498   863607   863730   863838   863944   864052   864160   864274   864477   864599   864709   864820   864937   865044   865160   865284   865390   865517   865640   865745   865890   866220   866363   866468   866592   866721   866850   866994   867115   867224   867343   867461   867612   867738   867870   868005   868128   869609   869714   869842   870195   870459   870566   870674   870798   919277   919383   919502   919651   972871   972984   973091   973210   973341   973455   973559   973733   973949   974280   975093   975211   975323   975428   975561   975717   975855   975962   976109   976256   976414   976546  1034706  1034818  1034925  1035075  1035183  1035303  1035421  1035571  1035702  1035846  1035994  1036099  1036239  1036391  1036549  1036685  1036846  1036979  1037122  1037268  1037381  1037517  1037685  1038262  1038389  1038497  1038639  1039060  1039185  1039293  1039441  1039570  1039912  1040082  1040246  1040398  1040539  1040672  1040886  1040992  1041140  1041288  1041418  1041634  1041745  1041901  1042425  1042531  1042770  1042883  1043048  1043225  1043351  1043511  1043968  1044110  1044296  1044478  1044620  1044725  1044908  1045066  1045228  1045395  1045747  1045883  1045989  1046162  1046293  1046964  1047481  1048069  1048178  1048288  1048394  1048502  1048724  1048829  1049051  1049160  1049288  1049417  1049550  1049710  1049821  1050341  1050450  1050610  1050733  1050876  1051025  1051256  1051361  1051512  1051641  1052749  1052864  1052994  1053113  1053243  1053355  1058997  1131304  1131415  1131521  1131629  1131734  1131848  1131959  1132103  1199396  1199576  1199683  1199843  1201726  1201842  1201968  1202076  1202183  1202293  1202399  1202516  1202623  1202732  1202842  1202957  1203075  1203196  1203318  1203444  1203689  1203837  1203960  1204098  1204212  1204362  1204483  1204644  1204771  1204878  1204983  1205104  1205227  1205351  1205459  1205626  1205737  1205860  1205997  1206111  1206227  1206333  1206440  1206593  1206704  1206825  1206940  1207092  1207215  1207333  1207485  1207639  1207792  1207934  1208088  1208252  1208374  1208491  1208623  1208779  1208902  1209079  1209200  1209318  1209672  1209993  1210156  1210260  1210438  1210561  1210713  1210876  1213367  1213475  1213592  1213742  1213896  1214040  1214420  1214566  1214718  1214854  1215066  1215208  1215357  1215501  1216432  1216552  1216659  1216807  1217359  1217488  1217646  1217840  1217949  1218071  1218197  1218422  1218747  1218882  1219467  1219608  1219749  1219897  1220051  1220190  1220429  1220683  1220788  1221028  1221154  1221309  1221868  1222017  1222882  1222986  1223093  1224841  1224963  1225102  1225206  1225311  1225854  1225970  1226334  1226460  1226590  1226728  1226940  1227294  1227685  1228149  1228254  1228362  1228476  1228630  1228834  1228967  1229436  1229930  1230053  1230180, 1   886091   886261   886381   886551   886673   886810   886937   887064   887202   887334   887491   887691   887942   888184   911210   911328   911554   912041   912271   912422   912553   912704  1021092  1021334  1021430  1021533  1021895  1066335  1066487  1066636  1116493  1235432  1235560  1235694  1235833  1235969  1236098  1236250  1236374  1236506  1236791  1236941  1237101  1237239  1237398  1237898  1238087  1238243  1238419  1238572  1238966  1239074  1239233  1239420  1239610  1239788  1244847  1244981  1245142  1245376  1245512, 12   553053   556788   849466   862550   862706   869434   919155   972269   972732   972830   974949  1004987  1034511  1048550  1052639  1058710  1058781  1058850  1059379  1131114  1132188  1201377  1201569  1210932  1210963  1213149  1213180  1222716  1224589  1225389  1226270  1226342  1228021, 551224   553382   556961   849483   862654   868152   870743   919618   972319   972744   974321   976630  1005071  1048478  1051576  1053348  1058769  1058812  1058888  1059522  1132161  1132385  1201439  1210889  1210945  1211185  1213167  1222042  1223179  1225190  1226238  1226332  1227275  1230158, 754081, 754083, 754085, 885686   910758  1020755  1022526  1065799  1065975  1092354  1108757  1115610  1116578  1150726  1233955  1239901  1239945  1244527, 888197   912793  1022285  1022542  1065956  1066649  1092431  1108796  1116553  1116746  1150743  1239764  1239930  1240111  1245437, 1252278  1254311, 1252287, 1252298, 1252449  1252459, 1253819  1254330, 1253829, 204, no_go, 1, 1, 0, 0, 0, 1268911, 1268925, 1268938, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1280924  1281185  1289980  1290080  1290249  1290382  1290790  1290925  1291070  1291224, , , 1270301, 1270302, 1270302, 1280672  1289710  1291252  1291345, 1281309  1291227  1291275  1291395, 1298969, 1298972, 1298977, 1299128  1299132, 1299578, 1299582, 204, no_go, 1, 1, 0, 0, 0, 1314616, 1314624, 1314630, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1340553  1340685  1340797  1340914  1341031  1341177  1341300  1341412  1341668  1371032  1371144  1371343  1371689  1371826  1372035  1372192  1372336  1372455  1372563  1373041  1373152  1373323  1373432  1374121  1374256  1374361  1374770  1374900  1375031  1375141  1375280  1375418  1375566  1375709  1375856  1376004  1376108  1376570  1376700  1376935  1377944  1378078  1378330  1378456  1378593  1378750  1378896  1379046  1379191  1379343  1379759  1379866  1379985  1380117  1380470  1380577  1380808  1381017  1381793  1382005  1382123  1382243  1382388  1382569  1382689  1382840  1382998  1383166  1383315  1383468  1383583  1384300  1384436  1384759  1384896  1385004  1385109  1385240  1385359  1385466  1385700  1385808  1385945  1386102  1386258  1386392  1386552  1386679  1386810  1386927  1389119  1389955  1390099  1390229  1390374  1390524  1390629  1391150  1397022  1397147  1397513  1397689  1397829  1398052  1398168  1398421  1398595  1398923  1399072  1399187  1399304  1399418  1399566  1399717  1399825  1400110  1400231  1400960  1401067  1401189  1401928  1402045  1402335  1403976  1404099  1404270  1404383  1404539  1404648  1404756  1404896  1405044  1405205  1405374  1406236  1406377  1406547  1406660  1406779  1406976  1407441  1407549  1407697  1409232  1409390  1409518  1410822  1410956  1411100  1411212  1411345  1411450  1411576  1411732  1411860  1411966  1412086  1412235  1412402  1412889  1413258  1413390  1413557  1413665  1413931  1414272  1414421  1414918  1415044  1416770  1416892  1417018  1417509  1417636  1418082  1418219  1418360  1418813  1418980  1419132  1419597  1419826, 1428767  1428972  1430062  1430185  1430313  1430438  1430560  1430694  1430837  1430974  1431109  1431255  1431386  1431527  1431674  1431806  1431927  1432165  1432448  1432715  1432857  1433156  1433275  1433440  1433580  1433728  1433901  1434047  1434205  1434364  1434545  1434799  1435018  1435219  1435378  1435598  1435705  1435852  1435960  1436066  1436179  1436303  1436430  1436610  1436778  1436941  1437125  1437265  1437430  1437608  1437722  1437893  1437995  1438915  1439014  1439290  1439453  1440645  1440872  1441027  1441180  1441328  1441475  1441638  1441748, 1340365  1340414  1342005  1370096  1370728  1396750  1402148  1403761  1416603, 1340385  1341581  1342317  1370158  1391327  1402006  1402303  1415067  1419837, 1314981, 1314982, 1314983, 1428398, 1441943, 1425517  1425850, 1425528, 1425542, 1425693  1425705, 1425724  1426072, 1425736, , , 0, 0, 0, 0, 0, , 1442002, 1442013, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1428424, 1428438, 1441951, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1463163  1463319  1463424  1463642  1463778  1464286  1464727  1464851  1464963  1465655  1465790  1465912  1466062  1466525  1466688  1466823  1467037  1467206  1467311  1467416  1470086  1470194  1470383  1470523  1470632  1470737  1471542  1471753  1471869  1471974  1472303  1478348, 1442138  1445371  1446955  1447185  1447294  1447433  1448271  1448392  1449535  1483386  1483655  1483813  1484691  1484994, 1462974  1466673  1469938  1472700  1472775  1473152  1473262  1473709  1473786  1475332  1475402  1475788  1475938  1496432, 1466652  1467411  1472349  1472713  1472824  1473166  1473629  1473737  1475154  1475368  1475714  1475884  1475959  1496639, 1442755, 1442756, 1442757, 1444874  1446577  1483011, 1445538  1449497  1484983, 1491972, 1491983, 1491996, 1492146  1492158, 1492175, 1492188, , , 0, 0, 0, 0, 0, , 1496863, 1496864, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1496458, , 1496652, 1496470
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1496873  1497172  1497782  1497899  1498037  1498157  1498270  1498397  1498554  1498657  1498771  1498917  1499039  1499155  1499269  1499381  1499510  1499655  1499783  1499900  1500259  1500416  1500536  1501089  1501201  1501325  1501600  1501722  1501879  1502034  1502143  1502256  1502395  1502500  1502618  1502769  1502938  1503114  1503219  1503409  1503540  1503708  1503867  1503992  1504098  1504220  1504700  1504806  1504983  1505088  1505216  1505338  1505462  1505630  1505795  1505950  1507345  1507471  1507580  1508016  1508159  1508321  1508460  1508609  1508763  1508920  1509065  1509230  1509419  1509559  1509703  1510251  1514578  1514685  1514909  1515169  1515276  1515723  1515850  1515991  1516136  1531621  1535724  1535854  1536024  1537921  1538132  1538372  1538477  1538636  1538835  1539102  1539233  1539342  1539503  1539722  1539832  1539947  1540449  1540754  1540862  1540971  1541087  1541196  1541305  1541415  1541586  1541859  1541970  1542098  1542233  1542376  1542532  1542676  1542821  1542969  1543095  1543284  1543441  1543614  1544288  1544435  1544602  1544725  1545327  1545450  1545555  1545693  1545837  1545982  1546334  1546496  1546873  1546988  1547470  1547598  1547710  1547872  1549004  1549137  1549259  1549369  1549509  1550696  1551213  1551675  1551780  1551903  1552107  1552311  1552416  1552523  1552638  1552768  1552878  1553027  1553186  1553293  1553454  1553560  1553674  1554150  1554351  1554459  1554604  1554756  1554920, 1518756  1518882  1519542  1520136  1520252  1520385  1561708  1561974  1562102  1562207  1562327  1562454  1562583  1562710  1562838  1562967  1563101  1563231  1563373  1563527  1563660  1563801  1563959  1564094  1564249  1564348  1564457  1564629  1564733  1564879  1565055  1565288  1565390  1566045  1566234  1566400  1566554  1566716  1566878  1567029  1567208  1567414  1567738, 1497466  1507177  1509918  1514347  1531043  1531459  1531730  1533523  1535239  1535603  1535666  1535867  1537293  1538675  1539903  1540122  1540389, 1505909  1509712  1510241  1516163  1531289  1531711  1531771  1533647  1535264  1535646  1535737  1535916  1537731  1539893  1539959  1540297, 1497338, 1497339, 1497340, 1518422  1561039, 1520875  1567812, 1558830, 1558830, 1558832, 1558983  1558984, 1558991, 1558992, , , 0, 0, 0, 0, 0, , 1567860, 1567867, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1561042, 1561044, 1567818, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1591441  1591597  1591799  1591906  1592176  1592282  1592399  1592822  1592983  1630022  1630135  1630242  1630351  1630503  1631091, 1570137  1570552  1570741  1570900  1571047  1607065  1608224  1608481  1608880  1609696  1609853  1612215  1612341  1612895, 1590940  1591144  1591274  1593049  1629765, 1591124  1591197  1593031  1593059  1631181, 1568676, 1568677, 1568678, 1568792  1569712  1571169  1605846  1606198  1607754  1607890  1611761  1637671, 1568936  1571118  1571227  1605935  1607672  1607834  1609931  1613022  1637999, 1634445, 1634454, 1634464, 1634615  1634625, 1634640, 1634649, , , 0, 0, 0, 0, 0, , 1638072, 1638084, L1:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1637690, 1637701, 1638009, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1667462  1667572  1667695  1686357  1686467  1686707  1686854  1686966  1688001  1688110  1688615  1689182  1689307  1689412  1689569  1689716  1689864  1690014  1690122  1690232  1691257  1691429  1691906  1692568  1692672  1692792  1692936  1693080  1693224  1693369  1693523  1693680  1693835  1693941  1694062  1694189  1694295  1694414  1694524  1694639  1694754  1694860  1694967  1695104  1695221  1695327  1695782  1695921  1696581  1697155  1697262  1697376  1697507  1697647  1697813  1698225  1698383  1698530  1698673  1698778  1698884  1699025  1699130  1699240  1699463  1699595  1699888  1700196  1700322  1700485  1700913  1701031  1701154  1701521  1701655  1701762  1701921  1702043  1702178  1702337  1704378  1704483  1704623  1704774  1705090  1705210  1705351  1705807  1705946  1706094  1706432  1706577  1706693  1706848  1707099  1707562  1707715  1707842  1707953  1708062  1708170  1709482  1709637  1710140  1710272  1710399  1710555  1710713  1710882  1711012  1711133  1711243  1711350  1711463  1711595  1713197  1713310  1713452  1713576  1713682  1713801  1713953  1714062  1714191  1714306  1714437  1714601  1714766  1714920  1715030  1715151  1715267  1715371  1715547  1715713  1715926, 1639693  1639923  1640300  1640422  1640546  1640675  1640811  1640943  1641076  1641219  1641339  1641543  1641643  1641797  1641925  1642027  1642135  1642289  1642388  1642589  1642856  1643001  1643394  1643497  1644110  1644330  1644490  1644649  1644804  1644963  1645120  1718870  1719081  1720075  1720341  1731406  1731790  1731918  1732039  1732273  1732401  1732649  1732774  1732903  1733041  1733193  1733331  1733525  1733621  1733763  1733921  1734337  1734796  1734934  1735073  1735592  1735766  1736070  1736249  1736408  1736578  1736940  1737039  1737219  1737392  1737558  1739098  1739725  1739849  1740016  1740161  1740378  1740478  1740981  1741093  1741389  1741567  1741722  1741878  1742037  1742659, 1667247  1686196  1704182  1716055, 1667689  1702392  1716029  1716265, 1638615, 1638616, 1638617, 1639007  1645194  1646247  1646493  1718249  1718437  1725215  1726342  1731017, 1645148  1645257  1646347  1647132  1718315  1720447  1725428  1726549  1742724, 1728309, 1728321, 1728334, 1728486  1728498, 1728510, 1728522, , , 0, 0, 0, 0, 0, , 1742763, 1742770, L1:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1731041, 1731055, 1742729, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1784158  1784289  1784438  1784596  1784744  1784849  1785124  1785231  1785365  1785627  1785749  1785886  1786001  1786139  1813241  1813367  1813494  1814412  1814537  1814820  1814934  1869495  1869602  1869735  1906110  1906222  1906429  1906628  1907143  1907315  1907427  1908280  1908400  1908508  1908614  1908728  1909714  1909824  1910446  1910635  1910766, 1746909  1747034  1837274  1837478  1837841  1838316  1839159  1839261  1912909  1913137  1914815, 1783863  1784660  1813029  1820965  1829554  1869279  1905889  1921647, 1784561  1786053  1814894  1821108  1829678  1869788  1910817  1921816, 1743640, 1743641, 1743643, 1742859  1743413  1744552  1746459  1774993  1775539  1790367  1790989  1791277  1792454  1836886  1842105  1842707  1842815  1876476  1912548  1915312, 1743379  1743639  1744995  1747430  1775478  1776017  1790683  1791154  1791652  1792503  1839874  1842335  1842799  1842962  1877086  1915276  1915338, 1917284  1917562, 1917287, 1917289, 1917440  1917442, 1917450  1918136, 1917452, , , 0, 0, 0, 0, 0, , 1921843, 1921848, L2:R4, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1921653, , 1921819, 1921657
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1921934  1923539  1923653  1923773  1923879  1924002  1924110  1924237  1924355  1924472  1924579  1924689  1924793  1924925  1925037  1925169  1925291  1925440  1925575  1925711  1925852  1926063  1926218  1926342  1926482  1926947  1927531  1927649  1927800  1928063  1928217  1928331  1928537  1928647  1928753  1928908  1929031  1929186  1929347  1929511  1930257  1930361  1930535  1930675  1930796  1930970  1931126  1931274  1931410  1931606  1931712  1931852  1931973  1932122  1932254  1932373  1932846  1932951  1933066  1933184  1933327  1933511  1933802  1933933  1934058  1934179  1934310  1934462  1934625  1934794  1934911  1935403  1935545  1935695  1935837  1936377  1937390  1938043  1938170  1938339  1938493  1938645  1938824  1938998  1939127  1939260  1939365  1939514  1939636  1939758  1939878  1939987  1940156  1940322  1940435  1940948  1942540  1942693  1942860  1942982  1943095  1943243  1943387  1943555  1943729  1943903  1944117  1944244  1944454  1944845  1945169  1945312  1945432  1945593  1945756  1945921  1946033  1946145  1946323  1946496  1947072  1947253  1947741  1947871  1948308  1948426  1950125  1950243  1950358  1950765  1950951  1951100  1951251  1952522  1952676  1952822  1952950  1953076  1953195  1953364  1953538  1953652  1954007  1954201  1954312  1954420  1954541  1954649  1954755  1955563  1955690  1955818  1955934  1956631  1956745  1956859  1968478  1968739  1968853  1968980  1969094  1969829  1969978  1970084  1970625  1971924  1972038  1972161  1972271  1972654  1973131  1973260  1973365  1973474  1973616  1973832  1974845  1975042  1975646  1975844  1975971  1976129  1976271  1976411  1976892  1977031  1977175  1977455  1977618  1977791  1977944  1978109  1978235  1978374  1979004  1979122  1979267  1979376  1980177  1980306  1980410  1982624  1982745  1982929  1983043  1983693  1983798  1983915  1984346  1984508  1984837  1985107  1986978  1987929  1988036  1988262  1988379  1988583  1989092  2024669  2024790  2024941  2025050  2025166  2025273  2025384  2025494  2025598  2025713  2025830  2025944  2026064  2026180  2026303  2026422  2026535  2026700  2026828  2026977  2027119  2027245  2027481  2027594  2027737  2027882  2027988  2028107  2028251  2028400  2028545  2028702  2028867  2029018  2029161  2029305  2029414  2029520  2029667  2029772  2029877  2029986  2030090  2030321  2030433  2030547  2030652  2030793  2030898  2031007  2031243  2031378  2031482  2031637  2031759  2031932  2032091  2032236  2032700  2032855  2033122  2033325  2034770  2034915  2035056  2035165  2035276  2035384  2035513  2035707  2035872  2036022  2036136  2036315  2036460  2036563  2036706  2036842  2037019  2037123  2037234  2037357  2040125  2040282  2040423  2040602  2040724  2040923  2041105  2041274  2041389  2041505  2041618  2041827  2042037  2042203  2042321  2042443  2042593  2043085  2044411  2045591  2045703  2045853  2046035  2047556  2047682  2047819  2048431  2048538  2048646  2048787  2049188  2049293  2049399  2049541  2049701  2049814  2049947  2050197  2050305  2050426  2050712  2050839  2051950  2052103  2052256  2052908  2053037  2053187  2053518, 1963594  2005761, 1923346  1923433  1948102  1948152  1953688  1953787  1955396  1968284  1968580  1971754  1982436  1984698  1985511  1986883  2024397, 1923414  1948009  1948134  1953583  1953762  1954706  1956818  1968489  1970636  1980416  1984522  1985070  1985718  1989208  2054589, 1922477, 1922478, 1922479, 1960354  1960419  1960589  2005094  2005362  2009470, 1960397  1960500  1963565  2005159  2006660  2010343, 2012416  2012624, 2012423, 2012431, 2012581  2012588, 2012601  2012649, 2012609, , , 0, 0, 0, 0, 0, , 2054667, 2054679, L3:R4, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2024413, , 2054599, 2024423
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
