max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   124079   126254  7340259  7344668  7549232  7549368  7549480  7549605  7549822  7549950  7550083  7550234  7550375  7550519  7550655  7550776  7551167  7551332  7551483  7551647  7551803  7552067  7582008  7582125  7582255  7582380  7582508  7582636  7582771  7582930  7583123  7583272  7583505  7584235  7584382  7584850  7584992  7585158  7586149  7586521, 1   137498   138352   138520   138763   138934  7341170  7341272  7341559  7341666  7341772  7534253  7541012  7541116  7541224  7541326  7541434  7541545  7541689  7541795  7541917  7542035  7542163  7542265  7542372  7542513  7542649  7542781  7542909  7543576  7543757  7543977  7544126  7544274  7544426  7556265  7556371  7556864  7556986  7557145  7576794  7576997  7577365  7578096  7578220  7578348  7578451, 123151   124390  7548929  7570534  7573256  7581544, 124169   126263  7552447  7570884  7573580  7586667, 130203  7579916  7580157, 131265  7580125  7580333, 137202  7540773  7555832  7576331  7577679, 138937  7544382  7557215  7577493  7578513, 7537759, 7537763, 7537767, 7579928, 7579942, 7580093  7580106, 7580138, L, 7581545, 7581547, 7586670, 0, 0, 0, 0, 0, 7586694, 7586698, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7586756  7610340  7610468  7628284  7653939  7654187  7654457  7654726  7654989  7665549  7665665  7665971  7666379  7666844  7667039  7667207  7667591  7668238  7668504  7669075  7669568  7669704  7669848  7670169  7677005  7677146  7677442  7677628  7677735  7677881  7678014  7678147  7678301  7678440, 7589099  7589212  7606297  7606455  7612523  7612630  7612740  7615344  7615482  7629787  7630000  7630142  7630245  7632285  7632399  7632513  7632655  7651392  7651518  7663608  7663785  7663890  7675054  7675171  7692096  7692213  7697712  7697926  7701458  7701582  7701753  7701859  7702011  7702131  7702247  7702371  7702500  7702629  7702758  7702898  7703033  7703194  7703302  7703520  7703660  7703788  7703897  7704359  7704707  7704840  7704990  7705571  7705733  7705863  7706015  7706123  7706237  7706478  7706586  7706800  7707408  7707526  7707637  7707802  7707914  7708022  7708229  7708404  7708542  7709127  7709257  7709545  7709769  7709883  7710018  7710511  7710970  7711080  7711235  7711380  7711597  7711744  7711888  7712036  7712716  7712872  7713010  7713122  7713289, 7587505  7609714  7609784  7627904  7628489  7653556  7665248  7676675  7688491  7688882  7698846, 7587755  7609745  7610602  7628246  7628601  7655260  7670187  7678616  7688521  7689237  7699277, 7700041, 7700212, 7588702  7589828  7605935  7612093  7615028  7629605  7631926  7650880  7663248  7674569  7674806  7691744  7697471  7697552  7701173, 7589263  7590102  7606618  7613014  7615571  7630190  7632641  7651552  7663936  7674636  7675150  7692221  7697526  7697902  7713468, 7587799, 7587800, 7587801, 7700044, 7700048, 7700199  7700203, 7700216, R, 7701181, , 7713479, 0, 0, 0, 0, 0, 7713554, 7713566, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7701186
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7727233  7727607  7727719  7728135  7728697  7728972  7729396  7729939  7730587  7757509  7757615, 7714259  7714681  7714804  7714961  7715267  7715415  7715537  7716110  7716295  7716498  7717219  7717325  7717448  7717562  7717690  7717833  7717959  7721836  7722238  7722530  7722697  7722843  7722966  7723399  7723559  7724144  7724251  7724363  7724599  7724744  7732391  7732508  7732657  7732870  7733036  7733169  7733299  7733714  7733822  7733955  7734067  7734446  7734929  7753347  7762373  7762482  7762636  7762885  7763022  7763129  7763707  7763885  7764029  7764156  7776524  7776950  7777371  7782341, 7726960  7728302  7728328  7729522  7756787  7756878  7757132, 7728089  7728315  7729412  7730655  7756812  7756911  7757815, 7778910, 7779176, 7714006  7715935  7716129  7716270  7721420  7721528  7732231  7734259  7744468  7753095  7761971  7762185  7775459  7776115  7776724  7777686  7782157, 7715688  7715970  7716177  7718020  7721431  7724726  7734148  7734896  7744577  7753365  7762082  7764326  7775977  7776621  7777381  7777830  7782354, 7715689, 7715691, 7715693, 7778913, 7778917, 7779068  7779073, 7779180, R, 7782165, , 7782360, 0, 0, 0, 0, 0, 7782391, 7782397, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7782170
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7795002  7795330  7795742  7795954, 7782813  7782923  7783024  7783149  7783267  7783388  7783507  7783632  7783767  7783899  7784033  7784175  7784313  7784455  7784584  7784761  7784906  7785062  7785364  7785564  7785713  7785873  7786292  7786443  7786602  7786760  7786915  7787058  7787236  7787346  7787469  7787972  7788253  7788386  7789034  7789147  7789286  7789424  7789605  7789789  7789940  7790175  7790325  7790455  7790889  7791672  7791806  7791910  7792066  7792293  7792397  7792536  7798464  7798577  7798865  7799005  7799331  7799482  7799632  7799779  7799916  7803600  7803703  7803812  7803926  7804125  7804276  7804399  7804521  7804649  7804783  7804920  7805060  7805201  7805381  7805498  7805700  7805836  7805992  7806301  7806728  7806839  7806980  7807133  7807285  7807444  7808237  7808345  7808490  7808635  7808871  7809026  7809192  7809350  7809506  7809614  7809752  7809904  7810059  7810162  7810338  7810881  7810997  7811125  7811614  7811734  7811854  7811966  7812074  7812179  7812546  7812649  7812754  7812890  7813274  7813388  7814310  7814478  7815752  7815902  7816054  7816186  7816342  7816482  7817081  7817199  7817349  7817499  7817664  7817791  7817892  7818032  7818134  7818246  7818390  7818578  7818732  7818839  7819020  7819168  7819313  7819460  7819620  7819764  7820171  7820434  7820587  7821105  7821210  7821312  7821477  7821784  7821893  7821998  7822157, 7794475  7794733, 7794512  7796254, 7801877, 7802078, 7782482  7787703  7798236  7803405, 7787407  7792581  7799864  7822245, 7787411, 7787415, 7787420, 7801887, 7801899, 7802050  7802060, 7802089, R, 7803427, , 7822255, 0, 0, 0, 0, 0, 7822314, 7822325, L1:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7803439
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7834492  7847420  7847815  7848006  7848720  7851300  7852203  7855142  7863237  7863394, 7822495  7822650  7822900  7823320  7823439  7823583  7823731  7825574  7825820  7825925  7826115  7826230  7826365  7826864  7826970  7827205  7827548  7827685  7827795  7827978  7828147  7828559  7828672  7828817  7828981  7829146  7829310  7829476  7829629  7830459  7830584  7830786  7831314  7831452  7831709  7831870  7832030  7836318  7836420  7836591  7836699  7836841  7836950  7837056  7837384  7837535  7837769  7837917  7838088  7838233  7841268  7841949  7842086  7842313  7842745  7842868  7842998  7843176  7843310  7843441  7843594  7844700  7844809  7844959  7845109  7845317  7845729  7845842  7845959  7858519  7858648  7858846  7859006  7859487  7859603  7859728  7859879  7867192  7867326  7867443  7867591  7867720  7867833  7868062  7868204  7868332  7868464  7868593  7868729  7868871  7869009  7869157  7869355  7869501  7869648  7869757  7869885  7870030  7870167  7870304  7870413  7870569  7870686  7870863  7870970  7871084  7871220  7871397  7871538  7871967, 7834090  7846828  7847449  7847510  7847615  7849199  7850988  7851963  7854409  7854475  7862715  7862897, 7834678  7847389  7847476  7847567  7848695  7850549  7851251  7852248  7854441  7855347  7862782  7863554, 7864399  7864741  7865612, 7864577  7865281  7865778, 7822474  7830157  7830454  7832586  7836122  7840952  7843741  7858281  7867003, 7829671  7830427  7832098  7832793  7838251  7843661  7846000  7859909  7871984, 7829676, 7829680, 7829685, 7864403, 7864410, 7864561  7864566, 7864582, R, 7867016, , 7871994, 0, 0, 0, 0, 0, 7872061, 7872073, L1:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7867023
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7888716  7888968  7889525, 7872306  7872408  7872666  7872809  7873260  7873408  7873546  7873689  7873824  7873980  7874095  7874245  7874667  7874800  7874947  7875088  7875231  7875390  7875556  7875744  7875969  7876160  7876697  7876804  7876958  7877106  7877294  7877420  7877731  7877834  7877942  7878298  7878699  7878812  7878939  7879169  7879327  7879479  7880015  7880194  7880334  7880441  7880790  7880908  7881313  7881428  7881544  7881677  7881820  7882037  7883098  7883222  7883329  7884261  7884425  7884566  7884716  7885417  7885796  7891054  7891165  7891271  7891409  7892049  7895187  7895299  7895418  7895522  7895632  7895800  7895946  7896070  7896184  7896318  7896584  7896726  7896866  7897006  7897145  7897289  7897433  7897647  7897799  7897933  7898039  7898177  7898478  7898631  7898770  7898920  7899062  7899165  7899271  7899571  7899859  7899969  7900081  7900727  7900839  7901083  7901241  7901401  7901562  7901729  7901898  7902045  7902167  7902801  7902950  7903976  7904134  7904296  7904745  7904892  7905054  7905214  7905379  7905533  7905697  7905845  7906240  7906345  7906478  7906642  7907910  7908041, 7888182, 7889540, 7892774  7893464, 7892977  7893482, 7872238  7877462  7878004  7879883  7890791  7894989, 7877440  7877986  7879590  7885750  7892112  7908071, 7877444, 7877448, 7877452, 7892785, 7892797, 7892948  7892960, 7892988, R, 7895013, , 7908077, 0, 0, 0, 0, 0, 7908120, 7908128, L1:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7895026
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 7914032  7914147  7914273  7914393  7914496  7914635  7914849  7914975  7915098  7915226  7915355  7915491  7915628  7915798  7915942  7916089  7916235  7916392  7916695  7916844  7916992  7917134  7917278  7917404  7917551  7917662  7917802  7917908  7918064  7918227  7918336  7918474  7918580  7918686  7918845, , , 7909588  7910093  7910148  7910607, 7909752  7910125  7910187  7910726, 7913862, 7918984, 7908872, 7908873, 7908874, 7909590, 7909592, 7909743  7909744, 7909754, R, 7913868, , 7918991, 0, 0, 0, 0, 0, 7919040, 7919048, L1:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7913871
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 7919166  7919365  7919478  7919596  7919712  7920324  7920868  7923340  7923452  7923567  7923672  7923787  7923895  7924024  7924155  7924276  7924404  7924534  7924670  7924806  7924940  7925088  7925231  7925373  7925531  7925708  7925890  7926007  7926355  7926513  7926674  7927000  7927140  7927267  7927415  7927639  7927797  7927950  7928072  7928303  7928436  7928566  7928714  7928946  7929128  7929272  7929433  7929591  7929761  7929919  7930136  7930250  7930402, , , 7921981, 7922150, 7919172  7920132  7920689  7923168, 7919721  7920314  7920932  7930419, 7919722, 7919724, 7919725, 7921984, 7921987, 7922138  7922141, 7922153, R, 7923175, , 7930428, 0, 0, 0, 0, 0, 7930488, 7930500, L1:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7923179
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7933627  7933745  7933959, 7930900  7931024  7931523  7931917  7932024  7936201  7936330  7936660  7937128  7937231  7939990  7940098  7940211  7940322  7940515  7940636  7940756  7940883  7941017  7941145  7941282  7941443  7941591  7941712  7941831  7941982, 7933273, 7934653, 7938652, 7938829, 7930705  7931265  7931753  7935951  7937034  7939712, 7931079  7931503  7932038  7936683  7937207  7941996, 7931224, 7931225, 7931227, 7938656, 7938662, 7938813  7938819, 7938834, R, 7939722, , 7942004, 0, 0, 0, 0, 0, 7942053, 7942063, L1:R8, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7939728
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7971941  7972073, 7942185  7942297  7942409  7942594  7942736  7943010  7943151  7943301  7944530  7944644  7944783  7944891  7945038  7945148  7945280  7945394  7948440  7948702  7948821  7948997  7949117  7967235  7967345  7973702  7973875  7973988  7974173  7974522  7976302  7976414  7976516  7976628  7976738  7976943  7977050  7977168  7977297  7977424  7977551  7977676  7977805  7977940  7978078  7978218  7978361  7978539  7978683  7978827  7978951  7979129  7979280  7979421  7979561  7979780  7979906  7980137  7980254  7980431  7980548  7980925  7981077  7981224  7981329  7981467, 7950529  7971654, 7951423  7972108, 7975016, 7975199, 7942188  7948113  7966872  7973497  7976119, 7945835  7949134  7967461  7974622  7981543, 7945837, 7945840, 7945843, 7975022, 7975030, 7975180  7975187, 7975206, R, 7976133, , 7981555, 0, 0, 0, 0, 0, 7981630, 7981644, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7976141
