max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_well_all_on_ts, R_well_all_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  183907  184097  184257  238412  273529  273657  274603  274763  274914  277592  277709, 1  185138, 199635, 199636, 199638, 273569  274003  274511, 273611  274180  274839, 313211, 313214, 313220, 313370  313374, 314400, 314404, 204, no_go, 1, 1, 0, 0, 0, 329437, 329445, 329450, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 337508  337658  337804  337923  508659  508815  508928  509043  509169  509277  509388  509515  509626  509734  509848  509956  510071  510192  510310  510418  510524  510647  510754  510884  510995  511111  511223  511332  511469  511597  511703  511807  511991  512100  512211  512330  512455  512566  512702  512828  512933  513041  513155  513277  513387  513495  513628  513775  513916  514024  514202  514506  514639  514755  514861  514971  515106  515248  515351  515521  515692  515948  516737  516888  517043  517211  517603  517749  517924  518045  518149  518263  518376  518579  519365  519541  519660  520142  520285  520832  520937  521048  522113  522227  522990  523122  523314  527735  527840  527958  528084  528218  528339  555843  555974  556088  556212  556327  556477  556592  556716  556844  556980  557115  557231  557366  557492  557640  557824  557973  558124  558300  558478  558628  558737  558857  558967  560132  560290  560406  560510  560649  561098  561205  561313  561423  561533  561641  561753  561881  562025  562129  562235  562382  562495, 543936  544074  544175  544384  544512  544641  544781  544911  545051  545198  545599  545936  546091  546255  546394  546593  546764  547046, 330959, 330959, 330960, 337390  508290  527542  555729, 337401  523292  528285  562597, 553478, 553479, 553482, 553633  553635, 554227, 554229, , , 0, 0, 0, 0, 0, , 562654, 562662, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 543327  543399, 543347  548269, L, 555735, 555738, 562605, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 563335, 563336, 563336, , , 628452, 628454, 628458, 628609  628612, 628621, 628624, 204, no_go, 1, 1, 0, 0, 0, 643651, 643658, 643663, L1:R0, 100.00, 000(1)1, 000(1)1, 577550  621204  623127  624990  625191, 578878  623011  623170  625152  626159, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 669670, 671532  671662  671794  672050  672188  672340  672472  672602  672989  673156  673326  674114  677615  677862  677984, 644158, 644158, 644159, , , 703631  709035, 703635, 703640, 703791  703795, 703806  709173, 703811, , , 0, 0, 0, 0, 0, , 710412, 710419, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 670602  676520  677181  677238  678596  710138, 674163  676609  677209  678200  678609  710367, R, 710150, , 710373, 710156
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 778176  778284  778389  778494  778607  778739  778876  778996  779111  779219  779328  779457  779573  779687  779827  779961  780071  780180  780315  780460  780616  780765  780912  781072  781258  781874  782018  782170  782320  783537  783682  783946  784082  784196  784345  784501  784651  784989  785096  785217  785337  785459  785587  785765  785871  786023  786330  788445  788603  862749  862869  863150  863255  863369  863489  863612  863944  864051  864370  864523  865104  865404  865512  865642  865760  865913  866029  866378  866613  866735  898536  898642  898809  898983  899147  899405  970703  970808  970918  971025, 711526  711655  711784  711914  712048  712181  712315  712460  712605  712748  712897  713024  713182  713350  713518  713681  713837  714004  714112  714223  714342  714731  717675  739304  739424  739556  739726  739877  751459  861388  861613  989811  989911  990032  990216  990322  990419  990559  990866  990969  991093  991209  991424  994895, 714695, 714698, 714701, 777814  786151  788110  788179  862365  862629  898368  916500  970142  970534  998547, 786100  786258  788129  788779  862521  866731  899469  916515  970205  970969  998709, 994585, 994598, 994613, 994782  994783, 995855, 995856, , , 0, 0, 0, 0, 0, , 998723, 998726, L2:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 710520  717276  718096  738623  738955  740464  750947  751117  751181  759281  805252  861108  861210  869903  980985  982269  982774  983537  983674  983775  984751  984963  985479  986020  986714  989477  989652  991744, 714692  718063  718140  738714  739982  740480  750978  751149  751435  759371  805615  861131  861586  870103  981016  982725  983012  983565  983740  983792  984899  985011  985504  986671  989194  989495  991541  991763, L, 998549, 998551, 998711, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 998830   998945   999069   999178   999282   999392   999508   999617   999735   999859   999987  1000110  1000237  1000365  1000493  1000628  1000762  1000928  1001055  1001211  1002220  1002338  1002506  1002611  1002756  1002925  1003096  1003258  1003965  1004131  1004296  1004482  1004662  1004886  1004999  1005126  1005236  1005342  1005461  1005598  1005750  1005890  1005999  1006111  1006217  1006423  1006588  1006823  1007063  1007433  1007584  1008123  1008710  1008817  1008933  1009041  1009154  1009263  1009406  1009540  1009689  1009908  1010013  1010144  1010257  1010369  1010532  1014297  1014412  1014517  1014647  1014757  1014865  1015017  1015317, 1028667  1028786  1028929  1034544  1034689  1034834  1034968  1035099  1035355  1035485  1035615  1035744  1035879  1036016  1036605  1036735  1036925  1037089  1037255  1037431  1037596  1037772  1037943  1038104  1038275  1038446  1038628  1038816  1038988  1039106  1039232  1039329, 1006569, 1006575, 1006581, 998831  1006984  1007105  1008499  1014118  1015116, 1006563  1007030  1007129  1010569  1015007  1015248, 1032640  1032966, 1032652, 1032666, 1032817  1032829, 1032929  1033335, 1032942, , , 0, 0, 0, 0, 0, , 1039540, 1039546, L2:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1028347  1034046, 1029225  1039507, R, 1034216, , 1039511, 1034217
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1045381  1045480  1045679, 1040147, 1040148, 1040148, , , 1047693, 1047695, 1047698, 1047849  1047852, 1047861, 1047864, , , 0, 0, 0, 0, 0, , 1048307, 1048311, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1044970  1045118  1048068, 1045006  1045940  1048280, R, 1048074, , 1048284, 1048077
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1070665  1070779  1070902  1071040  1071163  1071289  1071414  1071536  1071654  1071781  1071909  1072036  1072167  1072307  1072622  1072740  1072904  1073068  1073235  1073405  1073545  1073671  1073775  1073882  1073994  1074351  1074949  1075096  1075288  1075468  1075894  1076052  1076225  1076405  1076510  1076616  1076720  1076825  1077000  1077213  1077323  1077458, 1049160  1049542  1049817  1049933  1050080  1050218  1050356  1050499  1050648  1050799  1050946  1051238  1051394  1051546  1051692  1051871  1051969  1052068  1052515  1052696  1052877  1053068  1053239  1055414  1055551  1055688  1055836, 1053258, 1053262, 1053266, 1070441, 1077594, 1068195, 1068200, 1068208, 1068358  1068364, 1068375, 1068381, , , 0, 0, 0, 0, 0, , 1077679, 1077692, L3:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1048448  1054513  1054585  1054944, 1053255  1054563  1054596  1055831, L, 1070453, 1070460, 1077606, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1078127  1078234  1078342  1078462  1078637  1078751  1078854  1078963  1080558  1080750  1080869  1080975  1081100  1081219  1081350  1081469  1081823, 1084466  1087344  1087473  1087608  1087736  1087859  1087987  1088113  1088246  1088393  1088546  1089025  1089144  1089314  1089483  1089657  1089810, 1078919, 1078921, 1078923, 1077975  1080284  1080489, 1078918  1080457  1081732, 1086102, 1086106, 1086112, 1086262  1086267, 1086277, 1086282, , , 0, 0, 0, 0, 0, , 1090068, 1090077, L3:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1084260  1086628, 1084899  1090012, R, 1086639, , 1090019, 1086645
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1101032  1101138  1101244  1101379  1114628  1114744  1114852  1114958  1115089  1115220  1115335  1115598  1115736  1115888  1116000  1116274, 1105232  1105582  1105884  1106107  1106236  1106419  1106656  1107675  1107880  1108030  1108611  1109071  1110191, 1090692, 1090693, 1090694, 1100718  1114381, 1101442  1116286, 1118263  1118470, 1118269, 1118276, 1118427  1118434, 1118446  1118517, 1118453, , , 0, 0, 0, 0, 0, , 1119990, 1120001, L3:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1091102  1104954  1109913  1110385  1119693, 1091440  1109021  1109935  1110435  1119931, R, 1119709, , 1119939, 1119717
