max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    84286   544627   544746   545126   545307   545436   545560   564117   581618   582416   582532   582652   583343   583536   583658   583788   584010   584150   591195   597414  1475726  1654827  1655001  1655117  1655229  1655346  1655457  1655568  1655697  1655824  1655937  1656069  1656203  1656336  1656464  1656622  1656760  1656902  1657037  1657321  1657467  1657795  1657932  1658086  1658209  1658359  1658474  1658588  1658698  1658841  1663222  1685378  1685493  1685617  1685737  1685870  1685982  1686093  1686219  1686332  1686467  1686766  1686912  1687203  1687339  1687635  1687770  1688371  1688499  1688829  1688973  1689135  1689303  1689422  1689535  1689684  1689869  1690058  1690310  1690918  1691048  1691196  1691311  1691429  1691544  1691668  1691793  1692536  1692698  1692868  1692993  1693104  1693219  1693336  1693448  1693569  1693679  1693811  1693972  1694132  1694291  1695136  1695753  1695889, 1    94275   546265   546380   546941   547056   547166   547306   547509   573959  1477001  1629076  1629201  1629634  1629763  1629890  1630014  1630136  1630260  1630382  1630519  1630644  1630770  1630895  1631019  1631142  1631267  1631392  1631526  1631673  1631807  1631967  1632135  1632409  1632557  1632735  1650689  1650851  1651013  1651194  1651374  1667947  1668472  1668620  1669068  1669387  1669526  1669977  1672371  1672526  1672688  1672858  1672998, 77236   558540   590866  1654594  1662950  1665938  1684958, 84275   564086   597395  1658936  1663251  1666015  1695933, 87914   566407  1628097  1628230  1628591  1632813  1649795  1650091  1667659, 94208   573946  1628192  1628521  1632771  1633176  1649899  1651826  1672953, 1632780, 1632789, 1632798, 1674077, 1674081, 1674086, 1674237, 1674248, 1674253, L, 1684968, 1684974, 1695944, 0, 0, 0, 0, 0, 1696016, 1696029, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1697655  1720308  1720426  1720566  1720690  1722809  1722920  1723124  1739096  1755829  1762228  1762360  1762492  1762605  1762740  1762952  1763111  1763250  1797581  1797723  1797834  1797961  1798094  1808936  1809060  1815775  1820301  1825671  1825799  1825945  1826972  1827171  1827282  1827447  1827577  1827703  1827939  1828050  1828461  1828586  1828700  1828846  1828959  1829086  1829212  1829986  1830132  1830647  1830794  1830909  1831037  1831175  1831323  1831484  1832738  1832893  1833014  1833171  1833335  1833803  1833959  1834101  1834237  1834372  1834494  1834627  1834790  1834930  1835049  1835186  1835442  1835558  1835678  1835796  1835913  1836055  1836169  1836283  1836396  1836508  1836621  1836732  1836851  1836966  1837085  1837199  1837342  1837487  1837605  1837780  1837926  1838455  1838835  1839017  1839150  1839267  1839388  1839528  1839643  1839802  1839921  1840039  1840186  1840301  1840411  1840570  1840816  1840957  1841251  1841597  1841754  1841915  1842120  1842241  1842357  1842469  1842587  1842916  1843243  1843354  1843511  1843638  1843780  1843922  1844100  1844211  1844325  1844439  1844590  1844703  1844819  1844969, 1700867  1701079  1701480  1701822  1702022  1702226  1704058  1704275  1704507  1708110  1708285  1708396  1726162  1726364  1726500  1728246  1733446  1733761  1760211  1760517  1760681  1760841  1782138  1782362  1782487  1847946  1848072  1848328  1848481  1848961  1851753  1852119  1852347  1860093  1860548  1860683  1860818  1860948  1861072  1861197  1861327  1861468  1862187  1866722  1866886  1867051  1867218  1867416  1867577  1867741  1867950  1868119  1868462  1868764  1868919  1869086  1869356  1869501  1869667  1869777  1870120, 1697470  1720156  1722468  1738869  1755411  1762067  1766360  1797262  1808713  1815365  1820024  1825404  1838234  1838581  1840654  1841178  1841536  1841644  1843937, 1697803  1720695  1723154  1739087  1755760  1763233  1766612  1797993  1809238  1815673  1820247  1837905  1838353  1840635  1840872  1841360  1841581  1843860  1845076, 1700475  1703468  1707441  1717813  1725715  1727793  1731383  1731811  1732922  1737431  1759605  1781697  1795662  1818010  1818063  1818441  1847406  1849078  1851333  1859834, 1702272  1704596  1708341  1717848  1726615  1728401  1731515  1731837  1733819  1737462  1760811  1783019  1796091  1818039  1818287  1818887  1848987  1849161  1852296  1870737, 1697334, 1697335, 1697336, 1853440, 1853446, 1853453, 1853603, 1853615, 1853621, R, 1859848, , 1870747, 0, 0, 0, 0, 0, 1870812, 1870824, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1859855
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1874690  1874898  1881428  1881603  1881733  1881867  1882002  1882137  1882303  1882424  1882568  1882748  1888925  1889081  1890353  1890509  1891150  1891298  1891411  1891942  1892148  1892318  1892513  1892708  1892882  1893082  1893316  1893474  1893580  1894255, , , 1874293  1874954  1880910, 1874869  1875082  1894639, 1871591, 1871592, 1871593, 1880082, 1880084, 1880086, 1880237, 1880245, 1880247, R, 1880915, , 1894645, 0, 0, 0, 0, 0, 1894685, 1894692, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1880919
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1906103  1906238  1906435  1906641  1906795  1906929  1907125  1907239  1907361  1907581  1920648  1920765  1920883  1921036  1934938  1935053  1935187  1935301  1935449, 1894793  1896335  1896886  1899484  1899631  1899840  1911505  1911690  1912478  1912742  1912849  1913187  1923376  1923831  1923979  1924206  1925512  1926486  1926609  1927029  1927923  1939406  1939641  1939867  1939993  1940119  1940246  1940388  1941385  1942436  1942591  1947759  1948038  1948193  1948350  1948522  1949121  1949355  1949492  1949722  1950313  1950461  1950607  1951183  1951713  1951908, 1906320  1906394  1908594  1920406  1920441  1934756, 1906371  1907458  1908626  1920418  1921014  1935417, 1895853  1896422  1899124  1911161  1923032  1924946  1938905, 1896299  1897006  1900581  1913632  1924173  1927860  1951948, 1895269, 1895270, 1895271, 1936231, 1936240, 1936250, 1936400, 1936415, 1936424, R, 1938924, , 1951948, 0, 0, 0, 0, 0, 1951955, 1951958, L1:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1938935
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1962908  1963025  1963149  1963292  1963407  1963527  1963645, 1952503  1954881  1955105  1955233  1955341  1956132  1956350  1978035  1978345  1978482  1978629  1978779  1978920  1979269  1979388  1980974  1981766  1982781  1985690  1985860  1986300  1986521  1986715  1986822  1986995  1987448, 1962641, 1963537, 1952116  1953127  1954361  1956582  1977643, 1953032  1953664  1956334  1956850  1987615, 1953032, 1953034, 1953035, 1965502, 1965506, 1965511, 1965662, 1965672, 1965676, R, 1977652, , 1987622, 0, 0, 0, 0, 0, 1987670, 1987679, L1:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1977658
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2003824  2003942  2004052  2004174  2004288  2049389  2049505  2049635  2049778  2050977  2051293  2051405  2051544  2051659  2051831  2051979  2052096  2052237  2052355  2052481  2052664  2052936  2053084  2053365, 1991028  1991340  1991986  1992147  1992309  1993027  1993276  1998348  1998528  1998715  1999265  1999879  1999998  2006764  2006977  2007132  2013798  2014023  2015733  2018046  2018246  2018693  2018807  2021856  2037156  2037355  2045665  2045873  2046001  2046242  2060397  2060518  2060638  2060759  2060882  2061039  2061165  2062541  2067608  2067770  2067903  2072247  2072388  2073129  2073283  2073430  2073902  2074634  2074807  2074915  2075486  2075695, 2003596  2049063  2050784  2050888  2050962  2051424, 2004346  2049806  2050856  2050905  2050989  2053364, 1990801  1998014  2006120  2013339  2013411  2015294  2017710  2021324  2022353  2022454  2022742  2023378  2025324  2036729  2045302  2059675, 1993468  2000243  2007217  2013393  2014147  2016210  2019663  2021997  2022385  2022706  2023072  2023624  2025711  2037485  2046483  2075769, 1988263, 1988264, 1988265, 2057497, 2057498, 2057500, 2057650, 2057680, 2057681, R, 2059678, , 2075773, 0, 0, 0, 0, 0, 2075804, 2075810, L1:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2059680
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2096411  2096535  2096735  2096852  2096967  2107597  2107769  2107880  2107998  2120083  2120194  2124301  2124417  2143111  2143236  2143361, 2076359  2078127  2078288  2078757  2078897  2079012  2079787  2079895  2080018  2080167  2080408  2085053  2085191  2085356  2086105  2086505  2086618  2087286  2087477  2087590  2089711  2090164  2090820  2090968  2091426  2091602  2094611  2094838  2104152  2105148  2150236  2150610  2150739  2150875  2151004  2151204  2151652  2151782  2152273  2152714  2160627  2161395  2161523  2161637  2161913  2162110  2162331  2162486  2162822  2162972  2163129  2163266  2163486  2164037  2164301, 2096256  2107405  2119801  2124023  2142837, 2096958  2107990  2120241  2124482  2143372, 2076055  2077229  2081334  2083840  2087127  2089327  2091777  2094004  2103802  2126143  2149811, 2076329  2080365  2081733  2087017  2087747  2091635  2091932  2094935  2105445  2126974  2164470, 2076426, 2076427, 2076428, 2148094, 2148105, 2148117, 2148268, 2148285, 2148296, R, 2149833, , 2164472, 0, 0, 0, 0, 0, 2164489, 2164492, L1:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2149846
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2170734  2170856  2171010  2171268, 2165355  2168335  2168962  2174547  2174697  2174888  2175011  2175748  2181713  2181854  2182031  2182207  2182371  2182541  2182695  2182961  2183073  2183508, 2170404  2170603, 2170445  2171160, 2165096  2165928  2168158  2168602  2173938, 2165374  2166253  2168343  2168977  2184010, 2164974, 2164975, 2164976, 2172461, 2172464, 2172469, 2172620, 2172630, 2172634, R, 2173946, , 2184016, 0, 0, 0, 0, 0, 2184058, 2184067, L1:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2173952
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2189825  2189950  2190061  2190174  2190315  2193186  2193311  2193423  2193605  2193722  2194073  2195618  2195729  2195858  2195999, 2185515  2185747  2185864  2187928  2188040  2188284  2200172  2200285  2200406  2200734  2200850  2201623  2205000  2206710  2208737  2209655  2209799  2210033  2210240  2210385  2210615  2210747  2210885  2211002  2211418  2211530  2211836  2212003, 2189563  2193017  2195432, 2190324  2194116  2195957, 2185123  2186481  2187747  2199613, 2185965  2186536  2188235  2212054, 2184719, 2184719, 2184720, 2197187, 2197192, 2197198, 2197349, 2198231, 2198237, R, 2199624, , 2212062, 0, 0, 0, 0, 0, 2212118, 2212128, L1:R8, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2199631
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2219061  2219180  2219314  2219427  2232194  2232324  2232450  2232563  2232677  2232797  2234280  2234399, 2213487  2215655  2222540  2222662  2222804  2222981  2223101  2225921  2228507  2229012  2230118  2230507  2236923  2237058  2237182  2237307  2237433  2244112  2244280  2244387  2244552  2244711  2244892  2245076  2245578  2246070  2246211  2246393, 2218891  2231964  2234048, 2219501  2232747  2234432, 2212599  2213060  2215469  2217407  2222245  2225433  2228030  2236361, 2212840  2213690  2216292  2217650  2223136  2226507  2230520  2246510, 2212841, 2212842, 2212843, 2235185, 2235191, 2235199, 2235350, 2235380, 2235387, R, 2236377, , 2246520, 0, 0, 0, 0, 0, 2246581, 2246592, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2236384
