max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   187579   188115   188248   188391   188509   629289  1124086  1124247  1124361  1124466  1124585  1124695  1124798  1124912  1125019  1125817  1286770  1286909  1287534  1287643  1298185  1298291  1298395  1298501  1298601  1298714  1298820  1298947  1299060  1299187  1299315  1299437  1299559  1299692  1299827  1299968  1300124  1300272  1300706  1300846  1300996  1301163  1301316  1301436  1301539  1301648  1301756  1301866  1301980  1302169  1306231  1306374  1306478  1306622  1325433  1325538, 1    24631    71035   102045   127141   179749   279598   565811  1125331  1125471  1126065  1287605  1290072  1290878  1291024  1291650  1291898  1292268  1292426  1292558  1292693  1292823  1292961  1293096  1293254  1293401  1294121  1294274  1294578  1294840  1294969  1295102  1295253  1295413, 1289864  1319866  1322261, 1295331  1320547  1323594, 1295337, 1295344, 1295351, 1297956  1302279  1305973  1325228, 1302248  1302313  1306822  1325678, 1327045, 1327214, 1327216, 1327367  1327368, 1327375, 1327376, 204, no_go, 1, 1, 0, 0, 0, 1342390, 1342395, 1342398, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1350453  1350560  1350716  1350822  1350947  1351163  1351409  1353309  1353410  1353567  1353681  1358237  1358426  1358538  1358737  1358856  1358979  1359138  1359326  1359506  1359611  1369009  1369126  1389203  1389371  1389493  1389604  1389776  1389885  1389986  1390133  1390260  1390408  1390518  1390777  1390885  1391014  1391140  1391244  1411773  1427897  1428076  1428186  1428327  1428471  1428586, , 1345843  1369946  1395494  1420795  1423821  1437544  1438432  1439729  1445771  1448827, 1346071  1370300  1396216  1421076  1424811  1437901  1438678  1441931  1446621  1453076, 1343590, 1343590, 1343591, 1350212  1353023  1357838  1368834  1388921  1389635  1391779  1411512  1417456  1427764, 1351444  1353784  1360995  1369174  1389598  1391257  1392049  1411841  1418060  1428597, 1447921, 1447933, 1447947, 1448098  1448111, 1448130, 1448143, , , 0, 0, 0, 0, 0, , 1453085, 1453087, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1448996, 1448997, 1453077, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1458476  1458582  1472407  1474597  1474709  1474843, , 1454809  1460877  1465394  1468853  1470702  1479020, 1456332  1462072  1465824  1470479  1470972  1484503, 1453596, 1453597, 1453598, 1458290  1472233  1474439, 1458626  1472438  1474908, 1476568, 1476572, 1476577, 1476728  1476732, 1477334, 1477339, , , 0, 0, 0, 0, 0, , 1484546, 1484553, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1479030, 1479036, 1484508, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1506876  1531153  1557715  1578018  1578126  1578281  1578456  1578577  1578715  1578818  1578936  1579094  1579245  1579440  1579589  1579711  1582845  1601198  1601317, , 1484650  1486255  1500806  1515567  1533848  1550633  1550672  1564274  1586004  1612140, 1484726  1486424  1502467  1516177  1535221  1550652  1551058  1565504  1586499  1616082, 1485122, 1485123, 1485124, 1506660  1523251  1523798  1530882  1557557  1573576  1577866  1579346  1582587  1600942  1604524, 1506902  1523587  1523970  1531182  1557828  1573881  1579201  1579695  1582957  1601392  1604767, 1605821, 1605830, 1605841, 1605992  1606002, 1608525, 1608536, , , 0, 0, 0, 0, 0, , 1616163, 1616176, L0:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1612162, 1612173, 1616094, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1627220  1627332  1633684  1668682  1668861  1686140  1686333  1686467, , 1618456  1619150  1623040  1624561  1624632  1629109  1630917  1643300  1657198  1658563  1689894, 1619123  1621873  1623510  1624595  1625481  1629739  1631300  1643985  1657566  1659297  1694078, 1616974, 1616974, 1616975, 1627040  1633469  1668556  1685279  1685801, 1627448  1634530  1668881  1685488  1686444, 1688075, 1688081, 1688089, 1688240  1688247, 1688323, 1688330, , , 0, 0, 0, 0, 0, , 1694139, 1694148, L0:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1689910, 1689918, 1694087, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1708301  1708420, , 1696660  1698217  1701683  1703854  1705711  1710758  1715624, 1697015  1699472  1702621  1704571  1706749  1711832  1721452, 1694773, 1694774, 1694775, 1708111, 1708423, 1714001, 1714004, 1714010, 1714161  1714165, 1714509, 1714513, , , 0, 0, 0, 0, 0, , 1721489, 1721495, L0:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1715633, 1715638, 1721457, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1730235  1730342  1730690  1730804  1730913  1731031  1731264  1731388  1731537  1731874  1732002  1732110  1732329  1732431  1732546  1732730  1732857  1732959  1733073  1733200  1733689  1733796  1734340  1734552  1734683  1734825  1734928  1735098  1741210  1741341  1741444, , 1724295  1727259  1743798  1766596  1770696  1771108  1771276  1773257  1774312  1776437  1778050  1779682  1783516, 1725130  1727926  1745732  1767181  1770873  1771168  1771791  1774263  1774328  1778025  1778113  1780481  1787463, 1721959, 1721960, 1721961, 1730045  1730621  1735437  1740809, 1730590  1735218  1735535  1741474, 1781386  1782028, 1781395, 1781406, 1781557  1781567, 1781583  1782603, 1781594, , , 0, 0, 0, 0, 0, , 1787547, 1787559, L0:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1783538, 1783549, 1787474, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1791210  1791375  1791538  1791679  1791793  1791906  1792027  1792150  1792299  1792400  1792598  1792736  1799480  1799621  1852942  1868509  1868619  1868726  1868845  1868956  1869072  1869251  1869358  1869468  1869598  1869709  1869882  1870059  1870214  1870358  1870494  1870599  1870846, , 1787741  1787971  1796043  1801021  1819928  1824308  1831605  1856210  1858089  1860944  1862941  1864951  1873984  1876070, 1787825  1789295  1797326  1801981  1820319  1824763  1832262  1856553  1859038  1861555  1863673  1866380  1874673  1881123, 1789296, 1789297, 1789299, 1790951  1799339  1852623  1868343, 1792840  1799662  1853074  1870898, 1875243, 1875253, 1875264, 1875415  1875425, 1875442, 1875453, , , 0, 0, 0, 0, 0, , 1881208, 1881222, L0:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1876092, 1876104, 1881135, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1932339  1932470  1932579, , 1884812  1929344  1934096  1937489  1938605  1940633  1942859, 1885420  1930081  1936238  1937677  1939310  1941338  1947280, 1882071, 1882071, 1882072, 1932168, 1932565, 1941994, 1941997, 1942002, 1942153  1942157, 1942246, 1942250, , , 0, 0, 0, 0, 0, , 1947318, 1947324, L0:R8, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1942868, 1942874, 1947285, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1949762  1953024, 1950713  1957393, 1947999, 1947999, 1948000, , , 1952211, 1952212, 1952215, 1952366  1952368, 1952375, 1952377, , , 0, 0, 0, 0, 0, , 1957414, 1957419, L0:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1953028, 1953031, 1957396, 
