max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_well_all_on_ts, R_well_all_off_ts, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1  831419  831938, 827122, 827123, 827123, 934488  935878  936209  948387, 935052  936183  936270  948605, 943063, 943065, 943068, 943219  943221, 944171, 944174, L, 948393, 948398, 948609, 0, 0, 0, 0, 0, 948634, 948638, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1003372  1003523  1003723  1003847  1003980  1004116  1004242  1004382  1004510  1004640  1004777  1004889  1005032  1005171  1005306  1005447  1005604  1005761  1005932  1006077  1006318  1006464  1006619  1006874  1007357  1007467  1007604  1008819  1009004  1009116  1009326  1009441  1009565  1009719  1009824  1053575  1053710  1053824  1053931  1054042  1054181  1054286  1054616  1054776  1054915, 951427, 951429, 951430, 949766   951441   981013  1015290  1015914  1015986  1031697, 951427   958536   983707  1015518  1015927  1016022  1032833, 1058622, 1058631, 1058641, 1058792  1058802, 1059725, 1059735, , , , , 1, 1, 0, 0, 0, 1074825, 1074836, L1:R0, 100.00, 000(1)1, 000(1)1, 1003009  1012539  1053357, 1009912  1012671  1054888, 204, no_go, 1074810, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1084851  1084986  1085319  1085432  1085588, 1075313, 1075314, 1075315, 1142921, 1143752, 1145410  1145683, 1145412, 1145416, 1145567  1145570, 1145579  1146089, 1145582, R, 1148026, , 1148226, 0, 0, 0, 0, 0, 1148256, 1148261, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1084660  1085094  1148018, 1085054  1085626  1148222, , , , 1148030
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1148857  1148966  1149083  1149240  1149422  1149538  1149668  1149925  1150044  1150182  1150315  1150433  1150581  1150704  1150828  1150965  1151107  1151462  1151603  1151724  1151826  1151969  1152118  1152286  1152394  1152643  1153392  1153549  1153660  1153867  1154009  1154258  1154399  1154551  1154673  1154790  1154954  1155098  1155211  1155318  1155506  1155612  1157378  1157485  1157646  1157787  1162831  1162967  1174660  1174821  1174968  1175132  1175247  1175359  1175482  1175610  1175736  1175867  1176001  1176136  1176276  1176407  1176559  1176689  1176829  1176965  1177081  1177213  1177347  1177493  1177623  1177736  1177843  1177970  1178317  1178437  1178582  1178731  1178873  1179021  1179182  1179343  1179454  1179596, 1155618, 1155625, 1155632, 1191378  1195748  1199589, 1195712  1195865  1200000, 1202594  1202867  1202983, 1202608, 1202622, 1202792  1202793, 1202800  1202908  1203371, 1202801, R, 1204570, , 1204738, 0, 0, 0, 0, 0, 1204755, 1204759, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1148412  1148566  1157051  1174169  1183884  1204567, 1148547  1155607  1157878  1179814  1183921  1204736, , , , 1204573
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1204866  1205069  1205198  1205317  1205425  1205531  1205652  1205772  1205890  1206006  1206122  1206242  1206366  1206533  1206659  1206767  1206886  1206996  1207108  1207241  1207506  1207649  1207771  1207952  1208383  1208492  1208612  1208828  1209012  1209177, 1209302, 1209306, 1209311, 1220044, 1224788, 1216081, 1216087, 1216092, 1216243  1216248, 1216259, 1216264, L, 1220056, 1220062, 1224795, 0, 0, 0, 0, 0, 1224835, 1224843, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1204808, 1209297, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1225388, 1225389, 1225390, 1229624  1246064  1246134, 1230123  1246099  1247023, 1249668, 1249670, 1249673, 1249824  1249826, 1249835, 1249837, R, 1256207, , 1256419, 0, 0, 0, 0, 0, 1256442, 1256448, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1256201, 1256416, , , , 1256210
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1256505  1256769  1256930  1257036  1257144  1257261  1257381  1257497  1257611  1257735  1257856  1257977  1258099  1258235  1258384  1258499  1258635  1258744  1258851  1258979  1259203  1259359  1259504  1281751  1281886  1282015  1282138  1282280  1308610  1308730  1308857  1309083, 1259924, 1259928, 1259932, 1265683  1318744  1327983  1329565, 1266159  1319411  1328109  1331001, 1332570, 1332577, 1332586, 1332737  1332745, 1332759, 1332767, R, 1337308, , 1337484, 0, 0, 0, 0, 0, 1337542, 1337552, L2:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1256511  1259949  1281301  1281408  1308338  1337290, 1259921  1259973  1281349  1282341  1309184  1337475, , , , 1337317
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1361070  1441652  1441765  1441882  1441986  1442098  1442202  1442305  1442457  1442571  1442703  1442819  1442935  1443056  1443172  1443282  1443429  1443549  1443659  1443787  1443909  1444038  1444169  1444305  1444445  1444563  1444677  1444782  1444884  1444987  1445121  1445260  1445397  1445551  1445700  1445854  1446003  1446176  1446334  1446458  1446703  1446984  1447106  1447260  1447411  1447528  1447659  1447799  1447956  1448104  1448435  1448565  1448867, 1338093, 1338094, 1338095, 1382690  1402878  1406112  1408262  1408568  1409049  1420514  1423283  1423399  1424322  1425511  1428587  1428716  1429927  1432077  1433248, 1384427  1403498  1406832  1408494  1408847  1419132  1420859  1423369  1423459  1424379  1425640  1428602  1428889  1430018  1432090  1435325, 1439697, 1439704, 1439711, 1439862  1439869, 1439882, 1439889, R, 1441318, , 1449041, 0, 0, 0, 0, 0, 1449048, 1449050, L2:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1441304, 1449040, , , , 1441327
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1449564, 1449565, 1449565, , , 1451680, 1451681, 1451683, 1451834  1451835, 1451843, 1451845, R, 1452318, , 1452573, 0, 0, 0, 0, 0, 1452591, 1452595, L2:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1452314, 1452571, , , , 1452320
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1452639  1453006  1453126  1453268  1453522  1453628  1453960  1454067  1454237  1454405  1454511  1454633  1454770  1454900  1455033  1455165  1455293  1455422  1455561  1455703  1455849  1455997  1456189  1456300  1456454  1456604  1456948  1457091  1457800  1457940  1458071  1458247  1459392  1459904  1460087  1460215  1460363  1460469  1460660  1460788  1464933  1465036  1465142  1475401  1490570  1490702  1491017  1544700  1544843  1545132  1545237  1545456  1545571  1545697  1545820  1545935  1546050  1546175  1546302  1546437  1546554  1546692  1546815  1546962  1547104  1547246  1547749  1547852  1548637  1548784  1548992  1549321  1549438  1549582  1549720  1550048  1550178  1550296, 1460402, 1460407, 1460412, 1479529  1479896  1532831, 1479555  1480249  1534757, 1540350, 1540360, 1540370, 1540521  1540531, 1540546, 1540556, R, 1544420, , 1550416, 0, 0, 0, 0, 0, 1550425, 1550427, L2:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1452657  1460487  1464633  1475144  1490196  1544399, 1460397  1460823  1465320  1475385  1491218  1550415, , , , 1544430
