max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, L_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   373209   373967   374123   374685   383298   383695   915970   916089   916438   916593   916756   916889   960483   961102   966967   989633  1199541  1199654  1199770  1199903  1200015  1200129  1200244  1200358  1200487  1200601  1200721  1200837  1200953  1201074  1201193  1201327  1201449  1201572  1201697  1201830  1201961  1202126  1204504  1204632  1204756  1226842  1226962  1227199  1227334  1227448, 1   391442   391925  1214284  1214402  1214526  1214653  1214786  1219371  1219497  1240096  1240423  1240536  1240657  1240785  1245068, 382998  1199275  1226529, 383966  1204671  1227484, 387179  1236566, 387932  1236761, 390730  1213689  1239672, 391902  1219573  1245159, 1180432, 1180436, 1180439, 1236575, 1236585, 1236736  1236746, 1236771, R, 1239693, 1239704, 1245170, 0, 0, 0, 0, 0, 1245243, 1245255, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1266107  1266245  1266378  1266489  1266610  1266772  1306970  1307109  1307250  1311212  1311345, 1245429  1275437  1275610  1276286  1276836  1277059  1277199  1277331  1277516  1277865  1278794  1278922  1279045  1279191  1279315  1279610  1280424  1280613  1280759  1280894  1281506  1281643  1282095  1282349  1282485  1282617  1283357  1283506  1283616  1283776  1283918  1284049  1284422  1284723  1284868  1285347  1285719  1285860  1285970  1286125  1286281  1286802  1287085  1287221  1287352  1287473  1287638  1287787  1288253  1288849  1289058  1289204  1289575  1289702  1290174  1290717  1290852  1291056  1291195  1291347  1291512  1291645  1292334  1292526  1293021  1294926  1295147  1295285  1295427  1295616  1296433  1296613  1297314  1314353  1314615  1314735  1315230  1315451, 1265931  1306798  1310944, 1266785  1307417  1311521, 1319596  1320511  1321572, 1320333  1320617  1323297, 1275049  1278173  1285441  1288205  1294257  1295600  1297958  1313977  1327509, 1278080  1285423  1288190  1293096  1295548  1297266  1298169  1315558, 1246396, 1246397, 1246397, 1319597, 1319600, 1319751  1319753, 1320335, R, 1327515, , , 1, 0, 0, 0, 1, 1327556, 1327562, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1327549, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1334580  1334724  1334854  1335446  1337204  1337317  1337467  1337740  1337870  1338022  1338141  1338298  1338409  1338563  1338681  1339045  1339177  1339298  1339491  1339706  1339899  1340036  1340162  1340294  1340407  1340551  1340670  1340805  1340948  1341060  1341375  1341488  1341605  1341735  1341856  1341981  1342112  1352145  1352279  1352432  1352581  1352737  1352855  1352973  1353139  1353267  1353427  1353552  1353832  1354001  1354156  1354311  1354463  1354670  1354784  1354916  1355066  1355192  1358255  1358408  1358546  1358937  1359118  1359250  1359365  1359513  1361438  1361589  1362875  1362989  1363104  1363266  1363827  1364051  1364336  1364853  1364982  1365265  1365982  1366124  1366254  1366372  1366514  1367956  1368077  1368376  1369511  1369740  1370038  1370151  1370362  1370678  1370799  1370968  1371572  1371815  1372055  1372296  1372456  1372604  1372738  1372854  1372966  1373090  1373746  1373977  1374196  1374667  1374871  1375098  1375233  1387887  1388017  1388192  1388359  1388486  1388603  1389363  1389495  1389611  1389727  1390164  1390285  1390636  1390756  1391406  1391534  1391654  1425448  1425575  1425735  1425904  1426045  1426166  1426745  1426890  1427375  1427504  1434857  1434972  1435166  1435295  1435417  1435540  1435668  1435805  1437027  1441969  1444317, 1327955  1328256  1328435  1328619  1377824  1378202  1378343  1378450  1405121  1405601  1405736  1405863  1405989  1406129  1406953  1407349  1415966  1416146  1416573  1416797  1420934  1422715  1422987  1448361  1448484, 1334356  1337083  1338114  1341431  1364124  1364686  1369326  1387659  1390237  1390492  1425229  1434647  1444119, 1334972  1338087  1341408  1363814  1364320  1368326  1375347  1390224  1390311  1391675  1427443  1437046  1444336, 1450760, 1450923, 1377484  1404780  1415609  1420391  1422228  1447198  1455269, 1328559  1378423  1407288  1416787  1420971  1423156  1448504, 1328560, 1328561, 1328562, 1450761, 1450763, 1450914  1450916, 1450925, R, 1455273, , , 1, 0, 0, 0, 1, 1455304, 1455308, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1455297, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1455679  1455978  1456246, , , 1459348  1459871  1460628  1460653  1460698  1461227  1462824, 1459572  1460619  1460641  1460688  1460954  1461488  1462865, 1464865, 1456331, 1456332, 1456333, 1456334, 1459349, 1459352, 1459503  1459505, 1459574, R, 1464875, , , 1, 0, 0, 0, 1, 1464927, 1464933, L0:R4, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1464918, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1465245  1465528  1468297  1469236  1469369  1469500  1470247  1470363  1470607  1471556  1471737  1472471  1472599  1473410  1473602  1473737  1473876  1474013  1476294  1477818  1477940  1478077  1478734  1478853  1478965  1479908  1480041  1480170  1480342, , , 1482616, 1482795, 1467683  1484678, 1465701  1480291, 1465702, 1465703, 1465704, 1482621, 1482627, 1482778  1482783, 1482800, R, 1484689, , , 1, 0, 0, 0, 1, 1484751, 1484759, L0:R5, 20.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1484741, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1494855  1495052  1495259  1495369  1495534  1496158  1496294  1496430  1496552  1497089  1497206  1513838  1513977  1514096  1514223  1514335  1514475  1514618  1514763  1515220  1517123  1517252  1517368  1517788  1517905  1518017  1518132, 1484978  1485448  1501527  1501732  1537136  1537984  1540720, 1494600  1496751  1513735  1516915, 1496698  1496832  1515149  1518240, 1549636  1551036  1551655  1551746  1563072  1563222, 1549831  1551222  1551672  1551773  1563198  1563616, 1501131  1505564  1519984  1534589  1536882  1539564  1539954, 1485987  1501805  1505848  1520336  1534857  1538040  1539819  1540857, 1485987, 1485989, 1485990, 1549644, 1549655, 1549806  1549815, 1549840, , , , , 1, 1, 0, 0, 0, 1564939, 1564952, L0:R5, 20.00, 000(1)1, 000(1)1, 204, no_go, 1564924, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1566978  1567100  1567251  1567376  1571134  1571265  1571382  1571740  1579906  1588260, 1573458  1573565, 1566737  1570959  1579712, 1567362  1571398  1579939, 1589705, 1589878, 1572803  1591602, 1573568, 1565486, 1565486, 1565487, 1589708, 1589713, 1589864  1589868, 1589882, R, 1591611, , , 1, 0, 0, 0, 1, 1591662, 1591669, L0:R6, 16.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1591654, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1602584  1604531  1604645  1605374  1606050, 1592035  1592142, 1602414  1604289  1604691, 1602534  1604672  1604717, 1612144  1613097  1613383  1614029  1614173  1619475, 1613077  1613327  1613903  1614089  1615239  1619576, 1622252, 1592204, 1592205, 1592206, 1592207, 1612147, 1612151, 1612301  1612304, 1613081, R, 1622263, , , 1, 0, 0, 0, 1, 1622325, 1622333, L0:R7, 14.29, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1622316, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1635501  1635612  1635750  1635910  1636590  1636722  1636859  1637279  1637747  1637859  1637988  1638107  1638353  1638486  1638606  1638795  1638931  1640862  1640976  1641963  1642074  1642185  1643604  1643879  1644039  1644163  1644346  1645148  1645259  1645395  1646124  1646942  1648117  1648233  1648394  1648694  1648816  1648953  1649075  1649230  1649591  1687837  1687953  1688080  1688213  1688331  1688505  1688619  1688735  1688856  1688969  1689086  1689310  1689422  1689541  1689653  1689776  1689896  1690024  1690141  1690262  1690377  1690543  1690801  1690911  1691036  1691197  1700643  1700791  1700970  1701670  1701790  1701968  1702093  1702213  1702393  1702673  1702787  1702903  1703032  1704230  1704344  1704479  1705022  1705147  1705280  1705402  1705786  1705918  1706030  1706820  1706966  1707090  1707247  1707409  1707790  1707921  1708033, 1622530  1623240  1624984  1625584  1625717  1625963  1626304  1629522  1656391, 1635324  1636421  1643771  1644010  1644144  1647994  1687588, 1635974  1643621  1643836  1644022  1646157  1648991  1708506, 1681981  1684235  1684317  1684450, 1682178  1684256  1684432  1684682, 1628758  1629617  1656099, 1626253  1629594  1629646  1656339, 1626254, 1626256, 1626257, 1681991, 1682001, 1682152  1682162, 1682188, L, 1687613, , 1708512, 0, 0, 0, 0, 0, 1708550, 1708557, L1:R7, 25.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 1687625
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1708650  1708874  1709426  1710625  1710813  1711206  1711342  1711463  1711581  1711706  1711820  1712188  1712324  1712485  1712596  1712989  1713235  1713972  1714086  1714746  1714872  1714989  1715134  1715301  1715751  1715867  1716013  1716694  1717727  1717843  1718234  1718376  1718513  1719047  1719313  1719450  1719993  1720142  1720256  1721198  1721330  1722400  1722546  1723235  1723374  1723584  1723711  1723834  1723967  1724121  1724246  1724719  1724853  1724972  1725172  1725284  1726477  1741598  1741769  1741882  1742002  1742117  1742230  1742348  1742579  1742710  1742838  1746365  1746495  1746721  1746949  1747063  1747180  1747310  1747432  1748082  1748265  1748402  1748519  1748659  1748793  1769591  1769787  1769910  1770062  1770194  1770333  1770525  1770638  1770754  1771495  1771609  1771735  1771846  1772268  1772392  1772511  1772648  1772762  1772995  1773191  1773358  1773473  1773586  1773811  1773931  1774113  1774366  1789582, 1728558  1728736  1734978  1751931  1752397  1753010  1755066  1781499, 1708766  1709209  1710535  1713815  1718070  1718108  1718215  1718279  1722109  1724365  1724983  1725350  1741379  1746164  1748391  1769416  1770673  1771388  1773064  1773182  1789259, 1708890  1709536  1712975  1717966  1718084  1718200  1718248  1721311  1724220  1724390  1725313  1725420  1742813  1748361  1748942  1770660  1770692  1773010  1773102  1773854, 1784082  1784312, 1784284  1786083, 1728271  1729565  1734621  1750752  1754456  1754701  1755318  1780864, 1729422  1729692  1735236  1753003  1754676  1755307  1755387  1781666, 1709119, 1709120, 1709122, 1784092, 1784103, 1784254  1784265, 1784295, L, 1789283, , , 1, 0, 0, 0, 1, 1789400, 1789413, L2:R7, 22.22, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1789383, 
