max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   333703   333832   333974   334091   334232   347504   347662   347920   348059   348182   348294   348424   887804   887964   888082   888196   888318   888946   889134   889454  1184900  1185004  1185110  1185215  1185319  1185429  1185534  1185640  1185745  1185873  1185987  1186107  1186227  1186345  1186466  1186594  1186726  1186829  1187119  1188307  1188435  1188578  1188690  1188807  1227494  1227601  1227720  1227823  1227963  1228066  1228234  1228360  1228468  1229033  1229144  1229252  1229435  1229708, 1, 346422  1184726  1227392  1229473, 348488  1188828  1229425  1229642, 352061  1243000  1243261  1243387, 352902  1243205  1243352  1244246, 355833  1167190  1180372  1212903  1214144  1214967  1247510, 356686  1174178  1181248  1214067  1214289  1216459  1255020, 1174182, 1174187, 1174191, 1243012, 1243024, 1243175  1243187, 1243217, R, 1247536, 1247549, 1255189, 0, 0, 0, 0, 0, 1255195, 1255196, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1264951  1270604  1270713  1270870  1270998  1271144  1271263  1271416  1271524  1271767  1272001  1272105  1272310  1301397  1301528  1301670  1302153  1333094  1333219  1333320  1333427  1333531  1333643  1333746  1333925  1334036  1334141  1334250  1334361  1334496  1334625  1334757  1335016  1338137  1338295  1340285  1340405  1340525  1340631  1341382  1341532  1341633  1341745  1341881  1342043  1342270  1342389  1342508  1342956  1343080  1343213  1343343  1343553  1343688, , 1264757  1270350  1271837  1301167  1301534  1332902, 1265012  1271754  1272266  1301508  1301636  1343676, 1325113, 1325500, 1255219  1267243  1282371  1283668  1284476  1317069, 1255439  1267361  1283572  1283995  1284799  1318093, 1256486, 1256487, 1256488, 1325119, 1325127, 1325278  1325285, 1325507, L, 1332918, , 1343700, 0, 0, 0, 0, 0, 1343776, 1343790, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1332925, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1345459  1345562  1345681  1373234  1397857  1397971  1398120  1398251  1398356, , 1345190  1372957  1372979  1397671  1430854, 1345651  1372971  1373339  1398353, 1424998  1425911, 1425175  1426951, 1366816  1395331  1401832  1401894, 1367271  1395596  1401863  1402514, 1344506, 1344507, 1344508, 1425002, 1425008, 1425159  1425164, 1425180, L, 1430866, , , 1, 0, 0, 0, 1, 1430929, 1430937, L2:R1, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1430920
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1431106  1431221  1431361  1431666  1431849  1432056  1432351  1432524  1432694  1432815  1432920  1433034  1433468  1468872  1468989  1469103  1469205  1469309  1469434  1469554  1469669  1469784  1469902  1470021  1470140  1470268  1470388  1470553  1473802  1473938  1474086  1474705  1474846  1474966  1475089  1475207  1475329  1475487  1475619, , 1431468  1468553, 1431433  1433544  1475809, 1466338  1466522, 1466509  1467204, , , 1433546, 1433549, 1433552, 1466341, 1466345, 1466496  1466499, 1466512, L, 1468561, , 1475816, 0, 0, 0, 0, 0, 1475866, 1475874, L3:R1, 75.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1468566, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1475995  1476512  1476739  1479988  1480095  1480243  1496492  1496594  1498290  1498847  1499118  1514136  1514238  1514343  1514457  1514561  1514669  1514778  1514881  1514991  1515110  1515225  1515339  1515479  1515660  1515792  1518569  1518678  1518827  1520842  1520969  1521103  1521264  1521401  1521538  1521646  1521808  1522722  1522854, , 1476376  1479763  1496253  1498200  1498641  1498761  1499091  1499402  1499569  1499886  1500624  1501064  1513843, 1476794  1480327  1496611  1498566  1498744  1498824  1499369  1499474  1499682  1499988  1500697  1501077  1522978, 1506945  1511626, 1507406  1512263, 1482640  1487245, 1482949  1487932, 1476795, 1476796, 1476798, 1506951, 1506959, 1507110  1507118, 1507414, L, 1513860, , 1522990, 0, 0, 0, 0, 0, 1523064, 1523077, L4:R1, 80.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1513868, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1535752  1535860  1535964  1536073, , 1535528  1545773, 1536016, 1540788  1544042, 1540958  1544802, 1531142  1531173, 1531161  1531901, 1523696, 1523696, 1523697, 1540790, 1540794, 1540945  1540948, 1540961, L, 1545780, , , 1, 0, 0, 0, 1, 1545823, 1545829, L5:R1, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1545816
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1546049  1546161  1546273  1546376  1546504  1547971  1548092  1548210  1554251  1554359  1554463  1554568  1554671  1554789  1554902  1555006  1555116  1555221  1555426  1555539  1555677  1555811  1555945  1556058  1556190  1558305  1558430  1558545  1560054  1560186  1560357  1560501  1560611  1560873  1560996, , 1547734  1554009, 1546469  1548283  1561049, 1549661  1549853  1550038, 1549831  1549944  1550173, , , 1546470, 1546471, 1546472, 1549663, 1549667, 1549817  1549820, 1549834, L, 1554017, , 1561056, 0, 0, 0, 0, 0, 1561105, 1561114, L6:R1, 71.43, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1554021, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1580023  1580132  1580236  1580475  1607738  1607844  1611416  1611572  1611677  1611906  1612399  1612618  1612793, , 1579819  1607494  1611218  1612102  1634453, 1580477  1607848  1611900  1612807, 1633261, 1633440, 1578309  1578468  1594983  1630840, 1578421  1578513  1595386  1630870, 1561664, 1561664, 1561665, 1633266, 1633272, 1633423  1633428, 1633446, L, 1634465, , , 1, 0, 0, 0, 1, 1634529, 1634537, L7:R1, 62.50, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1634520
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1634731  1634840  1634942  1635051  1635207  1635337  1657349  1657462  1658248  1662702  1662811  1662980  1663115  1663318, , 1657092  1658053  1662449  1670400, 1635375  1657768  1658290  1663680, 1664637  1664886  1664989  1669016, 1664840  1664945  1665204  1669181, 1651855  1653355  1653413, 1652224  1653389  1653502, 1635376, 1635378, 1635379, 1664642, 1664648, 1664799  1664804, 1664845, L, 1670413, , , 1, 0, 0, 0, 1, 1670483, 1670493, L8:R1, 55.56, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1670473
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1670639  1670756  1670927  1671034, , 1676145, 1671151, 1672161, 1673872, , , 1671152, 1671153, 1671155, 1672162, 1672165, 1672316  1672318, 1673874, L, 1676150, , , 1, 0, 0, 0, 1, 1676183, 1676187, L9:R1, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1676176
