max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  591979  592202  592309  699469  699593  699708  699833  699952  700064  700176  700294  700417  700539  700669  700807  700943  701088  701224  701369  701511  701662  701803  701969  702124  708214  708342  708485  708657  709813  709931  710402  712984  713113  713243  713367  713488  713597  739069  739196  739304  739433  739568, 1  723500  723663  723789  723911  724033  724161  724289  724419  724551  724687  724832  726208  726815  726925  727045  727191  727316  727926  728194  728308  728418  728550  728695  728846  728991  729169  729907  730152  730319  730483  730952  755936  756049  775705  776000  776164  776284  776400  776522  776647  776920  777058  777414  777802  777918  778018  778170  778324  778478  779314  779418  779629  779760  779902  780042  780273  780471  780911  781010  781191  781793  781895  782082  782790  782965  783258  783363  783769  785309  785443  785549  785698  785871  786031  786216, 699192  709500  712665  738780  741673, 708672  710386  713581  739618  741767, 708676, 708680, 708684, 723010  755517  775126, 731068  756765  787076, 772810, 772822, 772835, 772985  772998, 773347, 773359, R, 775150, 775163, 787080, 0, 0, 0, 0, 0, 787109, 787115, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 802632  802747  803020  803767  803949  804066  804198  804321  804633  804779  804897  805033  805598  806275  806461  806799  806969  807104  807233  807352  807506  807632  807739  809488  809608  809740  811388  811495  811602  811953, 787186  837090  837228  838072  849476  849579  849798  849925  850118  850237  850356  850484  850620  850756  850894  851065  851216  851340  851819  851920  852036  852192  852556  852672  852884  853277  853385  853522  853828  854553, 799822  802493  803588  803818, 799950  802829  803779  811925, 788664, 788665, 788666, 836572  849038, 838054  854571, 847073, 847079, 847086, 847237  847243, 847256, 847263, R, 849052, 849059, 854581, 0, 0, 0, 0, 0, 854647, 854659, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 857995  858110  858240  858394  859620  873473  873587  873796  873901  874044  874429, 881724  882143  882267  882384  882505  882623  882748  882883  883023  883166  883309  883456  883607  883761  883904  884058  884204  884366  884663  885810  886096  886259  886437, 857822  859470  873070  873322, 858354  859583  873235  874512, 855248, 855249, 855250, 881253, 886499, 877776, 877779, 877785, 877935  877939, 878876, 878880, R, 881261, 881266, 886506, 0, 0, 0, 0, 0, 886553, 886561, L0:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 919699  919871  920636, 887386  887532  888130  888282  888384  888491  888624  889066  890068  890180  890391  890535  890707  890864  891034  891171  891373  892055  892289  892958  893109  893454  896253  896377  896506  896648  896790  896950  897123  897549  928161  928340  928456  928572  928693  928811  928936  929062  929196  929332  929467  930385  930505  930643  930790  931066, 919375, 920605, 897693, 897697, 897701, 886966  927557, 897689  931295, 924601, 924606, 924612, 924763  924768, 925935, 925941, R, 927569, 927576, 931303, 0, 0, 0, 0, 0, 931356, 931365, L0:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1011755  1011859  1012096  1013566  1013683, 935622   935894   936286   936514   936629   936780   936912   937047   937489   937613   937880   937980   941967   942078   942192   943331   943591   943721   943897   944030   944509   944645   947553   948671   963454   964017   972569   972841   973253   987252   987382   987586   988516   989092  1030673  1030881  1031070  1031189  1031298  1031414  1031553  1031783  1031914  1032043  1033043  1033336  1034131  1034625  1034783  1034952  1036105  1036389  1037026  1037272  1038520, 1011494, 1013716, 931919, 931919, 931920, 931927   935311   941677   947181   953316   963063   972310   977512   986966   988077  1030013, 932021   938073   944660   948976   953555   964035   973364   977640   987890   989182  1038545, 1027055, 1027063, 1027074, 1027225  1027234, 1028316, 1028325, R, 1030033, 1030043, 1038558, 0, 0, 0, 0, 0, 1038792, 1038793, L0:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1097615  1097929  1098063  1101933  1102100  1102279  1105348  1105492  1105614  1106480  1107401  1117090  1117207  1117321  1118107  1118498  1118667  1119036  1119175  1120874  1122165  1122370, 1048901  1049051  1049357  1049512  1050044  1050449  1129927  1160833  1162799  1190896  1191316  1207902  1208077  1208346  1208468  1208584  1208700  1208824  1208954  1209086  1209214  1209732  1210665  1210861  1211017  1211167  1212576  1212732  1213143  1213347  1213476  1213827, 1097554  1101632  1105186  1116749  1118287  1118371  1119349  1119654  1120531  1120651  1123424, 1097986  1102295  1107390  1117481  1118336  1119273  1119628  1120343  1120568  1123213  1123658, 1039234, 1039235, 1039236, 1048538  1081048  1129590  1160619  1161775  1162182  1190215  1190464  1207441, 1050639  1081214  1130316  1161094  1162013  1162266  1190303  1191293  1213869, 1204733, 1204745, 1204757, 1204907  1204918, 1204935, 1204946, R, 1207465, 1207478, 1213871, 0, 0, 0, 0, 0, 1213884, 1213887, L0:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1219165  1219272  1219384  1219685, , , 1214415, 1214416, 1214417, 1218902  1219827  1224183  1226472  1227754  1234342, 1219688  1219895  1224412  1227715  1228025, 1231270, 1231273, 1231277, 1231429  1231432, 1232937, 1232941, R, 1234350, , , 1, 0, 0, 0, 1, 1234396, 1234402, L0:R7, 85.71, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1234388
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1268504  1268609, 1289762, 1268419, 1268576, 1235152, 1235153, 1235154, 1236246  1289366  1326463, 1235152  1236537  1291153, 1324336, 1324338, 1324342, 1324493  1324496, 1324546, 1324549, R, 1326470, , , 1, 0, 0, 0, 1, 1326511, 1326516, L0:R8, 75.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1326503
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1326987, , , 1327040, 1327042, 1327043, 1397595, 1327040, 1389802, 1389803, 1389805, 1389956  1389958, 1394924, 1394927, R, 1397599, , , 1, 0, 0, 0, 1, 1397629, 1397633, L0:R9, 66.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1397623
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1398000  1398149, , , 1398451, 1398452, 1398453, 1406250, 1398450  1406325, 1411219  1416342  1417165  1417776  1419205  1419350  1420514  1420652  1421730  1423130  1429992, 1411220, 1411223, 1411374  1411376, 1415980  1417105  1417619  1417900  1419224  1420476  1420566  1421650  1422877  1423355  1430158, 1415982, , , , , 1, 1, 0, 0, 0, 1431039, 1431047, L0:R9, 66.67, 000(1)1, 000(1)1, 204, no_go, 1431029
