max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    41279   342677   343112   343219   343358   343569   344028   344812   345189   345307   367328   372121  1842356  1959134  1959245  1959353  1959459  1959566  1959677  1959791  1959909  1960028  1960144  1960263  1960386  1960512  1960638  1960765  1960932  1961056  1961208  1961318  1961425  1961600  1961716  1961864  1962009  1962156  1962308  1962600  1962756  1962905  1963060  1964141  1964262  1964465  1965078  1965192  1965340  1965494  1965669  1965807  1966025  1966279  1966772  1967442  1997552  1997697  1998541  1998646  1999635  1999805  2000189  2000328  2000440  2001138  2001365  2002711  2002843  2002997  2003283  2004343  2004456  2004641  2005982  2006122  2006675  2006785  2009387  2009544  2009731  2010088  2010425  2010543  2011622  2011814  2011994  2012109  2012331  2012460  2014234  2015729  2015897  2016363  2016861  2017036  2017574  2018091  2026163  2026423  2026543  2027231  2027391  2028681  2029341  2030796  2031169  2031300  2031528  2031634  2032093  2032236  2032951  2033058  2033411  2033516  2033662  2034149  2034278  2034469  2034642  2034777  2035285  2035409  2035570  2035739  2035880  2036438  2036569  2037209  2037372  2037695  2037941  2038056  2038460  2038663  2038774  2039423  2039532  2040072  2040867  2041260  2042767  2042902  2043303  2043575  2043707  2043881  2044191  2044455  2045033  2046052  2046186  2046321  2046476  2049029  2049168  2049345  2049704  2049824  2050783  2050934  2051323  2051778  2051936  2052290  2052456  2052600  2052717  2052856  2053029  2054055, 1    47839   344254   344358   344721   345183   345295   345411   345522   345631   345753   348028   348143   367437   372635   372749   374512   374921   379106  1843051  1843331  1977737  1977850  1977969  1978080  1978191  1978304  1978421  1978536  1978655  1978769  1978888  1979013  1979139  1979249  1979521  1979652  1979767  1979937  1980085  1980231  1980384  1980535  1980690  1980847  1981010  1981169  1981304  1981477  1981588  1981786  1981923  1982107  1982909  1983614  1983717  1983825  1983961  1984102  1984220  1984844  1984982  1985090  1985210  1985350  1985497  1985611  1986983  1987087  1987189  1987724  1987832  1989175  1990188  2059724  2059854  2059988  2060094  2060349  2060467  2060596  2060799  2060990  2061403, 36913   367138  1958836  1967085  1997268  2017892  2018303  2019193  2020611  2021953  2022414  2023387  2025949, 41249   372092  1966713  1967454  2017499  2018034  2018884  2020141  2021934  2021972  2022928  2024276  2054037, 43901   374771  1977170  1977356  1982700  1982742  2059426, 47830   379084  1977316  1982198  1982728  1990147  2061388, 1966724, 1966735, 1966745, 2077691, 2077701, 2077713, 2077864  2077875, 2078171, 2078182, 204, no_go, 1, 1, 0, 0, 0, 2093267, 2093282, 2093296, L0:R0, 0.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2129144  2129270  2129376  2129481  2129582  2129689  2129827  2129937  2130054  2130166  2130278  2130397  2130519  2130641  2130768  2130896  2131028  2131159  2131296  2131420  2131551  2131682  2131823  2131958  2132103  2132242  2132827  2132934  2133073  2133218  2133384  2133531  2133651  2133761  2133877, 2102512  2107162, 2102768  2107236, 2128960, 2134018, 2094662, 2094663, 2094664, 2113264  2115292, 2113265, 2113268, 2113419  2113421, 2114272  2116406, 2114274, , , 0, 0, 0, 0, 0, , 2134073, 2134082, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2128967, 2128970, 2134025
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2178918  2179614  2180039  2180626  2180852  2180962  2181860  2183731  2184896  2185363  2185469  2185639  2186087  2186249  2186385  2187763  2187893  2188341  2188481  2189161  2189459  2190686  2191293  2191459  2191678  2192483  2192650  2192762  2196160  2196315  2196502  2197364  2197755  2197961  2198466  2198582  2198855  2199017  2199262  2200092  2201076  2201205  2201787  2201899  2204678  2205150  2205721  2205849  2205997  2206110  2207612  2208546  2208669  2211289  2211402  2211732  2212366  2214355  2214755  2216214  2216396  2217547  2217714  2218214  2218366  2218484  2219345  2219777  2219896  2220009  2220914  2221141  2221872  2222118  2222587  2222998  2223184  2224268  2225130  2225380  2225510  2225821  2225935  2226045  2226179  2227455  2227626  2229191  2229349  2229513  2229976  2230107  2230351  2230650  2230793  2231326  2231460  2231666  2234403  2234542  2235872  2236001  2237341  2237466  2238454, 2134686  2135318  2135432  2135548  2135676  2135836  2135988  2136143  2136295  2136450  2136900, 2176699  2178390  2200798  2224749  2224927  2233215, 2176816  2200167  2224702  2224874  2231675  2238469, 2134199  2134350  2136598  2247506, 2134324  2136588  2136963, 2136590, 2136593, 2136595, 2244608, 2244612, 2244617, 2244768  2244773, 2244783, 2244788, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 2247565, 2247574, 2247582, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 2247516, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2247774  2247946  2248334  2255987  2257420, , , 2255266  2256393  2257351  2268261, 2248330  2256385  2256440  2257359, 2248331, 2248332, 2248333, 2266457, 2266459, 2266463, 2266614  2266617, 2266649, 2266652, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 2268304, 2268311, 2268318, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 2268268, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2268503  2268631  2268752  2268924  2269039  2269226  2269348  2269452  2269622  2269952  2270080  2270589  2270717  2271156  2271368  2271473  2271717  2272176  2272772  2272881  2272988  2273099  2273310  2273424, , , 2286250, 2273576, 2273579, 2273583, 2273586, 2283140  2283772, 2283144, 2283149, 2283299  2283303, 2283603  2284429, 2283608, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 2286308, 2286317, 2286325, L0:R4, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 2286260, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2320967  2321639  2323445  2330620  2333870  2334903  2336103  2336821, 2286526  2286631  2286833  2286975  2287092  2287218  2287347  2287455  2287765  2287877  2287979  2288242  2371509  2371668  2371851  2372086  2372193  2390079  2390430  2390656  2390785  2390952  2391068  2632313  2632418  2632562  2633052  2633425  2633541  2634311  2634452  2634564  2635153  2635425  2635619  2636047  2636833  2637130  2637912, 2306242  2307013  2307673  2308838  2320572  2329503  2410837  2410917  2411400  2439420, 2306949  2307178  2308769  2309319  2324587  2336902  2410899  2411322  2411820  2439640, 2371130  2384890  2389633  2391356  2391650  2625708  2626125  2626401  2628452  2632152  2632406  2632791  2637625  2639211  2642791, 2288495  2372205  2385707  2391233  2391589  2391664  2625896  2626384  2628436  2628469  2632185  2632632  2637539  2639186  2639257  2642905, 2288497, 2288499, 2288501, 2653832  2654862, 2653833, 2653836, 2653987  2653989, 2654058  2660338, 2654060, 204, no_go, 1, 1, 0, 0, 0, 2669084, 2669090, 2669095, L0:R4, 25.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 2669609, 2669609, 2669610, 2679287, 2679288, 2679290, 2679441  2679442, 2680779, 2680781, 204, no_go, 1, 1, 0, 0, 0, 2695798, 2695803, 2695807, L0:R4, 25.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2756101  2757639  2758308  2759248  2759599  2760593  2762046  2763476  2764738  2766973  2768524  2768645  2770083  2770193  2771097  2771713  2781649  2782481  2784695  2790883  2791099  2792735, , 2754324  2754433  2771960  2780506  2789290, 2754340  2771818  2772033  2788507  2799424, , , 2696203, 2696204, 2696205, 2821241  2821438  2822155, 2821246, 2821252, 2821403  2821408, 2821420  2821716  2826774, 2821426, 204, no_go, 1, 1, 0, 0, 0, 2836477, 2836487, 2836495, L0:R4, 25.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 2836977, 2836977, 2836978, 2854941, 2854942, 2854944, 2855095  2855096, 2855104, 2855106, 204, no_go, 1, 1, 0, 0, 0, 2870122, 2870128, 2870132, L0:R4, 25.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 2870549, 2870550, 2870550, 2886740  2888669, 2886741, 2886743, 2886895  2886896, 2886960  2890007, 2886962, 204, no_go, 1, 1, 0, 0, 0, 2901981, 2901986, 2901990, L0:R4, 25.00, 000(1)1, 000(1)1, , , , 
