max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   363254   363370   363486   363598   363820   364038   371877   372105   372245   372493   372798  5068315  5068429  5155479  5155603  5155726  5155903  5156015  5156212  5156411  5156537  5156803  5157009  5157161  5157281  5157428  5157555  5158737  5158951  5159182  5159375  5159570  5159739  5159872  5159999  5160135  5160253  5160895  5161059  5161222  5161382  5161549  5161671  5161797  5162305, 1, 371079  5068093  5154968  5155234, 372777  5068391  5155078  5161857, 376024  5171397  5171740, 376794  5171590  5172653, 379798, 381143, 5046151, 5046154, 5046157, 5171405, 5171415, 5171566  5171574, 5171599, 204, no_go, 1, 1, 0, 0, 0, 5186670, 5186682, 5186694, L0:R0, 0.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5189209  5189374  5189533  5189675  5189826  5189949  5190131  5190267  5190473  5190746  5190879  5191038  5191225  5191384  5191546  5191726  5191926  5192123  5192306  5192440  5195973  5230704  5230880, , 5189123  5195891  5230732  5273496, 5192437  5196002  5230848, 5269411, 5269590, 5218341, 5218363, 5187654, 5187655, 5187655, 5269416, 5269423, 5269573  5269578, 5269595, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 5273562, 5273571, 5273579, L1:R0, 0.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, L, 5273508, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5273701  5273816  5273981  5274200  5274619  5274774  5274957  5275129  5275305  5275485  5275796  5275913  5330882  5331031  5331149  5331272  5331662  5331818  5331975  5332086  5332230  5332424  5333470  5333654  5333830  5334016, , 5330590, 5275853  5334062, 5350579, 5350756, 5354057, 5354286, 5275855, 5275857, 5275859, 5350583, 5350589, 5350739  5350745, 5350761, , , 0, 0, 0, 0, 0, , 5354330, 5354337, L1:R1, 50.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 5354068, 5354074, 5354292
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5381451  5381566  5381689  5381804  5381931  5382056  5383999  5384164  5384295  5384425  5384602  5384804  5384955  5385088  5385230  5385346  5385549  5427270  5427427  5429157  5429319  5429449  5429574  5429701  5429939  5430064  5430183  5432449  5432602  5432849  5432978  5433147  5433260  5433395  5433510  5485884  5486001  5486151  5486399  5494599  5494756  5495008  5495119  5495266  5575615  5575759  5576888  5577250  5578222  5578617  5595310  5595638  5597355  5597499  5597644  5597756  5597953  5598083  5598203  5598396  5598801, 5355848  5356059  5356169  5356290  5356505  5356643  5356871  5357136  5357247  5357372  5361581  5361955  5362096  5362225  5362704  5364232  5367675  5367799  5367909  5374740  5375055  5375885  5400633  5401081  5401365  5401861  5402033  5402261  5402387  5447838  5448053  5448957  5463787  5585034  5585153  5585268  5589885  5590604, 5381262  5381476  5383819  5383917  5386243  5386318  5427133  5428861  5432084  5432245  5432333  5485523  5493886  5494290  5494921  5578582  5597142, 5381421  5382026  5383852  5385574  5386289  5386567  5427300  5430216  5432225  5432313  5433428  5486445  5493959  5494494  5495184  5578654  5598481, 5623521  5623925, 5623729  5624024, 5354437  5363867  5364109  5374382  5374434  5374617  5399564  5399745  5447460  5447626  5448973  5453296  5463464  5553418  5553719  5584668  5584703  5584736  5584845  5585127  5589131  5589202  5589484  5627805, 5363093  5364097  5367975  5374396  5374589  5375951  5399700  5403029  5447617  5448911  5449015  5454511  5463934  5553642  5554322  5584689  5584721  5584784  5585104  5585567  5589156  5589328  5590594, 5363095, 5363098, 5363101, 5623533, 5623546, 5623697  5623710, 5623742, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 5627817, 5627822, 5627825, L1:R2, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 5627806, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5637446  5638081  5659868  5660035  5706058, 5692450, 5637153  5637312  5659704, 5637252  5637393  5659915, 5710955, 5711132, 5628201  5662087  5662271  5691850  5692060  5698034  5713349, 5627896  5628786  5662239  5662558  5691943  5692755  5698192, 5628787, 5628788, 5628789, 5710960, 5710965, 5711116  5711121, 5711137, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 5713413, 5713423, 5713430, L1:R3, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 5713360, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5713991  5739447  5739559  5739672  5739894  5740008  5740122  5740231  5740349  5740470  5740723  5745288  5745451  5745617  5745750  5745916  5746083  5752491  5752615  5752770  5753232  5753828  5753988  5754131  5754987  5755684  5755851  5758637, , , 5735872, 5736039, 5713885  5723130  5723392  5738503, 5713836  5714311  5723380  5723760  5758672, 5714312, 5714313, 5714315, 5735874, 5735877, 5736028  5736030, 5736042, , , 0, 0, 0, 0, 0, , 5758724, 5758731, L1:R4, 40.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 5738509, 5738513, 5758680
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5761513  5761626  5761754  5763066  5763201  5763356  5766882  5767112  5768538  5768672  5769859  5770160, , , 5777453, 5777626, 5761058  5765773  5765989  5766042  5778785, 5763418  5765889  5766016  5770165, 5759222, 5759223, 5759224, 5777456, 5777461, 5777612  5777616, 5777630, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 5778837, 5778846, 5778852, L1:R5, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 5778794, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5859966  5860141  5860281  5860396  5860553  5861344  5861466  5861583  5907057  5907266  5907414  5907546  5907673  5907786  5907928  5910343, 5779069  5779693  5781198  5781367  5781502  5781624  5784457  5784593  5784727  5784843  5786016  5786738  5786850  5786992  5787802  5788743  5788880  5789009  5789140  5790528  5790662  5794908  5795024  5795175  5796080  5798910  5799054  5799229  5800853  5801265  5801574  5801939  5802055  5803883  5804391  5805104  5812823  5812948  5813301  5813512  5813640  5815818  5815949  5816118  5816288  5816459  5816595  5817563  5838660  5839207  5839420  5840651  5864501  5865730  5866962  5878876  5879099  5879694  5879934  5880073  5880219  5881912  5882567  5890664  5891035  5892625  5896255  5896536  5904289  5904512  5904635  5905552  5925775  5925999  5938117  5943992  5944167  5944313  5944422  5944538  5944667  5944787  5947204  5947339  5949152  5949264  5949371  5950629  5950857  5951024  5951700  5951873  5952119  5955178  5956014, 5859894  5860057  5861081  5906990  5908008  5910150  5910583  5910689  5910739  5911102, 5860046  5860999  5861666  5907864  5909522  5910535  5910624  5910706  5910812  5911316, 5941252, 5941457, 5778948  5785483  5785609  5791906  5792330  5792498  5792627  5792822  5792949  5793132  5793289  5793465  5793655  5796608  5798453  5800206  5806585  5806801  5812396  5812621  5838394  5864060  5864330  5869893  5875060  5876846  5878375  5890472  5895806  5896056  5903805  5925399  5927938  5928194  5937762  5943534, 5778941  5785433  5785597  5791794  5791917  5792437  5792537  5792711  5792888  5793049  5793249  5793406  5793598  5796483  5796631  5799215  5805447  5806697  5807088  5812474  5819321  5840756  5864144  5866939  5870252  5875564  5877309  5882612  5892826  5895916  5896623  5905580  5926108  5928123  5928463  5938471  5956035, 5785435, 5785437, 5785440, 5941265, 5941279, 5941449  5941450, 5941458, , , 0, 0, 0, 0, 0, , 5956066, 5956071, L1:R6, 42.86, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 5943536, 5943538, 5956039
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5965408  5965539  5965736  5965851  5965981  5966903  5967214  5967496, , , 5977187, 5977356, 5964946  5965138  5979231, 5965056  5967489, 5956709, 5956710, 5956710, 5977189, 5977193, 5977344  5977347, 5977359, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 5979272, 5979279, 5979285, L1:R7, 37.50, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 5979238, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5989285  5989410  5989528  5989688, 5979517  5979860  5986421, 5989098, 5989837, 5992208, 5992377, 5986094  5993907, 5980084  5986741, 5980085, 5980086, 5980087, 5992210, 5992214, 5992365  5992368, 5992380, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 5993949, 5993956, 5993961, L1:R8, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 5993914, , 
