max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   178050   178473   178620   178909   179295   934454   934712   935270   935693   935813   935923  1127359  1127469  1127592  1127705  1127812  1127919  1128051  1128158  1128269  1128387  1128515  1128624  1128845  1128962  1129067  1129183  1129294  1129404  1129546  1129665  1129827  1129979  1130140  1130308  1130436  1130953  1131102  1131274  1131384  1131495  1132001  1132142  1132261  1133012  1133257  1133562  1133684  1134136  1134260  1134401  1134598  1168804  1168916  1197145  1197262  1197454  1197562  1197672  1197789  1197906  1198016  1198125  1198231  1198345  1198461  1198596  1198730  1198856  1198980  1199114  1199251  1199390  1199539  1200096  1200203  1200336  1201180  1201319  1201437  1201556  1201701  1201829  1201936  1202108  1202215, 1   189829   189939   190181   935592   935698   935857   936053   936168   936284   936396   936892  1124759  1124886  1149856  1149960  1150062  1150172  1150311  1150522  1150623  1150841  1150954  1151076  1151190  1151302  1151532  1151667  1151788  1151913  1152048  1152181  1152316  1152462  1152606  1152754  1153330  1153503  1153857  1154023  1154267  1154488  1154737  1177909, 170985   172684   177708  1127138  1131668  1132320  1132796  1133105  1133879  1134027  1168526  1196870, 171071   172784   179318  1131520  1132277  1132545  1132959  1133647  1134009  1134646  1169008  1202605, 182490  1190268, 183293  1190724, 188608   189185   190648  1149596  1158642  1177427  1179398, 189010   190317   190795  1154823  1159007  1178108  1179726, 1131529, 1131538, 1131548, 1190274, 1190280, 1190431  1190436, 1190730, L, 1196882, 1196890, 1202615, 0, 0, 0, 0, 0, 1202680, 1202693, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1202850  1202960  1203149  1203399  1203508  1203644  1203829  1204063  1204193  1205780  1205921  1206514  1206643  1206843  1207074  1207209  1207342  1207563  1211468  1211608  1211774  1211888  1212116  1212267, 1262892  1263009  1263133  1263263  1263388  1263493  1263601  1263756  1264115  1264262  1264410  1264664  1264794  1264921  1265045  1265171  1265304  1265433  1265575  1265724  1265873  1266023  1266608  1266779  1267128  1267299  1267593  1267911  1268139  1268293  1268423  1268529  1268632  1268751  1268973  1269092  1269216  1269329  1269532  1269651  1269777  1269910  1270070  1270204  1270329  1270523  1270628  1270734  1270952  1271098  1271231  1271358  1271467  1271575  1271891  1272024  1272238  1272461  1272608  1272710  1273442  1273546  1273659  1273760  1273882  1273988  1274251  1274388  1274521  1274650  1274806  1274950  1275362  1275467  1275616  1275776  1276160  1276312  1276433  1276577  1276699  1276864  1277054  1277185  1277360  1277578  1277687  1277865  1278023, 1202856  1205043  1205206  1205369  1205518  1205824  1206105  1206420  1206573  1206756  1207975  1208475  1211151  1243790, 1205011  1205160  1205325  1205469  1205791  1205946  1206382  1206540  1206717  1207335  1208022  1208616  1212399  1243865, 1252716, 1253523, 1262696, 1278035, 1205013, 1205015, 1205017, 1252724, 1252733, 1252884  1252893, 1253532, R, 1262714, , 1278043, 0, 0, 0, 0, 0, 1278087, 1278095, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1262725, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1306143  1306258  1306377  1306504  1306640  1306813  1307003  1308083  1308264  1308422  1308583  1308707  1308834  1308997  1309249  1309366  1309608  1309725  1309857  1310417  1310523  1310631  1310800  1322223  1346827  1346941  1347065  1347225  1347376  1347505  1347612  1347753  1348024  1348257  1348380  1348504  1348623  1348757  1348907  1349360  1349477  1349584  1349734  1349989  1350094  1350201  1350321  1350429  1350548  1350656  1350774  1350949  1351223  1351332  1375898  1376034  1376164  1417098  1419390  1455949  1456863  1457113  1457277  1457554, 1278255  1278619  1278722  1278835  1278942  1279098  1279204  1279306  1279601  1279714  1279817  1279942  1280110  1280219  1280335  1280494  1280642  1280750  1281293  1281406  1281542  1281698  1281847  1281987  1282227  1282331  1282475  1282644  1282816  1282976  1283086  1283220  1283330  1283496  1283666  1283963  1284069  1284324  1284579  1284688  1284791  1284977  1285163  1285308  1285474  1285639  1285751  1286113  1286723  1286853  1286999  1287107  1287508  1287703  1287848  1288010  1288120  1288330  1288436  1288561  1288671  1288819  1289474  1289588  1289706  1289847  1290202  1290331  1290852  1290977  1291097  1291239  1291348  1291700  1291823  1292221  1292382  1292614  1292760  1294769  1294943  1295048  1295496  1295633  1295764  1295910  1296028  1296198  1296308  1296456  1296709  1297157  1297265  1297462  1333299  1333414  1333539  1333792  1333910  1334040  1334277  1334381  1334580  1334730  1334858  1334970  1335071  1335346  1335454  1335595  1335708  1335817  1335956  1336102  1336251  1336878  1336990  1337134  1337281  1337438  1337694  1337976  1338343  1338461  1338605  1338749  1338903  1339029  1354240  1354478  1354583  1354797  1354934  1355042  1355150  1355289  1355729  1355935  1356043  1356176  1356279  1356822  1356930  1357339  1357466  1357587  1357742  1359692  1359818  1359944  1363073  1363272  1387218  1404220  1407344  1407451  1407567  1407703  1407842  1408163  1408273  1408375  1408673  1408857  1408959  1409094  1409199  1409352  1409669  1409773  1409947  1410387  1410524  1410632  1410812  1423711  1423857  1423982  1425597  1426230, 1305531  1305732  1307869  1321932  1346112  1346663  1347883  1375620  1416711  1418916  1455509  1457220  1467898, 1305676  1306981  1310770  1322302  1346226  1347834  1351279  1376186  1417206  1419429  1455895  1457542, 1461358, 1462090, 1278209  1291965  1293513  1293696  1294067  1298800  1332844  1353739  1359425  1360053  1362826  1372115  1372174  1385913  1406976  1423366  1425315  1426046, 1291863  1292695  1293632  1294018  1297527  1299030  1339011  1357773  1359916  1360152  1363316  1372137  1372255  1386140  1410948  1423924  1425617  1426219, 1291872, 1291882, 1291891, 1461370, 1461385, 1461536  1461550, 1462104, L, 1467899, , , 1, 0, 0, 0, 1, 1467915, 1467917, L2:R1, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1467910
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1468954  1469112  1469339  1469455  1469593  1469710  1469828  1469978  1470117  1470254  1470362  1470472  1485265  1485373  1537764, 1474032  1474229  1474341  1474510  1474615  1474717  1475005  1475156  1475316  1475430  1475696  1475931  1476042  1476145  1476670  1476961  1477064  1477187  1479652  1479779  1489368  1489507  1526242  1526366, 1468698  1484866  1537320  1538455, 1468135  1470438  1485419  1537518  1538650, 1542203  1548991  1554656, 1542814  1550904  1554700, 1473770  1475682  1479445  1489105  1497999  1498122  1505923  1525999, 1475648  1477157  1479766  1489525  1498076  1498508  1506193  1526424, 1468636, 1468637, 1468638, 1542212, 1542223, 1542374  1542384, 1542824, , , , , 1, 1, 0, 0, 0, 1557921, 1557934, L2:R1, 66.67, 000(1)1, 000(1)1, , 204, no_go, 1557906
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1565755, 1566731, 1570548, , 1558438, 1558439, 1558440, 1565756, 1565758, 1565910  1565911, 1566733, R, 1570552, , , 1, 0, 0, 0, 1, 1570579, 1570583, L2:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1570574
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1578615  1578912  1584139  1584274  1584550  1584665  1635200  1635520  1635688  1635924  1636068  1636550  1636676, 1570819  1570984  1571107  1571961  1601087  1601200  1602255  1602378  1624742  1644654  1644776  1644893  1645059  1645164  1645266  1645373  1645504  1646139  1646262  1646384  1646522  1646647  1646776  1646910  1647051  1647271  1647907  1648035  1648143  1648288  1648442  1649022  1649124  1649242  1649438  1649552  1649708  1649954  1650069  1650215  1650394  1650674  1650837  1651049  1651161  1651291  1651411  1651524  1651818  1651955  1652064  1652183  1652336  1652493  1652653  1653242  1653389  1653574  1653746  1653958  1654068  1654539  1654688  1654795  1654898  1655043  1655214  1655704  1655844  1655988  1656095  1656252  1656858  1657012  1657153  1657264  1657643  1657750  1658189  1658330, 1578096  1584064  1584199  1584278  1619509  1620301  1635305, 1578855  1584086  1584218  1584727  1619660  1620494  1636752, 1639669, 1640642, 1571768  1572143  1600697  1601953  1602999  1624408  1625703  1644455, 1571328  1572119  1572410  1601189  1602305  1603186  1624788  1625857  1658428, 1571329, 1571330, 1571331, 1639677, 1639687, 1639838  1639846, 1640651, R, 1644474, , 1658433, 0, 0, 0, 0, 0, 1658465, 1658471, L2:R3, 60.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1644484, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1659418  1659546  1659661  1660019, 1665956, 1666223, 1668420  1672457, 1669274  1673073, 1659266  1675912, 1660018, 1659080, 1659080, 1659081, 1668422, 1668425, 1668576  1668578, 1669277, R, 1675919, , , 1, 0, 0, 0, 1, 1675959, 1675965, L2:R4, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1675952
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1676250  1676475  1676654  1676945  1679551  1679689  1694381  1694984  1710834  1710991  1711836  1727121  1727225  1727339  1727443  1727550  1727687  1728006  1728121  1728354  1728485  1728610  1728740  1728872  1729006  1729142  1729283  1729422  1729564  1729705  1729844  1729970  1730113  1730668  1730817  1730947  1731055  1731198  1731328  1731434  1731566  1731718  1731847  1731991  1732123  1732226  1732367  1732534  1732681  1732826  1732982  1733223  1733361  1733478  1733627  1733771  1733917  1734065  1734224  1734378  1734528  1734676  1734842  1734996  1735149  1735291  1735437  1735747  1735982  1736091  1736229  1736382  1736538  1736689  1736824  1736983  1737137  1737354  1737466  1737620  1737778  1737913  1738067  1738224  1738380  1738641  1739165  1739270  1739443  1740038  1740195  1740360  1740467  1740598  1741084  1741251  1741633  1741767  1741901  1742064  1742231  1742381  1742642  1742810  1742962  1743115  1743272  1743431  1743582  1743896  1744041  1744183  1744294  1744441  1744546  1744769  1744899  1745032  1746273  1746444  1746547  1747000  1747133  1747264  1747391  1747520  1747653  1747888  1748137  1748252  1748384  1748627  1748818  1749705  1749867  1750047  1750188  1750325  1750482  1750641  1750744  1751012  1751122  1751597  1751700  1751834  1752041  1752248  1752391  1752541  1752788  1753288  1753462  1753622  1753737  1753872  1753997  1754129  1754236  1754372  1754496  1754673  1755031  1755140  1755247  1755356  1755504  1755662  1755817  1755970  1756136  1756894  1757058  1757174  1757607  1757720  1757987  1758133  1758437  1758574  1758856  1759026  1759197  1759386  1760538  1760660  1760783  1760956  1761130  1761358  1761551  1761703  1761910  1762219  1762974  1763080  1763244  1763407  1763575  1763719  1765002  1765124  1765308  1765617  1765737  1765904  1766073  1766179  1766719  1766888  1767017  1767146  1767250  1767458  1768150  1768257  1768969  1769117  1769271  1769671  1769814  1770926  1771060  1771210  1771358  1771487  1772126  1772282  1772390  1773169  1773274  1773395  1773526  1774029  1774139  1774927  1775032  1775134  1775291  1775455  1775877  1776007, , , 1716017  1719406, 1716723  1720556, 1676672  1677517  1679269  1694011  1694761  1696443  1701858  1701910  1710610  1726937, 1676662  1676686  1677729  1679684  1694562  1694978  1696928  1701881  1701974  1711813  1776125, 1676663, 1676664, 1676665, 1716022, 1716029, 1716179  1716186, 1716729, R, 1726950, , 1776134, 0, 0, 0, 0, 0, 1776183, 1776192, L2:R5, 57.14, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1726957, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1795358  1811898, 1776312  1778376  1778574  1779209  1779314  1779442  1801250  1801413  1801593  1801717  1801825  1801958  1802094  1802223  1806012  1806129  1806268  1806414  1806548  1806865  1818865  1818973  1819176  1819347  1819480  1819610  1819808  1819935  1820053  1820311  1820424  1820557  1820684  1820813  1820949  1821097  1821236  1821368  1821505  1821649  1821786  1821923  1822057  1822184  1822325  1822466  1822605  1822770  1822877  1823039  1823186  1823322  1823463  1823601  1823765  1823908  1824044  1824191  1824351  1824512  1824648  1824785  1825060  1825208  1825342  1825492  1825639  1825800  1825941  1826094  1826255  1826409  1826561  1826731  1826910  1827053  1827200  1827347  1827676  1827831  1827975  1828127  1828277  1828424  1828574  1828722  1828867  1829024  1829268  1829374  1829515  1829660  1829805  1829949  1830103  1830260  1830368  1831152  1831273  1831401  1831569  1831856  1832180  1832290  1832738  1832847  1832974  1833111  1833263  1833411  1833683  1833853  1834112  1834264  1834400  1834515  1834677  1834928  1835039  1835271  1835468  1835630  1835756  1836140  1836593  1836726  1836852  1837428  1837562  1837730  1838162  1838322  1838742  1838849  1838973  1839187  1839337  1839486  1839639  1839788  1839942  1840635  1840916  1841456  1841590  1841694  1841804  1841968  1842139  1842878  1843039  1843208  1843367  1843482  1844414  1844520  1845201  1845608  1845715  1845942  1846085  1846234  1846393  1846643  1846747  1846884  1847045  1847409  1847511  1848293  1848457  1848694  1848796  1848991  1849171  1849310  1849455  1849835  1849944  1850319  1850875  1850991  1851222  1851572  1851721  1851832  1851961  1852111  1852274  1852786  1852953  1853208  1853677  1853825  1853964  1854126  1854332  1854469  1854586  1855062  1855228  1855389  1855495  1855622  1855760  1855910  1856069  1856959  1857682  1857819  1858007  1858111  1858220  1858367  1858468  1858710  1858862  1859377  1859544  1859676  1859793  1859950  1860162  1860396  1860526  1861136  1861239  1861398  1861539  1861642  1861811  1862453  1862606  1863712  1863815  1863980  1864134  1864298  1864505  1865946  1866050  1866178  1866315  1866473  1866956  1867109  1867224  1867667  1867770  1867901  1868075  1868275  1868437, 1794678  1811357  1811699, 1795160  1811597  1812117, 1815621, 1815802, 1778211  1800929  1805568  1818582, 1779510  1802285  1806870  1868565, 1776980, 1776982, 1776983, 1815626, 1815633, 1815784  1815790, 1815809, R, 1818595, , 1868572, 0, 0, 0, 0, 0, 1868622, 1868632, L2:R6, 62.50, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1818601, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1868751  1869485  1869682  1870047  1870489  1871044  1871161  1871315  1871422  1872028  1872132  1872259  1872752  1872911  1873047  1873420  1874044  1874167  1874318  1874459  1874665  1875039  1875267  1875380  1875490  1875855  1875968  1877256  1877742  1877915  1878034  1878180  1878341  1879429  1879546  1880309  1880413  1880570  1880673  1880799  1881508  1881622  1881726  1881849  1882005  1882509  1882665  1882865  1887059  1887201  1887314  1887622  1889849  1890442  1890603  1890810  1899607  1899843  1901096  1901201  1901312  1901430  1908530  1909013  1911492  1911970  1912081  1920722  1920918  1921130  1921462  1923077  1923269  1923406, 1925733, 1926070, 1927809, 1928521, 1869270  1886775  1889718  1890130  1899251  1900898  1907906  1909495  1911110  1920447  1922700  1930439, 1883055  1887611  1889788  1890794  1900071  1901571  1908503  1909679  1912070  1921498  1923453, 1883061, 1883067, 1883074, 1927822, 1927993, 1928144  1928145, 1928522, R, 1930442, , , 1, 0, 0, 0, 1, 1930464, 1930467, L2:R7, 55.56, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1930459
