max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, L_reward_ts, 4060110)¿ô
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    67579    67702    67910    68079    68831    73536    73769    73926  2969595  2969704  3011382  3252452  3252563  3252689  3252795  3252900  3253013  3253126  3253232  3253352  3253463  3253582  3253691  3253801  3253958  3254068  3254181  3254301  3254408  3254530  3254640  3254787  3254922  3255066  3255219  3255408  3255564  3255716  3256527  3256685  3256822  3256939  3257044  3257151  3257325  3279462  3279600  3279721  3281554  3281667  3281779, 1    84963    85185  2970302  2970564  3272047  3272260  3272539  3272700  3272819  3272944  3273068  3273191  3273308  3273434  3273560  3273689  3273820  3273946  3274090  3304693  3304920  3305655  3305775  3305886  3306012  3306136  3306264  3306397  3306531  3306664  3306804  3306951  3307095  3307241  3307792  3307919  3308030  3308183  3308721  3309039  3309169  3309266  3309368  3309464  3309587  3309696  3309829  3309946  3310075  3310188  3310327  3310551  3310692  3310801  3311377  3311683, 72696    73358  3252152  3279154  3281219, 72859    73961  3257381  3279842  3281892, 80050  3297055  3297813, 80813  3297276  3298335, 83879  3271646  3304309, 85181  3274018  3311816, 3257389, 3257397, 3257405, 3297067, 3297080, 3297231  3297244, 3297289, R, 3304335, 3304349, 3311821, 0, 0, 0, 0, 0, 3311852, 3311857, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3356821  3356951  3357057  3357194  3357320  3357479  3357688  3357807  3357920  3358041  3358168  3358353  3358467  3358573  3358873  3359344  3359476  3359583  3359702  3359816  3359979  3360278  3360429  3360574  3360915  3361220  3361325  3361457  3361563  3361699  3361809  3361947  3362088  3362212  3362726  3362842  3362959  3363090  3363209  3363362  3363505  3363632  3363793  3363941  3364048  3364605  3365024  3365142  3365257  3365371  3365487  3365593  3365701  3365809  3366328  3366436  3366544  3366704  3366816  3366943  3367065  3367318  3367437  3377541, 3311933  3314942  3315063  3315305  3315479, 3356665  3377372, 3367532  3377566, 3390343, 3391285, 3314619  3321498  3322421  3322488  3399606, 3315412  3321803  3322469  3322683, 3312944, 3312945, 3312946, 3390354, 3390365, 3390516  3390527, 3391296, R, 3399629, , , 1, 0, 0, 0, 1, , 3399761, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 3399732, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3420019  3420159  3420294  3420408  3420527  3420668  3420844  3420971  3421082  3421372  3421620  3421729  3421848  3421977  3422212  3422320  3422428  3422613  3422744  3424189  3424300  3424438  3424570  3424703  3425294  3425436  3425566  3426182  3426289  3429778  3429895  3430041  3430207  3430321  3430468  3430588  3430943  3431072  3431201  3431308  3431414  3431573  3461643  3461763  3464597  3464748  3464882  3465431  3465553, 3399969  3400068  3401768  3401864  3401983  3402082  3402213  3402335  3402480  3402604  3402890  3403043  3403153  3403269  3403658  3404625  3410775  3410942  3411136  3411254  3438152  3438276  3438457  3438560  3438704  3438823  3439008, 3419707  3423998  3429644  3461363  3464400, 3422656  3426318  3431438  3461851  3465486, 3469472  3471032  3471137, 3470112  3471079  3471660, 3401556  3410609  3434536  3437950  3476970, 3400074  3404628  3411216  3434763  3438965, 3400513, 3400514, 3400515, 3469485, 3469499, 3469650  3469663, 3470281, R, 3476973, , , 1, 0, 0, 0, 1, 3476997, 3477000, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 3476992, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3491331  3491440  3491605  3491814  3491921  3492073  3492341  3492744  3492938  3493044  3495607  3495747  3495853  3496421  3497051  3497171  3497312  3497436  3497861  3497971  3559533  3559667  3559805  3560489  3583390  3583557  3584727  3584891  3585002  3585116, 3477225  3477342  3478449  3482656  3482811  3483559  3483722  3483864  3483967  3484524  3574634  3574766  3574997  3575126  3576062  3576706, 3491015  3495415  3559258  3560326  3560811  3560914  3583079  3583638  3583730  3584460, 3493102  3498424  3560111  3560555  3560866  3560941  3583507  3583687  3584024  3585049, 3599007  3602790  3604475  3606257  3608283  3612921, 3602399  3603888  3605022  3607529  3608540  3612935, 3478158  3481547  3482180  3482413  3483157  3534075  3574274  3615639, 3477267  3478540  3481566  3482235  3482822  3484615  3534597  3576696, 3477497, 3477499, 3477500, 3599020, 3599033, 3599184  3599196, 3602412, R, 3615642, , , 1, 0, 0, 0, 1, 3615668, 3615672, L0:R4, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 3615663, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3628671  3628817  3628928  3629909  3630014  3630251  3630370  3630611  3630743, 3615930  3616027  3616161, 3628465  3629771  3630082, 3628936  3629998  3630710, 3632836  3634115  3634612  3634861  3635133  3635253  3636101  3636419  3637060  3637138  3638213  3638317  3638599  3638811  3641143  3644603  3645320  3646112, 3633596  3634506  3634637  3635030  3635183  3635366  3636244  3637008  3637075  3638165  3638283  3638401  3638737  3641099  3644256  3644807  3645449  3647181, 3619016, 3616239  3619242, 3616240, 3616241, 3616242, 3632840, 3632845, 3632995  3632999, 3633600, , , , , 1, 1, 0, 0, 0, 3648695, 3648707, L0:R4, 25.00, 000(1)1, 000(1)1, 204, no_go, 3648681, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3659943  3660078  3660208  3662816  3662940  3663075  3663189  3663330  3663456  3663581  3664115  3665558  3665734  3665847  3666097  3683986  3684223  3684344  3692375  3692533  3692669  3695219  3695332  3695473  3695656  3742689  3742905  3744571  3744794  3744927  3745041  3755438  3755567  3755672  3755791  3755937  3756093  3756422  3756544, 3653092  3653214  3653341  3654104  3654243  3676635  3677060  3677193  3677302  3677419  3677526  3677638  3677773  3678227  3699883  3700007  3700130  3700429  3700565  3700939  3701058  3705458  3705746  3707581  3707711  3720473  3720728  3722062  3722186  3722295  3724454  3724558  3724687  3725067  3725193  3731349  3731670, 3659715  3661044  3662636  3665387  3665495  3683653  3684091  3692125  3695068  3742490  3744619  3745245  3755225  3758343, 3660214  3661280  3663598  3665429  3666016  3684001  3684334  3692684  3695678  3742908  3745019  3745450  3756534  3758486, 3761614, 3762777, 3652835  3654858  3655273  3673046  3676359  3676880  3699639  3705161  3707366  3720746  3721585  3724159  3731087  3740125  3765887, 3654230  3654960  3655564  3673268  3676647  3678321  3701080  3705695  3707886  3720765  3722471  3725164  3731688  3740323, 3649245, 3649246, 3649246, 3761621, 3761628, 3761778  3761784, 3762784, R, 3765900, , , 1, 0, 0, 0, 1, 3765972, 3765981, L0:R5, 20.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 3765961, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3770823  3771048  3771180  3771322  3792978  3793100  3793218  3793450  3825277, 3766233  3767271  3815730  3815846  3815990, 3770603  3792818  3825015  3826587, 3771289  3793264  3825290  3826618, 3831445  3832647  3838217  3839240  3839428  3842240  3842471  3842507  3842757  3844748  3845974, 3831662  3838204  3839199  3839259  3842169  3842436  3842485  3842592  3844699  3845903  3846457, 3767006  3788144  3788240  3806021  3815463, 3766227  3767278  3788172  3788466  3806171  3815984, 3766657, 3766658, 3766659, 3831450, 3831457, 3831608  3831614, 3831668, , , , , 1, 1, 0, 0, 0, 3846758, 3846769, L0:R5, 20.00, 000(1)1, 000(1)1, 204, no_go, 3846744, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 3865534  3865908  3866946  3867034  3867356  3867645  3868130  3868743, 3865870  3866904  3867001  3867206  3867572  3867778  3868637  3868811, , , 3847320, 3847321, 3847322, 3865535, 3865537, 3865688  3865689, 3865872, , , , , 1, 1, 0, 0, 0, 3880915, 3880920, L0:R5, 20.00, 000(1)1, 000(1)1, 204, no_go, 3880906, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3881512  3882936, , 3881139  3882704, 3881479  3882930, 3884861  3887211, 3886678  3889449, 3896601, , 3881479, 3881481, 3881482, 3884863, 3884866, 3885016  3885018, 3886681, R, 3896607, , , 1, 0, 0, 0, 1, 3896646, 3896651, L0:R6, 16.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 3896639, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3965410  3965573  3965681, 3896936  3897086  3897201  3898480  3898597  3900103  3900371  3901765  3901864  3902150  3902273  3902608  3902711  3902845  3902990  3903164  3903293  3903435  3904066  3904180  3904277  3904414  3904587  3904751  3905714  3905812  3905926  3906063  3906241  3906404  3906661  3908212  3908313  3908696  3908816  3908922  3909539  3910517  3910729  3912308  3912457  3912611  3912931  3915420  3915618  3915725  3915951  3916091  3916828  3917731  3918895  3919024  3919349  3921023  3921221  3921342  3922220  3922400  3922505  3922794  3922959  3923160  3925464  3926363  3926469  3930195  3930344  3930647  3930757  3930885  3931709  3931816  3933672  3933800  3933938  3935266  3936886  3937075  3937179  3937306  3937475  3937693  3938804  3939227  3939382  3939503  3940021  3940695  3940837  3940939  3941309  3941409  3941563  3941742  3941988  3946156  3946266  3946473  3947516  3947661  3947765  3948122  3948232  3949019  3949129  3949237  3949836  3949933  3950047  3950615  3951017, 3965106, 3965832, 3971028  3976090, 3976014  3981271, 3899867  3912605  3912755  3912807  3915718  3919142  3923467  3923598  3923762  3925022  3925255  3926636  3929315  3933407  3945296  3945727  3946875  3947167  3961853  3989080, 3898560  3912571  3912656  3912791  3915695  3918967  3923337  3923536  3923614  3923787  3925069  3926420  3926681  3932021  3942023  3945306  3946728  3947069  3951006  3962077, 3898561, 3898562, 3898564, 3971036, 3971045, 3971195  3971203, 3976023, R, 3989098, , , 1, 0, 0, 0, 1, 3989191, 3989203, L0:R7, 14.29, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 3989178, , 
