max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, L_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   67654   67958   74217   74383   74582   75076   75415   75695  435854  436186  436293  436502  579255  579378  579482  579590  579695  579800  579905  580013  580118  580236  580350  580472  580579  580690  580800  580944  582785  582948  583052  583161  583269  583636  584420  584532  584680  584847  606587  606728  606857  607031  607137  607288  607429  607564  607716  607877  608000, 1   82678   82816   82989   83201   83403   83659  590690  590878  590993  591113  591233  591355  591489  591631  594339  594538  594893  595578  595704  595879  596055  597049  597577  598681  615822  615991  616107  616327  616442  616558  616675  616802  616933  617066  619074  619270  619384  619499  619617  619749  619853  619971  620211  620362  620517  621489  622737  622880  623435  623559  623664  623773  623877  624056  624174  624314  624441  624596  624694  624797  624909  625180  625379  625478  625710  626347  627302  627411  627587  628273  628426  628529  628668  628793  628933  629047  629145  629313  630356  630495  630596, 79607  612758, 80632  613231, 81052   81479   82192  590355  596814  597301  615452, 81304   81540   83693  596594  597025  599000  630607, 583843, 583849, 583857, 612769, 612782, 612933  612944, 613243, R, 615477, 615489, 630612, 0, 0, 0, 0, 0, 630650, 630658, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 653059  653176  653328  653455  653712  653819  653953  654565  654681  654800  654955  655210  655355  655472  655580  655685  655808  655931  656054  656159  656279  656385  657321  657471  659655, 631985  632115  632230  632382  632509  633265  633384  633504  633620  634377  634561  634682  634782  635654  635794  635933  636081  636223  636913  637057  637189  637368  637837  637970  638140  638306  639062  639273  641464  641632  641774  642319  642580  642718  643039  643148  643324  644490  644729  645071  645174  645428  645551  645652  648120  648253  648377  648512  648810  648909, 663150, 663675, 630754  631753  647717  665549, 630777  645664  649270, 631749, 631750, 631751, 663160, 663172, 663323  663333, 663687, R, 665572, , , 1, 0, 0, 0, 1, 665680, 665694, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 665666, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 679900  680044  680223  721766  721882  721997  722119  722249  722568  722717  722854  723454, 665940  666054  666158  666322  666432  668624  668796  670115  670282  670456  670585  671169  671327  671460  672331  672438  672982  673124  674055  674193  674326  674661  674818  675309, 717576, 719714, 672533  672582  672784  676538  727502, 672494  672548  672663  675290  676730, 672496, 672499, 672501, 717581, 717587, 717739  717745, 719720, R, 727517, , , 1, 0, 0, 0, 1, 727591, 727601, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 727581, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 738052  738243  738365  738470  740616  740763  740907  741021  741161  741295  741723  741979  742102  742257  743655  748200  749773  749878  750050, 727849  728094  728220  728423  728979  729098  729249  729473  729598  730191  730291, 733454  735923, 735386  736268, , 730278, 730279, 730281, 730284, 733456, 733459, 733611  733614, 735389, , , , , 1, 1, 0, 0, 0, 750441, 750448, L0:R3, 33.33, 000(1)1, 000(1)1, 204, no_go, 750432, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 750624  750779  751184  751548  751693  752050  758297  760409  760673  761136  761243  761744  761873  762006  762114  762484  762591  763571, , 766465, 767244, 769025, , 750837, 750838, 750839, 766468, 766472, 766622  766625, 767247, R, 769032, , , 1, 0, 0, 0, 1, 769077, 769082, L0:R4, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 769069, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 774633  774739  774881  775015  775530  779211  779320  779551  781126  781522  782030  783444, 769341  769456  769658  769814  769926  770375, 784950, 786365, 788287, 770903, 770904, 770906, 770907, 784953, 784957, 785108  785112, 786369, R, 788295, , , 1, 0, 0, 0, 1, 788341, 788346, L0:R5, 20.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 788333, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 820998  821107  821213  821339  821463  821626  822363  822617  822973  823100  823206  823463  824920  825162, 788584  788743  790178  790325  790760  798041  801774  801910  802174  802442  802538  802659  802807  803081  803188  803286  803400  803898  804137  804483, 826865, 827897, 789882  790624  797783  801574  829679, 788871  790574  790874  798159  804461, 788872, 788873, 788874, 826871, 826878, 827029  827035, 827905, R, 829693, , , 1, 0, 0, 0, 1, 829766, 829775, L0:R6, 16.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 829755, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 849779  849886  850000  850144  850259  850644, 830715  830919  831100  832002  832777  833210  833498  835672  835820  835991  836283  836409  836541  836685  836799  836993  837130  837306  838040  842866  843070, 846437  854408  856850, 846614  856797, 833016  835354  842553  843558, 832845  833563  838170  843278  843652, 832846, 832847, 832849, 846442, 846447, 846598  846603, 846619, , , , , 1, 1, 0, 0, 0, 861679, 861687, L0:R6, 16.67, 000(1)1, 000(1)1, 204, no_go, 861669, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 864974  865108  865270  865411  865547  865680  865821  865971  866126  866257, , 868176  869649, 862041  869588  876190, 878892, , 862192, 862193, 862194, 868178, 868182, 868333  868335, 869592, R, 878899, , , 1, 0, 0, 0, 1, 878940, 878945, L0:R7, 14.29, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 878932, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 885947  886067  886177  889137  889257  914284  914469  914622  914741  914997  915295  915414  921222  921330  921445  921597  921712  921862  922169  922316  922470  922624  922730  922841  922972  923113  923304  923947  924076  924307  924452  926345  926517  926751  926924  927077  927195  927303  928842  928965  929076  929250  929399  929516  929640  930135  930266  930981  931095  931681  931789  931929  932709  932827  932943  933048  933161  933268  933393  933525  933642  933893  936738  936881  937035  937182  937287  937408  937517  941394  942524  942678  942833  942940  943073  943179  943412  943518  943643  943771  945876  945986  946695  946807  946932  947051  947155  947415  948084  948224  948341  951108  951228  951337  951602  951710  951840  952243  952351  952520  953805  953917  954047  954567  954691  954849  956437  956542  956705  956818  956924  957094  957246  957635  957746  959382  959542  959881  960000  960419  960791  960914  961413  963123  963295  963820  963937  964043  965350  967201  967308  967839  968643  969119  970851  971001  971225  971636  971750  971871  973326  973473  973641  973746  973873  973991  974099  974206  975296  975519  975630  975952  976068  976199  976315  976475  976601  976714  977262  977747  982078  982191  986492  986645  986822  987219, 879249  879374  879529  879699  879804  879929  880048  880184  880297  881445  881590  881764  882165  893499  894044  894154, 988887, 989798, 881231  893240  991196, 880445  882339  894280, 880446, 880448, 880450, 988895, 988905, 989056  989065, 989807, R, 991214, , , 1, 0, 0, 0, 1, 991309, 991321, L0:R8, 12.50, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 991296, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 991543, 996255  998573, 997061  999434, 992103  1001382, 991787  992435, 992436, 992437, 992438, 996256, 996259, 996410  996412, 997063, R, 1001388, , , 1, 0, 0, 0, 1, 1001423, 1001427, L0:R9, 11.11, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1001416, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1008402  1008565  1008686  1008827  1008977, 1001777  1002173, 1005789  1011358, 1006151  1012307, 1002782  1014262, 1002278  1003008, 1002279, 1002280, 1002281, 1005790, 1005793, 1005944  1005946, 1006153, R, 1014269, , , 1, 0, 0, 0, 1, 1014311, 1014318, L0:R10, 10.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1014304, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1014569  1024279  1024410  1024548  1025178  1036015  1036145  1036312  1036763  1036876  1037012  1037359  1037494  1037773  1038696  1041665  1041804  1041967  1042182  1042294  1042440  1042856  1042954  1043978  1044119  1044239  1044497  1048380  1048546  1048644  1048805  1051743  1051948  1053463, 1060196, 1061006, 1022638  1024065  1035717  1037164  1041487  1048100  1051388  1051453  1051963  1053191  1054831  1062559, 1015363  1022927  1025274  1037023  1038702  1044796  1048870  1051414  1051906  1051994  1053454  1054987, 1015364, 1015365, 1015366, 1060204, 1060214, 1060365  1060374, 1061015, R, 1062579, , , 1, 0, 0, 0, 1, 1062676, 1062687, L0:R10, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1062662, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1069309  1069452  1069597  1069718  1069842  1070026  1074560  1074672  1075678, 1062904  1063226  1063414  1063910  1064086  1064332, 1066912  1078520, 1067631  1079335, 1080890, 1064492, 1064493, 1064495, 1064496, 1066914, 1066917, 1067067  1067069, 1067634, R, 1080898, , , 1, 0, 0, 0, 1, 1080946, 1080952, L0:R10, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1080938, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1081151  1081330  1081726  1081823  1082008  1082736  1083173  1083522  1083696  1083938  1084079  1084545, 1086379, 1087065, 1082858  1083210  1083803  1088796, 1082708  1083179  1083745  1084601, 1082710, 1082711, 1082713, 1086382, 1086387, 1086538  1086542, 1087069, R, 1088805, , , 1, 0, 0, 0, 1, 1088856, 1088862, L0:R10, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1088847, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1093502  1093609  1096347, 1089081  1089496  1090000  1090217, 1097801, 1098121, 1090905  1100126, 1090347  1091033, 1090348, 1090349, 1090351, 1097803, 1097806, 1097957  1097960, 1098124, R, 1100132, , , 1, 0, 0, 0, 1, 1100171, 1100176, L0:R10, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1100164, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1107204  1107336  1107443  1107550  1107658  1107822  1107935  1117424  1117532  1117637  1118340  1118537, 1100370, 1104713  1109590  1115114, 1105359  1112918  1115341, 1101840, 1100756  1101952, 1100756, 1100759, 1100760, 1104714, 1104717, 1104868  1104870, 1105361, , , , , 1, 1, 0, 0, 0, 1120405, 1120411, L0:R10, 0.00, 000(1)1, 000(1)1, 204, no_go, 1120397, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1129445  1129574  1129693  1129824  1130019  1132091  1132205, , 1120757  1121843  1122877  1135900, 1121792  1122006  1126971  1136132, , , 1121793, 1121794, 1121795, 1121844, 1121846, 1121997  1121999, 1122008, , , , , 1, 1, 0, 0, 0, 1137045, 1137050, L0:R10, 0.00, 000(1)1, 000(1)1, 204, no_go, 1137038, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1147325  1147444  1147644  1147776  1147969, 1138337  1138441  1138542  1138793  1138983  1152619  1153758, 1155884, 1157260, 1138056  1139484  1140730  1152354  1153080  1153486  1153564  1159103, 1139407  1139506  1140981  1153051  1153177  1153514  1154180, 1137626, 1137627, 1137628, 1155888, 1155894, 1156045  1156050, 1157265, R, 1159114, , , 1, 0, 0, 0, 1, 1159175, 1159182, L0:R10, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1159165, , , 
