max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   222373   400110   400379   400521   400640   400753   400873   400985   401131   401272   576159  1616431  1616786  1616924  1617064  1797253  1797367  1797486  1797624  1797749  1797891  1798017  1798155  1798284  1798412  1798528  1798654  1798782  1798912  1799038  1799176  1799305  1799441  1799577  1799715  1799858  1800044  1800194  1800341  1800497  1800656  1800786  1800939  1801903  1802065  1802375  1803032  1803166  1803329  1803485  1803650  1803808  1803973  1804871  1805031  1805181  1805366  1805521  1805699  1805856  1806030  1806205  1806375  1806548  1806714  1806879  1807074  1807233  1807408  1807578  1807755  1807931  1808126  1808293  1808459  1808625  1808738  1808858  1808973  1809118  1809241  1809412  1809573  1809764  1809895  1845911  1846035  1846178  1846434  1846550  1846669  1846795  1846909  1847290  1847464  1847602  1847749  1847890  1848003  1848172  1848325  1848469  1848589  1848710  1858102  1858286  1858457  1858632  1858775  1858944  1859111  1859346  1859534  1859707  1859897  1861288  1861446  1861557  1861684  1861795  1861919  1862211  1862425  1862545  1862658  1862775  1862896  1863060  1863178  1863815  1863928  1864057  1864231  1864344  1864470  1864582  1864750  1864905  1865105  1865229  1865346  1865458  1865575  1865738  1865912  1866080  1866653  1866806  1866981  1867099  1867210  1867418  1867561  1867957  1868076  1868206  1868723  1869011  1869174  1869288  1869607  1870098  1870263  1870383  1875578  1875739  1875957  1876072  1876224  1876335  1876450  1876568  1877132  1877276  1877406  1877543  1877684  1877794  1877905  1878024  1878176  1878320  1878475  1878926  1879580  1879830  1880926  1881044  1881189  1881306  1881443  1881587  1881742  1882435  1882573  1882712  1882824  1882986  1883105  1883229  1883871  1883993  1884148  1884307  1884509  1884660  1884830  1886197  1886371  1888112  1888260  1888380  1888584  1888774  1888919  1889038  1889518  1889678  1891322  1920137  1920247  1920364  1920490  1920610  1920720  1920832  1920945  1921301  1921431  1921566  1921704  1921842  1926266  1926408  1926523  1926637  1926755  1926867  1927174  1927334  1927455  1927604  1927818  1927974  1928193  1930015  1930188  1930342  1930456  1930570  1930699  1931082  1931593  1931706  1931858  1933054  1933205  1933320  1933432  1933572  1933698  1933820  1934395  1934511  1934668  1934828  1934994  1935111  1935778  1935889  1936014  1936251  1936394  1936563  1936731  1936846  1937174  1937308  1937422  1937538  1937955  1938086  1938217  1938786  1938971  1939158  1939325  1939497  1939678  1939817  1940251  1940369  1940676  1940823  1940997, 1   234391   402418   402795   402906   403028   585159  1618342  1821030  1821463  1821598  1821727  1821869  1822011  1822153  1822295  1822452  1822606  1822757  1822906  1823056  1823209  1823917  1826606  1826750  1826910  1827045  1827615  1827878  1828583  1828692  1828843  1829003  1829172  1829318  1829952  1830088  1830240  1830401  1830557  1896324  1897319  1897479  1897613  1897774  1898759  1898871  1899010  1899807, 214951   216600   570159  1797055  1845553  1845798  1870082  1875402  1887881  1919692, 215360   222356   576137  1809845  1845758  1870057  1870515  1886398  1889077  1941094, 225781   578641  1820304  1833871  1896006  1900952, 232690   585149  1830486  1834134  1899942  1901352, 1809857, 1809869, 1809883, 1913914  1914193  1914365, 1913924, 1913935, 1914086, 1914131  1914302  1915113, 1914141, L, 1919716, 1919728, 1941102, 0, 0, 0, 0, 0, 1941153, 1941163, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1942425  1942692  1942807  1942974  1943113  1943228  1943347  1943458  1943577  1943692  1944522  1944649  1944797  1944983  1945501  1945619  1945732  1946212  1946343  1946497  1946668  1947355  1947485  1947626  1947806  1947920  1948032  1948206  1948339  1948490  1948661  1948778  1949130  1949284  1949395  1951491  1951610  1951750  1952400  1952521  1952677  1952839  1952954  1953349  1953462  1953627  1953795  1955917  1956056  1956167  1957008  1957126  1957279  1957452  1957579  1957690  1957827  1958032  1958166  1958309  1958446  1958569  1958732  1958928  1959052  1959183  1959324  1959455  1959869  1960013  1960125  1960270  1960395  1960510  1960649  1960762  1960930  1961049  1961618  1962012  1962146  1962295  1962449  1962610  1962773  1962900  1963028  1963155  1963315  1963488  1963677  1963788  1964449  1964606  1964972  1965121  1965235  1965522  1968547  1968668  1968784  1968897  1969361  1969473  1969587  1969723  1969997  1970126  1970244  1970408  1970541  1970717  1970872  1971106  1971224  1971830  1971952  1972090  1972242  1972399  1972552  1972733  1975345  1975525  1975687  1975870  1976427  1976590  1976739  1976865  1977580  1977710  1977852  1978000  1978152  1978315  1978488  1978661  1978866  1979010  1979241  1980092  1980209  1980327  1980502  1980614  1980742  1980854  1981008  1981488  1981599  1981733  1981903  1982087  1983404  1983569  1983737  1983902  1984076  1984220  1984330  1984970  1985116  1986763  1986887  1987025  1987165  1987315  1987471  1987582  1987696  1987836  1987950  1989816  1989980  1990159  1990308  1990680  1990837  1991007  1991120  1991514  1991630  1992428  1992552  1992712  1992836  1992972  1993240  1993405  1993521  1993905  1996051  1996164  1996292  1996452  1996614  1996991  1997102  1997243  1997377  1997495  1997649  1997852  1998343  1998482  1998595  1998707  1998824  1999017  1999217  2000464  2000619  2000744  2000870  2000997  2001112  2001238  2001751  2002034  2002234  2002393  2002516  2003172  2003289  2003443  2003660  2003811  2003921  2004065  2004241  2004386  2004507  2004635  2004766  2004887  2005191  2005334  2006246  2006359  2006477  2006994  2007131  2007284  2007398  2007699  2007818  2007959  2008515  2008664  2008956  2009248  2010009  2010134  2010265  2011039  2011159  2012823  2012960  2013119  2014598  2014726  2015964  2016115  2016268  2016577  2016776  2019050  2019214  2020538  2021060  2022610  2022755  2022875  2023030  2023412  2023638  2023764  2023985  2024105  2024222  2024334  2024452  2024725  2024877  2025097  2025216  2025350  2025485  2026414  2026550  2026669  2026844  2028062  2029371  2029526  2029682  2030268  2030850  2030965  2031089  2031213  2031327  2032963  2033130  2033246  2033399  2033542  2033653  2035064  2036866  2037044  2037725  2037880  2037996  2038632  2038750  2038874  2039006  2039122  2039268  2039386  2039498  2039960  2040181  2040360  2040526  2040646  2040937  2062680  2062816  2062958  2063156  2063474  2063611  2063731  2063892  2064299  2064855  2064967  2065081  2066775  2067139  2067256  2067374  2067808  2069022  2069157  2069277  2071483  2071608  2071769  2071918  2072049  2072535  2073116  2073268  2073423  2073586  2073735  2073848  2074179  2074614  2107593  2107718  2107854  2107977  2108328  2108527  2108652  2108765  2108882  2109009  2109146  2109275  2109743  2110180  2110295  2110461  2111101  2112019  2113243  2113356  2113674  2114442  2114570  2114688  2114824  2114946  2115084  2115220  2115390  2115695  2115913  2116028  2116273  2116593  2116753  2116883  2117002  2117141  2117369  2117678  2118555  2118686  2118801  2119156  2119273  2119529  2119701  2120337  2120762  2121694  2121825  2121964  2122449  2122662  2164583  2164736  2164854  2164987  2165218  2165782  2165951  2166065  2166638  2169041  2169538  2215862  2215984  2216107  2216240  2216376  2216509  2216627  2217730  2217846  2218175  2228421  2228567  2228698  2229630, 2082717  2082904  2083063  2083267  2084021  2084134  2084380  2084548  2084691  2084841  2085343  2085476  2085601  2085912  2086036  2086208  2086858  2087262  2087400  2087971  2088085  2088230  2088842  2088993  2089139  2089630  2089761  2089908  2090887  2091096  2094157  2094290  2094461  2094991  2095150  2096096  2096258  2096375  2097807  2097926  2098061  2098196  2098327  2098732  2098927  2099120  2099302  2099437  2099629  2102934  2103767  2104011  2104122  2105068  2105268  2105405  2129600  2129863  2130363   217899  2179121  2180077  2180187  2180306  2180425  2180605  2180796  2180913  2181340  2181469  2182337  2231825  2231953  2232426  2233062, 1942207  1968300  2008353  2015924  2018904  2020078  2022483  2024687  2027314  2029218  2036720  2062481  2068881  2107362  2107616  2114322  2115226  2115585  2116306  2117443  2118375  2121500  2164344  2215635  2227974  2228241  2229529  2244708, 1965555  2007693  2014630  2016808  2019627  2021563  2024489  2027002  2027331  2034894  2040978  2067831  2074606  2107557  2113607  2115159  2115375  2116145  2117241  2117611  2120710  2122702  2169482  2216725  2228001  2228637  2230146, 2081938  2102705  2129293  2178178  2183022  2183117  2231469  2235430  2235534  2235582  2235711, 2099805  2105404  2130391  2182318  2183086  2183226  2235401  2235478  2235559  2235694  2237570, 1965566, 1965579, 1965590, 2241420, 2241427, 2241435, 2241586, 2243135, 2243143, L, 2244724, , , 1, 0, 0, 0, 1, 2244807, 2244816, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2244795, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2245012  2245160  2245318  2246352  2247512  2247664, 2257807  2258068  2258560  2258706  2258882  2259057  2259286  2259500  2259639, 2277254, 2247999, 2257318, 2259671, 2248000, 2248002, 2248003, 2275128, 2275131, 2275135, 2275286, 2275893, 2275897, L, 2277262, , , 1, 0, 0, 0, 1, 2277306, 2277311, L3:R0, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2277298, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2277594  2277769  2277915  2278405  2280071  2280204  2280382  2280548  2280662  2321161  2322897  2323015  2323127  2324592  2324707  2324827  2324952  2325996  2361060  2361194  2361360  2361506  2361658  2361833  2365094  2365214  2365365  2365562  2372451  2373097  2373596  2373706  2374082  2374193  2375277  2375441  2376016  2376166  2376278  2376410  2376580  2376697  2378604  2378715  2378826  2378955  2379070  2379190  2379689  2379802  2379932  2381037  2381160  2381337  2381489, 2343681  2343874  2344028  2344627  2344755  2345353, 2320922  2360896  2373055  2373159  2373249, 2280616  2324981  2365577  2373109  2373234  2381582, 2338225  2342923, 2338996  2345335, 2280617, 2280620, 2280622, 2394184, 2394194, 2394205, 2394356, 2394699, 2394710, , , , , 1, 1, 0, 0, 0, 2409803, 2409816, L3:R0, 33.33, 000(1)1, 000(1)1, 204, no_go, 2409789, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2464745  2464905  2466270  2466383  2466522  2466633  2466746  2466930  2474695  2502428  2502556  2502685  2503342  2503477  2505105  2505230  2505345  2505487  2505598, 2510612  2510944  2511076  2511237  2512123  2512263  2512437  2513118  2514548  2514766  2524354  2524507  2524669, 2464581  2502077  2502301  2537461, 2466923  2502266  2505583  2537842, 2510286  2522425  2523701  2525195, 2514756  2522723  2525154  2527489, 2410354, 2410354, 2410355, 2625398, 2625405, 2625413, 2625564, 2625926, 2625933, , , , , 1, 1, 0, 0, 0, 2641002, 2641011, L3:R0, 33.33, 000(1)1, 000(1)1, 204, no_go, 2640991, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2644030  2644151  2644277  2644411  2646112  2646274  2646403  2647510  2647619  2647767  2648236, 2675509  2675642  2675827  2675981  2676332  2676536  2678924  2679566  2679776  2681336  2682205  2682314  2682882  2683545  2683698, 2643795  2735629, 2648268, 2674044  2674551, 2674122  2684236, 2641546, 2641547, 2641548, 2732091, 2732095, 2732101, 2732252, 2732855, 2732860, L, 2735640, , , 1, 0, 0, 0, 1, 2735699, 2735707, L4:R0, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2735690, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2735990  2736118  2736273  2736401  2736546  2737794  2737907  2738435  2738643  2738845  2738981  2739224  2739369  2739480  2739617  2739828  2740103  2740245  2740585  2740763  2741147  2750818  2750992  2751121  2751412  2753675  2754091  2804207  2804345  2804610  2804759  2804910  2805049  2805224  2805429  2824816  2824972  2825216  2825355, 2757990  2758183  2758312  2758457  2758605  2758738  2758881  2759020  2763282  2765554  2765709  2765849  2766495  2766608  2766753  2766929  2767092  2767699  2767861  2768413  2768577  2768778  2768939  2769604  2769744  2769917  2771166  2771315  2771504  2771992  2772147  2772318  2772946  2773217  2774018  2774169  2775130  2775325  2775839  2775997  2776561  2777540  2777697  2777901  2778355  2778515  2779086  2779268  2780097  2782686  2782865  2783019  2784392  2784541  2785525  2787047  2788028  2788170  2790030  2790208  2795564  2796343  2796472  2797132  2813778  2813947  2815435  2815542  2815712  2815906  2816293  2850360  2850486  2850627  2850891  2854181  2855552  2855671  2855787  2855930  2856107  2856367  2863757, 2739955  2750562  2804002  2824210  2824445  2885395, 2739864  2741104  2754028  2805434  2824324  2825480, 2757316  2780945  2781207  2781273  2794693  2813447  2850121  2852969  2853689  2853796  2862799, 2779664  2780961  2781223  2790681  2797309  2817056  2851080  2853272  2853724  2856360  2863711, 2739866, 2739869, 2739871, 2878356  2879481  2879897, 2878363, 2878371, 2878521, 2879436  2879868  2882642, 2879443, L, 2885412, , , 1, 0, 0, 0, 1, 2885498, 2885509, L5:R0, 20.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2885486, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2885656  2885847  2886773  2886895  2887705  2887872  2888561  2888672  2888806  2888939  2889496  2889841  2940306, 2897183  2897295  2897475  2918739  2945703, 2889310  2892556  2939965  2941686, 2888997  2889801  2892889  2940250  2941948, 2896711  2897889  2918086  2945118, 2897617  2898572  2918744  2946173, 2888998, 2889000, 2889003, 2965729, 2965734, 2965741, 2965892, 2966439, 2966446, , , , , 1, 1, 0, 0, 0, 2981504, 2981512, L5:R0, 20.00, 000(1)1, 000(1)1, 204, no_go, 2981494, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2999802  3032745  3032903  3033070  3033310  3033568  3033822  3034455  3034641  3085066  3085241  3085424  3090341  3090494  3090627  3092251  3092362  3092474, 2990964  3051084  3051357  3051581  3106344  3106634  3106913, 2999627  3031867  3084902  3086350  3088415  3089950, 2999801  3034598  3085417  3086418  3088430  3092635, 2990635  3050381  3052837  3065225  3105746, 2991454  3052122  3053368  3065462  3107176, 2981990, 2981991, 2981992, 3124931, 3124938, 3124946, 3125097, 3125969, 3125978, , , , , 1, 1, 0, 0, 0, 3141048, 3141057, L5:R0, 20.00, 000(1)1, 000(1)1, 204, no_go, 3141037, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 250, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 3145356, , , 3144747  3149474, 3145845  3149516, 3141451, 3141452, 3141452, 3174827, 3174829, 3174831, 3174982, 3174990, 3174992, , , , , 1, 1, 0, 0, 0, 3190018, 3190022, L5:R0, 20.00, 000(1)1, 000(1)1, 204, no_go, 3190012, 
