max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    65168    65471    65623    65742    65999    66104    66433    67270    84364    84474    84591   115654   123614   139026  1460415  1460525  1574785  1574906  1575025  1575142  1575247  1575375  1575498  1575626  1575751  1575880  1576009  1576142  1576305  1576458  1576585  1576739  1576848  1576953  1577066  1577194  1577306  1577412  1577534  1577781  1577925  1579740  1579886  1579995  1580132  1580311  1580592  1580702  1580941  1603868  1603975  1604079  1604188  1604292  1604452  1604558  1604666  1604852  1605284  1605434  1662015  1662121  1662238  1662360  1662484  1662621  1662746  1662874  1663004  1663134  1663263  1666802  1666932  1667038  1667169  1667304  1667417  1667522  1667633  1667748  1669200  1669368  1669479  1669647  1669820, 1    66294    66615    66833    66999    71403    71514    84386   983876  1461352  1461487  1587361  1587492  1587713  1588101  1588200  1588317  1588461  1588581  1588710  1588850  1588987  1589131  1589420  1590239  1590386  1590551  1590779  1591007  1591613  1620155  1620393  1620564  1620710  1620808  1620944  1621074  1621186  1621507  1624256  1624394  1624613  1624729  1624849  1624958  1625463  1625684  1625823  1626517  1626627, 12    42183   115290  1574614  1603628  1661714, 17652    42635   123598  1580802  1605343  1669841, 127276  1587006  1619641  1623840, 134129  1591625  1621632  1626762, 1580810, 1580819, 1580828, 1651989, 1651992, 1651996, 1652147  1652151, 1654785, 1654789, L, 1661722, 1661727, 1669849, 0, 0, 0, 0, 0, 1669898, 1669906, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1670364  1670518  1670665  1670864  1671025  1671512  1671618  1671726  1672451  1672577  1672848  1672975  1673578  1673920  1674028  1674143  1674280  1674435  1674560  1676480  1676608  1676739  1676871  1676984  1677357  1677464  1678091  1678222  1678646  1692345  1692489  1692594  1692768  1692925  1693618  1693736  1693977  1696799  1696923  1697029  1697136  1698157  1712705  1712852  1712963  1713108  1713224  1714093  1714200  1714309  1715164, 1681435  1681538  1681684  1681788  1682067  1687773  1687894  1688253  1688365  1718924  1719129  1719236  1719614  1719714  1719936  1720072  1720264  1720466  1720603  1720739  1720880  1721022  1721165  1722855  1722974  1723238  1723801  1723905  1724046  1725786  1726050  1726202  1726783  1726891  1727067  1727240, 1670212  1676248, 1674541  1678614, 1680972  1687297  1718504, 1682126  1688534  1727243, 1674544, 1674547, 1674550, 1706496, 1706504, 1706513, 1706664  1706673, 1709312, 1709321, R, 1718524, , 1727244, 0, 0, 0, 0, 0, 1727250, 1727252, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1718535, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1745379  1745521  1745660  1745815  1745949, 1731222  1749276  1749547  1751279  1751604  1751738  1752158  1752439  1752537  1775750, , , 1729900  1748914  1750087  1774827  1776843, 1730524  1749841  1752528  1775788  1777025, 1727937, 1727938, 1727939, 1781136  1781996  1789038, 1781140, 1781145, 1781296  1781301, 1781791  1782401  1789599, 1781796, , , , , 1, 1, 0, 0, 0, 1796851, 1796858, L1:R1, 100.00, 000(1)1, 000(1)1, , 204, no_go, 1796841
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1799361  1799491  1799702  1800182  1800318  1800822  1801211  1801321  1801459  1801571  1801679  1802090  1802363  1802537  1805471  1805587  1805764  1805995  1806267  1806374  1806494  1806823  1851119  1851309  1851455  1853450  1853609  1891973  1910723  1910830  1912501  1912624  1912747  1913188  1914770, 1828718  1828857  1829020  1829169  1829534  1829669  1832104  1841331  1841451  1841575  1841748  1842538  1842967, 1839880, , 1827813  1827999  1831888  1832532  1840427  1870865  1902423  1907015  1908587  1908685, 1827859  1830177  1832272  1832756  1843045  1871832  1902701  1907496  1908638  1908731, 1797202, 1797203, 1797204, 1919673, 1919683, 1919694, 1919844  1919854, 1920390, 1920401, L, 1920422, , , 1, 0, 0, 0, 1, 1920530, 1920542, L2:R1, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1920515
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1922994  1923099  1923283  1923405  1923692  1924082  1924190  1924311  1924460  1924590  1925327  1925469  1928581  1928685  1928808  2004701  2004849  2004990  2005517  2007355  2046918  2047066  2047195  2063219  2125572  2125701  2125827  2125937  2126041  2126150  2126686  2126791  2126983  2127301  2127415  2127580  2127719  2210705  2210810  2239614  2239720  2239851  2240126  2240254  2240478  2240588  2241299  2241416  2241541  2241652  2241823  2258051  2258333  2291528  2292454  2292824  2299531  2299677  2417747  2417924  2418085  2419930  2433380  2433484  2433593  2433701  2433864  2433991  2434123  2434279  2434388  2434505  2440134  2440293  2440470  2440631  2440771  2440980  2441395  2441503  2441627  2442819  2442939, 1943060  1943215  1943316  1943533  1943912  2012342  2012498  2012635  2012779  2218507  2218618  2222263, 2312737  2387745  2417108  2417692  2419605  2433032, 2307678  2312748  2388096  2417607  2418297  2420027  2442955, 1942483  1945201  2011028  2013041  2013161  2093912  2094289  2101198  2105132  2155082  2155689  2218139  2221033  2221449  2222194  2267967  2268565  2277055  2277318  2278170  2346391  2359486  2396147, 1943903  1945529  2012857  2013110  2013207  2094025  2094571  2101678  2105556  2155350  2155752  2218745  2221184  2221468  2222211  2268169  2268716  2277276  2277340  2278188  2346667  2360216  2396312, 2307681, 2307685, 2307688, 1986040  2042817  2253493  2430115, 2430123, 2430131, 2430281  2430288, 1986418  2044557  2255915  2431613, 2431621, L, 2433047, 2433056, 2442966, 0, 0, 0, 0, 0, 2443034, 2443045, L3:R1, 75.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2454474  2454580  2454689  2454899  2455135  2455321  2455452  2455593  2456364  2456485  2456602  2456708  2525898  2526042  2526570  2526782  2533425  2533529  2533661  2533787  2533893  2534195  2534366  2534476  2534600  2534747  2534907  2535018  2535773  2535897  2536008  2536135  2536283  2536390  2536569  2536966  2537071  2538063  2538171  2538740  2538857  2538966  2539120  2541268  2541413  2541776  2542314  2542424  2544356  2544499  2544738  2544986  2545114  2546424  2546557  2546717  2546832  2547945  2548051  2549824  2549967  2550881  2550990  2551150  2551267  2551875  2551983  2552169  2552338  2553510  2553623  2553739  2553869  2557952  2558387  2558548  2558656  2558770  2558888  2559049  2560067  2560180  2560322  2560428  2560539  2561082  2561208  2562198  2562345  2562538  2563349  2563475  2563593  2563708  2564123  2564234  2564353  2564592  2566554  2566680  2566803  2566932  2567172  2567275  2567397  2567507  2567621  2568403  2752912  2811922  2812082  2812189  2812578  2812796  2856010  2856119  2856238  2857618  2857856  2858021  2859472  2859582  2859729  2859846  2991545  2997823  2997933  2998043  2998155  2998278  2998395  2998500  2998604  2998726  3004978  3005089  3005207  3005360  3005469  3005602  3005731  3005878  3006417  3006553, 2516433  2516580  2517063  2583228  2583377  2633397  2665116  2665592  2666290  2667801  2667945  2670897  2671485  2671640  2672150  2672266  2672376  2672486  2672646  2674608  2678180  2678791  2678982  2679093  2679459  2679564  2679792  2680877  2681006  2681148  2681342  2681932  2682132  2683120  2683596  2688609  2727844  2728048  2728185  2728345  2728891  2729036  2729250  2729868  2729970  2730103  2730445  2739481  2740077  2792264  2792637  2792747  2871391  2871773  2872133  2872230  2872380, 2454259  2456231  2496195  2525745  2528407  2533224  2557719  2566034  2750903  2751777  2752727  2811681  2811714  2813613  2855775  2857434  2991302  2997560, 2455566  2456717  2496512  2526947  2528540  2553982  2564562  2568336  2751583  2751990  2753843  2811691  2812832  2814057  2856932  2859880  2991559  3006571, 2500769  2502115  2504919  2514621  2515698  2515972  2581722  2582223  2585203  2632869  2650908  2664569  2670542  2677590  2687079  2726921  2739142  2791653  2791789  2823669  2870223  2957371, 2501645  2502340  2505095  2514827  2515856  2517009  2582212  2583812  2585516  2633672  2651588  2668365  2674560  2683539  2689554  2730668  2740358  2791677  2793026  2824578  2873073  2958596, 2443811, 2443812, 2443813, 2995316  2995621, 2995324, 2995335, 2995486  2995495, 2995517  2996192, 2995526, L, 2997579, 2997591, 3006583, 0, 0, 0, 0, 0, 3006818, 3006819, L4:R1, 80.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3021590  3021712  3021829  3022003  3022135  3047667  3054755  3054862  3054971  3055116  3055237  3055347  3055461  3055569  3055678  3058537  3059896  3060000  3060150  3060278  3060451  3060577, , 3021286  3023516  3047378  3054426, 3022068  3023685  3047647  3060610, 3019262, 3019484, 3007584, 3007584, 3007585, 3051377  3052172  3052530, 3051380, 3051384, 3051535  3051538, 3052140  3052484  3052947, 3052144, L, 3054435, 3054440, 3060617, 0, 0, 0, 0, 0, 3060662, 3060670, L5:R1, 83.33, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3097915  3098045  3100081  3104531  3105961  3106070  3106241  3106375  3106486  3106618  3106764  3106969  3113566  3113676  3113889  3114010  3114124  3114231  3114344  3114463  3114569  3119939  3120094  3120207  3120324  3120513  3120621  3120813  3121092  3121202  3121325  3121444  3123061  3123183  3123293, , 3076453  3097723  3098821  3099878  3102643  3105664  3113400, 3076691  3098402  3098943  3100277  3102881  3106891  3123517, 3070322  3087138, 3070564  3087559, 3061270, 3061271, 3061272, 3111280, 3111285, 3111291, 3111442  3111447, 3111974, 3111981, L, 3113412, 3113418, 3123526, 0, 0, 0, 0, 0, 3123584, 3123595, L6:R1, 85.71, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3125769  3125935  3126168  3139826  3139973  3140090  3140256  3140464  3143332  3143476  3143675  3144316  3144434  3144551  3166816  3167121  3186881  3187627  3187775  3187924  3188529  3197133  3197245  3197350  3197456  3197579  3197702  3197828  3197959  3198091  3201691  3201836  3201982  3202088  3202194  3202315  3202443  3202590, 3133156  3133268  3133486  3133658  3133879  3134086  3162238  3162651  3162770  3163672, 3125547  3139550  3143138  3166644  3186594  3188008  3196828, 3126119  3140771  3144568  3167616  3187917  3188616  3204280, 3132800  3136538  3161310  3161922  3163388  3184790, 3134156  3136762  3161742  3163126  3163687  3184939, 3124279, 3124280, 3124280, 3194344  3195118, 3194352, 3194362, 3194513  3194522, 3194899  3195211, 3194908, L, 3196848, 3196858, 3204292, 0, 0, 0, 0, 0, 3204369, 3204382, L7:R1, 87.50, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3204554, , 3238732, , , , 3205055, 3205056, 3205056, 3235781, 3235782, 3235784, 3235935  3235936, 3236294, 3236296, L, 3238736, , , 1, 0, 0, 0, 1, 3238765, 3238768, L8:R1, 77.78, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 3238759
