max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, L_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   166349   192716   192829   192948   193219   193835   193942   194053   194177   194281   195974   196083   196200   196325   198087   204782   204887   204991   205507   206067   212662   250120   250591   250711   252129   252235   252346   252455   256836   257587   263292  1874414  1874711  1874818  1874927  1875040  1987518  1987625  1987732  1987867  1987990  1988097  1988205  1988343  1988450  1988575  1988680  1988810  1988944  1989076  1996172  1996316  1996426  1996534  1996672  1996783  1996892  1997125  1997268  1997426  1998396  1998550  1998654  1999039  1999153  1999287  2000310  2000463  2000626  2001312  2023980  2024099  2024758  2025593  2025721  2025867  2026056  2026171  2026820  2026926  2027058  2027164  2027270  2027423  2027595  2027717  2027886  2028407  2028521  2028658  2028807  2028922  2029037  2029175  2029317  2029424  2030322  2030429  2030552  2030671  2030815  2034454  2034582  2034692  2034798  2035441  2035578  2035731  2037926  2038116  2038231  2038780  2038927  2040382  2040601  2041018  2041123  2041769  2051610  2051728  2051834  2053590  2053761  2053941  2054189  2054295  2054431  2054539  2054676  2054788  2055546  2055680  2055806  2055919  2057048  2057162  2057309  2057612, 1   198506   198865   217035  2007805  2007904  2008044  2008321  2008453  2008592  2008736  2008888  2009035  2009190  2010125  2010263  2010430  2010624  2010765  2010926  2011100  2011424  2011619  2012092  2012257  2012803  2013933  2014040  2014241  2014341  2014509  2014673  2014820  2014949  2015687  2015983  2016339  2064257  2064474  2064600  2064826  2064970  2065103  2065240  2065377  2065518  2065664  2065806  2068180  2068285  2068435  2068634  2068772  2069026  2069250  2069440  2069603  2070481  2070677  2070802  2071006  2071272  2071709  2071901  2072057  2072895  2073246  2073994  2074092  2074189  2074404  2074773  2074959  2075106  2075288  2076065  2076197  2076346  2076479  2077324  2077453  2078102  2078281  2079269  2079458  2079637, 216797  2007393  2013520  2063696, 221640  2012950  2016335  2079943, 1989823, 1989830, 1989837, 2048492, 2048498, 2048506, 2048657  2048664, 2049601, 2049608, R, 2063716, 2063727, 2079946, 0, 0, 0, 0, 0, 2079966, 2079971, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2092566  2092678  2092783  2092913  2093022  2123944  2124056  2124273, 2098292  2098540  2098650  2098988  2101031  2101182  2101849  2102035  2102182  2102673  2102779  2102889, 2097795  2100590  2100694  2134715, 2099014  2100665  2102947, 2081278, 2081280, 2081281, 2131701, 2131705, 2131710, 2131861  2131865, 2132299, 2132304, R, 2134725, , , 1, 0, 0, 0, 1, 2134782, 2134790, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2134773, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2147292  2147418  2148056  2148416  2148729  2148870  2149204  2150217  2150333  2150477  2150622  2150828  2150955, 2184812  2185012  2185138, 2137650  2183575  2184058  2184343  2185265  2226610, 2135270  2137982  2183688  2184194  2185119  2185286, 2135334, 2135335, 2135336, 2224779, 2224783, 2224789, 2224940  2224945, 2225069, 2225074, R, 2226621, , , 1, 0, 0, 0, 1, 2226681, 2226689, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2226672, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2236167, 2226976  2228974  2229123  2229630, 2227177  2228668  2229684  2239283  2239469  2240070  2240254  2263099, 2227160  2227363  2229628  2229761  2239380  2239758  2240173  2240322, 2227160, 2227161, 2227162, 2250858  2256820, 2250862, 2250867, 2251018  2251022, 2251682  2257059, 2251687, R, 2263109, , , 1, 0, 0, 0, 1, 2263168, 2263175, L0:R4, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2263158, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2277421  2278043  2278177  2278507  2278644  2278792  2279376  2279788  2279902  2280089, 2311451, 2267000  2311147  2320181, 2263806  2267125  2312064, 2263806, 2263808, 2263809, 2318257, 2318260, 2318264, 2318415  2318418, 2318593, 2318597, R, 2320189, , , 1, 0, 0, 0, 1, 2320235, 2320241, L0:R5, 20.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2320227, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2329478, 2320744, 2320745, 2320746, 2320746, 2325023, 2325024, 2325026, 2325177  2325178, 2326898, 2326900, R, 2329482, , , 1, 0, 0, 0, 1, 2329510, 2329515, L0:R6, 16.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2329504, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2407158  2423894, , 2386743  2386872  2387230  2440997  2455022, 2330054  2386847  2387204  2387260  2441299, 2330054, 2330055, 2330056, 2451866, 2451868, 2451872, 2452023  2452026, 2452035, 2452038, R, 2455029, , , 1, 0, 0, 0, 1, 2455072, 2455077, L0:R7, 14.29, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2455064, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2463100  2463209  2463671  2496820  2496954  2497160  2497533  2497971  2498081  2498187  2498290  2499809, 2455477  2456946  2457146  2457699  2471794  2472484, 2456074  2471383  2506049, 2455524  2457976  2472599  2506131, 2455524, 2455525, 2455527, 2491492  2493948, 2491495, 2491499, 2491649  2491652, 2491661  2494897, 2491664, R, 2506059, , , 1, 0, 0, 0, 1, 2506117, 2506124, L0:R8, 12.50, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2506107, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2539003  2539114, 2513680  2514678  2519367  2519908  2521028  2528997, 2506397  2506627  2512677  2514771  2515093  2517352  2517912  2519567  2519804  2519825  2521089  2522205  2523171  2523556  2525012  2526022  2527340  2528222  2545259, 2506535  2507156  2513594  2515019  2515128  2517421  2518158  2519704  2519815  2519835  2521160  2522240  2523529  2523665  2525238  2527245  2527360  2528578, 2507157, 2507158, 2507160, 2541883, 2541890, 2541899, 2542050  2542058, 2542285, 2542294, R, 2545276, , , 1, 0, 0, 0, 1, 2545366, 2545377, L0:R9, 11.11, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2545353, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2567771  2567942  2568073  2568928  2569584  2569689  2569852  2569972  2570684  2570813  2570973  2571240  2571373  2571481  2571957  2572071  2573462  2573591  2573733  2574116  2574629  2574767  2576205  2576363  2576488  2576600  2576705  2576823  2576954  2577163  2577269  2577386  2577519  2579697  2579985  2580094  2580201  2580325  2580464  2580610  2582350  2582509  2582626  2582753  2582888  2583073  2583585  2583761  2583869  2585159  2585298  2585411  2585534  2585689  2586054  2586415  2586823  2587392  2587502  2587633  2587747  2587860  2587968  2588084  2588193  2588337  2588506  2588925  2589037  2590454  2590574  2590681  2590860  2590989  2591108  2591243  2591365  2591474  2591604  2591713  2591848  2593359  2593520  2593655  2593821  2593930  2594035  2594899  2595007  2595125  2595915  2596062  2596175  2596428  2597502  2597637  2597758  2597868  2598054  2598745  2598872  2599122  2599274  2599379  2599507  2601763  2601902  2602073  2602193  2603268  2603396  2604135  2604249  2607316  2607474  2607599  2607741  2607849  2607960  2608103  2608268  2608374  2608490  2608638  2611143  2611253  2611387  2614174  2614352  2614840  2614957  2615067  2615181  2615561  2615668  2615786  2616550  2616706  2617418  2617554  2617686  2617806  2617914  2618061  2619455  2619568  2619714  2619830  2620379  2620489  2621027  2621135  2621780  2621924  2623725  2624571  2624796  2624905  2625080  2625219  2625327  2625596  2625705  2625826  2626321  2628763  2629093  2629227  2629491  2629698  2632848  2632992  2633127  2633237  2633677  2633806  2633917  2634036  2634158  2634303  2634425  2634537  2634692  2635750  2636275  2636726  2636830  2636948  2637117  2637248  2637390  2637507  2637689  2637850  2638422  2640849  2641047  2641616  2641767  2641893  2642010  2643550  2644366  2645456  2645564  2645676  2645812  2645932  2646909  2647017  2647157  2647289  2647725  2647878  2648654  2648795  2648899  2649038  2649143  2649391  2649974  2650863  2651030  2651148  2651273  2651395  2651701  2652153  2652280  2652553  2652712  2652839  2652966  2653119  2654775  2654892  2655008  2655139  2655244  2655407  2655521  2655632  2657459  2657566  2657673  2657777  2657887  2659245  2659362  2659473  2659582  2659688  2664110  2664256  2664364  2664471  2665255  2665401  2667208  2667313  2667504  2667669  2667779  2668125  2669309  2676809  2676999  2677172  2678321  2678430  2678591  2679258  2679372  2679966  2680121  2680239  2680409  2680854  2680993  2681133  2681240  2681344  2681450  2681586  2681697  2681836  2682028  2682136  2682244  2686018  2686131  2686470  2686595  2686737  2686865  2687765  2687878  2690955  2691081  2691437  2691566  2691692  2718763, , 2732642, 2546511, 2546511, 2546512, 2546513, 2727956, 2727968, 2727983, 2728134  2728147, 2728751, 2728764, R, 2732812, , , 1, 0, 0, 0, 1, 2732826, 2732828, L0:R10, 10.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2732821, 2645789  2646836  2647233  2648864  2649007  2649177  2649299  2649328  2649535  2649564  2649641  2649676  2649699  2649773  2651302  2651333  2651388  2651499  2651658  2652747  2652886  2653035  2653344  2655130  2655318  2655504  2655550  2655718  2656386  2656945  2657719  2657811  2658924  2659200  2659272  2659595  2664379  2667484  2669494  2669995  2670464  2670505  2670601  2671754  2681610  2686815  2687809  2691521, 2645830  2647029  2647304  2648905  2649169  2649254  2649319  2649336  2649544  2649590  2649661  2649688  2649752  2649795  2651321  2651350  2651443  2651511  2651687  2652848  2652976  2653134  2653411  2655255  2655418  2655533  2655650  2656367  2656512  2656984  2657792  2658065  2658934  2659251  2659368  2659646  2664476  2667510  2669663  2670006  2670475  2670553  2670632  2671799  2681712  2686875  2687866  2691578, 
