max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, L_reward_ts, well_off_ts, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  1048503  1048612  1048721  1048833  1049235  1049457  1055634  1055742  1059217  1111943  1112164  1112313  1112422  1143004  1144960  1161497  1167357  1167466  1167689  1167796  1167911  1168036  1168145  1168261  1168373  1168505  1168625  1168734  1168840  1168955  1169079  1169205  1169451  1169747  1169953  1170081  1170332  1170451  1174985  1175156  1175359  1175464  1175600  1176093  1201960, 1  1049823  1049925  1050028  1050135  1050297  1050408  1050514  1050702  1050813  1051610  1051726  1106766  1119858  1119963  1120081  1127382  1127517  1149371  1149489  1161490  1161594  1196866  1196971  1197079  1197559  1197662  1202331, 1004061, 1004062, 1004063, 1111656  1142840  1167638  1170520  1174844  1175952  1176395, 1111963  1142894  1170479  1170582  1175589  1176037  1176588, 1148309  1148668, 1148342  1148687, 1187360, 1187372, 1187385, 1187536  1187549, 1188264, 1188277, 204, no_go, 1, 1, 0, 0, 0, 1203478, 1203482, 1203484, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1207345  1207464  1207605  1207717  1207929  1208049  1208190  1208303  1208460  1208578  1208756  1209009  1209147  1209269  1209389  1209521  1209868  1210002  1214514  1214638  1214748  1214950  1215224  1215335  1215443  1215549  1215700  1215844  1215993  1216130  1216237  1216557  1216664  1216874  1217035  1217156  1217273  1217388  1303038  1303143  1303259  1303367  1303475  1303588  1303701  1303830  1303938  1304070  1304178  1304285  1306744  1306855  1306970  1307106  1307220  1307341  1307464  1307579  1307697  1307848  1308009  1308143  1308250  1308400  1308530  1313192  1313310  1313485  1313637  1313799  1314601  1314721  1314886  1315129  1315295  1322758  1322872  1322981  1323102  1323208  1323317  1396445  1396558  1396675  1396821  1396942  1397051  1397294  1397489  1397772  1399373  1399481  1399588  1399695  1399801  1400029  1400142  1400817  1401161  1401426  1401921  1402030  1402164  1402391  1402520  1402627  1402736  1402862  1483239  1483359  1483632  1483759  1483913  1484031  1484317  1484540  1484850  1494073  1494183  1494293  1494448  1494556  1494668  1494774  1494936  1495070  1495277  1495448  1495586  1495730  1495837  1495954  1496064  1496204  1496370  1496535  1496701  1496878  1497015  1497177  1497366  1497494  1497604  1497712  1497835  1497942  1498051  1498163  1498269  1498443  1498603  1498765  1498928  1499084  1499327  1499443  1499558  1499677  1499787  1499901  1500014  1500137  1500267  1500376  1500490  1500601  1500831  1500942  1501073  1501243  1501407  1501572  1501752  1501889  1502008  1502121  1504861  1505087  1505213  1505323  1505429  1505554  1505663  1505772  1505887  1506010  1506136  1506251  1506379  1512091  1512203  1512331  1512443  1512554  1512683  1512793  1512906  1513012  1513120  1513255  1513425  1513533  1513647  1513768  1513935  1514086  1522289  1522403  1522517  1522625  1522752  1523004  1523161  1523299  1523416  1523549  1523686  1523803  1523953  1524086  1524285  1524442  1524580  1524699  1524836  1524953  1525066  1525214  1525322  1525428  1525573  1525737  1525844  1525951  1526061  1526206  1526344  1526464  1526627  1526790  1526900  1527014  1527122  1527236  1527359, 1225070  1225179  1226869  1226972  1244283  1244424  1271227  1271332  1271448  1272604  1272707  1272812  1272932  1273181  1273907  1274381  1274997  1275619  1275746  1275911  1276019  1276372  1276592  1276904  1277019  1277238  1277540  1277647  1278000  1278138  1278281  1278385  1278500  1278610  1278748  1278930  1279078  1279186  1279464  1279566  1279699  1279848  1279980  1280083  1280211  1280316  1280439  1280541  1280663  1280779  1280944  1281080  1281216  1281320  1281432  1281595  1281735  1281870  1281976  1282131  1282239  1282370  1282481  1282635  1282740  1282972  1283133  1283241  1283372  1283478  1283619  1284212  1284316  1284455  1284612  1284788  1284951  1285061  1285168  1285276  1285387  1285497  1285746  1285903  1286055  1286221  1286340  1286494  1286600  1286707  1286826  1286939  1287099  1287263  1287392  1287570  1287678  1287904  1288075  1288244  1288859  1289057  1289435  1289545  1289690  1289792  1289955  1290058  1290161  1290334  1290623  1290782  1290949  1291826  1291990  1292143  1292298  1292401  1292540  1297497  1298407  1326265  1326388  1326492  1326600  1326704  1338511  1338649  1338760  1338868  1338991  1339137  1339284  1339401  1397783  1397895  1398009  1398114  1398216  1398334  1398887  1398993  1399113  1406769  1406893  1406994  1407107  1407469  1407597  1407929  1408407  1408558  1408899  1409544  1409695  1409807  1409943  1410173  1410685  1410822  1411090  1411220  1411331  1411572  1411775  1411926  1412479  1440786  1440943  1441054  1441173  1441286  1441412  1441627  1441763  1441923  1442071  1442207  1442347  1442494  1442649  1442803, 1204411, 1204412, 1204412, 1206877  1207024  1207144  1207252  1207373  1214329  1248111  1262736  1262825  1262960  1263096  1263201  1263344  1263691  1264069  1264165  1264358  1266507  1267401  1302857  1303163  1306579  1306692  1306833  1306977  1307081  1307497  1308623  1308733  1309076  1309133  1309294  1309692  1309791  1310346  1310781  1310851  1310947  1311655  1312492  1312733  1314175  1314333  1315331  1322627  1348144  1349950  1349999  1399287  1400443  1401217  1482889  1483140  1484349  1484445  1484751  1484840  1485268  1485377  1485757  1486236  1486338  1486930  1487197  1487298  1488417  1488782  1488961  1489130  1489281  1489404  1489580  1489725  1490257  1490401  1490444  1491737  1491934  1492163  1492723  1493701  1501691  1502472  1504588  1511294  1511578  1511885  1512042  1522142, 1206961  1207099  1207226  1207348  1210028  1217427  1248828  1262759  1262903  1263041  1263163  1263316  1263418  1264037  1264148  1264183  1264413  1267053  1267706  1302965  1304250  1306670  1306818  1306944  1307068  1307454  1308606  1308676  1309051  1309094  1309235  1309641  1309734  1310216  1310738  1310824  1310869  1311259  1312442  1312558  1314135  1314267  1315289  1315398  1323213  1348270  1349976  1350076  1400266  1401205  1402867  1483123  1484334  1484430  1484733  1484818  1485247  1485345  1485736  1486188  1486280  1486903  1487165  1487259  1488242  1488719  1488852  1489009  1489171  1489345  1489514  1489677  1490207  1490371  1490419  1491710  1491835  1491951  1492412  1493686  1501664  1502154  1502590  1506296  1511514  1511677  1512030  1514027  1527347, 1222218  1272473  1287983  1288147  1288313  1288482  1288607  1289119  1297229  1297277  1297297  1297477  1297522  1325895  1327158  1328554  1328632  1331895  1332508  1333461  1333635  1333789  1334287  1338343  1381332  1406704  1410893  1440568, 1222353  1287966  1288128  1288274  1288430  1288574  1289069  1292648  1297244  1297289  1297388  1297492  1297558  1326816  1327256  1328565  1328989  1331937  1332975  1333519  1333674  1334164  1334482  1339364  1381379  1410878  1412498  1442856, 1516233  1516825  1517014  1520213  1520812, 1516238, 1516245, 1516396  1516403, 1516414  1516950  1518267  1520782  1521216, 1516420, , , 0, 0, 0, 0, 0, , 1527584, 1527585, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1522159, 1522167, 1527373, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1527741  1527860  1527970  1528098  1528224  1528390, , 1528610, 1528612, 1528613, 1527600  1558937  1562288  1576699, 1528426  1559141  1562377  1576870, , , 1562914, 1562917, 1562920, 1563071  1563075, 1563084, 1563087, , , 0, 0, 0, 0, 0, , 1576902, 1576907, L2:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1576706, 1576710, 1576874, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1576974  1577263  1577681  1577984  1578092  1578277  1578540  1578680  1578819  1578935  1579055  1579186  1579405  1579519  1579669  1579840  1579979  1580113  1580242  1580379  1580489  1580596  1580716  1580831  1581049  1581197  1581340  1581484  1581604  1581739  1581889  1582002  1582138  1582376  1582537  1582696  1582804  1582929  1583038  1583545  1583684  1583827  1583996  1584162  1584272  1584379  1584500  1584663  1585167  1585306  1585412  1585530  1585664  1585845  1585999  1586163  1586517  1586662  1586774  1586884  1586989  1587148  1587307  1587469  1587601  1587710  1587877  1588052  1588216  1588330  1588444  1588555  1588891  1588999  1589111  1589582  1589702  1589827  1611978  1612085  1612208  1612321  1612447  1612609  1614233  1614502, 1593380  1593489  1593593  1593699  1593846  1594000  1594265  1594418  1630562, 1577364, 1577365, 1577367, 1577233  1577493  1588796  1589383  1591041  1611788  1613216  1614199  1614462, 1577283  1588497  1589164  1590028  1591061  1612785  1613230  1614296  1614592, 1593259, 1594383, 1614831  1630478, 1614833, 1614836, 1614987  1614989, 1615751, 1615754, 204, no_go, 1, 1, 0, 0, 0, 1630779, 1630787, 1630792, L2:R0, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1656599  1656761  1656877  1657018  1657155  1657269  1657378  1677194  1677455  1677572  1677684  1678255  1678363  1678472  1678586  1718512  1718888  1742580  1743635  1743741  1743859  1743969  1744084  1744215  1744320  1744495  1745185  1745336  1745600  1745729  1745891  1746035  1746170  1746276  1746455  1746879  1747021  1747167  1747317  1747466  1747613  1747769  1747930  1748089  1748300  1748595  1748781  1749015  1749182  1749364  1749518  1749628  1749789  1749897  1750019  1750178  1750292  1750527  1750689  1751946  1752095  1752267  1752391  1752533  1752648  1752821  1753552  1753710  1753876  1754063  1754324, 1672636  1672746  1672858  1672985  1673090  1673206  1698738  1698900  1699068  1699187  1699327  1699448  1699573  1699696  1699808, 1631195, 1631196, 1631197, 1656164  1656468  1676997  1677103  1715070  1718123  1719684  1722052  1722393  1723105  1723427  1743413, 1656277  1657343  1677064  1678657  1715276  1719447  1722010  1722066  1723062  1723128  1723754  1754343, 1672348  1698185  1698375  1698550  1738423, 1673284  1698339  1698396  1699879  1738541, 1739340, 1739350, 1739361, 1739512  1739522, 1631084  1740253, 1740264, , , 0, 0, 0, 0, 0, , 1754379, 1754385, L3:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1743436, 1743448, 1754347, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1754693  1754803  1754911  1755062  1755170  1755309  1755739  1755996  1756240  1756349  1756515  1756622  1756796  1760133  1760243  1760377  1764382  1764489  1764598  1764707  1764816  1764923  1765166  1765271  1765414  1765545  1767169  1768126  1768256  1768375  1768499  1768618  1768726  1768834  1768957  1769072  1769177  1769287  1769398  1769564  1769733  1769994  1780196  1780348  1780458  1780634  1782489  1783777  1783896  1784004  1784116  1784295  1784487  1785036  1785238  1785362  1785480  1785600  1785980  1786169  1786291  1786408  1786542  1786694  1787011  1787123  1787309  1787462  1787617  1787791  1788063  1788180  1788726  1788874  1789530  1789654  1790270  1790403  1791422  1791546  1791683  1791796  1792125  1792337  1792596  1792747  1793067  1793226  1793348  1793654  1793896  1794050  1795969  1796353  1797168  1797294  1797844  1798057  1798275  1798406  1798597  1799205  1799578  1799912  1800069  1800178  1800287  1800424  1800534  1800645  1800800  1801043  1801152  1801307  1801529  1801643  1801759  1806258  1811980  1812090  1812195  1812310  1812438  1812583  1812940  1813076  1817284  1820106, 1806843  1807139  1807300  1807402  1807523  1807631  1808398  1810577  1810690  1810822  1810934  1811051  1818358  1818469, 1756844, 1756847, 1756849, 1754468  1759893  1763958  1764283  1767875  1778665  1778979  1779135  1779738  1781472  1783447  1784217  1784522  1784887  1786206  1786319  1786574  1788637  1790826  1791427  1792317  1792483  1793035  1793570  1794436  1794965  1795530  1795760  1796685  1797149  1798913  1799221  1799374  1799475  1799682  1799754  1802415  1807054, 1756842  1760353  1764253  1765500  1769945  1778957  1779075  1779674  1780704  1781497  1784175  1784285  1784541  1786188  1786279  1786351  1788582  1790802  1791356  1792199  1792385  1793000  1793082  1794424  1794926  1795516  1795728  1796244  1796874  1798896  1798935  1799317  1799420  1799656  1799703  1801746  1802437  1807641, , , 1808069, 1808070, 1808073, 1808224  1808226, 1808240, 1808242, 204, no_go, 1, 1, 0, 0, 0, 1823278, 1823285, 1823291, L3:R0, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1863562  1863684  1863798  1863941  1864065  1864171  1864278  1864390  1864497  1864619  1864742  1864862  1864997  1865253  1865406  1865540  1865683  1865807  1865950  1866077  1866228  1866366  1866496  1866637  1866786  1866936  1867070  1867223  1867360  1867500  1867640  1867807  1867965  1868119  1868266  1868418  1868581  1868740  1868854  1868991  1869126  1869244  1869441  1869553  1869663  1869770  1869878  1870046  1870539  1871379  1872766  1875246  1876597  1876708  1876820  1876974  1877085  1877249  1877412  1877580  1877742  1877848  1877988  1878105  1878456  1878565  1878697  1878831  1878942  1879107  1879274  1879578  1879756  1879880  1880244  1884050  1884170  1884309  1884650  1887504  1888607  1888723  1888998  1889140  1889250  1889357  1889480  1889644  1889805  1889927  1890034  1890147  1890258  1890363  1890470  1892464  1892574  1892687  1892796  1892925  1893037  1893148  1893270  1893428  1893599  1893715  1895394  1897701  1897824  1897933  1898041  1898188, , 1823807, 1823808, 1823808, 1863367  1874187  1874351  1875159  1875345  1875475  1878095  1878287  1880103  1880308  1883797  1884333  1884685  1884859  1888347  1892260  1895256  1897451  1907042, 1874150  1874303  1875121  1875278  1875403  1878078  1878141  1879928  1880274  1880415  1884259  1884612  1884800  1887479  1890442  1893751  1895465  1898286  1907232, , , 1903123  1903334, 1903130, 1903138, 1903289  1903296, 1903310  1904296, 1903317, , , 0, 0, 0, 0, 0, , 1907295, 1907304, L4:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1907059, 1907067, 1907240, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1907436  1907795  1908322  1908442  1908551  1908698  1908943  1909057  1909327  1909455  1909671  1909790  1909956  1910088  1910222  1910371  1910506  1910646  1910792  1910935  1911082  1911241  1911378  1911517  1911633  1911831  1911947  1912060  1912176  1912346  1912586  1912735  1912886  1913044  1913208  1913371  1913869  1914022  1914285  1914513  1914650  1914759  1914881  1915004  1915307  1915540  1915681  1915801  1915907  1916121  1917619  1917742  1917969  1918544  1930015  1930794  1930909  1931017  1931127  1931346  1942084  1942190  1942335  1942470  1942578  1942684  1942853  1942979  1943132  1947284  1947392  1947522  1947678  1947825  1952537, 1967756  1967918  1968023  1968134  1968236  1968343  1968446  1968548  1968649  1968752  1968856  1968961  1969075  1969197  1969303  1969416  1969532  1969663  1969790  1969973  1970471  1971279  1971417  1971536  1971768  1971890  1972030  1972143  1972407  1972529  1972755  1973293  1973432  1973559  1973678  1973803  1973952  1974093  1974242  1974377  1974487  1974597  1974798  1974948  1975083  1975197  1975423  1975575  1975750  1975908  1976151  1976327  1976482  1976638  1976794  1976952  1977124  1977363, 1916001, 1916008, 1916016, 1907658  1907700  1907991  1917221  1917513  1917666  1918559  1918822  1921648  1930482  1941925  1946930  1952219, 1907668  1907942  1915994  1917497  1917652  1918535  1918578  1921356  1922134  1931314  1943227  1947791  1952713, 1967766, 1977703, 1962041, 1962042, 1962044, 1962194  1962195, 1962202, 1962203, , , 0, 0, 0, 0, 0, , 1977770, 1977780, L4:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1967770, , 1977713, 1967773
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1994894  1995019  1995133  1997991  1998110  2002170  2003017  2004008  2004382  2004499  2005094  2007421  2007547  2007657  2007763  2007927  2051016  2051721  2051894  2052012  2052254  2052542  2052668  2064408  2070538, 1978708  1979013  1979174  1979275  1979428  1979642  1979762  1979912  1981569  1981681  1981834  1981940  1982093  1982271  1982416  1985623  1985749  1985856  1986011  1986151  1986254  1986358  1986466  1986617  1987033  1990499  1990649  2012993  2013195  2013334  2013478, 1978596, 1978598, 1978599, 1994641  2000913  2001575  2002156  2002322  2003196  2003278  2003651  2004262  2007213  2050772  2050848  2051599  2064120  2070175  2070213  2071240  2072923, 1995146  2000941  2001701  2002294  2003182  2003226  2003635  2003959  2005007  2007889  2050822  2050990  2052691  2064468  2070189  2070339  2071257  2073095, 1978459  1978617  1981270  1985106  1985394  1990153  2012631  2020970, 1978596  1979974  1982698  1985207  1986983  1991017  2013567  2020995, 2072740, 2072742, 2072746, 2072897  2072900, 2072909, 2072912, , , 0, 0, 0, 0, 0, , 2073127, 2073132, L5:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2072931, 2072935, 2073100, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2073281  2074973  2078102  2078281  2078394  2078523  2078642  2078759  2078888  2079004  2079117  2079223  2079335  2079460  2079598  2079723  2079851  2079980  2080108  2080248  2080391  2080528  2080663  2080812  2080960  2081104  2081258  2081412  2081520  2081643  2081810  2081918  2082033  2082191  2082342  2082457  2082573  2082695  2082851  2083014  2083147  2083258  2083454  2083562  2083668  2083778  2083908  2084049  2090492  2090634  2090743  2090874  2106573  2107790  2107907  2108039, 2094677  2094814  2117961  2118095  2118326  2118442  2142513  2142616  2142780  2142908, 2073939, 2073940, 2073941, 2077866  2078006  2084390  2085838  2090228  2106344  2107697  2110766, 2077936  2084137  2084496  2085852  2091075  2106629  2108018  2110848, 2094485  2117367  2132584  2132713  2142111, 2094900  2118497  2132602  2132738  2142894, 2073365  2143651, 2143664, 2143679, 2143830  2144000, 2073938  2144306, 2144307, 204, no_go, 1, 1, 0, 0, 0, 2159317, 2159321, 2159324, L5:R1, 100.00, 000(1)1, 000(1)1, , , , , 
