max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1    37186    59753    60129    60377    60539   885095   885224  1085700  1085874  1086024  1086134  1086366  1086499  1086635  1086765  1086892  1087023  1087156  1087295  1087429  1087561  1087694  1087863  1088006  1088144  1088275  1088687  1088819  1089095  1089511  1089630  1089934  1090080  1090229  1090374  1090477  1090612  1090793  1090931  1091362  1091493  1091604  1091762  1091894, 48648    49082    50841  1110890  1113610  1119371  1121628  1142870, 48937    50115    52026  1113437  1119177  1119433  1121887  1143071, 55173  1139493, 55933  1139692, 59086  1085203  1085386  1100857, 60601  1085348  1091943  1101143, 1080327, 1080330, 1080334, 1139504, 1139515, 1139665  1139676, 1139702, L, 1142891, 1142903, 1143083, 0, 0, 0, 0, 0, 1143154, 1143168, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1159474  1159590  1159692  1159845  1159956  1160058  1160395  1161641  1161759  1161876  1161996, 1143346  1172593  1183923, 1151983  1172897, 1176363  1176921  1177441  1177900, 1176536  1177373  1177620  1178539, 1159169  1161422, 1160400  1162306, 1151983, 1151985, 1151986, 1176366, 1176371, 1176522  1176526, 1176540, L, 1183934, , , 1, 0, 0, 0, 1, 1183994, 1184002, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1183985, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1186898  1187037  1187160  1237708  1244641  1244771  1245004  1245119  1245396  1245529  1245858  1245962  1246081  1246215  1246347  1247212  1247345  1247486  1259799  1259919  1260741  1260865  1262633  1263023  1263212  1263319  1263433, 1189195  1189676  1189976  1190301  1190446  1191308  1225163  1230416  1249907  1269835  1291069  1296652  1296752  1297430  1297641  1297719  1298004  1298214  1299279  1299425  1324423, 1184605  1189634  1189695  1190069  1190428  1191237  1192783  1225515  1230712  1251129  1270161  1294807  1296722  1297130  1297599  1297691  1297984  1298023  1298679  1299360  1303673, 1320865  1321042, 1321026  1321076, 1186669  1237525  1244440  1247369  1259499  1260576  1261296  1262135  1262649, 1187115  1237794  1247333  1247458  1259890  1260806  1261369  1262622  1263423, 1184605, 1184606, 1184607, 1320865, 1320867, 1321018  1321019, 1321027, L, 1324427, , , 1, 0, 0, 0, 1, 1324455, 1324459, L3:R0, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1324449, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1330407  1330575  1331284  1331426  1331821, 1351164  1359105  1380098, 1325130  1354306  1359379, 1369917  1372603, 1370374  1374971, 1329756  1330276  1330862  1331177  1348996, 1329926  1330632  1330876  1331907  1349325, 1325130, 1325131, 1325132, 1369921, 1369926, 1370077  1370081, 1370379, L, 1380108, , , 1, 0, 0, 0, 1, 1380166, 1380173, L4:R0, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1380157, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1385187  1385300  1385476  1385583  1385692  1385904  1386031  1386606  1406008  1406203  1433806  1478756  1484522  1484764  1484886  1484999  1485132  1485265  1486183  1486317  1486576  1486681  1486792  1486905  1487378, 1380787  1381283  1381386  1381846  1393985  1394399  1396191  1403352  1403408  1417718  1420306  1421875  1422459  1425436  1431864  1435179  1444201  1468741  1469456  1469808  1470235  1502041, 1380517  1380890  1381350  1381687  1382237  1394379  1394454  1396585  1403369  1403913  1418228  1420662  1422317  1422655  1425835  1431954  1443690  1455520  1469246  1469636  1470214  1471259, 1491733, 1492056, 1384885  1391878  1405751  1433565  1478443  1478489  1479217  1484306, 1386600  1392125  1406197  1433890  1478473  1478935  1479545  1487391, 1380657, 1380658, 1380659, 1491901, 1491903, 1492054  1492055, 1492058, L, 1502044, , , 1, 0, 0, 0, 1, 1502067, 1502070, L5:R0, 20.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1502061, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1522960  1552449  1559665  1593980  1594511  1594649  1594821  1594924  1595113  1598193  1598303  1617617  1617719  1617896  1618011  1618147  1618267  1618382  1618513  1618738  1618840  1618953  1619112  1619243  1619377  1619515  1619645  1619783  1619929  1620065  1620203  1620343  1620483  1621081  1621509  1621636  1622368  1622509  1622661  1622818  1623598  1623757  1624356  1624511  1624798  1624945  1625086  1625240  1625377  1625489  1625704  1626103  1626274  1626384  1626532  1626971  1627424, 1544078  1583117  1584596  1585416, 1502565  1546162  1583606  1584752  1586241, 1614114  1615074, 1614301  1615694, 1519878  1522740  1549930  1552229  1559424  1593676  1594126  1594335  1598024  1617290, 1519985  1522971  1550295  1552522  1559690  1594108  1594161  1595094  1598776  1627510, 1502565, 1502566, 1502567, 1614120, 1614129, 1614280  1614287, 1614308, R, 1617306, , 1627511, 0, 0, 0, 0, 0, 1627517, 1627520, L5:R1, 33.33, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1617314
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1627731  1627865  1628240  1628346  1628487  1629173  1638115  1668784  1668899  1669038  1725138  1725253  1725356  1725503  1736256  1736451  1741368  1741470  1741599  1741834  1741961  1742401  1742518  1768183  1768422  1771251  1797221  1797354  1799634  1823668  1858043  1858264  1858432  1859133  1877914  1878302  1878578  1907296  1907399  1907609  1907812  1908512  1908738  1908874  1909140  1909256  1909361  1909877  1932142  1943540  1943807  1943993  1944982  1945088  1948037  1967904  1991788  2010128  2015482  2015996  2016145  2016253  2016662  2016801  2020044  2020190  2024022  2024161  2035628  2035744  2064075  2074266  2074415  2074589  2074997  2075100  2075237  2075368  2075987  2076259  2078660  2078761  2078911  2079058  2081569  2082297  2082543  2082738  2082951, 1647401  1647665  1652115  1692491  1702743  1702795  1713979  1718267  1761700  1763963  1851450  1893335  1893356  1898012  1902900  1934106  1934506  2000383  2029067  2030127  2057607  2069362  2069444  2070360  2070428  2070701  2071054  2071183  2122020, 1647592  1647821  1652878  1692998  1702780  1703625  1714708  1719759  1762169  1765042  1851489  1893343  1893801  1900542  1903269  1934484  1934747  2001241  2029953  2032488  2059023  2069428  2069717  2070391  2070575  2070840  2071109  2071639, 2118574, 2118765, 1627557  1637890  1637922  1668590  1724791  1728663  1736001  1741166  1767716  1771020  1796998  1799425  1823437  1857823  1858885  1877568  1906860  1931789  1943290  1943644  1944489  1944852  1947858  1967633  1991536  2009932  2015083  2019778  2023784  2026682  2035446  2062693  2063339  2063815  2073970  2074877  2078337  2078434  2079289  2079404  2081479, 1629131  1637906  1638268  1669026  1725566  1729304  1737083  1742877  1768384  1771523  1797344  1799671  1823814  1858391  1859188  1878757  1909927  1932199  1943545  1944066  1944637  1945241  1948304  1967932  1991780  2010183  2016751  2020355  2024100  2027064  2035769  2062979  2063359  2064121  2074618  2076234  2078411  2079222  2079334  2079454  2081557, 1629132, 1629134, 1629135, 2118583, 2118591, 2118742  2118751, 2118773, L, 2122038, , , 1, 0, 0, 0, 1, 2122127, 2122138, L6:R1, 28.57, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2122114, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2137973  2138093  2138453  2183129  2183317  2188957  2189074  2190997  2198410  2198559  2198725  2198833  2199102  2199384  2199774  2199914  2200034  2200139  2200272  2200406  2200579  2200686  2201006  2201111  2202023  2202162  2202352  2202458  2202594  2202904  2203076  2204931  2206343  2206755  2206889  2206993  2207126  2207230  2207678  2207782  2207894  2210112  2210248  2210524  2210880  2211011  2211276  2211730  2211843  2211947  2212125  2212396  2235791  2235921  2236062  2236623  2236824  2236933  2237055  2237176  2237304  2237675  2272029  2280223  2280337  2309220  2313643  2313770  2363658  2363811  2363915  2364023  2364195  2364319  2364439  2367081  2396325  2396432  2396968  2397205  2397459  2397977  2398336  2405558  2406845  2406953  2407056, 2123493  2123647  2124837  2128672  2148185  2148500  2149091  2153590  2156765  2160786  2161954  2162490  2162598  2175669  2215928  2217798  2218076  2232492  2303520  2369038  2377477  2377513  2379390  2409311  2412667  2416113  2427997, 2122299  2123619  2124737  2124955  2128854  2148477  2148795  2150818  2153850  2157361  2161108  2162302  2162554  2162667  2176770  2216188  2217962  2222776  2232839  2304479  2369775  2377496  2378008  2379566  2412435  2412752  2417007  2442836, 2424085  2424275  2424533, 2424252  2424453  2424596, 2132351  2137581  2182068  2182985  2188754  2198154  2204700  2206181  2206361  2209886  2212830  2235452  2236072  2236306  2258251  2271620  2279944  2308952  2313362  2318750  2328382  2343735  2363241  2366836  2395846  2396665  2405315, 2132679  2138376  2182390  2183193  2190442  2203093  2205449  2206285  2207994  2212782  2212856  2236050  2236105  2237999  2259635  2272937  2281091  2309299  2314190  2320286  2329295  2344147  2364566  2367232  2396478  2398521  2407091, 2123118, 2123119, 2123120, 2424087, 2424091, 2424241  2424244, 2424255, L, 2428005, 2428009, 2442840, 0, 0, 0, 0, 0, 2442871, 2442876, L7:R1, 37.50, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2476857  2476975  2477757  2484872  2485658  2485775  2486312  2486423  2490862  2490966  2506918  2512822  2512929  2514383  2514641  2529816  2529934  2531103  2531211  2545101  2594536  2594644  2607219  2607334  2607456  2609744  2613155  2627516  2627701  2637229  2670044  2670247, 2444467  2448135  2454999  2455544  2466451  2466737  2467167  2468717  2471246  2493919  2495899  2500146  2500631  2501001  2524070  2536082  2536494  2536937  2537658  2538321  2548858  2551142  2551703  2551989  2558203  2615207  2615459  2616546  2617117  2617379  2618417  2624294  2642630  2643770  2678007, 2445466  2450501  2455425  2456676  2466709  2467087  2467312  2468905  2471599  2494326  2497407  2500544  2500678  2501219  2525006  2536413  2536648  2536978  2537777  2538873  2549233  2551542  2551797  2552242  2558679  2615408  2615519  2616715  2617305  2618290  2618945  2625116  2642936  2643945  2684460, 2675478, 2676085, 2476561  2477536  2480217  2484612  2490643  2506639  2512626  2513355  2513803  2529593  2530981  2544906  2560811  2594271  2594906  2607038  2609489  2612974  2627283  2636912  2649086  2669816, 2477066  2478591  2480570  2486601  2491054  2507077  2512978  2513655  2514876  2530012  2531507  2545210  2561095  2594759  2595016  2607474  2609862  2613626  2627833  2637284  2649351  2670258, 2443564, 2443564, 2443565, 2675488, 2675499, 2675649  2675659, 2676096, L, 2678030, 2678041, 2684472, 0, 0, 0, 0, 0, 2684543, 2684557, L8:R1, 44.44, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2696850  2696982  2697127  2708175  2720900  2750755  2787520  2787726  2808747  2808877  2858696  2858874  2859065  2859196  2859322  2859451  2859580  2859726  2859843  2860012  2860147  2860282  2860426  2860580  2860882  2861027  2861172  2862355  2862505  2862978  2863139  2863488  2863647  2863831  2864141  2864296  2864447  2864566  2864766  2864925  2865042  2865147  2865293  2865398  2865746  2866089  2866604  2866766  2866871  2870911  2871230  2872044  2877996  2882701  2882857  2892532  2892950  2893100  2917134  2945994  2967983  2968348  2970926  2971156  2971309  2986094  2986213  3005222  3005328  3005654  3005783  3006056  3006414  3006632  3006737  3006860  3006966  3007954  3008064  3011733  3031213  3031366  3031502  3032819  3032952  3033091  3033243  3033353  3036161  3054447  3066895  3097316  3097430  3097697  3098339  3098537, 2685609  2725926  2773442  2781332  2799708  2811029  2812201  2812410  2813458  2824111  2827093  2832401  2843622  2846993  2853398  2884645  2885906  2886184  2919855  2920480  2921810  2922527  2932735  2934871  2935115  2937835  2942516  2955094  2961151  2974983  2976135  2981871  2989560  2991857  2999054  3014923  3024809  3037697  3038062  3038298  3039748  3040647  3041344  3041511  3041645  3044679  3076973  3088329  3102949  3110851, 2686548  2726258  2773864  2781608  2800070  2811280  2812340  2813414  2813692  2824431  2827468  2832771  2844270  2847704  2853807  2884864  2886076  2886476  2919880  2921278  2921992  2924502  2933192  2935085  2935202  2938676  2943541  2957186  2961690  2975467  2976417  2982280  2991154  2993606  2999517  3015977  3025085  3038041  3038274  3038868  3040532  3041318  3041399  3041598  3041824  3044893  3077358  3088793  3103386, 3107027, 3107238, 2696665  2707987  2720702  2750529  2787319  2808567  2858369  2870650  2877797  2882500  2892288  2892757  2916878  2945528  2967691  2970690  2985799  3005021  3006205  3007758  3011542  3030674  3031018  3031498  3032702  3034120  3035923  3054207  3066575  3074269  3097106  3097921  3098204, 2697107  2708241  2721211  2750856  2787713  2808883  2866993  2872186  2878452  2882964  2892674  2893230  2917214  2946056  2968316  2971377  2987673  3005994  3006957  3008172  3012090  3030837  3031463  3031653  3033333  3034565  3036327  3054500  3068364  3075049  3097749  3098002  3098624, 2685341, 2685341, 2685342, 3107040, 3107054, 3107205  3107219, 3107252, L, 3110852, , , 1, 0, 0, 0, 1, 3110867, 3110869, L9:R1, 40.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3110862, 
