max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, L_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   136046   136175   136280   136638   136783   155360   156338  3004618  3004724  3004911  3005056  3005268  3005399  3005503  3005614  3149293  3149883  3150057  3150169  3150308  3151591  3177410  3178115  3178642  3178840  3301380  3301486  3301605  3301708  3301825  3301933  3302048  3302195  3302309  3302424  3302542  3302663  3302776  3302924  3303118  3303239  3303342  3303528  3303667  3303805  3303952  3304132  3304282  3304580  3304736  3304873  3305028  3305178  3305333  3305481  3305592  3305775  3341152  3348425  3348549  3353361  3353482  3353641  3353749  3382138  3382248  3382391  3385114  3385243  3385350, 1, 149172  3396942, 150290  3397659, 150778  3329142  3368444  3399993, 152193  3332963  3368678  3405883, 155157  3301117  3340915  3344909  3348235  3353084  3381700  3385022, 156387  3305741  3341162  3345064  3348532  3353703  3382452  3385286, 3305749, 3305757, 3305766, 3396956, 3396969, 3397120  3397133, 3397660, R, 3399995, 3399996, 3405884, 0, 0, 0, 0, 0, 3405895, 3405898, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3416826  3416938  3417068  3418231  3444409  3444534  3444647  3444754  3444908  3445049  3445164  3445274  3445379  3445512  3445657  3446336  3446448  3446564  3446749  3446884  3447007  3447121  3447847  3448348  3448479  3448583  3448748  3448896  3449033  3449174  3449393  3449534  3449682  3449825  3449947  3450343  3450484  3451272  3451393  3451507  3451651  3451780  3451917  3452022  3452152  3452291  3452434  3452580  3452721  3453028  3453173  3453327  3453629  3453751  3453874  3454004  3454510  3454630  3454788  3454893  3455044  3455174  3455503  3455608  3456088  3456199  3458972  3459116  3494351  3494508  3494621, , 3501454  3505590  3505666, 3502006  3505624  3506518, 3406091  3424676  3432968  3442260  3474568  3508265, 3406297  3425418  3433201  3442584  3479014, 3416611  3418068  3418392  3444178  3458833  3494177, 3417023  3418339  3418436  3456300  3459057  3494569, 3406961, 3406962, 3406963, 3501466, 3501480, 3501631  3501644, 3502019, R, 3508269, , , 1, 0, 0, 0, 1, 3508290, 3508293, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 3508285, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3519581  3519690  3524429  3524548, , 3534096, 3534263, 3535834, 3509348, 3519341  3524273, 3519646  3524546, 3509348, 3509349, 3509350, 3534098, 3534101, 3534252  3534254, 3534266, R, 3535840, , , 1, 0, 0, 0, 1, 3535879, 3535884, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 3535872, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3540402  3540841  3540955  3541531  3541640  3541905  3542008  3542147  3542298  3542494  3542646  3542796  3542919  3543073  3543605  3543770  3543889  3544247  3544413  3544563  3544885  3548024  3548166  3554987  3555273  3555380  3555486  3569908  3635040  3635154  3635257  3635361  3635469  3635570  3635675  3635857  3635960  3636130  3636251  3636503  3636638  3636768  3636899  3637026  3637170  3637294  3637482  3637626  3637775  3637925  3638057  3638204  3638318  3638796  3638944  3639094  3639402  3639550  3639699  3639848  3640017  3640314  3640422  3640529  3640640  3640835  3640951  3641064  3641202  3641311  3641426  3641529  3641679  3641842  3642092  3642231  3642344  3642492  3642643  3642812  3642917  3643020  3643160  3643329  3643433  3643611  3643752  3644091  3644211  3644487  3644604  3644723  3644825  3644937  3645038, , 3620645  3621412, 3621222  3623693, 3536825  3557357  3579344  3581444  3582301  3583149  3584416  3584787  3594990  3606250  3616040, 3536489  3536902  3557778  3580022  3581934  3582612  3583412  3584668  3588398  3595201  3606473  3616342, 3540175  3540663  3541037  3541255  3541748  3547890  3555174  3569753  3634827, 3540463  3540885  3541151  3541528  3544934  3548114  3555603  3569898  3645150, 3536489, 3536490, 3536491, 3620656, 3620668, 3620818  3620830, 3621233, L, 3634850, , 3645157, 0, 0, 0, 0, 0, 3645202, 3645210, L1:R3, 50.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 3634863
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3646048  3646264  3646419  3646647  3646818  3647010  3647748  3647852  3647968  3648080  3648182  3648346  3648472  3649361  3650073  3650195  3650345  3650460  3650686  3650830  3651005  3651118  3651234  3652327  3652432  3652588  3652692  3652916  3653022  3653221  3653399  3653504  3653608  3653764  3653929  3654396  3655795  3686298  3686428  3694226  3694329  3694436  3694571  3694690  3694809  3694921  3695048  3695170  3695289  3695529  3695654  3695782  3695915  3696051  3696222  3696364  3696503  3696641  3696785  3696969  3697230  3697366  3697672  3697805  3697913  3698076  3698233  3698386  3698531  3698845  3698992  3699154  3699307  3699450  3699596  3699712  3699872  3699976  3700134  3700287  3700388  3700541  3700691  3700887  3701030  3701181  3701310  3701438  3701540  3701672  3701850  3702017  3702119  3702259  3702388  3702546  3702708  3702872  3703018  3703129  3703261  3703363  3703475  3703576  3703687  3703800  3703910  3704034  3704136  3704290  3704464  3704702  3704812  3704915  3705105  3705262  3705759, , 3690063, 3691502, 3658829  3661306  3669840  3677931  3678777, 3659338  3661615  3670246  3678554  3679047, 3645907  3647491  3648398  3648530  3649107  3649529  3649927  3651778  3652140  3654413  3655617  3686062  3694013, 3646976  3648376  3648444  3648908  3649412  3649600  3651744  3651822  3654382  3654472  3655950  3686711  3705751, 3646977, 3646979, 3646980, 3690075, 3690086, 3690237  3690249, 3691513, L, 3694036, , 3705767, 0, 0, 0, 0, 0, 3705822, 3705831, L2:R3, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 3694050
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3706046  3710481  3710611  3716909  3717211  3718149  3718296  3718827, , 3721137  3722422, 3722368  3722500, 3713064  3713633  3714387  3715000, 3713384  3713678  3714680  3715126, 3705967  3710309  3716706  3717993  3718052  3718198  3718697  3725036, 3706010  3710607  3716992  3718035  3718140  3718344  3718780, 3706571, 3706572, 3706573, 3721142, 3721149, 3721299  3721306, 3722374, L, 3725049, , , 1, 0, 0, 0, 1, 3725120, 3725129, L3:R3, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3725110, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3726763  3726871  3728177  3728286  3728432  3728562  3728685  3728889  3729000  3729123  3729561  3729734  3730240  3730382  3730494  3730615  3733799  3733905  3734029  3743493  3743594  3743702  3743816  3743923  3744026  3744132  3744282  3744384  3744504  3744708  3744844  3744977  3745111  3745241  3745403  3745518  3745651  3745821  3745960  3746074  3746414  3746553  3746701  3746997  3747189  3747291  3747424  3747578  3747737  3747879  3748014  3748477  3748626  3748780  3748927  3749071  3749238  3749561  3749715  3750011  3750149  3750305  3750422  3750576  3750701  3750803  3750917  3751071  3751224  3751373  3751696  3751854  3751966  3752493  3752639  3752742  3752896  3753059  3753222  3753409  3753676, , 3736730  3738518, 3738475  3739597, , , 3725901  3726541  3728020  3728429  3728709  3729454  3733577  3733941  3743293, 3725347  3725990  3726792  3728363  3728650  3728978  3730606  3733911  3734128  3753717, 3725767, 3725768, 3725768, 3736736, 3736743, 3736893  3736899, 3738481, L, 3743307, , 3753719, 0, 0, 0, 0, 0, 3753733, 3753736, L4:R3, 57.14, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 3743315
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3758519  3758620  3758788  3758921  3759035  3759182  3759293  3759481  3759612  3774827  3774977  3775179  3781747  3781854  3781962  3782068  3782194  3782315  3782417  3782519  3782628  3782749  3782912  3783015  3783141  3783279  3783414  3783555  3783779  3783915  3784291  3784625  3784756  3784895  3785038  3785197  3785345  3785487  3785637  3785786  3785938  3786103  3786413  3786558  3786750  3786941  3787047  3787282  3787417  3787566  3787720  3787874  3788042  3788183, , 3777100  3777878, 3777862  3778428, 3761364, 3761807, 3758237  3774550  3781567, 3759715  3775155  3788609, 3754380, 3754381, 3754382, 3777103, 3777107, 3777258  3777261, 3777866, L, 3781576, , 3788619, 0, 0, 0, 0, 0, 3788682, 3788693, L5:R3, 62.50, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 3781581
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3788846  3792252  3792366  3792468  3792640  3792789  3792919  3793140  3793290  3793408  3793513  3793619  3793733  3793849  3793958  3794117  3794230  3794377  3800957  3801059  3801195  3801302  3801411  3801522  3801661  3801775  3801889  3801996  3802157  3802291  3802426  3802565  3802702  3802806  3802950  3803067  3803208  3803352  3803543  3803686  3803824  3804012  3804125  3804227  3804403  3804555  3804703  3804861  3804986  3805142  3805295  3805435  3805575  3805728  3805843  3805983  3806128  3806298  3806447  3806550  3806656  3806766  3806885  3807003  3807117  3807239  3807371  3807493  3807657  3807810  3807962  3808077  3808185  3808302  3808483  3808592  3808732  3808912  3809016  3809118  3809219  3809321  3809532  3809634  3809751  3809864  3810018  3810180  3810338  3810504  3810676  3810830  3811007, , 3798466, 3799149, , , 3791970  3794653  3800773, 3794348  3794761  3811131, 3789495, 3789496, 3789496, 3798469, 3798474, 3798625  3798629, 3799153, L, 3800782, , 3811132, 0, 0, 0, 0, 0, 3811138, 3811140, L6:R3, 66.67, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 3800787
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3811160  3811274  3811750  3811861  3811966  3812083  3820479  3820596, , 3822346, 3822610, 3815562, 3816448, 3811176  3811598  3820229  3824175, 3811271  3812146  3820807, 3812147, 3812149, 3812152, 3822349, 3822353, 3822504  3822508, 3822614, L, 3824183, , , 1, 0, 0, 0, 1, 3824230, 3824236, L7:R3, 60.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3824222, 
