max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, L_well_all_on_ts, well_id, well_on_ts, L_reward_ts, L_well_all_off_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_well_all_on_ts, R_well_all_off_ts, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  863497  863627  945128, 1  864531, 878710, 878711, 878712, 943330  943638, 943331, 943334, 943485  943488, 943499  944184, 943501, 944958, L, 944963, 944966, 945125, 945131, 0, 0, 0, 0, 0, 945154, 945159, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 945255   945376  1000103  1000217  1016399  1016826  1020435  1020553  1020658  1020769  1020889  1021000  1021110  1021235  1021341  1021472  1021582  1021691  1021916  1022032  1022163  1022274  1022383  1022503  1022621  1022750  1022863  1023052  1023242  1023560  1023669  1023775  1023881  1023987  1024137  1024254  1024369  1024505  1024635  1024745  1024899  1025047  1025163  1025360  1025468  1025580  1030752  1030879  1030992  1031110  1031231  1031352  1031496  1031627  1031768  1031906  1032076  1032183  1032411  1032518  1032767  1033068  1033271  1033378  1033538  1033702  1036797, 960259  960470  961250  961440, 946720, 946721, 946722, 1038066, 1038078, 1038093, 1038244  1038258, 1038952, 1038965, 999137  1000000  1016275  1019610  1030461  1030571  1049309, L, 1049310, 1049311, 999280  1000178  1016320  1025661  1030476  1033677  1049468, 1049469, 0, 0, 0, 0, 0, 1049479, 1049481, L2:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 959553  959750  961165  982683  982825, 959591  960978  961471  982804  983318, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1049572, 1093527  1093693  1093815  1093975  1094171  1094347  1094478  1094601  1094727  1094845  1094942  1095079  1095203  1095326  1096058  1096231, 1049952, 1049952, 1049953, 1108256, 1108260, 1108265, 1108415  1108419, 1108429, 1108433, , , , , , , 1, 1, 0, 0, 0, 1123479, 1123485, L2:R0, 100.00, 000(1)1, 000(1)1, 1093114  1103956  1104266, 1096630  1104090  1105245, 204, no_go, 1123470, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1126095  1126210  1126338  1126456  1126563  1126693  1126803  1126924  1127054  1127192  1127493  1127657  1127801  1127932  1168405  1169719  1169824  1169932  1170049  1170170  1170278  1170394  1170500  1170606  1170710  1170830  1170949  1171075  1171202  1171329  1171466  1171602  1171737  1171852  1172003  1172123  1172264  1172419  1172533  1172639  1172746  1172856  1172971  1173144  1173294  1173450  1173556  1173841  1173995  1174122  1194207  1194769  1194895  1195014  1195144  1195254  1195387  1195510  1197401  1215992  1216638  1216751  1216865  1216974  1217080  1217191  1217303  1217414  1217531  1217657  1217781  1217902  1218024  1218147  1218272  1218398  1218535  1218670  1218813  1218921  1219082  1219206  1219352  1219495  1219662  1219769  1220094  1220210  1220350  1220495  1220599  1220717  1220916  1221066  1221216  1221320, , 1123784, 1123785, 1123786, 1211123  1213124, 1211136, 1211149, 1211300  1211313, 1212984  1213198, 1212997, 1125948  1126507  1127955  1169257  1169418  1169554  1194275  1194543  1196991  1197051  1197265  1216456, L, 1216457, 1216459, 1126461  1127936  1128005  1169408  1169472  1174113  1194291  1195522  1197008  1197069  1197287  1221332, 1221338, 0, 0, 0, 0, 0, 1221373, 1221380, L3:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1140544  1142289  1202706, 1141220  1142355  1207348, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1222093  1222207  1222326  1224494  1224602  1224714  1239089  1270275  1270407  1270550  1270656  1270770  1270875  1270990  1271105  1271218  1271333  1271439  1271544  1271655  1271781  1271905  1272050  1272189  1272300  1272407  1272512  1272637  1272759  1272902  1273038  1273250  1273379  1273484  1273712  1273873, 1264637  1265828, 1221950, 1221951, 1221952, 1268199, 1268202, 1268207, 1268357  1268361, 1268370, 1268374, 1221987  1224380  1270261, L, 1270269, 1270280, 1222368  1224681  1273865, 1273881, 0, 0, 0, 0, 0, 1273933, 1273943, L4:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1263677  1263944, 1263847  1266243, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1275855  1275985  1276093  1276198  1276305  1287126  1287248  1287360  1287508  1287615  1287719  1287827  1287932  1305328  1305454  1305565  1305682  1305818  1306085  1306218, , 1274481, 1274482, 1274482, 1312050, 1312055, 1312061, 1312211  1312217, 1312791, 1312797, 1275734  1286946  1304645  1305108  1305353, R, 1314423, , 1276411  1287962  1304665  1305134  1306295, 1314650, 0, 0, 0, 0, 0, 1314692, 1314699, L4:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1314412, 1314643, , , , 1314430
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1319856  1319964  1320134  1320251  1320358  1320522  1320643  1320761  1352809  1352986  1353095  1353208  1353315  1354411  1369116  1369249  1369356  1369499  1369605  1390300  1390416  1409119  1409452  1409558  1409722  1409884  1410002  1410110  1410222  1410334  1410493  1410611, 1357197  1359056  1359193  1359708  1359876  1361384  1362959  1363274  1363418  1363894  1419081  1419246  1419499  1419662, 1315128, 1315129, 1315130, 1439996, 1440009, 1440023, 1440173  1440186, 1440204, 1440218, 1319633  1352664  1353762  1367658  1368696  1368882  1390223  1408273  1408928  1408967  1409259, , , , 1320716  1353342  1354310  1367714  1368708  1369593  1390645  1408326  1408948  1409110  1410600, , 1, 1, 0, 0, 0, 1455411, 1455413, L4:R1, 100.00, 000(1)1, 000(1)1, 1356324  1356489  1361123  1362150  1362720  1414431  1415110  1418748, 1356479  1359923  1361404  1362161  1363911  1414508  1415362  1419680, 204, no_go, 1455407, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1461726  1461867  1462021  1462128  1462244  1462364, , 1455870, 1455872, 1455873, 1479734  1479968  1480505, 1479736, 1479740, 1479890  1479894, 1479944  1479985  1480820, 1479947, 1461514  1463597, , , , 1462333  1463723, , 1, 1, 0, 0, 0, 1494986, 1494991, L4:R1, 100.00, 000(1)1, 000(1)1, , , 204, no_go, 1494978, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1534563  1534674  1534791  1534983  1535099  1535232  1535346  1536118  1540630  1541617  1541744  1541967  1542487  1542616  1543346  1603741  1603865  1604007  1604122  1604228  1604340  1604462  1604613  1604755  1604874  1604992  1605118  1605357  1605477  1605601  1605726  1605854  1605984  1606142  1606255  1606435  1606572  1606711  1606856  1606966  1607129  1607252  1607389  1607512  1607633  1607766  1607927  1608053  1608205  1608354, 1502511  1502609  1502810  1513849  1514134  1515236  1520451  1520573  1521684  1521960  1523642  1523841  1523968  1527875, 1495406, 1495407, 1495408, 1602266, 1602277, 1602288, 1602439  1602450, 1602461, 1602473, 1534406  1535789  1543129  1603671, L, 1603694, 1603707, 1535337  1535805  1543395  1608358, 1608361, 0, 0, 0, 0, 0, 1608384, 1608388, L5:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1501974  1502178  1511010  1513328  1513867  1514283  1515751  1516009  1519358  1521395  1521547  1521711  1523401  1524867  1525085  1527759  1527922, 1502107  1502934  1511383  1513721  1514157  1515381  1515973  1519287  1521311  1521423  1521699  1522070  1524013  1525049  1525104  1527773  1528013, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1608531  1608648  1608779  1608966  1609092  1609581  1609691  1610718  1610834  1614610  1614828  1615458  1615630  1641385  1641491  1641596  1641715  1641829  1641937  1642087  1642232  1642341  1642461  1642669  1643131  1643271  1643504  1643622  1643732  1643844  1644175  1644311  1645779  1646753, 1636566  1636665  1636850, 1609070, 1609071, 1609073, 1649284, 1649294, 1649305, 1649456  1649466, 1649483, 1649495, 1608450  1609438  1609481  1610549  1613539  1613911  1641216  1645392  1646689  1648401  1648744  1649515, L, 1649538, 1649561, 1609069  1609465  1609598  1610811  1613834  1613964  1644320  1645730  1646784  1648438  1648785  1649549, 1649723, 0, 0, 0, 0, 0, 1649797, 1649810, L6:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1636071  1636261  1637297  1639086, 1636157  1637042  1637672  1639197, , , , 
