max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  2249102  2249213  2249318  2249442  2250210  2251223  2251336  2369370  2370958, 1  2251218  2251339  2251463  2251587  2251814  2252102  2252228  2255465, 2251977, 2251979, 2251982, 2370172, 2370176, 2370180, 2370331  2370334, 2370343, 2370348, 204, no_go, 1, 1, 0, 0, 0, 2385379, 2385387, 2385392, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2386996  2387117  2388034  2388137  2388244  2388345  2388449  2388581  2388684  2388803  2388948  2389053  2389163  2389265  2389373  2389480  2389581  2389977  2390082  2390201  2390308  2390434  2390576  2390690  2390793  2391156  2391259  2391363  2391467  2391575  2391726  2393787  2394280  2394415  2394531  2394633  2395070  2395194  2401557  2401664  2401770  2401874  2401995  2402101  2402290  2402425  2402584  2402688  2402803  2402926  2403058  2403186  2403315  2403424  2403561  2403698  2403829  2403975  2404127  2404276  2404410  2404539  2404660  2404809  2404943  2405078  2405211  2405328  2405432  2405637  2405740  2405859  2405963  2406077  2406179  2406308  2406412  2406554  2406687  2406812  2406920  2407103  2407216  2407318  2407578  2407708  2407839  2419466  2419682  2419791  2419929  2420137  2420280  2420420  2420551  2420682  2420790  2420926  2421053  2421268  2431501  2436244  2455275  2455382  2455492  2455606  2455711  2456390  2457559  2457669  2457799  2458144  2458752  2462515  2462666  2479886  2480021  2517838  2517964  2518313  2519431  2519533  2519868  2544608  2581757  2583079  2583184  2583300  2583414  2583604  2583739  2583866  2583992  2584127  2584264  2584439  2584585  2584754  2584886  2584990  2585103  2585282  2585416  2585554  2585691  2589877  2626522  2626691  2626792  2627052  2657624  2688489  2688630  2698848  2699163  2699266  2699388  2705944  2706053  2706155  2706262  2706386  2706491  2706598  2706715  2706832  2706935  2707087  2707198  2707304  2707405  2707535  2707649  2707865  2707996  2708128  2708246  2708365  2708477  2708741  2708864  2708988  2709112  2709240  2709369  2709517  2709660  2709824  2709934  2710039  2710209  2710318  2710448  2710584  2710701  2710834  2711029  2711152  2711277  2711411  2711550  2711659  2711798  2711926  2712056  2712188  2712313  2712415  2712548  2712725  2712861  2713005  2713217  2713691  2713804  2713909  2714031  2714177, 2436606  2436943  2437169  2437284  2437422  2437624  2437873  2438776  2439048  2439197  2440145  2440989  2441134  2441290  2465239  2465348  2465483  2491534  2507384  2507557  2507688  2507819  2513828  2602329  2602484  2602687  2611908  2612195  2671589  2671698  2701371  2701656  2736465  2736593  2736706  2738404  2738591  2738774  2739010  2739138  2739472  2739593  2739746  2740933  2741080  2741237  2742266  2742425  2742555  2742679  2742808, 2386330, 2386330, 2386331, 2720018  2725250  2727421  2728120, 2720024, 2720031, 2720181  2720187, 2722462  2725369  2728067  2728532, 2722468, , , 0, 0, 0, 0, 0, , 2743031, 2743043, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2388194  2389433  2389988  2390273  2391013  2394002  2394704  2395063  2401168  2401379  2419313  2419517  2455130  2457709  2457896  2459394  2462565  2479681  2517751  2518223  2519004  2544214  2544406  2583051  2657397  2688313  2705812  2713102  2713543, 2388428  2389476  2390218  2390822  2391732  2394613  2395049  2395162  2401210  2407812  2419484  2421218  2455806  2457752  2458122  2459498  2462581  2479949  2517939  2518953  2520030  2544388  2544582  2585647  2657677  2688613  2713092  2713228  2714269, 2436476  2465055  2465525  2491047  2506938  2513343  2548732  2579485  2579617  2579765  2602033  2602156  2602528  2602635  2611228  2611420  2611629  2671325  2736270, 2441236  2465509  2465540  2491492  2507871  2513573  2548758  2579493  2579709  2579810  2602071  2602507  2602617  2602781  2611251  2611538  2612180  2671772  2742953, R, 2736285, 2736294, 2742964, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2759873  2759981, 2743205  2743442  2743837  2743971  2744119  2744260  2744408  2744562  2746958  2747248, 2744577, 2744579, 2744581, 2761339, 2761342, 2761348, 2761499  2761503, 2761513, 2761518, , , 0, 0, 0, 0, 0, , 2766052, 2766058, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2759741, 2760055, 2743211  2746861  2746901  2765812, 2744576  2746884  2747204  2766013, R, 2765821, 2765827, 2766018, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2791317  2791420  2825102  2825204  2825919  2854589  2854933  2858014, 2766260  2770217  2770379  2770530  2770685  2771022  2771252  2773648  2773777  2774223  2774363, 2766590, 2766592, 2766593, 2864500, 2864508, 2864518, 2864669  2864677, 2865134, 2865143, 204, no_go, 1, 1, 0, 0, 0, 2880208, 2880222, 2880232, L0:R2, 100.00, 000(1)1, 000(1)1, 2791148  2824786  2825686  2853374  2854923  2855058  2857918  2858007  2858206, 2791479  2825230  2825860  2853409  2854973  2855094  2857971  2858101  2858240, 2770045  2774073  2786672  2786848  2815958  2852828, 2773809  2774438  2786689  2787097  2816143  2852849, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2888627  2888770  2888887  2889004  2907816  2907955  2908079  2908197  2908333, , 2880809, 2880809, 2880811, 2917005, 2917009, 2917014, 2917165  2917169, 2917191, 2917195, 204, no_go, 1, 1, 0, 0, 0, 2932232, 2932241, 2932247, L0:R2, 100.00, 000(1)1, 000(1)1, 2888527  2888641  2907607  2914529  2915239, 2888582  2888984  2908329  2914562  2915266, 2882524, 2882650, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2950630  2976560  2976765  2976890, 2982263, 2932728, 2932729, 2932730, 3000814, 3000817, 3000820, 3000971  3000974, 3001206, 3001209, , , 0, 0, 0, 0, 0, , 3006854, 3006859, L0:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2950455  2976365, 2950786  2976921, 2940306  2981809  3006624, 2940529  2982191  3006821, R, 3006631, 3006636, 3006825, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3047040  3047145  3047249  3047351  3062645  3062755  3091899  3092011  3092161  3092305  3139657  3139832  3139951  3140086  3140199  3140313, 3006987  3008076  3008232  3008346  3009131  3009250  3010249  3010442  3010583  3011117  3012087  3012273  3012500  3012855  3013666  3014796  3015085  3015218  3060555  3060756, 3007415, 3007416, 3007416, 3143102, 3143112, 3143123, 3143274  3143284, 3143424, 3143435, , , 0, 0, 0, 0, 0, , 3156423, 3156436, L0:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 3046907  3046962  3062479  3091529  3091770  3116743  3120609  3139363  3139704, 3046941  3047333  3062768  3091668  3092297  3116934  3120665  3139648  3140302, 3007672  3012537  3013222  3014902  3015420  3015477  3060335  3156111, 3012506  3012930  3013697  3015397  3015449  3015493  3060860  3156338, R, 3156133, 3156145, 3156349, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3161248  3161402, 3166970  3167518  3167639  3168144  3168282  3170813  3171179  3171361, 3157192, 3157193, 3157195, 3164800, 3164801, 3164804, 3164955  3164957, 3164982, 3164984, , , 0, 0, 0, 0, 0, , 3171625, 3171631, L0:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , 3156621  3166793, 3156765  3171596, R, 3166798, 3166801, 3171600, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3193399  3203852  3203955  3208142  3208250  3208379  3220518  3220636  3220751  3220867  3221080  3221182  3221294  3221454  3221590  3221765  3221914  3222019  3222189  3222305  3222412  3222778  3222945  3223070  3223199  3223312  3223440  3223704  3223853  3223989  3224102  3262135  3262288  3262428  3311870  3312014  3316323  3316425  3316559  3354143  3354267  3354398, 3172747  3172876  3173404  3173652  3173790  3384910, 3172170, 3172171, 3172172, 3393911, 3393925, 3393938, 3394089  3394103, 3394279, 3394280, , , 0, 0, 0, 0, 0, , 3397295, 3397298, L0:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 3192988  3203739  3207877  3220083  3231197  3232557  3261881  3315959  3316139  3353936, 3193512  3203904  3208509  3224095  3231247  3232694  3262438  3316039  3316541  3354417, 3171722  3172516  3172957  3195669  3227467  3266457  3325870  3350459  3350652  3384596  3397097, 3171952  3172839  3173852  3195919  3227721  3266699  3325997  3350590  3350894  3385076  3397282, R, 3397099, 3397100, 3397283, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3424956  3438732  3438942  3445085  3446610  3459125  3459284  3495626  3495872  3499909  3500056  3500262  3506009  3553463  3566119  3566241  3566465  3566573  3566690  3566836  3567015  3567173  3567296  3567424  3567542  3567667  3567788  3567911  3568046  3568192  3568305  3568407  3568537  3568689  3568841  3568991  3569092  3569199  3569323  3569447  3569555, 3397433  3398208  3398358  3398628  3399145  3399262  3399399  3399526  3399663  3400043  3400175  3401433  3401568  3401723  3402054  3402296  3467499  3467655  3467798, 3402238, 3402242, 3402245, 3560842, 3560854, 3560866, 3561017  3561029, 3561456, 3561468, , , 0, 0, 0, 0, 0, , 3569665, 3569670, L1:R6, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 3424574  3438566  3446315  3458895  3495372  3499403  3499701  3505697  3565868, 3424935  3439054  3446623  3459306  3495994  3499418  3500230  3506025  3569638, 3397762  3402338  3403149  3403984  3406959  3428166  3429327  3448444  3461366  3466343  3467040  3476002  3507983  3547452, 3402236  3402534  3403329  3404288  3407005  3428558  3429678  3448472  3461457  3466719  3467736  3476639  3508283  3547847, L, 3565893, , 3569641, 3565906
