max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  2437510  2437929  2438374  2438699  2439114  2439325  2439437  2439548  2439663  2439782  2439894  2440009  2440124  2440270  2485092  2485218  2485380  2485495  2485652  2485772  2485897  2490359  2490487  2490650  2490843  2491082  2491275  2492051  2492464  2510742  2510863  2523438  2561472  2561607  2561722  2561843  2561960  2562074  2562210  2562323  2562447  2562565, 1  2255640  2255758  2256026  2259207, 2256182, 2256183, 2256184, 2437311  2437376  2437782  2437827  2438413  2438642  2438928  2484547  2484644  2484899  2485144  2489452  2510519  2511161  2561386, 2437349  2437462  2437797  2438352  2438470  2438755  2440323  2484584  2484712  2485054  2485825  2489562  2510848  2511176  2562626, 2513996  2515062  2520884  2520930, 2514739  2515502  2520906  2521041, 2556116  2556345  2556448  2557841  2559375, 2556128, 2556140, 2556291  2556302, 2556314  2556378  2557404  2559012  2559416, 2556326, L, 2561387, 2561388, 2562628, 0, 0, 0, 0, 0, 2562644, 2562649, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2562691  2589054, 2607249, 2563615, 2563616, 2563617, , , 2606848, 2607638, 2590990, 2590991, 2590993, 2591144  2591147, 2592020, 2592022, R, 2606852, , 2607641, 0, 0, 0, 0, 0, 2607661, 2607665, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2606855, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2609599  2609714  2609832, , 2608077, 2608078, 2608079, 2609440, 2609812, , , 2612367, 2612368, 2612371, 2612523  2612525, 2612533, 2612535, , , , , 1, 1, 0, 0, 0, 2627563, 2627567, L1:R1, 100.00, 000(1)1, 000(1)1, , 204, no_go, 2627557
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2669727  2669857  2669998  2670114  2670244  2670357  2670479  2670597  2670713  2670852  2670968  2671081  2671197  2671312  2671429  2671550  2671696  2671883  2672005  2672154  2672277  2672397  2672586  2672699  2672872  2673004  2673133  2673278  2673410  2673541  2673654  2673801  2673948  2674082  2674207  2674349  2674485  2674734  2678140  2678251  2678365  2678478  2678589  2678708  2678820  2678945  2679064  2679180  2679324  2679489  2679630  2679752  2679911  2680039  2680166  2680316  2680462  2680586  2680702  2680838  2680949  2681090  2681207  2681365  2681499  2681629  2681753  2681865  2682076  2682200  2682313  2682521  2682648  2682797  2682914  2683053  2683316  2683450  2683572  2683878  2684004  2684137  2684263  2684395  2684549  2684727  2684879  2685102  2685433  2686478  2686627  2686742  2686866  2687229  2687365  2687494  2687634  2687801  2687955  2688067  2688194  2688339  2689960  2690102  2690276  2690489  2690885  2691007  2691122  2691303  2691519  2691633  2691749  2692277  2692402  2692534  2692710  2692871  2693024  2693187  2693304  2694128  2694490  2694605  2694785  2694920  2695060  2695752  2698545  2699725  2699881  2700172  2700306  2700435  2700547  2700712  2700838  2700971  2701081  2701215  2701327  2701441  2701649  2701767  2701936  2702064  2702182  2702477  2702765  2702895  2703009  2703137  2703252  2703411  2703548  2703760  2703902  2704030  2704190  2704307  2704446  2704594  2704730  2704858  2704980  2705094  2705208  2705324  2705441  2705567  2705720  2705895  2706055  2706231  2706370  2706948  2715054  2715170  2715282  2715398  2715521  2715673  2715798  2715925  2716055  2716169  2716298  2716473  2716643  2716758  2716904  2717052  2717196  2717336  2717474  2718251  2719005  2719123  2719235  2719398  2719513  2719627  2720837  2720974  2721465  2721584  2721730  2721843  2721978  2722088  2722204  2722316  2722458  2722587  2722759  2722915  2723073  2723235  2723391  2723544  2723715  2723835  2724004  2724117, , 2627869, 2627870, 2627871, 2669365  2677846  2701433  2702507  2702579  2714886, 2674832  2701421  2702438  2702567  2706957  2724161, , , 2713072, 2713082, 2713093, 2713244  2713254, 2713271, 2713281, L, 2714907, 2714919, 2724165, 0, 0, 0, 0, 0, 2724191, 2724196, L2:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2724376  2728218  2728397  2728511  2728629  2728811  2728947  2729059  2729184  2729296  2729409  2729551  2729667  2729820  2729971  2730120  2730268  2730514  2734568  2736055  2736550  2736698  2736914  2738786, 2741509  2741718  2742207  2742335  2742484  2742622  2742753  2742887  2743013  2743140  2743247  2743377  2743704  2743827  2743952  2744078  2744207  2744334  2744467  2744597  2744758  2744922  2745053  2745183  2745322  2745858  2745999  2749010  2749125  2749254  2749629  2749793  2749963  2750138  2750287  2750445  2750606  2750755  2750907  2751065  2751223  2751452  2751612  2751869  2752026  2752179  2752424  2752534  2752795  2753288  2753552  2753708  2754274  2754434  2755287  2755414  2756242  2756401  2756634  2756879  2757030  2757191  2757860  2758119  2758500  2759495  2759647  2759800  2759916  2760054  2760507  2760628  2760908  2761288  2761445  2762248  2763725  2763884  2764700  2765186  2765306  2765456  2765622  2765891  2766150  2766316  2766491  2767706, 2724872, 2724873, 2724874, 2728231  2734458  2734906, 2730454  2734491  2735000, 2741185, 2767870, 2739133, 2739137, 2739143, 2739294  2739299, 2739310, 2739315, R, 2741196, , 2767874, 0, 0, 0, 0, 0, 2767896, 2767900, L2:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2741202, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2790278  2790471  2790608  2790751  2790904  2791033  2791199  2791310  2791435  2791560  2791700  2791854  2792482  2792606  2792744  2793363  2793477  2793829  2793952  2794126  2794245  2794366  2794667  2833971  2834096  2834219  2834374  2837601, 2768637  2768751  2768901  2769039  2769203  2769356  2769510  2769907  2770488  2773685  2773821  2773969  2774118  2774270  2774446  2774728  2774962  2775096  2777844  2778178  2778680  2779044  2785076  2785257  2785402  2785576  2785797  2785910  2786131  2786265  2786377  2786523  2786723  2786837  2787239  2787614  2787838  2788128  2803217  2803326  2803535  2803683  2803852  2804125  2804300  2804779  2804983  2805129  2805449  2805563, 2770434, 2770436, 2770438, 2790220  2833742  2837067  2847104, 2794614  2834351  2837547  2847431, 2768291  2773037  2780419  2780476  2780533  2784598  2784709  2802774, 2770433  2778977  2780443  2780517  2780545  2784624  2788216  2805504, 2838373, 2838542, 2838544, 2838695  2838696, 2838697, 2838700, L, 2847107, 2847109, 2847433, 0, 0, 0, 0, 0, 2847448, 2847452, L3:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2871057  2871222  2871336  2871448  2871584  2871697  2871823  2871959  2872074  2872207  2872329  2872451  2872576  2872700  2872821  2872953  2873088  2873209  2873339  2873466  2873606  2873787  2873920  2874055  2874184  2876651  2878857  2879011  2879190  2879356  2879504  2879652  2879809  2880354  2880467  2880796  2880917  2881041  2881179  2881329  2881443  2881600  2881933  2882051  2882281  2882495  2882822  2882932  2883153  2883304  2883485  2883861  2883986  2884110  2897476  2897606  2897728  2897889  2898007  2898118  2898246  2898413  2898543  2898678  2899024, 2857364  2857531  2857683  2857843  2857989  2858232  2858401  2859060  2903177  2903310  2903532  2903660  2903783  2903905  2904031  2904158  2904285  2904406  2904527  2904652  2904780  2904909  2905066  2905231  2906065  2906247  2907265  2910134  2910272  2910427  2910609  2910758  2912300  2912458  2912625  2912774  2913196  2913472  2913614  2913822  2913976  2914136  2914672  2914821  2914998  2915225  2915904, 2848323, 2848324, 2848326, 2847618  2847915  2870942  2871075  2897278  2897526, 2847860  2848322  2870975  2884011  2897501  2898987, 2856854  2857021  2902626, 2856944  2858989  2915979, 2901442, 2901454, 2901467, 2901618  2901630, 2901649, 2901661, R, 2902652, , 2915984, 0, 0, 0, 0, 0, 2916016, 2916022, L3:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2902666, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2922116  2922272  2922485  2922601  2922735  2922870  2922984  2923095  2923205  2923360  2923785  2923900  2924146  2954439  2954559  2954674  2954812  2954924  2955053  2955171  2955294  2955411  2955542  2955670  2955786  2955902  2956019  2956131  2956252  2956371  2956502  2956630  2956759  2958704  2959620  2959766  2959880  2960005  2960128  2960880  2960992  2961171  2961320  2961435  2961572  2961730  2961904  2962021, 2916962  2917178  2917309  2917633  2947288  2947411  2947554  2947784  2948561, 2917804, 2917805, 2917807, 2921858  2954274, 2924020  2962114, 2916527  2947018  2948580, 2917803  2948550  2948641, 2950096, 2950102, 2950107, 2950258  2950263, 2950274, 2950279, L, 2954286, 2954293, 2962124, 0, 0, 0, 0, 0, 2962190, 2962201, L4:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2962358  2964186  2964322  2964507  2964636  2964757  2964877  2965192  2965308  2965441  2966408  2966531  2966642  2966753  2966930  2967048  2967170  2967309  2967621  2967750, , 2962837, 2962838, 2962839, 2964143  2966349, 2965498  2967550, 2980020, 2980246, 2969617, 2969621, 2969626, 2969776  2969780, 2969791, 2969795, R, 2980030, , 2980251, 0, 0, 0, 0, 0, 2980287, 2980293, L4:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2980035, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3015834  3015949  3016068  3016219  3016352  3016510  3016637  3016757  3017102  3017402  3017535  3032285  3032404  3032918  3044966  3045085  3045270  3045449  3045562  3045697  3045820  3045942  3046080  3046213  3046423  3049540, 2986181  2986394  2986508  2986630  2986748  2986863  2986981  2987103  2987224  2987350  2987475  2987602  2987731  2987858  2988170  2991321  2991575  2991763  2991898  2992104  2995889  2996040  2996419  2996575  2997423  2997533  2997694  2997926  2998486  3008966  3009073  3009211  3009324  3029635  3029787  3029924  3030049  3030209  3030324  3030502  3030944  3043558  3043734, 2980837, 2980837, 2980838, 3015650  3032038  3044874  3049416, 3017482  3032883  3046352  3049667, 2985690  2998127  3008458  3029287  3043313, 2998102  2998722  3009271  3030874  3043698, 3048656, 3048668, 3048680, 3048832  3048844, 3048861, 3048873, L, 3049442, 3049454, 3049680, 0, 0, 0, 0, 0, 3049892, 3049894, L5:R4, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
