max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_well_all_on_ts, L_well_all_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1  870444  879415  879697  879863  880003, 818796, 818797, 818798, 879252, 880146, 881847, 881849, 881852, 882003  882006, 882018, 882020, 204, no_go, 1, 1, 0, 0, 0, 897044, 897050, 897054, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 900074  900417  924968  925076  925185  925291  925421  925572  925705  925841  925953  926094  926225  926368  926536  926710  926865  926978  927147  927290  927415  927559  927663  927795  927926  928063  928173  928275  928445  928606  928779, 898392, 898393, 898394, 899217  899474  899947  900056  900237  900363  920037  924572, 899257  899611  899984  900140  900268  900590  920072  928867, 948050, 948058, 948065, 948216  948224, 948237, 948244, 204, no_go, 1, 1, 0, 0, 0, 963301, 963312, 963321, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 972880   972990   973138   973383   973508   973649   973798   973916   974040   974235   974479  1026192  1026360  1026573  1026681  1026821  1026956  1027059  1027173  1027286  1027473  1027575  1027690  1027793  1027938  1028099  1049423  1049531  1049647  1049756  1049899  1050015  1053103, 963738, 963738, 963739, 972472  1026004  1049114  1049163  1073046, 974494  1028038  1049140  1049960  1073345, 1073579  1073967, 1073587, 1073597, 1073748  1073758, 1073773  1074293, 1073782, 204, no_go, 1, 1, 0, 0, 0, 1088855, 1088868, 1088880, L0:R0, 0.00, 000(1)1, 000(1)1, 1000987  1001131  1006724  1035941  1056504  1064902  1065609, 1001038  1003492  1012630  1036667  1057155  1065577  1065666, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1107624  1107733  1107871  1107975  1108117  1108229  1108340  1108569  1108682  1108819  1108922  1109044  1109159  1109517  1109623  1109831  1110145  1110268  1147127  1148876  1148984  1149144  1149247  1149367  1149471  1149644  1149771  1205790  1205989  1206091  1206194  1206924  1207067  1207188  1207355  1207499  1207634  1207864  1208122  1208255  1208391  1208517  1208641  1208774  1208912  1209058  1209199  1209342  1209510  1209659  1209811  1209943  1210130  1210264  1210394  1210530  1210642  1210775  1210932  1211037  1211142  1211247  1211364  1211482  1211616  1211737  1211874  1212047  1212213  1212464, 1089334, 1089335, 1089336, 1107310  1110237  1144349  1144725  1144910  1146796  1147023  1147202  1147313  1147476  1148238  1148345  1205526, 1110225  1110303  1144671  1144788  1144932  1147002  1147164  1147292  1147381  1147499  1148266  1149718  1212685, 1203141, 1203153, 1203167, 1203318  1203331, 1203350, 1203363, , , 0, 0, 0, 0, 0, , 1212727, 1212734, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1103230  1103667  1136863  1163971  1170883  1171418  1174883  1175022  1175345  1197681  1197911  1198889  1199429, 1103244  1104019  1137716  1170840  1170958  1174618  1174998  1175328  1176186  1197739  1198592  1198907  1199447, R, 1205553, 1205566, 1212690, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1213480  1213589  1213693  1213800  1213915  1214019  1214163  1214504  1215028  1215772  1216030  1216271  1216381  1216517  1216734  1216838  1216943  1217053  1218987  1219116  1219220  1219340  1219472  1219608  1219735  1220359  1220492  1220605  1220724  1220837  1222524  1222688  1222835  1223080  1223194  1223335  1225612  1225817  1225984  1226143  1236074  1236197  1236331  1236463  1236610  1236765  1236916  1237099  1237217  1237382  1237486  1237596  1237748  1237976, 1213275, 1213277, 1213278, 1212828  1212958  1213281  1217057  1218731  1222290  1225785  1226509  1235874  1267001, 1212939  1212995  1217016  1217231  1220970  1223424  1226232  1226576  1237919  1267161, 1260708  1262307, 1260721, 1260735, 1260886  1260899, 1262116  1262316, 1262130, , , 0, 0, 0, 0, 0, , 1267174, 1267176, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1229056  1229967  1233956  1234091  1253382  1254282  1255574  1258317, 1229742  1230136  1234032  1234514  1253848  1254445  1256065  1259590, R, 1267003, 1267004, 1267162, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1267342  1267488  1267597  1267725  1267836  1267942  1268066  1268177  1268295  1268422  1268544  1268674  1268807  1268941  1269108  1269228  1269379  1269534  1269694  1269878  1270600  1270737  1270872  1271024  1271186  1271336  1271486  1271635  1271783  1271948  1272098  1272268  1272578  1272708  1272852  1272958  1273179  1273285  1273474  1277886  1277988  1278091  1278198  1278302  1314734  1314890  1315001  1315160  1315326  1315441  1315561  1315682  1315802  1315924  1316049  1316182  1316317  1316449  1316551  1316654  1316759  1316905  1317056  1317203  1317427  1317563  1317666  1317844  1317949  1318572  1318770  1318987  1319136  1319240  1319342  1319469  1319612  1319728  1319878  1319984  1320120  1321018  1321434  1321572  1321737  1321904  1322007  1322155  1322277  1322383, 1273399, 1273404, 1273410, 1267217  1277578  1285397  1285429  1285894  1314362, 1273394  1278226  1285415  1285451  1286063  1322635, 1312362  1312868, 1312370, 1312380, 1312531  1312540, 1312555  1313212, 1312564, , , 0, 0, 0, 0, 0, , 1322658, 1322662, L0:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1289579  1292203  1292299, 1290487  1292218  1292318, R, 1314381, 1314393, 1322638, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1322805  1322912  1326138  1326242  1326382  1326525  1326713  1326866  1326972  1327077  1327190  1327338  1327447  1327565  1327692  1327828  1327943  1328055  1328163  1328326  1328662  1328801  1328912  1330367  1361755  1361879  1362009  1362279  1362386  1362518  1362621  1362780  1362915  1363033  1363135  1363584  1363734  1363840  1363942  1364465  1364580  1364683, 1323256, 1323257, 1323259, 1322716  1325860  1325927  1329090  1361406, 1322980  1325918  1328871  1329101  1364699, 1367490, 1367499, 1367508, 1367659  1367668, 1367683, 1367692, , , 0, 0, 0, 0, 0, , 1374502, 1374512, L1:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1339754  1342038  1369058, 1341877  1342070  1374431, L, 1369077, , 1374440, 1369086
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1393965  1394068  1394477  1394609  1394750  1394897  1395053  1395411  1395519  1395640  1395792  1395904  1396019  1400067  1400215  1419351  1419470  1419589  1419712  1423720  1423847, 1382483, 1382485, 1382486, 1393790  1396257  1398820  1399791  1419134  1419160  1420137  1423429, 1395989  1396274  1398940  1400194  1419147  1419857  1420483  1423878, 1459202, 1459212, 1459223, 1459374  1459385, 1459862, 1459874, , , 0, 0, 0, 0, 0, , 1461970, 1461983, L2:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1374968  1388666  1390633  1390655  1403873  1404635  1404884  1409174  1409456  1436679  1438448  1438478  1442501  1461687, 1382483  1390464  1390642  1390705  1404157  1404826  1408978  1409203  1409469  1438252  1438463  1438496  1444808  1461722, L, 1461710, , 1461896, 1461734
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1482045  1482237  1482345  1482463  1482573  1482682  1482798  1482921  1483031  1483138  1483274  1483683  1483813  1484011  1484852  1484958  1485060  1485196  1485329  1485893  1485994  1486122  1486334  1486451  1486606, 1473001, 1473002, 1473003, 1481888, 1487211, 1480755, 1480758, 1480762, 1480913  1480916, 1480926, 1480929, , , 0, 0, 0, 0, 0, , 1487266, 1487274, L2:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1462160  1473479  1473545  1475681  1479078  1479717, 1473000  1473513  1473635  1477254  1479649  1479725, R, 1481896, 1481900, 1487219, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1487731  1487844  1487954  1488070  1488206  1489803  1489938  1490041  1490178  1490512  1490661  1491067  1491212  1491334  1491627, 1491585, 1491588, 1491591, 1487394  1509509, 1491583  1509780, 1507556, 1507559, 1507564, 1507715  1507719, 1508315, 1508319, , , 0, 0, 0, 0, 0, , 1509819, 1509825, L2:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1501939  1505575, 1504423  1505726, R, 1509518, 1509523, 1509786, 
