max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    97918    98058   104849   105013   105558   105795   121377   121912   122038  2661020  2661137  2661254  2661367  2661489  2661599  2661703  2661918  2662039  2662169  2665375  2674199  2674323  2674443  2674577  2674716  2683232  2683413  2683639  2683747  2683853  2683960  2684076  2684199  2684313  2684427  2688489  2689040  2689413  2689557  2689670  2689775  2689881  2690107  2690228  2690352  2690616  2691028, 1   125547   125722   125889   126010  2518114  2518236  2520743  2668022  2668151  2668249  2668346  2668449  2668561  2668674  2668792  2668912  2669037  2669162  2669291  2669416  2669543  2670067  2670166  2670295  2670530  2670692  2670949  2671082  2671301  2671754, 103979   114362   115450   115878   116648   120904  2660830  2673941  2683069, 105808   114537   115835   116077   116820   122027  2665424  2674804  2691108, 123035  2681230, 123944  2681481, 124465  2667804, 126006  2671702, 2665694, 2665701, 2665707, 2681241, 2681253, 2681403  2681414, 2681492, L, 2683092, 2683106, 2691110, 0, 0, 0, 0, 0, 2691124, 2691127, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2691169  2697253  2697374  2697504  2697882  2698009  2698124  2698233  2698356  2698503  2698700  2699401  2699537  2699654  2699764  2699881  2699986  2700096  2700215  2700324  2700439  2700562  2700692  2700801  2700935  2701301  2701428  2701860  2701984  2702148, 2694036  2694158  2705524  2705641  2705780  2706071  2706762  2706894  2707003  2707105  2707222  2707442  2707886  2708034  2708179  2708288  2708700  2709331  2709551  2709672  2710339  2710483  2710581  2710718, 2696807  2697826  2698266  2698443  2698612  2698811  2699156  2701148  2722862, 2697372  2698230  2698407  2698580  2698728  2698828  2700928  2702137, 2720799, 2721497, 2693840  2694922  2705337  2717768, 2694117  2695108  2710670  2718015, 2692171, 2692172, 2692173, 2720811, 2720823, 2720974  2720986, 2721509, L, 2722886, , , 1, 0, 0, 0, 1, 2723162, 2723163, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2722990
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2723222  2723359  2723475  2751457  2751561  2751774  2751940  2752062  2752201  2752321  2752816  2752930  2763185  2766355  2781804  2781955  2782086  2782477  2782596, 2726704  2726834  2755905  2756075  2756230  2756482  2756891  2757006  2757227  2757325  2757994  2758144  2758312  2758522  2769563, 2751200  2762983  2781592  2788165, 2723501  2752936  2766424  2782588, 2785582, 2786734, 2726469  2738363  2755659  2769180, 2726872  2738650  2758470  2769545, 2723643, 2723645, 2723646, 2785589, 2785598, 2785748  2785757, 2786742, L, 2788182, , , 1, 0, 0, 0, 1, 2788268, 2788278, L3:R0, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2788255
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2788484  2788711  2788828  2789954, , 2795907, 2788876, 2792312, 2794542, , , 2788877, 2788878, 2788879, 2792313, 2792316, 2792467  2792469, 2794544, L, 2795912, , , 1, 0, 0, 0, 1, 2795944, 2795949, L4:R0, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2795938
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2796103  2796226  2796338  2796508  2796740  2826212  2826339  2826474  2826624  2827216  2827688  2827852  2828029  2887853  2887966  2888077  2888441  2888635  2888739  2919186  2919902, 2799369  2799500  2799629  2799834  2800157  2800884  2801001  2801119  2801433  2801551  2801927  2803006  2803774  2803963  2804106  2804580  2804695  2804815  2812311  2812456  2900015  2900162, 2826011  2887688  2888520  2918978  2935919, 2796776  2828002  2888165  2888840  2919866, 2934307, 2934782, 2799133  2800694  2801938  2803993  2812126  2899739  2929001, 2800112  2801909  2803954  2804868  2812444  2900248  2929199, 2796777, 2796778, 2796780, 2934317, 2934328, 2934479  2934490, 2934793, L, 2935941, , , 1, 0, 0, 0, 1, 2936047, 2936059, L5:R0, 20.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2936033
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2936264  2936373  2969629  2969766  2969935, 2943062  2953627  2953743  2954641  2955100  2955590  2955821  2955934  2956056  2956265  2957430  2957545  2957661  2964459  2964580, 2969432  2982486, 2936409  2969949, 2979227, 2979869, 2942798  2953313  2954471  2955843  2956171  2964227  2964731  2965156  2965347, 2943017  2953759  2955779  2956125  2957698  2964573  2964880  2965229  2965419, 2936659, 2936660, 2936662, 2979233, 2979241, 2979392  2979399, 2979876, L, 2982501, , , 1, 0, 0, 0, 1, 2982581, 2982590, L6:R0, 16.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2982568
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2982722  2982876  2983109  2983268  2983401  2983539  2984094  2995978  3034558  3046190  3046382  3046604  3046718  3046915  3047050  3047678  3048298  3048897  3049018  3049123  3049241  3050611  3050739  3050869  3051452  3052904  3054557  3054678  3054793  3054930  3055239  3055532  3055664  3055993  3056144  3056285, 2987807  2987971  2989027  2989194  2989481  3025806  3025948  3029508  3038076, 2995774  3034204  3045789  3046062  3046135  3046776  3050515  3054387  3055500  3055971  3061813, 2984167  2995975  3034616  3046038  3046088  3046699  3049201  3052954  3055313  3055605  3056302, 3058831, 3060251, 2986980  2989355  3025596  3029254  3037796  3039202, 2989346  2989411  3025960  3029472  3038155  3039437, 2984168, 2984170, 2984172, 3058842, 3058855, 3059006  3059018, 3060263, L, 3061838, , , 1, 0, 0, 0, 1, 3062078, 3062079, L7:R0, 14.29, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3062074
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3062089  3062199  3062311  3062425  3062543  3062664  3062786  3062899  3063018  3063272  3063927  3064040  3064155  3064318  3065861  3066004  3066155  3066405  3066558  3066803  3066916  3067070  3067200  3068131  3068265  3068402  3068508  3082019  3082260  3151128  3151243  3151392  3151568  3152198  3152306, 3086980  3087102  3087225  3087364  3087526  3092553  3092669  3093457  3093728  3093851  3095222  3096477  3096589  3096720  3097367  3098082  3098567  3099316  3099464  3099601  3100023  3100641  3100763  3100987  3101174  3101310  3101463  3102001  3105152  3105432  3105914  3106059  3106207  3106425  3106999  3107497  3107616  3107738  3107834  3107959  3116477  3117722  3117997  3119058  3119229  3119592  3120475  3121270  3121381  3121599  3121699  3121811  3134715  3135368  3135656  3142664  3143307  3143778  3143922  3144031, 3065748  3079567  3083158  3150932  3162258, 3064286  3068518  3081705  3083453  3152293, 3160248, 3160801, 3086813  3097024  3097859  3104815  3116174  3117353  3134459  3141795  3141965  3142564, 3096812  3097426  3102041  3107943  3117121  3121798  3135612  3141837  3142528  3144119, 3064288, 3064290, 3064293, 3160252, 3160256, 3160407  3160411, 3160805, L, 3162267, , , 1, 0, 0, 0, 1, 3162318, 3162326, L8:R0, 12.50, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3162310
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3162476  3162601  3162776  3163139  3163253  3163546  3163712  3171095  3171362  3171507  3171662  3171982, , 3163948  3170923  3185084, 3163741  3164023  3171951, 3178379  3180022  3180344  3181499  3181899  3183075, 3179973  3180147  3181481  3181546  3182833  3183174, , , 3163742, 3163744, 3163746, 3178382, 3178386, 3178537  3178541, 3179977, L, 3185096, , , 1, 0, 0, 0, 1, 3185160, 3185168, L9:R0, 11.11, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3185149
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3185306  3185442  3185565  3185776  3186035  3186301  3186448  3186562  3186698  3187494, 3199365  3200389  3201242  3221923  3222284  3222389  3242125  3265411  3265542  3266514  3266941  3267048  3267377  3268749  3268886  3273050  3273976  3274133  3274471, 3186337  3187072  3286973, 3186251  3186636  3187484, 3283599, 3285528, 3199117  3200207  3200885  3200985  3221565  3222185  3241823  3242047  3265118  3272404  3273632  3274962, 3199407  3200476  3200899  3201179  3222141  3222379  3241963  3242276  3269024  3273063  3274457  3275251, 3186252, 3186253, 3186255, 3283608, 3283618, 3283769  3283778, 3285538, L, 3286993, , , 1, 0, 0, 0, 1, 3287094, 3287106, L10:R0, 10.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3287079
