max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   142264   304655   304794   305004   305162   333777   333889   337002   344983  1877398  2021489  2021593  2021696  2021804  2021903  2022019  2022223  2022352  2022602  2022749  2022863  2022966  2023075  2023199  2023324  2023436  2023542  2023753  2026118  2038006  2051677  2051785  2051932  2052031  2052153  2052278  2052401  2052523  2052761  2052887  2053030  2056551  2056679  2057632  2058104  2058594  2058699, 1   151274   306192   306656   306798   307205   307362   307499   309975   316570   316695   348274   348416   356330  1878670  2028550  2028653  2028795  2028903  2029012  2029128  2029247  2029364  2029484  2029608  2029743  2029920  2030103  2032526  2032714  2032843  2033396  2033714  2033826  2033999  2034107  2034658  2034764, 135945   335973  2021314  2037789  2051500, 142240   344961  2026139  2038047  2058864, 144638   348001  2028319  2039851, 151260   356299  2034775  2039936, 2026146, 2026153, 2026161, 2048971, 2048983, 2048995, 2049146  2049158, 2049748, 2049761, L, 2051524, 2051537, 2058865, 0, 0, 0, 0, 0, 2058878, 2058881, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2058913  2059126  2059226  2059325  2059447  2060032  2060135  2060252  2060352  2060540  2060649  2060785  2060910  2061599  2061699  2061817  2073808  2074007  2074130  2074254  2074358  2074493  2074850  2074975  2075075  2097230  2097341  2097453  2097604  2097745  2099974  2100193  2100310  2100427  2100972  2101073  2108165  2108319  2123096  2123232  2123390  2123495  2123809  2167505  2167671  2167881  2181411  2181590  2200760  2200883  2201026  2221446  2287761  2287884  2288333  2288455  2288577  2288715  2288821  2289018  2289675  2289779  2289883  2289989  2291779  2291918  2292058  2292845  2293179  2293305  2293450  2293599  2293797  2293908  2294023  2294158  2295218  2295333  2295458  2296812  2296919  2297027  2297130  2297239  2297648  2297759  2297863  2298030  2299631  2299751  2299942  2301181  2301958  2302156  2302351  2302689  2302811  2302921  2303062  2304219  2304366  2304971  2305088  2305216  2305319  2305737  2305905  2306044  2321257  2321448  2321586  2321756  2321893  2322064  2334574  2334675  2334832  2335037  2335141  2335256  2335357  2335796  2336086  2336221  2336334  2336455  2336626  2336773  2337186  2337306  2337693  2339480  2339595  2339794  2339914  2340032  2340134  2340237  2340337  2340465  2340622  2340762  2341417  2341537  2341650  2341785  2341934  2342057  2343005  2343232  2343542  2343740  2344452  2344554  2344671  2344783  2344938  2345085  2345512  2345647  2346281  2346514  2346614  2346723  2346823  2346922  2347161  2347437  2347956  2348482  2348858  2348972  2349086  2350252  2350352  2350452  2350911  2351932  2352524  2352673  2352813  2353001  2354557  2354673  2355041  2355165  2355271  2355573  2355850  2356024  2356755  2356921  2357059  2357183  2357635  2357738  2357844  2358028  2358986  2359087  2359208  2359357  2360109  2360401  2370955  2371092  2371229  2371439  2371570  2372074  2372240  2372341  2372813  2373315  2373463  2373585  2374744  2375073  2375466  2375589  2375735  2375841  2375950  2393265  2397597  2397857  2399825  2399929  2400097  2402597  2402760  2402937  2405302  2405408  2405680  2405837  2406011  2406569  2406737  2410045  2410156  2410259  2410392  2410801  2411494  2411608  2411785  2411902  2412030  2412178  2412515  2412720  2433071  2433202  2433534  2433646  2443259  2443371  2443524  2443718  2443886  2444949  2445185  2445320  2445492  2445921  2447000  2447263  2447430  2447547  2447913  2448182  2452284  2454643  2454838  2455026  2455126  2455679  2456193  2456308  2456447  2456886  2457200  2458833  2544954  2545070  2545184  2546185, 2078251  2080920  2081024  2083459  2083684  2083800  2084353  2084472  2084784  2084996  2085984  2086088  2086196  2086356  2086461  2086606  2112623  2139416  2139585  2139702  2140071  2155228  2155341  2155475  2155597  2155980  2175246  2207252  2207394  2208402  2208505  2208875  2209052  2209283  2209440  2209910  2210177  2210293  2210615  2210727  2210940  2211140  2211806  2212560  2212695  2212900  2213045  2213663  2213831  2233784  2234151  2234260  2260688  2260914  2269790  2269967  2270078  2270343  2270480  2270616  2271593  2272172  2272288  2272401  2272511  2272772  2272934  2273479  2273591  2273697  2273843  2273950  2274092  2275216  2275713  2275843  2275974  2276644  2276767  2276925  2277302  2278232  2279449  2279645  2280065  2280184  2280429  2280770  2280918  2281379  2282291  2283174  2283285  2283410  2283548  2365429  2365592  2365700  2366068  2366177  2367465  2387949  2467144  2467248  2467497  2467660  2467847  2467991  2468102  2468290  2468505  2468626  2468836  2468970  2469130  2469295  2469565  2469676  2469840  2469947  2470093  2470342  2470518  2470641  2470781  2471817  2471922  2472063  2472201  2472442  2472748  2473047  2475758  2475865  2475998  2476307  2476594  2476817  2477058  2477174  2477697  2478127  2478388  2478664  2479015  2479205  2479349  2480020  2481303  2481419  2481888  2481997  2482105  2482245  2482364  2482474  2482582  2482858  2482992  2483099  2483321  2483428  2483567  2483720  2483828  2484488  2485218  2485392  2485738  2485844  2486420  2489885  2490020  2490152  2490291  2490398  2490629  2490816  2490942  2491054  2492258  2492623  2492801  2495277  2496098  2498227  2499064  2499578  2501578  2501715  2501818  2501927  2502214  2502446  2502565  2502718  2502821  2502941  2503059  2503160  2503263  2503500  2503623  2503750  2503901  2504436  2504543  2505195  2505645  2505747  2505862  2506019  2506267  2506385  2506564  2507639  2507744  2507905  2508013  2508146  2508749  2508862  2509491  2512496  2512619  2512723  2513176  2513278  2513810  2513931  2514089  2514782  2514899  2515120  2515231  2515340  2515505  2516554  2516664  2516806  2517023  2517263  2517398  2518508  2518621  2518820  2521134  2521278  2522070  2522348  2522645  2523055  2523165  2523297  2523442  2523645  2523846  2523980  2524098  2524269  2524379  2524514  2524662  2524798  2525514  2525617  2525848  2526261  2531145  2531268  2531535  2532079  2532212  2533104  2533286  2533399  2534075  2534180  2534305  2534752  2534857  2536798  2537385  2538160  2538267  2551029  2551161  2551281  2551549  2551656  2551809  2551928  2552032  2552135  2552287  2552390  2552587  2552742  2552927  2553136  2553292  2553458  2553591  2554374  2554578  2554685  2554914  2555094  2555295  2555444  2555574  2555700  2556946  2557057  2557576  2557705  2558326  2558431  2558552  2558923  2559060  2559600  2559719  2559841  2559955  2560327  2561713  2565136  2565244  2565802  2565905, 2058919  2058987  2073602  2096946  2097652  2099745  2100056  2107974  2122884  2167207  2181155  2200583  2221271  2221367  2287484  2291959  2294996  2297950  2299436  2302569  2305757  2306575  2312572  2313500  2313678  2318627  2318730  2318778  2318970  2321170  2321968  2326483  2328449  2328985  2329471  2329502  2330583  2331085  2331507  2331737  2333997  2334409  2343530  2345389  2346126  2348700  2355839  2370817  2370854  2373481  2393066  2402393  2408925  2409065  2409914  2411704  2412083  2412318  2416292  2416708  2417675  2417918  2418945  2419504  2419988  2420206  2421707  2422020  2422250  2422514  2422727  2423075  2423669  2424468  2425194  2425416  2425751  2426273  2426765  2428339  2428677  2428925  2429089  2429264  2430584  2430793  2431407  2431674  2431898  2432095  2432917  2433387  2433473  2439701  2440515  2441578  2443043  2446465  2446761  2448615  2452251  2454695  2544765  2580735, 2058967  2061783  2075069  2097596  2097666  2100006  2101003  2108344  2123822  2167780  2181725  2200998  2221299  2221406  2291908  2294134  2297888  2297995  2302048  2305721  2306511  2306596  2312748  2313667  2314258  2318697  2318747  2318901  2319031  2321915  2322294  2326572  2328459  2329011  2329486  2330177  2330921  2331285  2331542  2331773  2334032  2343508  2345120  2345601  2348432  2355555  2360313  2370840  2373424  2375888  2400084  2406913  2408961  2409260  2411606  2411977  2412217  2415919  2416580  2416746  2417802  2418653  2419353  2419857  2420185  2421531  2421745  2422106  2422431  2422624  2422820  2423585  2424102  2425066  2425329  2425684  2426113  2426528  2428191  2428453  2428711  2429000  2429224  2430545  2430604  2431148  2431489  2431830  2431931  2432860  2433336  2433424  2436754  2440466  2440560  2441630  2446437  2446480  2448125  2448771  2454634  2458800  2546149, 2077932  2078788  2083191  2112375  2139218  2154977  2174937  2207056  2208064  2210627  2210935  2212603  2212914  2233502  2233687  2233955  2241718  2260389  2260579  2260842  2269476  2278067  2279348  2280159  2281663  2365180  2387623  2462344  2475462  2477263  2478087  2478196  2478224  2478384  2478954  2481203  2481983  2484184  2484398  2484911  2485426  2485746  2489675  2493818  2498085  2498527  2498765  2499410  2501598  2512282  2520872  2530871  2536083  2550715  2560095  2564872, 2078065  2081074  2086699  2112584  2140057  2156272  2175598  2207391  2210594  2210889  2212547  2212882  2213775  2233633  2233793  2234230  2242007  2260543  2260824  2260902  2277290  2278196  2280139  2281547  2283566  2366136  2387928  2473030  2477196  2477310  2478138  2478211  2478247  2478425  2479365  2481925  2483944  2484298  2484467  2485184  2485648  2485808  2492726  2496129  2498291  2498708  2499084  2499450  2509524  2518779  2526196  2534829  2538286  2560059  2561702  2566024, 2061785, 2061789, 2061792, 2576749  2578412  2578491, 2576756, 2576763, 2576914  2576921, 2578386  2578477  2578669, 2578394, L, 2580753, , , 1, 0, 0, 0, 1, 2580840, 2580850, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2580828
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2581032  2581149  2581251  2623139  2623470  2623577  2623763  2623871  2623990  2624107  2624272  2624383  2624487  2624594  2624695  2624803  2624978  2625122  2625227  2625348  2628325  2628457  2628587  2628696  2628803  2629826  2630867  2631031  2631154  2632099  2632203  2632312  2632424  2632538  2632638  2634014  2634835  2634938  2635041  2635182  2635368  2635469  2635599  2636498  2636632  2637324  2637431  2637532  2638099  2638268  2638448  2638548  2638680  2638943  2639049  2639163  2639287  2640153  2640295  2640409  2640516  2640622  2640759  2640865  2641571  2641688  2641794  2641993  2642116  2642220  2642350  2642703  2642811  2647737  2700303  2700492  2700621  2700913  2701422  2701716  2703590  2703746  2703848  2704047  2704209  2704925  2705034  2705186  2705295  2718788  2718899  2719004  2719152  2719276  2719381  2719489  2719613  2719724  2719830  2719953  2720094  2725859  2726937  2727069  2727184  2728446  2728557, 2587977  2588097  2588232  2588340  2588451  2588967  2659311  2659425  2682845  2691854  2694848  2694967, 2622930  2641876  2647503  2699978  2718551, 2581447  2641678  2642777  2647798  2705244  2728597, 2587815  2603473  2659105  2660384  2682583  2691549  2694593, 2588930  2603484  2659395  2660560  2682882  2691812  2694914, 2582304, 2582306, 2582307, 2712637  2713772  2714168  2714342  2714392  2714753  2715042  2715384  2715770  2716335, 2712640, 2712644, 2712795  2712798, 2713507  2713997  2714326  2714381  2714734  2714926  2715137  2715549  2716016  2716535, 2713511, L, 2718566, 2718574, 2728607, 0, 0, 0, 0, 0, 2728671, 2728682, L3:R0, 66.67, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2728937  2729037  2729146  2731257  2731358  2731460  2731570  2731956  2732056  2732194  2732305  2732408  2732529  2732640  2732748  2734498  2734953  2735084  2735558  2736017  2736467  2736570  2736685  2737946  2741649  2741855  2760395  2760505  2760604  2760705  2761255  2761407  2769965  2770081  2770223  2770332  2770453  2770553  2770659  2770772  2770885  2770990  2771113, 2749556  2749673, 2728842  2741379  2743977  2760110  2769874, 2737932  2741847  2744158  2761367  2772754, 2749381, 2749789, 2737935, 2737939, 2737943, 2764350  2764970  2765679  2765992  2766665  2766861  2767310, 2764356, 2764364, 2764515  2764522, 2764933  2765625  2765862  2766495  2766741  2767055  2768247, 2764940, L, 2769894, 2769904, 2772765, 0, 0, 0, 0, 0, 2772838, 2772850, L4:R0, 75.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2773067  2777086  2777193  2777331  2777453  2777608  2777730  2777878  2779669  2779778  2779879  2780003  2780148  2780252  2780374  2780482  2780581  2780700  2780805  2780909  2782066  2782192  2782321  2782919  2783028  2785624  2785802  2785933  2786045  2786557  2786663  2786795  2788851  2788982  2799443  2799548  2799648  2799749  2799851  2799954  2800063  2800169  2800282  2800395  2800509  2800614  2806212  2806321, , 2773029  2783308  2785356  2788694  2788756  2799184, 2783088  2783361  2786790  2788744  2789033  2806368, , , 2783091, 2783095, 2783099, 2793245  2793874  2794076  2794348  2794748  2794940  2795277, 2793251, 2793260, 2793411  2793418, 2793844  2794061  2794168  2794556  2794770  2795070  2797685, 2793851, L, 2799204, 2799214, 2806379, 0, 0, 0, 0, 0, 2806454, 2806467, L5:R0, 80.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2806674  2807341  2807441  2807566  2808752  2808873  2809017  2809130  2809232  2809380  2809497  2810913  2811061  2811193  2811314  2811527  2811630  2812143  2812269  2812743  2812846  2812948  2815830  2816023  2828163  2828267  2828381  2828481  2828585  2828688  2828791  2828903  2829018  2829135  2836159  2836280  2838166, 2819338  2820466  2820655, 2806651  2811384  2813189  2815525  2827956, 2811361  2813113  2813267  2816047  2838154, 2818983  2820204, 2819355  2820824, 2811363, 2811366, 2811369, 2823279  2823688  2824156  2824427  2825096  2825286  2825640  2825973  2826248  2826344, 2823285, 2823292, 2823443  2823449, 2823570  2824111  2824177  2824714  2825264  2825424  2825942  2826165  2826328  2826418, 2823577, L, 2827976, 2827987, 2838178, 0, 0, 0, 0, 0, 2838256, 2838269, L6:R0, 83.33, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2839110  2840004  2840148  2840293  2840396  2840530  2841866  2841985  2842145  2842435  2842608  2842728  2842884  2843576  2843680  2843795  2844076  2844191  2844292  2844547  2844664  2852541  2852669  2852814  2853109  2853238  2853344  2857900  2858021  2858129  2858229  2858350  2858460  2858575  2858715  2858834  2858938, 2850142, 2838447  2843865  2847457  2852279  2857696, 2843840  2844647  2847627  2853420  2861934, 2849807, 2850166, 2843842, 2843845, 2843848, 2855672, 2855678, 2855685, 2855836  2855842, 2856230, 2856237, L, 2857710, 2857717, 2861942, 0, 0, 0, 0, 0, 2861997, 2862006, L7:R0, 85.71, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2862136  2863739  2863863  2863964  2865255  2865376  2865498  2865599  2865803  2865902  2866863  2867027  2867219  2867352  2867462  2867588  2867697  2867806  2869002  2869109  2869211  2869802  2869916  2870017  2872591  2872751  2872979, 2874984, 2862142  2867038  2872487  2887354, 2867003  2870038  2873036, 2874697, 2875103, 2867005, 2867007, 2867009, 2883623  2884596  2885021  2885590, 2883629, 2883636, 2883787  2883793, 2884517  2884780  2885314  2886014, 2884524, L, 2887369, , , 1, 0, 0, 0, 1, 2887447, 2887457, L8:R0, 75.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2887436
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2887636  2887787  2887890  2888034  2888133  2888246  2888381, , 2895131, 2888406, , , 2888407, 2888409, 2888411, 2890844  2891682  2891961  2892488  2892796  2893352, 2890846, 2890849, 2891000  2891002, 2891627  2891721  2892368  2892529  2893248  2893374, 2891630, L, 2895140, , , 1, 0, 0, 0, 1, 2895194, 2895200, L9:R0, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2895184
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2895307  2895420  2895543  2895709, 2898363  2898544  2899528, 2909647, 2896040, 2898128  2899352, 2898518  2899904, 2896041, 2896042, 2896045, 2904665  2905144  2905330  2905541  2906050  2906272  2906573  2907513, 2904667, 2904671, 2904822  2904825, 2904989  2905270  2905366  2905829  2906241  2906360  2907474  2907761, 2904992, L, 2909660, , , 1, 0, 0, 0, 1, 2909725, 2909733, L10:R0, 60.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2909715
