max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts, 403997!ù¦
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   151368   151810   152239   153316  1255982  1370079  1370185  1370294  1370427  1370612  1370727  1370849  1370969  1371086  1371211  1371335  1371463  1371592  1371721  1371863  1372002  1372134  1372361  1372502  1372623  1373123  1373255  1373369  1373579  1373686  1373941  1374097  1374673  1441388  1441613  1442086  1442751  1443249  1443396  1443549  1443793  1444081  1444241  1467191  1467358  1467567  1467678  1467794  1467905  1468141  1468258  1468382  1468507  1468633  1468761  1468890  1469025  1469168  1469711  1469826  1470491  1470638  1472617  1473914  1474187  1475356  1475743  1476037  1476232  1476401  1476572  1476727  1477884  1478418  1478938  1479073  1479246  1479533  1479648  1479831  1480157  1480303  1481229  1481336  1482084  1482570  1483001  1483743  1483987  1484479  1484605  1484724  1484901  1485537  1485674  1486624  1486736  1487687  1488471  1489546  1489686  1489972  1490300  1490424  1491121  1492444  1492723  1493387  1493684  1493857  1494212  1494366  1494610  1494728  1494890  1495084  1497081  1497532  1497846  1498294  1498476  1498810  1500095, 1   161864   162195   162673   162796   162952  1257024  1257424  1378317  1378437  1378547  1378665  1378786  1378913  1379051  1379187  1379320  1379461  1379604  1379741  1379884  1380023  1380167  1380312  1380459  1380606  1380751  1380896  1381049  1381229  1381343  1381496  1381638  1381789  1381946  1382096  1382248  1382400  1382546  1382691  1382840  1382996  1383154  1383310  1383464  1383615  1383763  1383908  1384067  1384226  1384375  1384687  1384841  1384951  1385054  1385165  1385318  1385421  1385529  1385638  1385768  1385927  1386040  1386146  1386256  1386392  1386549  1386711  1386947  1387057  1387197  1387361  1387479  1387615  1387738  1387860  1387964  1388172  1388361  1388467  1388622  1388776  1388948  1389057  1389267  1389445  1389598  1389837  1390386  1390510  1390658  1390791  1390893  1391055  1391162  1391278  1391444  1391590  1391745  1391924  1392155  1392317  1392470  1392599  1392759  1392925  1393088  1393246  1393411  1393582  1393747  1393936  1394158  1394264  1394413  1394615  1394772  1394965  1395611  1395736  1395890  1396063  1396213  1396327  1396484  1396857  1396971  1397152  1398254  1398393  1398721  1398823  1398927  1399034  1399171  1399317  1399462  1399706  1399866  1400029  1400142  1400269  1400429  1400587  1401028  1401172  1401336  1402954  1403151  1403688  1403827  1403939  1404136  1404326  1404481  1405432  1405540  1405696  1405829  1406041  1406367  1406470  1406586  1406692  1406827  1406983  1407278  1407432  1407545  1407669  1408084  1408191  1408478  1408782  1408900  1409040  1409222  1409404  1409516  1409640  1409820  1409978  1410200  1410847  1410991  1411130  1411297  1411439  1412078  1412188  1412378  1412537  1412666  1412775  1413744  1413852  1413961  1414074  1414227  1414331  1414470  1415114  1415265  1415413  1415530  1415715  1415823  1416103  1416220  1416328  1416469  1416570  1416685  1416796  1416906  1417142  1417251  1417365  1417525  1417665  1417817  1417964  1418126  1418270  1418769  1419055  1419174  1419289  1419589  1419696  1419798  1420204  1420307  1420417  1420535  1420668  1420999  1421139  1421277  1421383  1421972  1422074  1422215  1422391  1422520  1423010  1423120  1423234  1423409  1423537  1423716  1424196  1424308  1424476  1424640  1424930  1425075  1425300  1425410  1425545  1425692  1425806  1427195  1427332  1427830  1427954  1428720  1428834  1429371  1429474  1429747  1429958  1430090  1430221  1430325  1430458  1430660  1430789  1430928  1431033  1431146  1431550  1431721  1431830  1431931  1432673  1433237  1433351  1433503  1433646  1433797  1433954  1434122  1434231  1434374  1434655  1435014  1435117  1435220  1435852  1435962  1436100  1436259  1436453  1436579  1436684  1436911  1446579  1446855  1447426  1447543  1447647  1447764  1447890  1448040  1448160  1448285  1448404  1448986  1449134  1449300  1449460  1449570  1449672  1449785  1449989  1450093  1450304  1450685  1451016  1451643  1451747  1452163  1452264  1452378  1452594  1452764  1453142  1453248  1453364  1453613  1453736  1454002  1454582  1454974  1455098  1455236  1455385  1455490  1456363  1456470  1456625  1456794  1457006  1458904  1459493  1459972  1460208  1460311  1460415  1460549  1460655  1460898  1461014  1461118  1461221  1461429  1461571  1461680, 150173   150852  1369527  1441038  1466912, 150651   153319  1374727  1444204  1500333, 158186  1464652, 159756  1465166, 161047   161212   161386   163601   165124  1378057  1397877  1402733  1418888  1424789  1428635  1431349  1446316  1451329  1457019  1458723, 161199   161321   163013   163681   165348  1397173  1401725  1418149  1424595  1427996  1431312  1436884  1450294  1456950  1457196  1461675, 1374735, 1374743, 1374751, 1464655, 1464659, 1464810  1464813, 1465170, L, 1466920, 1466925, 1500333, 0, 0, 0, 0, 0, 1500339, 1500341, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1500493  1500642  1501147  1501268  1501613  1578326  1578557  1578695, 1517374  1517540  1517731  1517865  1517971  1518172  1518478  1518610  1566032, 1500364  1503926  1577834  1596444, 1501552  1504094  1578724, 1594312, 1594898, 1517185  1565782, 1518584  1566120, 1501710, 1501712, 1501714, 1594316, 1594322, 1594473  1594478, 1594903, L, 1596455, , , 1, 0, 0, 0, 1, 1596515, 1596523, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1596506, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1596850  1634233, 1615004  1615144  1615250  1615365  1615496  1615624  1615898  1616007  1616169  1643379  1643834, 1633806  1661277, 1597235  1634176, 1659321, 1659843, 1614734  1640720, 1616408  1643794, 1597235, 1597236, 1597238, 1659324, 1659329, 1659480  1659484, 1659847, L, 1661286, , , 1, 0, 0, 0, 1, 1661337, 1661343, L3:R0, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1661329, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1666595  1666711  1666816  1666942  1667045  1667215  1667371  1667940  1669170  1669957  1681228  1681392  1681540  1681685  1681857  1681971  1682258  1682544  1682650  1682755  1684776  1686238  1703959  1704097  1704213  1713202  1715178  1715336  1719672  1719896  1720010  1720285  1720919  1721614  1721853  1721956  1722199  1722306  1722869  1723080  1723182  1723332  1723450  1724236  1724351  1724488  1724628  1724774  1724921  1725144  1725597  1725729  1725840  1725985  1726103  1726330  1726482  1726646  1726812  1727355  1727458  1727891  1728201  1728316  1728420  1728572  1728687  1728806  1728912  1729017  1729125  1730149  1730279  1730388  1730995  1731105  1731222  1731337  1731439  1731549  1731768  1732039  1732147  1732270  1732384  1732513  1732655  1732792  1733643  1733745  1733867  1733992  1734193  1734345  1734498  1734599  1734739  1735912  1736019  1736154  1736260  1736722  1737207  1737314  1737567  1737708  1737957  1738079  1738371  1738908  1739031  1739186  1739325  1739461  1739608  1739834  1739937  1740068  1740172  1740305  1740567  1740846  1741082  1741577  1741721  1741950  1742236  1742450  1743008  1743116  1743323  1743444  1743563  1743676  1743851  1743958  1744082  1744234  1745309  1745473  1745735  1746856  1746977  1747081  1747274  1747404  1747622  1747782  1747956  1748134  1748248  1748999  1749968  1750509  1751068  1751179  1751327  1751449  1751653  1752750  1753336  1753864  1753969  1754075  1754560  1754676  1754857  1754880  1755076  1756144  1756281  1756629  1756776  1757155  1757331  1757911  1758075  1758291  1758575  1758685  1758908  1759012  1759119  1759225  1759376  1759507  1759622  1760195  1760304  1760432  1761074  1761202  1761321  1762472  1762742  1762903  1763256  1763362  1764272  1764390  1764525  1764654  1764786  1764977  1765108  1765212  1766045  1766148  1766302  1766826  1766974  1767079  1768213  1768328  1769779  1769923  1770107  1770307  1770443  1770569  1771312  1771491  1771637  1771821  1771991  1772242  1772494  1772605  1773149  1773256  1773392  1773540  1773694  1773807  1774409  1774915  1775314  1775636  1776387  1776592  1778402  1778902  1779019  1779125  1779241  1779401  1779575, 1785846, 1661581, 1783911, 1784567, 1666473  1666922  1668492  1668758  1681031  1681845  1684700  1703758  1704012  1706995  1714909  1719099  1719362  1738171  1741326  1744378  1745093  1749719  1752458  1758348  1767922  1774165  1776177, 1666905  1667927  1668686  1670038  1681821  1682731  1684711  1703948  1704207  1707209  1715300  1719297  1738066  1741040  1744293  1744498  1748640  1751866  1754986  1757642  1767065  1773985  1775674  1779523, 1661786, 1661787, 1661788, 1783923, 1783935, 1784086  1784098, 1784579, L, 1785870, , , 1, 0, 0, 0, 1, 1786134, 1786135, L4:R0, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1786130, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1789728  1789857  1789985  1790149  1791630  1791907  1793061  1793246  1793374  1793477  1794101  1794213  1794404  1794533  1794710  1795014  1795152  1795256  1795369  1795511  1796336  1796440  1796558  1796729  1796863  1797014  1797177  1797511  1797632  1797753  1797865  1798878  1799145  1799865  1800011  1800712  1801079  1801180  1801353  1801733  1802072  1802265  1802371  1802993  1803097  1803554  1803662  1803791  1804293  1804404  1804551  1804681  1805430  1805532  1805693  1805847  1806017  1806209  1806315  1806466  1806611  1806740  1807282  1807930  1808033  1808135  1809104  1809385  1809833  1810036  1810256  1810992  1811106  1811209  1812179  1812344  1812516  1812663  1813234  1813460  1813582  1813808  1814640  1814756  1814863  1815141  1815307  1815409  1816443  1816578  1816903  1817340  1817962  1819439  1820170  1820578  1821291  1821509  1822730  1838949  1839520  1839873  1843368  1843561  1843674  1843799  1845323  1845544  1845672  1845777  1846300  1846631  1846735  1846846  1847088  1847242  1847392  1847569  1847693  1848609  1848796  1848908  1849548  1849651  1849755  1850450  1850577  1850723  1851147  1851322  1851597  1851846  1852107  1852689  1852798  1853489  1853651  1853799  1853906  1854808  1855251  1855393  1855521  1856088  1856421  1856534  1857323  1857445  1860988  1861111  1862357  1862465  1863361  1863522  1863659  1865158  1866244  1866395  1869309  1869967  1870072  1870187  1870365  1870520  1870632  1872406  1872545  1872699  1873170  1873407  1873644  1873776  1873919  1874079  1875088  1875195  1875301  1875459  1875747, 1883899, 1786272, 1880362, 1882025, 1789496  1791454  1798837  1801683  1812853  1814622  1822974  1835224  1838470  1838729  1839550  1839676  1842943  1843012  1843140  1857200  1860817  1866594  1870620  1872262  1875943, 1790199  1797938  1801301  1812756  1814601  1822778  1834863  1838436  1838482  1839529  1839595  1842890  1842996  1843109  1856525  1857532  1866413  1870600  1870677  1875913  1876081, 1786774, 1786775, 1786777, 1880364, 1880368, 1880519  1880522, 1882028, L, 1883906, , , 1, 0, 0, 0, 1, 1883946, 1883951, L5:R0, 20.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1883939, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1892478  1892593  1892718  1893009  1893113  1893493  1893599  1893832  1893964  1894701  1894816  1895051  1895782  1895889, 1907554, 1884188, 1899283  1900933  1902357  1902733  1903381, 1900289  1902346  1902696  1903328  1905758, 1892322, 1896003, 1884597, 1884598, 1884599, 1899286, 1899291, 1899442  1899445, 1900293, L, 1907566, , , 1, 0, 0, 0, 1, 1907625, 1907632, L6:R0, 16.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1907616, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1907809  1908086  1908947  1909145  1910526  1911026  1911138  1911287  1911525  1911670  1912907  1914613  1916872  1917021  1917691  1918455  1918598  1919416  1919899  1920080  1920593  1920720  1922381  1922511  1922693  1922878  1923534  1923652  1924012  1924168  1924352  1926212  1926337  1926731  1926854  1928001  1928477  1929402  1929515  1929643  1930517  1930671  1931724  1931905  1932032  1932224  1932423  1932840  1932957  1933174  1933660  1933836  1934010  1934174  1934393  1934698  1935266  1935589  1935703  1936971  1937316  1937493  1937628  1937748  1938714  1939002  1939126  1940143  1940272  1941233  1941385  1941504  1942489  1942620  1942918  1943412  1943608  1944361  1944504  1944732  1944887  1945603  1946208  1946401  1946660  1946857  1948558  1948681  1948841  1949140  1949496  1949645  1950504  1950643  1951035  1951284  1951438  1951560  1951712  1951914  1952306  1952417  1953210  1953425  1954382  1954716  1954860  1956168  1956358  1956593  1958711  1958880  1959200  1959318  1960846  1962142  1962254  1962682  1963421  1963579  1968720  1969978  1970201  1970372  1970568  1970833  1970950  1971146  1971253  1972900  1973025  1973176  1974421  1974632  1974778  1974909  1975063  1975215  1975641  1977506  1977675  1977981, 1993749  1993907  1994057, 1908690  1929027  1960407  1960594  1963043  1968581  1978287  2011088, 1908280  1928842  1959565  1960475  1962745  1968550  1978255  1978519, 2008439, 2008842, 1993436  2000406, 1994324  2000589, 1908280, 1908282, 1908283, 2008446, 2008455, 2008606  2008614, 2008850, L, 2011105, , , 1, 0, 0, 0, 1, 2011194, 2011205, L7:R0, 14.29, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2011181, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2011402  2011542  2013882  2071824  2154120  2154347  2154840, 2032986  2033169  2033291  2033460  2040475  2040622  2040762  2041089  2043394  2043699  2047205  2047389  2048055  2086014  2086178  2086352  2086738  2120349  2131694  2131895  2158026  2158168  2159415  2159525  2159630  2160217  2160367  2160492  2160612  2160913  2161045  2161196  2161358  2161481  2162259  2162360  2162507  2162621  2162738  2162916  2163024  2163130  2164028  2164159  2164276  2164842  2164953  2165072  2165179  2165723  2166116  2166995  2167107  2167228  2167402  2167539  2168556  2168714  2169054  2169167  2169270  2169573  2169675  2169857  2170033  2170153  2170296  2170586  2170854  2170965  2171295  2171404  2171555  2172046  2172178  2173059  2173167  2173396  2173563  2173752  2173956  2174071  2175448  2175583  2175737  2175963  2176095, 2011792  2071176  2091320  2124416  2153357  2153686  2186415, 2011645  2013877  2071820  2091522  2124818  2153393  2155163, 2183361, 2183540, 2032533  2033506  2040155  2046839  2085753  2119875  2120135  2131416  2157669  2171531  2171791  2176339, 2033470  2033723  2043696  2048146  2086876  2119968  2120457  2131919  2171502  2171563  2176248  2176439, 2013878, 2013879, 2013881, 2183367, 2183372, 2183523  2183528, 2183545, L, 2186426, , , 1, 0, 0, 0, 1, 2186489, 2186496, L8:R0, 12.50, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2186479, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2187929  2189434, , 2187329  2187376  2187674  2206476, 2187303  2187357  2187561  2189706, 2200384  2201786  2202181  2204265, 2201684  2201978  2204123  2204601, , , 2187303, 2187304, 2187305, 2200387, 2200391, 2200541  2200544, 2201687, L, 2206485, , , 1, 0, 0, 0, 1, 2206535, 2206541, L9:R0, 11.11, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2206526, , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2207044  2207381  2207864  2209542, 2222479  2222646  2222847  2222983  2224233  2224345  2224477  2224586  2225963  2226353  2226505  2226693  2226833  2226939  2227066  2231419  2232616  2232874  2233728  2233833  2233941  2234089  2234255  2234507  2235103  2236904  2237030  2237922  2238344  2238461  2238568  2238709  2238968  2239071  2239180  2239292  2239657  2239775  2241274  2241390  2242791  2242896  2243002  2243114  2243342  2243449  2243569  2243670, 2262054, 2209911, 2250034  2256130  2256525  2257134, 2250986  2256494  2257113  2258414, 2222255  2231167  2236730  2236910, 2227345  2235059  2236878  2243786, 2209912, 2209913, 2209915, 2250042, 2250053, 2250203  2250212, 2250996, L, 2262075, , , 1, 0, 0, 0, 1, 2262180, 2262192, L10:R0, 10.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2262165, , 
