max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  907944  927934  928998  929414  929524  929651  935666  981837, 1, 821778, 821779, 821780, 927759   928927   928972   929144   929302   962446   963063   963178   963883   964446  1008159, 927938   928942   929095   929177   929910   962489   963110   963236   964072   964589  1008342, 939501  947166  948457  948497  948910, 939566  947351  948467  948900  948920, 991936  994231, 991942, 991950, 992101  992108, 993375  994972, 993382, L, 1008176, 1008184, 1008351, 0, 0, 0, 0, 0, 1008405, 1008414, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1008567  1008720, 1012376, 1009408, 1009409, 1009410, , , 1011903  1012030, 1011990  1012038, 1013029, 1013031, 1013035, 1013186  1013188, 1013342, 1013345, , , , , 1, 1, 0, 0, 0, 1028375, 1028380, L1:R0, 100.00, 000(1)1, 000(1)1, 204, no_go, 1028369
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1033759  1033870  1033985  1034100  1034220  1034450  1034566  1034696  1034844  1034959  1035081  1035339  1035456  1035582  1035740  1035893  1036001  1036107  1036278  1036480  1036596  1036701  1036843  1036950  1037087  1037197  1037326  1037451  1037565  1037677  1037845  1037988  1038117  1038239  1038351  1038464  1038611  1038716  1038854  1038959  1039203  1039346  1039490  1039618  1039724  1039878  1040000  1040106  1040210  1040319  1040455  1040595  1040735  1040842  1040960  1041117  1041323  1041475  1042088  1042227  1042357  1042701  1042829  1042934  1043088  1043198  1043320  1043467  1043585  1043717  1043821  1043941  1044099  1044409  1044515  1044635  1044776  1044882  1044989  1045094  1045218  1045323  1045434  1045600  1045716  1045856  1045968  1046094  1046210  1046323  1046488  1046649  1046754  1046890  1047209  1047333  1047478  1047626  1047904  1048070  1048248  1048360  1048965  1049299  1049445  1069136  1069254  1069374  1070160  1070271  1070378  1070487  1070608  1070716  1070873  1071005  1071879  1072213  1072423  1072539  1148638  1148748  1148857  1148966  1149077  1149321  1149538  1191304  1191433  1191567, 1056602  1056710  1056819  1057015  1057137  1057244  1057408  1057520  1057641  1057741  1057881  1058112  1058320  1058474  1058579  1058781  1058963  1059101  1059231  1059433  1059600  1059792  1085201  1085362  1085562  1085663  1085794  1086074  1087507  1087652  1087793  1087905  1088016  1088189  1118874  1194468  1194643  1194756  1195003  1195118  1195259  1195391  1195516  1195638  1195771  1195917  1196015  1196232  1196340  1196444  1196575  1196713  1196859  1197170  1197286  1197527  1197939  1198141  1198245  1198369  1198553  1198732  1198869  1199099  1199213  1199316  1199611  1199757  1199911  1200253  1200631  1200746  1201067  1201581  1202183, 1028747, 1028748, 1028748, 1032725  1033438  1033519  1068839  1070067  1071784  1148357  1148541  1190852  1191149  1209494, 1032758  1033504  1049529  1069408  1070960  1071803  1148506  1149522  1190957  1191603  1209676, 1056347  1059847  1060111  1084815  1087116  1118509  1118826  1119392  1193467  1194051  1201658, 1059830  1059893  1060121  1086276  1088175  1118524  1118936  1119408  1193536  1201353  1202188, 1203408, 1203413, 1203420, 1203571  1203577, 1203903, 1203909, L, 1209507, 1209513, 1209683, 0, 0, 0, 0, 0, 1209727, 1209735, L2:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1210579  1210687  1210817  1210931  1211036  1211179  1211291  1211412  1211529  1211666  1211779  1211901  1212039  1212173  1212313  1212440  1212567  1212703  1212840  1212977  1213154  1213261  1213371  1213527  1213664  1213807  1213964  1214079  1214209  1214321  1214425  1214531  1214636  1214764  1215093  1215207  1215370  1215486  1215591  1215697  1215813  1215918  1216029  1216143  1216254  1216437  1216548  1216693  1216871  1216991  1217109  1217222  1217385  1217525  1217722  1217834  1217964  1218101  1218278  1218398  1218508  1218637  1218809  1218921  1220535  1220640  1220786  1220897  1221005  1221123  1221236  1221339  1221445  1243478  1268426  1268533  1268678  1269458  1269598  1345827  1345939  1346061  1346177  1346301  1346412  1346660  1346811  1346921  1347048  1347160  1347266  1347572  1347677  1347802  1347955  1348098  1348257  1348406  1348558  1348708  1348813  1348948  1349056  1349380  1349497  1349601  1349742  1349849  1349983  1350142  1350249  1350363  1350481  1350645  1350804  1350969  1351083  1351810  1351962  1352082  1352215  1352320  1352607  1352747  1352879  1352990  1353126  1353280  1353390  1353526  1353667  1353787  1354034  1354142  1354313  1354470  1354614  1354773  1354930  1355072  1355178  1355290  1355402  1355550  1355683  1355973  1356115  1356266  1356849  1357015  1357160  1357264  1357370  1357497  1357694  1357824  1357930  1358084  1358206  1358321  1358469  1358611  1358718  1358984  1359139  1359278  1359438  1359625  1359785  1359909  1360019  1360151  1360267  1360372  1360589  1360698  1360806  1360915  1361040  1361378  1361488  1361596  1361702  1362857  1363955  1364064  1364172  1364288  1364394  1364549  1364686  1364797  1375036  1388954  1391007  1391582  1391691  1391796  1391906  1392023  1392132  1392240  1392348  1392462  1392609  1392735  1392861  1392984  1393107  1393228  1393352  1393482  1393615  1393783  1393908  1394146  1394287  1394654  1394767  1394898  1395192  1395335  1395464  1395578  1395693  1396087  1396207  1396320  1396465  1396610  1396716  1396830  1396937  1397113  1397254  1397412  1397519  1397690  1397806  1397940  1398105  1398260  1398426  1398553  1398665  1398802  1398911  1399113  1399296  1399412  1399535  1399652  1399844  1400038  1400146  1400283  1400407  1400557  1400697  1400815  1401020  1401162  1401331  1401678  1402201  1402315  1402439  1402551  1402663  1402769  1402904  1403013  1404227  1404642  1404799  1404912  1405081  1405292  1405408  1405641  1406151  1406281  1406399  1406528  1406679  1406880  1406991  1407440  1407551  1407781  1407887  1407998  1408363  1408617  1408763  1409362  1409513  1409648  1409818  1409935  1410041  1410157  1410266  1410381, 1279473  1279591  1279741  1279849  1280042  1280145  1280242  1280340  1280552  1280933  1281070  1281508  1281641  1281764  1281898  1282002  1282418  1286524  1286680  1295092  1295348  1301318  1337309  1337533  1341645  1341856  1341961  1342228  1342339  1342442  1342635  1342748  1343188, 1218986, 1218994, 1219004, 1210456  1220331  1242741  1269314  1345690  1353845  1363822  1391353, 1218978  1221461  1242863  1269785  1353828  1361636  1364806  1410626, 1224641  1225176  1225490  1225967  1226456  1227755  1240637  1240868  1240905  1279047  1286214  1293531  1294490  1294970  1296315  1300472  1312837  1336335  1336629  1341379, 1224860  1225285  1225542  1225984  1226752  1227898  1240750  1240886  1241148  1282405  1286729  1293547  1294525  1294981  1296354  1300505  1312887  1336378  1336727  1343351, 1384533, 1384542, 1384554, 1384705  1384715, 1385984, 1385994, L, 1391375, 1391387, 1410637, 0, 0, 0, 0, 0, 1410705, 1410717, L3:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1410882  1412141  1412247  1424405  1424517  1424950  1425192  1425316  1425440  1425544  1425651  1425759  1425870  1426194  1426301  1426536  1426749  1426898  1427069, 1436364  1436546  1436647  1436755  1436960  1437108  1437252, 1411626, 1411627, 1411628, 1411856  1424121  1424784, 1412255  1424554  1427240, 1436047  1436165  1437280, 1436104  1437236  1437419, 1439208, 1439214, 1439221, 1439371  1439378, 1439390, 1439397, , , , , 1, 1, 0, 0, 0, 1454459, 1454467, L3:R0, 100.00, 000(1)1, 000(1)1, 204, no_go, 1454448
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1499903  1500062  1500203  1500309  1500416  1500545  1500664  1500796  1500917  1501024  1501132  1501248  1501500  1501641  1501748  1501936  1502050  1502208  1502365  1502470  1502596  1502708  1502830  1502946  1503101  1503233  1503487  1503771  1503939  1528307  1581063  1581232  1581343  1581461  1581576  1581824  1581932  1582039  1582158  1582303  1582418  1582536  1582643  1582958  1583219  1583338  1583483  1583637  1583768  1583969  1664091  1664283  1664405  1664511  1664621, 1485674  1485881, 1454907, 1454907, 1454908, 1499744  1528088  1580773  1580912  1584121  1584188  1663663  1664147, 1503944  1528224  1580859  1583935  1584172  1584205  1663761  1664579, 1485342  1506073, 1485967  1506604, 1666713, 1666723, 1666735, 1666886  1666897, 1667326, 1667337, , , , , 1, 1, 0, 0, 0, 1682438, 1682452, L3:R0, 100.00, 000(1)1, 000(1)1, 204, no_go, 1682423
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1691837  1703247  1703404  1703525  1703693  1703980  1704087  1704213  1704434  1704553  1704680  1704800  1704921  1705038  1705157  1705281  1705405  1705526  1705648  1705787  1705924  1706058  1706237  1706789  1706922  1707082  1707507  1707613  1707735  1707883  1707993  1708136  1708787  1708932  1709077  1709195  1709301  1709442  1709579  1709688  1709792  1709913  1710029  1710173  1710319  1710799  1710942  1711063  1711171  1711321  1711480  1711819  1711955  1712155  1712280  1712384  1712491  1712597  1712853  1712961  1713072  1713238  1713428  1713545  1713651  1713807  1713939  1714048  1714262  1714381  1714489  1714593  1714776  1714884  1714992  1715118  1715324  1715454  1715561  1715676  1715816  1715945  1716051  1716156  1716295  1716418  1716565  1717090  1717612  1717769  1717912  1718022  1718129  1718252  1718356  1718583  1718690  1718817  1718921  1719045  1719215  1719326  1719597  1719704  1719854  1719971  1720094  1720223  1720352  1720525  1720656  1720984  1721099  1721250  1721386  1721493  1721641  1722089  1722208  1722314  1722829  1722986  1723373  1723487  1723595  1723708  1723822  1723943  1724078  1724183  1724320  1724434  1724565  1724687  1724847  1725000  1725125  1725424  1725530  1725654  1725798  1725906  1726125  1726265  1726481  1726635  1731297  1731495  1731600  1732034  1732165  1732276  1732594  1732698  1732805  1732909  1733017  1733140  1733258  1733426  1733534  1733650  1733755  1734783  1734996  1735136  1735280  1735420  1735525  1735654  1735853  1736144  1739846  1739998  1740168  1740289  1740448  1740553  1740664  1742058  1742188  1742609  1742956  1743066  1743188  1743538  1743656  1749279  1749772  1749900  1750100  1750226  1750334  1750458  1750598  1750714  1750831  1750950  1751062  1751223  1751353  1751474  1751592  1751713  1751846  1751975  1752105  1752239  1752368  1752491  1752645  1752784  1753043  1753166  1753288  1753408  1753557  1754046  1754173  1754301  1754433  1754549  1754667  1754781  1754926  1755435  1755579  1755688  1755806  1755910  1756044  1756149  1756272  1756399  1756765  1757329  1757508  1757651  1757759  1757865  1757999  1758138  1758245  1758371  1759093  1759220  1759324  1759536  1760216  1760334  1760469  1760582  1760687  1760792  1760912  1761017  1761144  1761250  1761409  1761516  1761707  1761873  1762015  1762186  1762371  1762516  1762638  1762757  1762918  1763035  1763159  1763273  1763452  1763568  1763700  1763985  1764221, , 1682906, 1682906, 1682907, 1702105  1703185  1703317  1703748  1716665  1717416  1726781  1731139  1731780  1731868  1739166  1739583  1739716  1741071  1742587  1742941  1749483, 1702154  1703257  1703441  1716647  1716836  1726541  1726820  1731750  1731821  1735954  1739295  1739623  1740802  1741975  1742765  1743503  1764290, , , 1747905  1748631, 1747906, 1747909, 1748060  1748062, 1748543  1748654, 1748545, L, 1749489, 1749493, 1764291, 0, 0, 0, 0, 0, 1764297, 1764299, L4:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1764896  1765101  1766859  1766979  1767086  1767191  1767328  1767499  1767610  1767724  1767876  1767981  1768086  1768207  1768314  1768450  1768984  1769098  1769248  1769640  1770807  1770919  1771563  1771673  1771803  1772008  1772936  1773907  1774013  1774124  1774239  1774620  1775375  1775585  1775751  1775900  1776003  1776108  1776248  1776352  1776459  1776595  1776704  1776816  1776978  1777494  1777642  1777765  1778249  1778421  1779116  1779224  1779358  1779465  1779680  1779788  1779909  1780049  1781126  1781268  1781409  1781515  1782059  1782168  1782287  1782733  1782837  1782977  1783175  1783301  1783409  1783659  1785312  1785472  1785580  1785700  1785805  1786294  1787315  1787430  1787600  1787728  1788179  1788289  1788401  1788713  1789504  1789615  1789722  1789905  1831768  1831904  1832032  1832249  1832357  1832472  1832733  1832863  1832995  1833101  1833793  1834209  1834319  1834428  1834534  1834642  1834806  1835541  1835676  1835902  1836043  1836169  1836311  1836447  1836578  1842258  1842366, 1793775  1793971  1794079  1794197  1794334  1794451  1794567  1794689  1794811  1795109  1795237  1795335  1795456  1795783  1795909  1796036  1796175  1796340  1796627  1796729  1796888  1797049  1797297  1797411  1797546  1797658  1797818  1798668  1798808  1799936  1800085  1801028  1801194  1801837  1801978  1802117  1802257  1802423  1802521  1802742  1802939  1803078  1803260  1803393  1803701  1803837  1804011  1804149  1805870  1808919  1809512  1809616  1809995  1810233  1810390  1814258  1814447  1823204  1823432  1823543  1823658  1826084  1826479  1826584  1826783  1827148  1827473  1827592  1827691  1828021  1828288  1828596, 1765078, 1765080, 1765081, 1764475  1764716  1765804  1766086  1766141  1766269  1785137  1785856  1787162  1831570  1838835  1839192  1842105  1847055, 1764534  1765077  1765990  1766126  1766208  1783695  1785791  1785878  1789870  1836517  1838992  1839247  1842376  1847234, 1793351  1805236  1805468  1809102  1810432  1810559  1810715  1811082  1822894  1825809  1826222, 1804112  1805309  1805848  1810417  1810497  1810576  1810737  1811873  1823816  1826107  1828710, 1844683, 1844687, 1844693, 1844844  1844849, 1845270, 1845275, L, 1847066, 1847072, 1847240, 0, 0, 0, 0, 0, 1847279, 1847286, L5:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1847485  1847623  1847737  1847881  1848007  1848117  1848242  1848368  1848478  1848582  1848696  1848809  1848914  1849036  1849162  1849322  1849453  1849576  1849696  1849831  1849958  1850082  1850235  1850575  1850705  1850965  1851086  1851238  1851349  1851474  1851588  1851695  1851911  1852018  1852157  1852270  1852391  1852501  1852607  1852713  1852829  1852974  1853126  1853465  1853579  1853716  1853829  1853944  1854096  1854208  1854334  1854442  1854877  1854986  1855097  1855202  1855370  1855690  1855809  1855925  1856134  1856276  1856388  1856496  1856608  1856730  1856840  1856975  1857141  1857246  1857354  1857477  1857642  1857754  1857895  1858231  1858339  1858503  1858617  1858779  1859532  1859697  1859848  1859974  1860123  1860326  1860434  1860725  1860846  1862892  1863000  1863147  1863571  1863683  1863798  1863908  1864016  1864129  1864250  1864355  1864466  1864582  1864994  1865236  1865344  1865449  1865559  1865880  1865986  1866093  1866234  1868111  1868277  1868431  1868551  1868692  1868797  1869365  1869494  1870502  1870618  1887152  1887303  1887479  1887593  1887717  1888011  1888123  1888275  1888897  1905869  1905978  1906123  1945132, 1875573  1875678  1875932  1883990  1902029  1902154  1902276, 1860911, 1860923, 1860934, 1847388  1862762  1863386  1869574  1870353  1886794  1886914  1905789  1945151, 1860900  1863159  1869509  1869619  1870645  1886853  1888262  1906114  1945361, 1874827  1874910  1875065  1876050  1876284  1876427  1876519  1882917  1882983  1901661  1910849, 1874887  1874994  1875926  1876239  1876324  1876454  1876540  1882929  1884373  1902267  1911037, 1935436  1937121, 1935446, 1935458, 1935609  1935620, 1937009  1937410, 1937020, L, 1945174, 1945187, 1945373, 0, 0, 0, 0, 0, 1945450, 1945463, L6:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1945653  1945760  1945873  1945986  1946091  1946199  1946450  1946565  1946671  1946783  1946889  1946996  1947109  1947219  1947337  1947441  1947548  1947655  1947761  1947883  1948000  1948137  1948268  1948382  1948488  1948616  1948769  1948904  1949026  1949174  1949321  1949467  1949590  1949718  1949900  1950018  1950165  1950319  1950456  1950596  1950755  1950865  1951026  1951186  1951578  1951964  1952144  1952553  1952669  1952773  1953239  1953357  1953475  1953592  1953733  1953837  1953944  1954052  1954211  1954370  1954558  1954664  1954778  1954884  1955060  1955245  1955351  1955464  1955591  1955699  1955900  1956010  1956125  1956233  1957073  1957206  1957319  1957476  1957582  1957690  1957883  1958032  1958193  1958404  1958536  1958643  1958750  1958861  1959009  1959122  1959548  1959678  1959822  1960164  1960288  1960394  1961167  1961278  1961392  1961563  1961681  1961794  1961921  1962450  1962576  1963008  1963268  1963386  1965188  1965344  1965470  1965636  1965768  1965896  1966120  1966278  1966421  1966546  1969040  1969227  1970433  1970553  1970845  1970950  1971095  1971382  1975884  1976008  1988163  1988274  1988381  1988507  1988616  1988724  1988838  1988952  1989065  1989181  1989304  1989423  1989548  1989656  1989761  1989886  1990070  1990216  1990365  1990522  1990638  1990762  1990893  1991046  1991207  1991384  1991489, , 1962647, 1962661, 1962674, 1945642  1962857  1965063  1965661  1966670  1966781  1967089  1968739  1968918  1970340  1970463  1975755  1976444  1988043, 1962635  1963350  1965621  1966530  1966765  1966791  1967283  1968903  1969036  1970452  1970504  1975999  1976611  1991592, , , 1984958  1985723, 1984965, 1984973, 1985123  1985130, 1985669  1986964, 1985678, L, 1988059, 1988069, 1991605, 0, 0, 0, 0, 0, 1991679, 1991693, L7:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , 
