max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, 3357927¤, error_id, error_string, house_light_on_ts, L_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   204139   204264   204389   216355   217064  2802750  2803491  2803610  3083991  3084165  3084292  3084408  3084540  3084661  3084775  3084903  3085018  3085136  3085261  3086708  3086852  3090422  3102576  3102725  3102848  3102982  3103114  3103232  3103346  3103463  3103581  3103700  3103813  3103953  3104088  3104210  3104330  3104475  3104681  3104896  3105027  3105164  3105311  3105432  3105558  3105669  3105811  3106454  3106572  3106713  3106827  3106967  3107096  3107259  3107372  3107704  3107987  3108197  3108370  3108498  3108781  3108896  3109013  3109131  3109251  3109390  3150461  3150625  3150789  3150919  3151049  3151163  3151435  3151546  3151674  3151784  3152064  3163988  3164128  3164238  3164365  3164574  3164709  3164882  3164997  3165158  3165310  3165421  3165702  3165835  3165996  3166211  3166324  3166458  3166589  3166812  3166924  3167124  3173448  3173576  3173689  3173881  3174001  3189635  3189771  3189890  3190026  3190147  3190328  3190469  3190598  3190733  3190873  3191793  3192677  3192825  3195561  3195716  3195853  3196012  3196180  3198855  3199813  3200027  3200147  3200272  3200445  3200662  3200775  3200902  3201465  3202206  3205096  3205246  3205377  3205494  3205681  3205866  3205982  3206099  3206215  3206329  3206449  3206905  3207092  3207307  3207418  3207602  3207726  3207840  3208153  3208265  3208387  3208513  3208868  3209020  3209140  3209284  3209494  3209612  3209738  3209868  3210012  3210302  3210429  3210543  3210685  3210905  3211067  3211187  3211302  3211423  3211549  3211947  3212066  3212298  3212456  3212724  3212847  3212964  3213078  3213194  3213314  3213471  3215196  3215926  3216054  3216166  3216277  3216401  3216819  3216954  3217086  3217208  3217355  3217513  3217660  3217780  3217925  3218051  3218355  3218476  3218635  3218777  3218927  3219102  3219229  3219347  3219464  3219577  3219688  3219809  3219966  3220159  3220322  3220434  3220549  3220745  3220915  3221035  3227706  3227847  3227972  3228092, 1   225717   226295   226477  2804347  2805068  3077765  3077907  3114386  3114750  3114871  3116181  3116319  3116470  3116696  3116898  3117322  3117654  3118056  3118245  3118375  3118505  3118636  3120862  3123602  3123747  3126600  3127669  3128326  3128474  3128669  3128913  3129128  3144645  3144761  3144888  3145629  3145743  3145997  3146123  3148341  3160129  3160245  3160370  3170746  3170972  3178911  3179138  3179336  3179464  3179761  3180434  3183069  3224301  3224513, 214956   215432   215977  3083882  3102297  3108064  3150200  3163744  3165553  3165822  3173271  3189393  3204887  3220020  3227508, 215398   215739   217127  3086985  3107927  3109377  3151759  3165461  3165804  3167096  3173989  3202189  3220008  3221060  3228148, 222876  3247757, 223796  3247948, 224277   226996   229059  3076992  3077469  3077931  3114085  3115527  3134702  3144252  3145255  3146190  3147024  3147144  3147370  3147766  3159761  3160821  3170364  3170436  3178555  3180233  3182608  3182800  3183263  3223987  3224943  3225418  3249938, 226744   227742   229273  3077441  3077877  3077943  3114896  3129178  3134882  3144844  3146146  3146250  3147036  3147233  3147583  3147899  3160352  3161081  3170429  3170942  3179738  3180470  3182628  3183242  3183304  3224520  3225399  3225433  3250241, 3046422, 3046427, 3046432, 3247765, 3247774, 3247925  3247934, 3247958, R, 3249956, 3249967, 3250251, 0, 0, 0, 0, 0, 3250313, 3250324, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3335294  3335518  3336052  3340762  3340924  3341047  3341239  3341369  3341496  3341763  3341894  3342032  3342172  3342390  3342502  3342646  3342758  3343101  3343214  3343327  3343439  3343551  3344611  3344756  3344880  3344998  3345448  3345570  3345870  3353684  3353843  3354050  3354185  3354300  3354414  3354566  3354920, 3250475  3250945  3251072  3251191  3251311  3251436  3251559  3251753  3253624  3253809  3255625  3255786  3255905  3256050  3256187  3256859  3257636  3257772  3259260  3259404  3259540  3259674  3259816  3261004  3261138  3261304  3261468  3261582  3261705  3261901  3262131  3262270  3263474  3263726  3263878  3264059  3264242  3265139  3265267  3265471  3265943  3266053  3266230  3267403  3267522  3267683  3267791  3268090  3268307  3268551  3268738  3269135  3269242  3269437  3269585  3269725  3270870  3271241  3271656  3271883  3272016  3272161  3273465  3274596  3274882  3275068  3275231  3275626  3275761  3275932  3276076  3276276  3276549  3276743  3276881  3278542  3278659  3278786  3279162  3279380  3279695  3279841  3280014  3280144  3280530  3280652  3282134  3282275  3282390  3282771  3283510  3284882  3285463  3286295  3286618  3286889  3287052  3287200  3287735  3288336  3288573  3288690  3288987  3289210  3289353  3289503  3289712  3290749  3290868  3291396  3291606  3291758  3291908  3293083  3293273  3293396  3295397  3295600  3295780  3296017  3296228  3296421  3296678  3297019  3297130  3297371  3297478  3297726  3297939  3298077  3298251  3298359  3298768  3298894  3299040  3299211  3299366  3299879  3300022  3300557  3301614  3301724  3301864  3302011  3303076  3303272  3303712  3303821  3304531  3304677  3304842  3305199  3305357  3305478  3305606  3305738  3306179  3306438  3307988  3308762  3308977  3309118  3310917  3311038  3311207  3311348  3311917  3312031  3312380  3314348  3314566  3314677  3314917  3315137  3315270  3315421  3315575  3315745  3316972  3317088  3317249  3317665  3317883  3318024  3318532  3320509  3320888  3321029  3321549  3322251  3325837  3325952  3326120  3326249  3326674  3326806  3326926  3327280  3327407  3327678  3328305  3328414  3328837  3329015  3329438  3329694  3329907  3330743  3330956  3331169  3331852  3331961  3332117  3338555  3349482  3349593  3349707  3349821  3349940  3350291  3350498  3350865  3351028, 3335036  3335780  3340494  3353486, 3335578  3336058  3345823  3354939, 3357736  3358519  3358615, 3357946  3358548  3358818, 3250473  3258447  3258583  3258838  3274354  3295075  3295099  3302855  3307115  3307172  3307317  3307482  3314148  3320108  3320308  3325529  3330476  3331624  3338253  3339015  3349200  3360850, 3258406  3258543  3258779  3274296  3295013  3295084  3302034  3307052  3307149  3307293  3307451  3313392  3320003  3320132  3322266  3329979  3331243  3332064  3338522  3339104  3351006, 3258408, 3258413, 3258416, 3357750, 3357763, 3357914, 3358117, R, 3360853, , , 1, 0, 0, 0, 1, 3360876, 3360879, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 3, 202, wrong_choice_chose_R, 3360870, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3377783  3377941  3378113  3378229  3378471  3379719  3379836  3379951, 3361324  3361432  3361575  3362808  3363271  3363415  3363541  3363864  3372796  3373000  3373263  3374315  3374528  3374893  3375074, 3377621  3379570, 3378442  3380042, 3383821  3397616, 3384109  3397764, 3361929  3362591  3364459  3372508  3372789  3373910, 3361508  3362114  3364066  3364667  3372780  3373423  3375630, 3362115, 3362117, 3362118, 3383827, 3383834, 3383985  3383992, 3384116, , , , , 1, 1, 0, 0, 0, 3399184, 3399193, L0:R2, 50.00, 000(1)1, 000(1)1, , 204, no_go, 3399173, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3421441  3421562  3421682  3421808  3424301  3424503  3424643  3436894  3437035  3437168  3437281  3449997  3450109  3450241, 3399887  3400111  3400253  3413560  3413695  3413823  3413941  3414107  3418442  3418643  3418758  3418864  3419068  3459801  3460035  3460155  3469379  3469489  3469758, 3421278  3424227  3436647  3449735, 3421836  3424714  3437261  3450271, 3486438, 3486629, 3399605  3413256  3418261  3459597  3468990  3488951, 3400329  3414091  3419158  3460174  3469771, 3400330, 3400331, 3400333, 3486445, 3486455, 3486606  3486614, 3486637, R, 3488968, , , 1, 0, 0, 0, 1, 3489058, 3489068, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 3489044, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 3489402  3489636, , , 3494037, 3494669, 3490518  3497622, 3489602  3490539, 3489709, 3489710, 3489711, 3494039, 3494041, 3494192  3494194, 3494671, R, 3497627, , , 1, 0, 0, 0, 1, 3497661, 3497666, L0:R4, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 3497655, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3501937  3502068  3502187  3502394  3503135  3503357  3503493  3503613  3503736  3503865  3504026  3504205  3504343  3504471, 3497995  3498110  3498246  3498352  3498462  3498589, 3501753  3502930, 3502412  3504485, 3507936, 3508159, 3499040  3499361, 3498989  3499332  3499389, 3498990, 3498992, 3498993, 3507941, 3507946, 3508097  3508102, 3508164, , , , , 1, 1, 0, 0, 0, 3523216, 3523223, L0:R4, 25.00, 000(1)1, 000(1)1, , 204, no_go, 3523207, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 3531477  3531598, , , 3537461, 3538164, 3531230, 3531648, 3523769, 3523770, 3523771, 3537462, 3537465, 3537616  3537618, 3538166, , , , , 1, 1, 0, 0, 0, 3553193, 3553196, L0:R4, 25.00, 000(1)1, 000(1)1, , 204, no_go, 3553187, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3578064  3578263  3578374  3578486  3578597  3578709  3578849  3579035  3579203  3579522  3579789  3579924  3581525  3581662  3581799  3581913  3582045  3582200  3582312  3582426  3582568  3583420  3583547  3588751  3589527  3589672  3589841  3589953  3590066  3590198  3590321  3590454  3590587  3590757  3591711  3592068  3592252  3592437  3592551  3592663  3592793  3592929  3593213  3593416  3593531  3593678  3593827  3595100  3595213  3595325  3595461, 3554335  3554559  3560449  3563111  3563351  3563582  3563725  3563855  3563971  3564206  3564458  3564592  3568524, 3577601, 3595524, 3575559, 3575746, 3554028  3558327  3559275  3559309  3559556  3559778  3559990  3560603  3560872  3561198  3561245  3561354  3561499  3562691  3567911, 3554528  3558512  3559284  3559317  3559628  3559835  3560547  3560632  3560948  3561235  3561316  3561434  3561511  3564729  3568661, 3553650, 3553650, 3553652, 3575566, 3575574, 3575725  3575733, 3575755, L, 3577617, , 3595525, 0, 0, 0, 0, 0, 3595538, 3595540, L1:R4, 40.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , , 3577626
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3595584  3595730  3595842  3596262  3596386  3596663  3596776  3597006  3597235  3597436  3597594  3598010  3598144  3598755  3599030  3599166  3599323  3599497  3599778  3600363  3600520  3602375  3602509  3602921  3603153  3603268  3603407  3603580  3604284  3604410  3604528  3605887  3606035  3606155  3606271  3606812  3607005  3607168  3608767  3608879  3608989  3609108  3609221  3609765  3609924  3610041  3610243  3624113  3624257  3624449  3624565  3624704  3624889  3625012  3625130  3625254  3626407  3626556  3634338  3634498  3634630  3634746, 3621780, 3595579  3596158  3596521  3597886  3600549  3602193  3623940  3626216  3634102, 3595858  3596323  3597539  3600525  3600584  3610177  3625181  3626488  3634717, 3639928  3641734, 3640131  3641824, 3621438  3644311, 3621963, 3596324, 3596326, 3596328, 3639939, 3639951, 3640102  3640114, 3640144, R, 3644337, , , , 0, 0, 0, 1, 3644338, 3644340, L1:R5, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 3644334, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3661948  3662080  3662194  3662335  3662718  3663131  3663274  3663387  3663507  3663657  3663793, 3644421  3644647  3645572  3645800  3645935  3646139  3646299  3647250  3647378, 3661718  3661879  3675359, 3661809  3663799  3675460, 3671640  3671951, 3671820  3672720, 3644645  3645252  3646687  3646844, 3644624  3644810  3646261  3646695  3647457, 3644939, 3644941, 3644942, 3671645, 3671652, 3671803  3671809, 3671826, L, 3675372, , , 1, 0, 0, 0, 1, 3675442, 3675452, L2:R5, 28.57, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 3675432, 
