max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    85458   320223   320326   320626   320738   320864   320973   321088   321190   321293   321398   321510   333195   333298   333407   340419  1758615  1760271  1760565  1761120  1761223  1893371  1893480  1893586  1893703  1893834  1893953  1894078  1894195  1894336  1894536  1894687  1894820  1894967  1895114  1895223  1895376  1895498  1895687  1895811  1895914  1912806  1912910  1913017  1913169  1913293  1913424  1913553  1913674  1913844  1913997  1914113  1914328  1914471  1914597  1914700  1914913, 1    4467    4622    5597    5722    5862    6191    6350    6811    7223    7380    8304    8551    8716   10079   43386   43712   43904   44051   44206   44544   47033  322861, 332661  1893027  1893084  1912649, 340405  1893047  1895929  1914857, 343971  1886578  1900369  1916832  1920689, 351165  1889471  1902302  1917789  1923033, 1885825, 1885831, 1885836, 1918636, 1918648, 1918661, 1918812  1918824, 1918995, 1919008, R, 1920715, 1920886, 1923034, 0, 0, 0, 0, 0, 1923040, 1923042, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1938604  1938711  1938822  1938924  1939027  1939174  1939332  1940002  1940134  1940600  1940717  1940828  1940964  1941134  1941596  1941720  1941848  1941986  1942090, , 1938495, 1942126, 1923197  1926676  1936687  1957218  1962173  1964654  1967844, 1925819  1926919  1937346  1961003  1964319  1965262  1976671, 1925819, 1925821, 1925822, 1967046, 1967051, 1967058, 1967208  1967214, 1967383, 1967389, R, 1967856, 1967863, 1976678, 0, 0, 0, 0, 0, 1976722, 1976730, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1980446  1980570  1980675  1980832  1980993  1981520  1981727  1981833  1982139, , 1980278  1981413, 1980989  1981859, 1978121  1983121  1984321  1985441  1987562, 1978905  1984224  1984332  1986266  1999379, 1977322, 1977323, 1977323, 1986859, 1986863, 1986868, 1987018  1987022, 1987033, 1987037, R, 1987572, 1987577, 1999384, 0, 0, 0, 0, 0, 1999420, 1999426, L0:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2002361  2002477  2002630  2002978, , 2002198  2002875, 2002626  2002963, 2000502  2004705  2007640, 2000988  2005403  2015232, 1999946, 1999947, 1999947, 2006005, 2006007, 2006011, 2006162  2006165, 2006515, 2006518, R, 2007647, 2007651, 2015236, 0, 0, 0, 0, 0, 2015263, 2015268, L0:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2016835  2016997  2017164, , 2016615, 2017141, 2026041  2028975  2031149, 2026338  2028983  2038506, 2015703, 2015704, 2015705, 2030470, 2030472, 2030475, 2030626  2030629, 2030637, 2030640, R, 2031155, 2031159, 2038510, 0, 0, 0, 0, 0, 2038535, 2038540, L0:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2040606  2042274  2044227, 2041169  2042974  2051209, 2038971, 2038972, 2038973, 2043624, 2043625, 2043628, 2043779  2043781, 2043829, 2043831, R, 2044232, 2044235, 2051212, 0, 0, 0, 0, 0, 2051233, 2051237, L0:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2058316  2058437  2058604  2058734  2058924  2059031  2059378, , 2058115, 2059338, 2053770  2055662  2060967, 2054486  2056252, 2051762, 2051763, 2051763, 2060067, 2060070, 2060073, 2060224  2060227, 2060236, 2060239, R, 2060975, , , 1, 0, 0, 0, 1, 2061018, 2061024, L0:R7, 85.71, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2061010, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2064113  2064296  2065707, 2061487  2064205  2064325, 2061487, 2061488, 2061489, 2065148, 2065149, 2065153, 2065304  2065306, 2065351, 2065353, R, 2065712, , , 1, 0, 0, 0, 1, 2065746, 2065751, L0:R8, 75.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 2065739, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2120968  2121180  2121284  2121411  2121564  2121666  2133547  2133660  2133886  2134039  2134148  2142815  2142929  2143147  2143268  2144238  2144380  2144512  2144616  2144868  2145020  2145134  2145309  2158401  2160517  2160627  2160739  2160865  2160967  2161096  2161227  2161355  2161560  2161690  2161826  2161981  2162138  2162283  2162414  2162539  2162704  2162900  2163055  2163205  2163345  2163470  2163678  2163801  2163944  2164117  2164276  2164454  2164622  2165008  2165169  2165326  2165434  2165541  2165651  2165753  2165907  2166108  2166420  2166547  2166659  2166819  2167006  2167166  2167314  2167421  2167554  2167678  2167838  2168066  2168246  2168348  2168452  2169000  2169127  2169239  2169365  2169510  2169650  2169752  2179406  2179514  2179647  2179806  2179961  2180089  2180225  2181147  2186308  2186415  2186518  2191779  2192107  2196610  2196712  2196825  2196992  2217443  2217555  2217658  2217767  2217879  2217996  2218119  2218241  2218375  2218506  2218644  2218779  2218911  2219044  2219193  2219350  2219535  2219684  2219836  2220099  2220240  2220444  2220617  2220722  2220856  2221406  2221559  2221725  2221910  2222056  2222224  2222342  2222459  2222817  2222926  2223085  2223211  2223377  2223517  2223634  2223748, , 2120832  2120993  2133331  2142707  2160227  2168146  2179262  2181000  2185882  2191572  2196340  2217209, 2120976  2121686  2134131  2145320  2167824  2169771  2180402  2181208  2186504  2192211  2196981  2223859, , 2066720, 2066720, 2066721, 2066722, 2212483, 2212486, 2212490, 2212641  2212645, 2213160, 2213165, L, 2217218, , 2223868, 0, 0, 0, 0, 0, 2223928, 2223939, L1:R8, 77.78, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 2217223
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2224083  2230413  2230537  2231476  2231597  2231773  2233724  2233887  2233991  2234123  2237138  2237252  2237362  2237475, , 2230253  2233579  2237021, 2231763  2234090  2237454, , , 2224790, 2224791, 2224792, 2238564, 2238567, 2238572, 2238723  2238727, 2239808, 2239812, , , , , 1, 1, 0, 0, 0, 2254854, 2254860, L1:R8, 77.78, 000(1)1, 000(1)1, 204, no_go, 2254846, 
