max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, R_well_all_on_ts, well_id, well_on_ts, R_reward_ts, R_well_all_off_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1  1027568  1027689  1028530  1029153  1029681  1029814  1029935  1030079  1030228  1030506  1031925  1032068  1032213  1032702  1032932  1033067  1033205  1033342, 821669, 821670, 821671, 977773, 977845, 1012281, 1012282, 1012285, 1012435  1012438, 1013263, 1013265, 1027192, R, 1027197, 1027200, 1033422, 1033427, 0, 0, 0, 0, 0, 1033460, 1033466, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1065798  1065989  1066173  1066308  1066470  1066641  1066756  1066883  1067034  1067163  1067282  1067406  1067553  1067674  1067796  1067938  1068054  1068196  1068328  1068442  1068575  1068859  1069050  1069178  1069317  1069467  1069892  1070092  1070296  1070565  1070770  1070971  1071242  1071371  1071509  1071649  1071776  1071923  1072063  1072201  1072312  1072495  1072611  1072740  1072860  1072990  1073108  1073260  1099421  1099540  1099664  1099820, 1035013  1035242  1035378  1035511  1035671  1035915  1036056  1036190  1036336  1036470  1036601  1036721  1036864  1036999  1037173  1037461  1037722  1037855  1037981  1038336  1038482  1039088  1039240  1039355  1039511  1039808  1039967  1040124  1040271  1040906  1041060  1041564  1041744  1041947  1042653  1042886  1043096  1043254  1043575  1043729  1043891  1044482  1044617  1044787  1045142  1045311  1045444  1045602  1045828  1046137  1046559  1046679  1089921  1116046  1116259  1116617  1116740  1116899  1117019  1117196  1117327  1117492  1117696  1118078  1118437  1118605  1118854  1119019  1119192  1119339  1119686, 1034377, 1034378, 1034379, 1065703  1065780  1070833  1099331, 1065759  1070713  1073187  1099730, 1122376  1122646  1123513, 1122382, 1122391, 1122542  1122549, 1122617  1123067  1123649, 1122624, 1034221  1034386  1048720  1049251  1049344  1049537  1049728  1089399  1115441  1115680, , , , 1034351  1046643  1049216  1049288  1049421  1049565  1049800  1090241  1115631  1119698, , 1, 1, 0, 0, 0, 1137697, 1137707, L0:R1, 100.00, 000(1)1, 000(1)1, 204, no_go, 1137685, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1157997  1158198  1158315  1158432  1158768  1159096  1159240  1159524  1159636  1159767  1159899  1160037  1160202  1160330  1160459  1160913  1161031  1161147  1186361  1212511  1212672  1212788  1212908  1213059  1213181  1213333  1213473  1213585  1213709  1213837  1213973  1214086  1214204  1214321  1214439  1214576  1214705  1214834  1214959  1215094  1215214  1215345  1215555  1215702  1215954  1216358  1216509  1216629, 1168731  1168897  1169020  1169145  1169266  1169684  1169935  1170061  1170180  1170317  1170448  1170561  1170813  1170956  1171085  1171216  1171353  1171492  1171628  1171844  1171989  1172131  1172247  1172366  1172724  1172916  1173069  1173209  1173315  1173437  1173897  1174046  1174192  1174814  1175040  1175268  1175514  1175645  1176471  1176736  1176901  1177038  1177181  1177694  1222670  1222938  1223590  1223748  1224077, 1138224, 1138224, 1138225, 1157743  1157783  1186158  1186201  1212393, 1157753  1161114  1186179  1186400  1216600, 1255548, 1255554, 1255561, 1255712  1255718, 1255731, 1255737, 1138260  1138816  1139898  1140074  1140455  1141027  1141545  1141571  1142049  1167299  1176180  1204679  1204847  1206043  1222411, , , , 1138359  1138839  1140046  1140193  1140594  1141036  1141555  1141606  1142163  1176124  1177663  1204698  1204866  1206462  1224041, , 1, 1, 0, 0, 0, 1270797, 1270805, L0:R1, 100.00, 000(1)1, 000(1)1, 204, no_go, 1270787, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1284585  1284733  1284849  1285017  1285151  1285386  1285520  1285656  1308475  1308588  1308814  1309124  1309262  1309391  1309716  1309869  1309997  1310135  1310287  1310432  1310583  1310717  1310839  1310968  1311118  1311266  1311519  1311654  1311807  1311958  1312128  1312297  1312440  1312706  1312829  1312953  1313394  1313507  1313673  1314019  1314141  1314256  1314379  1314573  1314686  1314809  1315265  1315383  1315502  1315780  1315896  1316018  1316132  1316243  1316387  1316512  1316680  1316836  1317002  1317433  1317545  1317680  1317840  1317958  1318073  1318348  1318463  1318636  1318789  1318953  1319064  1319195, , 1271313, 1271313, 1271314, 1284410  1308310, 1285582  1319267, 1330878, 1330888, 1330898, 1331049  1331059, 1331069, 1331081, 1333442, R, 1333464, 1333475, 1333687, 1333699, 0, 0, 0, 0, 0, 1333771, 1333783, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1359737  1359874  1360002  1360112  1360229  1360355  1360506  1360655  1360842  1360965  1361097  1361221  1361348  1361483  1361603  1361724  1361873  1362115  1362253  1362395  1362509  1362659  1362770  1362898  1363065  1363286  1363414  1363527  1363643  1363829  1363949  1364060  1364189  1364304  1364432  1364561  1364980  1365096  1365343  1365456  1365788  1365903  1366219  1366335  1366461  1366696  1366841  1366976  1367089  1367209  1367438  1367608  1367734  1367889  1368080  1368213, 1335468  1335595  1335815  1336190  1336323  1336455  1336590  1336723  1336857  1336992  1337124  1337260  1337402  1337545  1337694  1337837  1337976  1338117  1338256  1338400  1338587  1338732  1339061  1339211  1339364  1339476  1339664  1339817  1339984  1340291  1340589  1340888  1341041  1341200  1341367  1341529  1341708  1342026  1343081  1343242  1343450  1343869  1344013  1344165  1345696  1345891  1346041  1346613  1346768  1346921  1347077  1347190  1347563  1347746  1347856  1348197  1348640  1351890  1352093  1352374  1352505  1352637  1352783  1352945  1353326  1353573  1353761  1353886  1354055, 1334395, 1334395, 1334396, 1359512, 1368252, 1355862, 1355872, 1355883, 1356034  1356044, 1356061, 1356072, 1334676  1334759  1351420  1354125, L, 1359535, , 1334721  1348596  1354109  1354157, 1368257, 0, 0, 0, 0, 0, 1368291, 1368297, L1:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 1359547
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1369097  1369348  1370288  1379912  1380047  1380168  1380282  1380424  1380538  1380725  1380873  1381402  1381522  1381663  1381779  1381913  1382116  1440973  1441165  1441288  1441505  1441634  1441899  1442046  1442169  1442282  1442724  1442838  1442959  1443110  1443228  1444725  1497859  1498401  1498572  1499153  1555096  1555235  1555454  1556934  1557064  1557447  1557578  1557702  1557849  1558067  1558203  1558337  1558752  1558863  1559256  1559406  1559527  1560672  1560821  1560938  1562890  1563321  1563439  1563553  1563693  1563848  1564297  1564425  1568979, 1394075  1394188  1394392  1394531  1394643  1395051  1395184  1395356  1395521  1395741  1396224  1396401  1396553  1397045  1397249  1397398  1398850  1399171  1400614  1401483  1401626  1402182  1402369  1402550  1403137  1403244  1403387  1405707  1405843  1405957  1406464  1406581  1407003  1407172  1407570  1407823  1408279  1408408  1408868  1411166  1411393  1411935  1412439  1412554  1412716  1412831  1413504  1413667  1413783  1414456  1414588  1414727  1414853  1414971  1415100  1415332  1415534  1415752  1415873  1416171  1416343  1416520  1416688  1416898  1417049  1417435  1417593  1417836  1417945  1418373  1419593  1419717  1420289  1420446  1420572  1420696  1420828  1420967  1421106  1421243  1421446  1421676  1421882  1421993  1422113  1422316  1422542  1422661  1422772  1423192  1424443  1424704  1424825  1425158  1425523  1425797  1426302  1448004  1448607  1448735  1449157  1449290  1449938  1450116  1450749  1451043  1451662  1451868  1452015  1452326  1452440  1452936  1453104  1453229  1453360  1453491  1453622  1453835  1453982  1454130  1454460  1454775  1454972  1455100  1455312  1455516  1455637  1455816  1456094  1456219  1456737  1456905  1457094  1457209  1457377  1457891  1458255  1458979  1459683  1459819  1460023  1460183  1460320  1460456  1460591  1460731  1460877  1461198  1461336  1461499  1461698  1461834  1461984  1462135  1462615  1463166  1463482  1463887  1464071  1464243  1465512  1465658  1466105  1466258  1466402  1466545  1466759  1466991  1467129  1467274  1467453  1467623  1467754  1468275  1468419  1468595  1469096  1469209  1469451  1469631  1469832  1470001  1470118  1470500  1470633  1470811  1470968  1471085  1472314  1472471  1473028  1473170  1473961  1474098  1474597  1475453  1476612  1476925  1477079  1477292  1477736  1477939  1478079  1478362  1478627  1478764  1479429  1479677  1479842  1480613  1480763  1481195  1482518  1482660  1482812  1483488  1483720  1484179  1485626  1501305  1501475  1501585  1502245  1502368  1502783  1502917  1503454  1504047  1504382  1541693  1542355  1542494  1542895  1543042  1543207  1543418  1543870  1544018  1544648  1544813  1544939  1545059  1545271  1545886  1546054  1546299  1546917  1547028  1547518  1547649  1547930  1548626  1548959  1549113  1551005  1551164  1551921  1552052  1552230  1552600, 1368829, 1368830, 1368830, 1369222  1379506  1379681  1381156  1440794  1444274  1497515  1497936  1498094  1498232  1554872  1554926  1564356  1564482  1568687, 1370237  1379576  1380797  1382045  1443262  1444517  1497848  1498014  1498121  1499136  1554889  1564333  1564441  1564528  1568969, 1574222  1575957, 1574234, 1574246, 1574396  1574408, 1574426  1576716, 1574437, 1393614  1410852  1411645  1412061  1424794  1447822  1458038  1474771  1478319  1481882  1482352  1485696  1485755  1486354  1501049  1504890  1505353  1505847  1541323  1572001  1572097, , , , 1408802  1411441  1411968  1424766  1426234  1457826  1474705  1478302  1481232  1482292  1485657  1485729  1485924  1487106  1504561  1505312  1505421  1505990  1552556  1572044  1572925, , 1, 1, 0, 0, 0, 1589543, 1589713, L1:R2, 100.00, 000(1)1, 000(1)1, 204, no_go, 1589527, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1602171  1604646  1604766  1604905  1605088  1629874  1630223  1630344  1630475  1630616  1630764  1630884  1631004  1631124  1631242  1631396  1631522  1631657  1631770  1631885  1632024  1632164  1632284  1632398  1632531  1632828  1641164  1665329  1665557  1665785  1665934  1666128  1666272  1666390  1666878  1666997  1667111  1667240  1667352  1667491  1667605  1667885  1667999  1668113  1668227  1668491  1668627  1668758  1668879  1669060  1669182  1669331  1669492  1669613  1669829  1670095  1670398  1670849  1670963  1671105  1671239  1671355  1671519  1671654  1671777  1671916  1672780  1673853  1673977  1674124  1674775  1674907  1675044  1675218  1675932  1690763  1690891  1691008  1691140  1727638  1727758  1727887  1728010  1728121  1728246  1728385  1728503  1728624  1728746  1728867  1729000  1729141  1729846  1729958  1730629  1731505  1731615  1731994  1732115  1732311  1733145  1733272  1733398  1733520  1733684  1734116  1734240  1734379  1734555  1734705  1734841  1735003  1735133  1735277  1736351  1736462  1736583  1736846  1736976  1737115  1737295  1737407  1737627  1737748  1737863  1739450  1740012  1740124  1741986  1742171  1742722  1742836  1745175  1745287  1746174  1746426  1746539  1746656  1746775  1748088  1748243  1748379  1748541  1748665  1748779  1750119  1750337  1750450  1751080  1751199  1751354  1751480  1752206  1752324  1768914  1769096  1769208  1769387  1769500  1769626  1769743  1769859  1769972  1770096  1770279  1770393  1770625  1770744  1770857  1770983  1771105  1771217  1771355  1771498  1771635  1771781  1772084  1772204  1772358  1772483  1772613  1772729  1772907  1773042  1773176  1774011  1774134  1775630  1775765  1775898  1776010  1776129  1776247  1776361  1776503  1777025  1777161  1777302  1777451  1778604  1778721  1778870, 1614640  1615271  1615479  1615934  1616070  1616244  1617284  1617426  1617544  1618802  1619549  1619688  1619829  1620044  1620274  1621726  1622321  1693966  1694359  1694883  1695069  1695206  1695355  1695687  1695838  1696579  1697726  1697931  1698246  1701134  1701655  1702195  1703102  1703306  1703968  1704619  1708767  1708957  1709072  1709191  1709312  1709431  1709557  1709687  1709819  1709961  1710100  1710245  1713384  1713558  1713789  1714350  1714507  1714694  1714834  1714980  1715860  1715990  1716757  1717893  1718512  1718707  1718902  1754969  1755282  1755929  1765490, 1590413, 1590413, 1590414, 1602054  1604751  1606275  1629682  1632935  1640596  1665140  1665963  1675793  1677483  1677648  1677749  1690381  1690448  1690627  1727377  1741788  1742548  1743751  1744906  1768811, 1602062  1605096  1606340  1632906  1632980  1641244  1665916  1675159  1675822  1677596  1677675  1677803  1690418  1690545  1691172  1740069  1742181  1742919  1743790  1752308  1779190, 1767455, 1767465, 1767478, 1767629  1767641, 1767658, 1767669, 1613804  1614151  1693404  1700866  1708307  1716364  1754695  1756125  1756475  1764412  1764774  1765751, L, 1768835, , 1613920  1622270  1698226  1704610  1716303  1718846  1755898  1756271  1756630  1764516  1765516  1766116, 1779195, 0, 0, 0, 0, 0, 1779226, 1779232, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 1768847
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1779375  1779813  1779929  1780069  1780185  1780378  1780502  1780616  1782926  1783054  1783177  1783376  1783490  1784169  1784314  1784865  1784977  1786054  1786266  1786662  1786777  1786974  1787090  1787873  1787996  1788114  1788274  1788406  1788540  1788706  1789242  1789426  1789545  1789696  1789807  1790139  1790264  1790384  1790999  1791194  1791306  1797727  1797896  1798026  1798168  1798358  1798472  1798615  1799093  1799209  1799322  1799770  1799892  1800022  1800178  1800292  1801069  1801205  1801549  1801665  1801789  1801930  1802070  1802181  1802979  1803090  1803209  1803337  1804086  1804213  1804346  1804511  1804638  1805722  1805856  1805978  1806504  1806617  1806773  1807481  1807610  1807747  1807900  1808025  1808146  1808780  1808924  1809048  1810357  1810548  1810695  1811050  1811204  1811545  1811663  1811780  1812156  1812271  1812386  1812535  1813766  1813922  1814790  1814913  1815037  1815168  1815768  1815904  1816027  1816669  1816783  1816905  1817037  1817217  1817374  1817837  1817998  1818152  1818370, , 1780591, 1780593, 1780595, 1779315  1782722  1791021  1797559  1807889  1808592  1809721  1810089  1810413  1816522  1818190, 1780590  1790978  1791273  1807872  1808168  1809034  1809987  1810188  1815976  1818158  1818279, 1820052, 1820057, 1820063, 1820214  1820219, 1820231, 1820237, 1825684, R, 1825696, 1825703, 1825916, 1825923, 0, 0, 0, 0, 0, 1825967, 1825975, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1850547  1850712  1850952  1851071  1851580  1851699  1851820  1851964  1852101  1852227  1852343  1853224  1853341  1853489  1853632  1853798  1858432  1858558  1858683  1858810  1858921  1859049  1859160  1859299  1859438  1859591  1859703  1859840  1860227  1860354  1860512  1860663  1861803  1861928  1862046  1862948  1863064  1863181  1863364  1863516  1863631  1863745  1865355  1865479  1865618  1865777  1865951  1866095  1866903  1868091  1868201  1868322  1868660  1868778, 1826826  1826948  1827067  1827188  1827311  1827438  1827568  1827705  1827848  1827991  1828126  1828264  1828407  1828549  1828696  1828841  1828987  1829139  1829285  1829437  1829590  1829740  1829978  1830185  1831875  1836783  1837089  1837271  1837895  1843685  1873152  1873268  1873456  1873747  1873872  1874030  1874191  1874338  1874468  1874671  1874805  1875097  1875571  1875709  1877008  1877394  1880521  1881304  1881578  1881776  1882160  1882384  1882513  1899174  1899947  1900086  1900217  1900343  1900473  1900596  1900724  1900852  1900983  1901111  1901242  1901376  1901504  1901635  1901769  1901893  1902343  1902489  1902835  1902984  1903128  1903892  1904005  1904125  1904287  1904430  1904574  1904718  1904897  1905108  1905265  1905415  1905567  1905735  1906240  1906473  1906628  1906866  1906978  1907097  1907249  1907399  1907560  1907712  1908087  1908209  1908448  1908606  1908839  1909014  1909179  1909470  1909618  1910670  1911094  1911306  1911515  1911690  1911857  1912091  1912454  1912656  1912845  1912988  1913350  1914013  1914172  1914364  1914533  1914681  1914902  1915054  1916880  1917108  1917279  1918246  1918461  1918585  1918728  1918863  1919035  1919179  1919304  1919448  1919703  1919812  1919954  1920131  1920423  1920695  1920801  1921755  1922078  1922235  1922408  1922571  1922686  1922961  1923306  1923880  1924125  1924352  1924510  1925068  1925184  1925308  1925508  1925633  1925788  1926000  1926189  1926576  1927114  1927290  1927430  1927568  1927738  1927946  1928099  1928252  1928498  1928684  1928843  1928996  1929229  1929351  1929684  1930562  1930776  1930892  1931028  1931389  1932002  1932182  1932389  1933907  1934124  1935113  1935229  1936793  1936932  1937083  1937232  1937977  1938196  1938330  1938591  1938847  1939150  1939490  1939819  1939969  1940105  1940249  1941222  1941363  1941559  1942136  1942270  1942425  1942534  1942646  1942804, 1826534, 1826536, 1826537, 1850287  1850399, 1850370  1868715, 1898067, 1898071, 1898076, 1898227  1898231, 1898241, 1898245, 1826086  1826547  1833695  1835878  1836331  1837248  1843177  1872799  1898819, R, 1898828, 1898833, 1826534  1832281  1834273  1836112  1837218  1837986  1843792  1882806  1943432, 1943443, 0, 0, 0, 0, 0, 1943511, 1943523, L2:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2008742  2009312  2009443  2009560  2009683  2009795  2010345  2010458  2010642  2010760  2010870  2011024  2011311  2011438  2013579  2013727  2013928  2014043  2014266  2014616  2014776  2038243  2038363  2038572  2038693  2038807  2039028  2039580  2039692  2039835  2040278  2040402  2040526  2040675  2041039  2041157  2041838  2041974  2042089, 1944048  1944243  1944957  1945195  1945780  1945919  1946146  1946511  1946700  1947366  1947499  1948013  1948206  1948578  1949002  1949352  1949465  1949588  1949719  1949922  1950043  1950219  1950362  1951100  1951223  1951423  1951634  1951778  1952035  1952167  1952509  1952634  1952805  1952995  1953378  1953485  1953631  1953799  1954516  1954696  1954848  1955008  1955227  1955729  1955845  1956008  1956198  1957039  1957256  1957483  1958817  1959065  1959205  1960171  1960306  1960478  1960602  1961443  1961662  1962123  1979473  1979604  1979723  1979864  1980853  1981663  1981770  1982399  1982617  1982784  1983434  1983911  1985730  1986607  1986720  1987614  1987731  1988392  1988531  1988690  1988834  1989798  1990244  1990907  1993676  1994909  1995045  1995183  1996192  1998597  2005458  2006501  2018990  2019209  2019869  2020764  2020977  2021143  2021291  2021425  2021540  2022267  2023673  2024473  2024969  2025084  2025195  2026092  2026755  2026885  2050562  2050798  2051015  2051445  2051603  2051735  2051865  2051993  2052262  2052401  2052543  2052765  2052905  2053050, 1946250, 1946252, 1946254, 2008433  2013519  2013770  2014837  2038068, 2011383  2013550  2014720  2014855  2042134, 2048962, 2048973, 2048986, 2049137  2049148, 2049167, 2049179, 1943694  1943794  1946263  1949035  1959194  1960593  1963187  1975169  1975564  1983978  1985458  2004832  2018695  2023724  2050147, R, 2050171, 2050184, 1943762  1946248  1949022  1959149  1960563  1962064  1964540  1975206  1983899  1984073  1998708  2006569  2023612  2026847  2053198, 2053199, 0, 0, 0, 0, 0, 2053210, 2053213, L2:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
