max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   135721   265753   265872   266012   266368   266489   266613   266736   266981   267100   267217   268077   268670   269390   288118   293863   293989   294263  1707233  1707350  1707502  1707613  1707724  1873674  1873786  1873897  1874009  1874124  1874236  1874356  1874471  1874585  1874704  1874845  1874958  1875075  1875193  1875305  1875437  1875577  1875798  1875913  1876040  1876170  1876297  1876424  1876549  1876677  1876806  1876941  1877064  1877193  1877312  1877432  1877573  1877715  1877836  1899482  1899628  1899745  1899866  1899991  1900137  1900276  1900391  1900525  1900662  1900793  1900930  1901043  1901162  1901290  1901427  1901571  1901701  1901839  1902130  1902558  1903277  1903395  1903528  1903668  1903782  1903933  1904072  1904235  1904371  1904513  1904637  1904748  1913261  1946568  1946710  1946893  1947022  1947161  1947294  1947409  1947592  1947821  1947944  1948071  1948236  1948622  1948766  1948884  1949266  1949943  1950086  1950291  1950420  1950553  1950671  1950788  1950912  1954059  1955072  1955777  1955889  1956034  1956147  1956342  1956457  1956568  1956776  1956913  1957033  1957177  1964985  1965112  1994927  1995051  1995181  1995293  1995572  1995691  1995824  1995942  1996790  1997177, 1   251929   269412   303433   327981   339683   351756  1882090  1882307  1882450  1882605  1882734  1882861  1882996  1883156  1883293  1883425  1883556  1883691  1883831  1884150  1884274  1884383  1884569  1884706  1884816  1884946  1885081  1885372  1885490  1885607  1885759  1885918  1886129  1886270  1906437  1906544  1906900  1907025  1907154  1907290  1907497  1907642  1925959  1926073  1926269  1926707  1926926  1927050  1927173  1927304  1927443  1927582  1927792  1927922  1928064  1928206  1928354  1928956  1929165  1929314  1930321  1930534  1930676  1930825  1931183  1931331  1933011  1933146  1933293  1933446  1933716  1933828  1934202  1934363  1934524  1934639  1934788  1934983  1935140  1936055  1937684  1937833  1937984  1938108  1938463  1938637  1938782  1939329  1939447  1939554  1939714  1939887  1940068  1940213  1940397  1940679  1940807  1941107  1974383  1974876  1974991  2004273  2004586  2004909  2005128  2005404  2005565  2006228  2006389  2006502  2006624  2006750  2006877  2007906  2008018  2008801  2009016  2009147  2009804  2010670  2015281  2017860  2018038  2018215  2018336  2018459  2018578  2018701  2018821  2018944  2019068  2019194  2019340  2020669  2020807  2020939  2021070  2021784  2021924  2025228  2027383  2027531  2027719  2027912  2028539  2028701  2028838, 124613   287507  1873170  1899102  1913059  1913385  1946318  1964800  1975846  1994622  1997985, 135705   293829  1877825  1904774  1913293  1913431  1957122  1965145  1975967  1997268  1998182, 139721   296392   322050   346089  1881612  1906121  1925249  1973862  2003996  2010758  2014262  2014699  2017569, 144887   303183   327812   351727  1886464  1907745  1941073  1975010  2010613  2010783  2014316  2015234  2028943, 161843  2016529, 162198  2016740, 1886464, 1886465, 1886466, 2016541, 2016556, 2016707  2016720, 2016753, R, 2017570, 2017571, 2028947, 0, 0, 0, 0, 0, 2028975, 2028980, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2067906  2068019  2068175  2068563  2068679  2069190  2069340  2090176  2090300  2090504  2090625  2096712  2096834  2097069  2097181  2097346  2097489  2097724  2097869  2098036  2098636  2098754  2099058  2099178  2099298  2099431  2099714  2103010  2109516  2110115  2110508  2171294  2171425  2171542  2171695  2171913  2172048  2172174  2172303  2172441  2172559  2172692  2172969  2173381  2173495  2175324  2175441  2175569  2175706  2175819  2175931  2176246  2176499  2176629  2176867  2176982  2177710  2178479  2178598  2178737  2178893  2179005  2179724  2179844  2179969  2180106  2180301  2180416  2180533  2180702  2180865  2180993, 2029047  2031547  2031747  2052718  2052910  2053292  2054017  2054212  2054332  2054526  2055163  2055283  2055414  2056278  2056388  2056562  2057083  2057217  2057341  2058725  2059561  2059807  2059944  2060151  2060939  2061060  2061259  2062062  2062292  2062438  2062658  2063293  2064629  2064886  2065033  2065173  2065391  2065528  2065760  2065871  2066010  2072711  2072916  2073123  2088617  2088832  2089064  2104536  2104925  2115343  2115538  2115858  2116691  2116808  2116969  2117658  2117877  2119556  2119698  2120126  2120322  2120520  2120654  2121893  2122670  2122789  2123240  2123449  2123626  2124282  2124389  2125661  2125863  2126011  2126168  2126281  2126730  2126909  2127158  2127324  2127524  2127703  2128590  2128728  2129829  2129970  2130384  2130614  2130833  2131719  2132699  2132826  2133073  2133210  2133352  2133497  2133670  2133806  2134453  2135115  2135226  2135707  2136227  2136369  2137175  2137704  2137827  2138006  2138164  2138312  2138462  2139579  2139689  2139840  2141069  2141248  2143563  2144319  2145193  2145300  2145424  2145847  2146064  2149221  2149345  2149513  2149671  2149893  2150566  2150818  2150972  2152720  2155717  2155872  2156155  2156624  2156784  2156967  2157426  2157675  2158567  2159304  2159846  2160704  2162017  2162202  2162337  2162471  2162624  2163840  2163949  2168124, 2067677  2069165  2090034  2096537  2099991  2102454  2109097  2171150, 2069137  2069291  2090641  2099484  2100621  2103042  2110475  2181627, 2031044  2047631  2047659  2052311  2072329  2088320  2104105  2113631  2138649  2138731  2143069  2155404  2167500, 2031973  2047645  2048640  2066058  2073177  2089050  2104865  2138554  2138706  2141212  2152655  2163920  2168095, 2169946, 2170115, 2030259, 2030260, 2030261, 2169948, 2169952, 2170103  2170106, 2170118, L, 2171157, , 2181637, 0, 0, 0, 0, 0, 2181692, 2181702, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 2171161, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2181836  2181952  2227577  2227716  2227881  2228377  2229627  2229747  2229905  2230023  2230145  2230449  2230581  2230737  2231267  2242735  2254993  2255129  2255448  2258735  2258996  2259207  2259328  2259438  2260745  2260897  2261080  2261242  2261511  2261643  2261922  2295691  2295909  2297109  2297228  2297344  2297494  2297652  2298255  2307817  2307928  2308053  2308218  2308510  2308625  2308738  2308877  2308997  2309158  2309413, 2187813  2188017  2188782  2188925  2189039  2189777  2189886  2190273  2190425  2190602  2190739  2191379  2191532  2192504  2192645  2192919  2193074  2193820  2194001  2194165  2194315  2194769  2194959  2196327  2196435  2196543  2196665  2197253  2197456  2197786  2197922  2198070  2199632  2199781  2200192  2200530  2201957  2202224  2202384  2202556  2203697  2204209  2204569  2205032  2207371  2207537  2207720  2209156  2209292  2210260  2210468  2210914  2233205  2244456  2274103  2277904  2278113  2280304  2281066  2281467  2314583  2314745  2315013  2315235  2315903  2316923  2317102  2317601  2318808, 2181836  2227397  2227459  2229144  2229322  2229419  2230972  2231175  2242287  2255166  2258511  2260588  2295189  2307666, 2181907  2227420  2228397  2229175  2229373  2230679  2230996  2231193  2242913  2255456  2259417  2261869  2298269  2309358, 2187625  2196392  2200838  2210616  2232828  2237983  2243986  2244015  2273811  2277738  2279742  2311703  2312444  2314203  2314266  2315609, 2196381  2200470  2210411  2210836  2233498  2238329  2243995  2244602  2274781  2279329  2281540  2312065  2312459  2314235  2315540  2317668, 2318980, 2319205, 2182507, 2182508, 2182509, 2318991, 2319003, 2319154  2319166, 2319217, , , , , 1, 1, 0, 0, 0, 2334479, 2334480, L1:R1, 100.00, 000(1)1, 000(1)1, , 204, no_go, 2334308
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2337635  2337769  2337888  2338003  2338180  2338361  2338502  2339656  2385268  2385416  2385615  2386340  2386815  2387261  2387827  2405798, 2341518  2342651  2344458  2344943  2345469  2345820  2345943  2347892  2348112  2348419  2380832  2381111  2381231  2382740  2409414  2409846  2410353  2415498  2424610  2431188  2431296  2431418  2431545  2431665  2431785  2431932  2432195  2432582  2432748  2432865  2434927  2435071  2435466  2436074  2436202  2436680  2436959  2437527  2439468  2439701, 2337388  2366906  2367149  2384976  2385027  2386365  2386502  2386615  2405601, 2339624  2366960  2367173  2385000  2386353  2386473  2386574  2387781  2405781, 2341162  2343954  2380417  2380535  2408448  2408554  2408842  2409562  2412126  2412782  2414470  2414552  2415570  2417880  2430280, 2342191  2348484  2380430  2382729  2408463  2408572  2409470  2409621  2412187  2412883  2414487  2415440  2415731  2417898  2440922, 2418988  2421427, 2420842  2421546, 2335109, 2335109, 2335110, 2419000, 2419013, 2419164  2419177, 2420856, R, 2430281, 2430283, 2440925, 0, 0, 0, 0, 0, 2440951, 2440956, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2463615  2463984  2465063  2474663  2474797  2475179  2475419  2530349  2530502  2530619  2531639  2563617  2563753  2564293  2564415  2564542  2626548  2626681  2626796  2626916  2627490  2627635  2627758  2628104  2628306  2628668  2628802  2629377  2629548  2629686  2631823  2631953  2632598  2633118  2633273  2633395  2674111  2674259  2674467  2674843  2674962  2675112  2697871  2697985  2698372  2698557  2720858  2721578  2721745  2722593  2722746  2724270  2724425  2724578  2724874  2725016  2725182  2725299  2726529  2726645  2726787  2727105  2728409  2728524  2729470  2729822  2760603  2760747  2760911  2761092, 2441887  2442120  2443772  2444842  2445033  2445185  2445367  2446472  2446595  2447294  2447454  2447610  2448255  2448961  2449090  2449329  2449553  2450424  2451650  2451791  2452026  2452161  2461812  2462050  2485542  2485685  2486094  2486233  2486435  2486569  2488401  2488509  2489727  2489891  2490041  2491014  2491270  2493729  2494829  2495016  2495198  2495462  2496963  2498277  2498469  2499658  2518791  2518927  2519158  2534374  2535334  2557484  2559521  2559689  2559818  2559971  2560919  2562458  2579921  2580394  2589466  2646728  2646839  2647087  2680958  2705548  2712800  2713326  2713479  2714636  2714747  2715544  2735229  2735936  2769233  2769567  2769679  2769797  2769912  2770030  2770152  2770275  2770422  2770556  2770691  2771606  2773776  2774189  2774331  2774489  2774847  2775227  2775424  2775540  2775717  2775991  2776145  2776340  2776467  2776635  2782883  2783072  2783237  2784637  2785005  2785153  2785593  2785881  2786325  2786475  2787028  2787163  2787930  2788198  2788665  2788848  2789298  2789505  2791351  2791484  2791920  2792060  2792450  2792674  2793016  2793607  2793776  2793908  2794270  2794711  2795647  2795929  2796326  2796445  2797481  2797657  2797782  2798980  2799272  2799394, 2463432  2465891  2466035  2474477  2508387  2508538  2530011  2563344  2581363  2626462  2631661  2671951  2673962  2697758  2720544  2760349, 2463928  2465992  2466048  2475399  2508404  2508555  2531593  2564615  2581542  2629809  2633408  2672335  2675079  2698535  2729809  2761133, 2441214  2452462  2461350  2484691  2496654  2497578  2497663  2498077  2518495  2519954  2534155  2557121  2579571  2646308  2648575  2649418  2679854  2705053  2705901  2712527  2734689  2768767, 2452128  2454199  2462042  2495486  2496917  2497610  2497831  2500198  2519894  2519973  2535560  2562453  2580348  2647100  2649284  2649544  2681261  2705882  2706311  2714896  2735573  2799407, 2765335  2766473  2766969, 2766266  2766512  2767077, 2452131, 2452134, 2452138, 2765338, 2765344, 2765495  2765499, 2766270, R, 2768777, 2768783, 2799421, 0, 0, 0, 0, 0, 2799595, 2799596, L1:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2828704  2829942, 2800031  2801019  2801243  2801803  2801941  2802300  2803352  2803501  2803666  2803843  2804214  2804352  2804727  2805420  2805906  2806030  2806158  2806633  2820913  2821278  2824465  2825155  2836502  2836798  2836911  2837028  2837145  2837262  2837379  2837529  2837662  2837796  2845835  2846545  2846682  2847256  2847375  2847526  2847676  2847803  2848210  2848343  2848491  2849685  2849899  2850074  2850283  2850405  2850827  2851339  2852220  2852352  2853125  2853365  2853769  2853935  2854592  2855130  2855260, 2828425, 2829896, 2799788  2820623  2823256  2836116, 2806576  2821335  2825360  2855438, 2834241, 2834421, 2806578, 2806581, 2806584, 2834246, 2834253, 2834404  2834409, 2834427, R, 2836129, 2836135, 2855448, 0, 0, 0, 0, 0, 2855517, 2855529, L1:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2864552  2864938  2865063  2865184  2865388  2866214  2866334  2866900, 2856454  2856563  2856822  2857198  2857421  2857635  2857985  2858104  2875996  2876119  2876696  2877228  2877516  2877673  2877798  2878331  2878541  2878659  2879616  2881000  2881788  2888999  2889151  2894631  2894958  2900227  2900421  2900595  2900704  2900812  2900936  2901158  2905888  2906367  2907639  2907777  2909092  2909229  2909712  2910711  2910849  2910956  2912664  2912803  2916941  2917064  2917196  2917897  2918646  2918933  2919080  2920305  2921506  2921994  2922161  2922291  2923278  2923389, 2864363, 2866938, 2855698  2857178  2857682  2875102  2875318  2880627  2886885  2887027  2889768  2893576  2895287  2899935, 2857152  2857609  2858066  2875238  2879978  2881949  2886933  2889166  2890541  2895200  2895369  2923908, 2896057  2896364  2897102, 2896252  2896994  2897159, 2857153, 2857154, 2857156, 2896065, 2896076, 2896227  2896236, 2896261, R, 2899956, 2899967, 2923909, 0, 0, 0, 0, 0, 2923922, 2923924, L1:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2939771  2939885  2940099  2940257  2940396  2940508  2940621  2940744  2940867  2941185  2941359  2943255  2943376  2943501  2943988  2944111  2944243  2944406  2945044  2945173  2945285  2945736  2945851  2945962  2946155  2946295  2946409  2946534  2948003  2948246  2948715  2948832  2948983  2949121  2949341, 2930135  2930394  2931580  2931701  2933669  2933863  2934502  2934622  2934734  2935793  2935963  2936138, 2939621, 2949449, 2929238  2931420  2936408, 2930396  2936371  2936478, 2937826, 2938103, 2924605, 2924606, 2924607, 2937829, 2937833, 2937984  2937988, 2938107, L, 2939629, , 2949458, 0, 0, 0, 0, 0, 2949514, 2949524, L2:R5, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 2939635, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2949659  2950114  2950235  2950363  2950481  2953960  2954410  2954531  2954662  2955446  2955593  2955988  2977549  2977666  2978337  2978703  2978839  2978962  2979334  2979464  2979622  2979768  3012545  3012658  3012780  3013093  3013223  3013549, 2960335  2960491  2961064  2961181  2984751  3009792  3010003  3010256  3011028  3016667  3016774  3017194  3017424  3017889  3019235  3031582  3031798  3032435  3032548  3038457  3038667  3039080  3043158  3043483  3043629  3043742  3043935  3044063  3048780  3049179  3049379  3049608  3052506  3052617  3052729  3053253  3053363  3053480  3053645  3054832  3054972  3055220  3055372  3056334  3056567  3057362  3058335  3058473  3059180  3060570  3060749, 2950025  2953697  2954870  2977368  2979495  3012253, 2950450  2954640  2954878  2979419  2979762  3013500, 2959503  2961939  2983741  2983786  2983962  2991803  3009478  3016200  3018144  3031294  3038077  3042615, 2961405  2963048  2983756  2983865  2985741  2992425  3010996  3018093  3018161  3032572  3039040  3060801, 3039884, 3040846, 2950451, 2950453, 2950454, 3039896, 3039910, 3040061  3040074, 3040859, R, 3042642, 3042812, 3060805, 0, 0, 0, 0, 0, 3060833, 3060838, L2:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 250, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3069345  3069465  3069800  3069914  3070177  3070293  3073808  3073920  3074212  3074327  3074457, 3064554  3064996  3065207  3065315  3065428  3066306  3076744  3076957  3077178  3077290  3077584  3078782  3078968  3080138, 3069141  3073598  3073715, 3070180  3073640  3074428, 3064235  3076053  3087231  3088874, 3066254  3080132  3087258  3089170, 3088336, 3088591, 3061468, 3061469, 3061470, 3088342, 3088348, 3088499  3088505, 3088597, R, 3088888, 3088895, 3089177, 0, 0, 0, 0, 0, 3089225, 3089233, L2:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
