max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  1424785  1425074  1425189  1425296  1425436  1425641  1425745  1425884  1426045  1426209  1561100  1561224  1561339  1561451  1561556  1561667  1561778  1561889  1561999  1562123  1562237  1562347  1562461  1562586  1562708  1562818  1562943  1563069  1563231  1584848  1584952  1585061  1585179  1585302  1585434  1585559  1585683  1585803  1585989  1586122  1586229  1586347  1587079  1587238  1587787  1588009  1588130  1588249  1588368  1588967  1613289  1613413  1613522  1613628  1613845  1614260  1626203  1626315  1626419  1626526  1626653  1626764  1626878  1626987  1627229  1627356  1628879  1629153  1633053  1633172  1664926  1665042  1665266  1665382, 1   30628   62407   79983  123568  258012  353386  353970, 1560649  1584663  1613027  1626151  1632765  1664619, 1563296  1588930  1614270  1629142  1633217  1665381, 1567639, 1567644, 1567650, 1605570  1623939  1624044  1642406  1642447  1658121  1659033  1685920  1692512, 1609049  1624029  1624802  1642425  1642773  1658998  1659208  1686354  1707608, 1691643, 1691645, 1691649, 1691800  1691802, 1691811, 1691814, R, 1692518, 1692521, 1707611, 0, 0, 0, 0, 0, 1707634, 1707639, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1721167  1721274  1721382  1721530  1721674  1721789  1721892  1721997  1722098  1722236  1722372  1722510  1722632  1722867  1722987  1723117  1723247  1723601  1723749  1723942  1724047  1724154  1724380  1724559  1724906  1725208  1725337  1725511  1725632  1725766  1725911  1726051  1726232  1727059  1727179  1727328  1727471  1727613  1727764  1727876  1727982  1728248  1728974  1729082, , 1721006, 1729210, 1708666, 1708666, 1708667, 1711444, 1715943, 1717911, 1717912, 1717914, 1718065  1718067, 1719211, 1719213, L, 1721010, , 1729217, 0, 0, 0, 0, 0, 1729267, 1729276, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1721013, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1729397  1729714  1729840  1730333  1732306  1732456  1732644  1733104  1733251  1733609  1733714  1733836  1733994  1742396  1742499  1742607  1742715  1742867  1742986  1743117  1743240  1743356  1743476  1743601  1743719  1743855  1744039  1744180  1744318  1744453  1744635  1744791  1744950  1745080  1745375  1745574  1745702  1745806  1745944  1746075  1746494  1746787, , 1729592  1732078  1742205, 1730279  1733954  1746802, 1730280, 1730281, 1730283, 1737228, 1738223, 1739794, 1739797, 1739802, 1739953  1739957, 1740480, 1740484, L, 1742215, , 1746810, 0, 0, 0, 0, 0, 1746863, 1746872, L2:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1742219, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1748039  1749929  1750055  1750208  1750311  1750448  1750575  1751042  1751144  1751374  1751498  1751629  1751965  1752923  1753033  1753214  1753337  1753464  1753814  1753974  1770697  1770820  1770936, , 1747005  1752784  1770411, 1751976  1753992  1770989, 1751979, 1751982, 1751984, 1755412  1755441  1774903, 1755422  1759950  1782729, 1772777, 1772782, 1772788, 1772939  1772944, 1773020, 1773026, R, 1774915, 1774922, 1782736, 0, 0, 0, 0, 0, 1782779, 1782787, L2:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1791456  1791558  1791664  1791768  1792072, , 1791388, 1792082, 1788758, 1788759, 1788761, 1783237  1795952, 1788758  1803520, 1793774  1794962, 1793776, 1793779, 1793930  1793932, 1794589  1795036, 1794592, R, 1795959, 1795963, 1803524, 0, 0, 0, 0, 0, 1803550, 1803555, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1812546  1812665  1812785  1816169  1816345  1816453  1816566  1816683  1817083, , 1812321  1815857, 1812766  1817056, 1804076, 1804077, 1804077, 1819676, 1828519, 1818577, 1818580, 1818584, 1818735  1818738, 1818747, 1818750, R, 1819683, 1819687, 1828524, 0, 0, 0, 0, 0, 1828551, 1828556, L2:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1835944  1836068  1836493, , 1835742, 1836438, 1828992, 1828993, 1828994, 1828630  1834267  1839513, 1828744  1834762  1850227, 1838243, 1838245, 1838248, 1838399  1838402, 1838410, 1838413, R, 1839519, 1839523, 1850230, 0, 0, 0, 0, 0, 1850256, 1850261, L2:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1852372  1852524  1852660  1852768  1852870  1864015  1864136  1879069  1879190  1880146  1880351  1880568, , 1852164  1853102  1853191  1863755  1878898  1880155, 1852858  1853170  1853248  1864140  1879242  1880551, 1850848, 1850848, 1850849, 1855107  1856904  1857271  1857863  1866041  1868038  1868729  1869353  1871904  1873628  1875175  1875282  1876766  1882903, 1856822  1856962  1857280  1859827  1866924  1868062  1869217  1869365  1872703  1874398  1875223  1876036  1877625  1936963, 1881304, 1881312, 1881322, 1881473  1881482, 1881511, 1881521, R, 1882921, 1882932, 1936973, 0, 0, 0, 0, 0, 1937036, 1937047, L2:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1942921  1943034  1943153  1957507  1957613  1990081  1990185  1990297  1990424  1990607  1990728, , 1942640  1957259  1957604  1961344  1989834, 1943085  1957586  1957634  1961454  1990710, 1937757, 1937757, 1937758, 1938912  1940822  1961549  1970432  1971219  1979538  1981405  1993296, 1939153  1941563  1962030  1970502  1973473  1979825  1981682  1999460, 1991810, 1991816, 1991823, 1991974  1991981, 1992525, 1992532, R, 1993311, 1993318, 1999467, 0, 0, 0, 0, 0, 1999516, 1999524, L2:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2017106  2017229  2028142  2028281  2028386  2028551, , 2016893  2027913, 2017317  2028500, 2000112, 2000112, 2000113, 2004974  2018928  2019780  2029373  2032815, 2005417  2019762  2019789  2030123  2039808, 2030967, 2030970, 2030976, 2031127  2031131, 2032011, 2032015, R, 2032824, 2032829, 2039813, 0, 0, 0, 0, 0, 2039845, 2039852, L2:R8, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
