max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    62747    63213  2795874  2815751  3151011  3151117  3151608  3151722  3151851  3152102  3152239  3152356  3164048  3167912  3184945  3185068  3185622  3185730  3185833  3185952  3186065  3186207  3186316  3186600  3195782  3200930  4489991  4490097  4490428  4490536  4490649  4490758  4490913  4491063  4491181  4491416  4491520  4492083  4492187  4500887  4633056  4675279  4675385  4675491  4675595  4675836  4675970  4676074  4676186  4676289  4676392  4676495  4676624  4676740  4676842  4676943  4677084  4677193  4677312  4677437  4677560  4677667  4677808  4677934  4678053  4678175  4678355  4678459  4678599  4678726  4678858  4678989  4679304  4679550  4679655  4679767  4679921  4680127  4680239  4680430  4680752  4680855  4681036  4681155  4719175  4719303  4719430  4719575  4719691  4719803  4719912  4720016  4720138, 1  60840, 60392  2799111  3170864  3204586  4622495  4651631, 60815  2802859  3175285  3211419  4624740  4657750, 61995  4725318  4725530, 62313  4725490  4727190, 62613  2791768  3163798  3195541  4675246  4675670  4718663, 63181  2795857  3167887  3200924  4675649  4681093  4720141, 4512976, 4512985, 4512993, 4725321, 4725326, 4725477  4725481, 4725494, 204, no_go, 1, 1, 0, 0, 0, 4740530, 4740538, 4740544, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 4759596  4759850, 4759758  4760983, 4781736, 4782295, 4779963, 4779981, 4741660, 4741661, 4741661, 4781738, 4781741, 4781892  4781894, 4782298, 204, no_go, 1, 1, 0, 0, 0, 4797322, 4797328, 4797332, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4831635, , , , 4859559  4859853, 4859722  4860169, , , 4797810, 4797811, 4797812, 4859560, 4859562, 4859713  4859714, 4859724, 204, no_go, 1, 1, 0, 0, 0, 4874743, 4874750, 4874754, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4893437  4893539  4893674  4893787  4893915  4894062  4894207  4894314  4894434  4894578  4894690  4894794  4895012  4895260  4895377  4895586  4895779  4895915  4896016  4896137  4896279  4896413  4896600  4896706  4896840  4897117  4897260  4897423  4897524  4897672  4897803  4897905  4898012  4898155  4898298  4898468  4898607  4898766  4898925  4899104  4899215  4899331  4899475  4899635  4899736  4899905  4900069  4900178  4900296  4901202  4901410  4901545  4901737  4901863  4901969  4902896  4903019  4903181  4903402  4903509  4903823  4904259  4904416  4905252  4905409  4905533  4905721  4905827  4911390  4911504  4911629  4911731  4911843  4912011  4912119  4912291  4912395  4912505  4912624  4912758  4912905  4913034  4913590  4913713  4913902  4914049  4914156  4914474  4914590  4914693  4914806  4914921  4915082  4915334  4920262  4920370  4920476  4933612  4933763  4933897  4934066  4934174  4934742  4959049  4959156  4959274  4959389  4959510  4959621  4959779  4959884  4959987  4960094  4960206  4960323  4960434  4960547  4960653  4960783  4960890  4961048  4961171  4961286  4961431  4961624  4961763  4961869  4961992  4962200  4962348  4962450  4962576  4962718  4962865  4963016  4963128  4963232  4963334  4963480  4963617  4963731  4963884  4963995  4964110  4964339  4964490  4964650  4965434  4965542  4965879  4966041  4966191  4966347  4966496  4966641  4966794  4966946  4971718  4971828  4971933  4972040  4972178  4972321  4972441  4972546  4972677  4972993  4973154  4996615  4996772  4996921  4997024  4997147  4998857, , 4880351  4926610  4944451  4950610  4953034  4975195  5013265, 4883908  4927612  4950112  4951420  4953925  4975874  5018136, 5009108, 5009730, 4893203  4911082  4911257  4915291  4919842  4920117  4958829  4971542  4996528  4998682, 4905866  4911200  4915106  4915310  4919941  4920537  4967010  4973171  4997073  4998911, 4875200, 4875201, 4875202, 5009121, 5009135, 5009286  5009456, 5009731, , , 0, 0, 0, 0, 0, , 5018150, 5018153, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 5013267, 5013268, 5018137, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5053257  5053360  5053493  5053625  5053739  5053873  5054136  5054303  5054426  5054546  5054783  5054898  5055102  5055208  5055318  5055740  5055841  5055942  5056046  5056153  5056286  5056618  5056722  5056842  5057618  5058296  5058447  5058569  5059010  5059149  5059300  5059470  5059574  5059693  5059802  5059930  5060083  5060211  5060494  5060626  5103756  5103863  5103991  5104094  5104205  5104948  5105180  5105614  5105750  5105851  5105968  5106098  5106254  5106412  5107306  5107440  5107661  5108127  5108264  5108401  5110324  5110430  5110577  5110715  5111135  5111273  5111524  5111634  5111775  5111969  5112127  5112303  5112436  5112540  5112725  5112852  5112993  5113101  5113393  5113704  5114118  5114257  5114499  5114634  5155452  5155573  5155760  5155891  5156840  5156977  5157427  5157552  5158032  5158185  5158315  5158454  5158687  5158878  5159092  5159214  5159357  5159463  5160210  5160326  5160467  5214012  5214290  5214411  5219715  5221579  5278510  5278614  5279030  5279425  5279673  5280226  5280331  5280474  5280579  5280699  5281274  5281402  5281530  5281666  5282886  5283014  5283121  5283248  5283359  5284641  5284990  5285104  5285314  5285418  5285767  5286092  5286664  5286923  5287057  5288167  5288751  5288956  5289169  5289283  5289541  5289698  5289804  5289912  5290191  5290978  5307801  5307912  5308020  5308126  5308243  5308375  5308541  5309270  5310071  5310211  5357706  5357970  5358111  5358413  5358764  5358899  5397378  5397614  5397845  5398084  5424376  5424488  5424595  5425189  5425342  5476962  5477066  5477212  5477355  5477470  5477582  5478119  5478296  5478828  5479143  5479280  5479402  5506193  5506298  5506399  5507099  5507812  5507921  5508059  5508356  5508464  5508581  5508686  5508799  5508958  5509085  5509189  5509318  5509469  5509588  5509706  5509955  5510084  5510214  5510341  5510472  5510611  5510843  5510968  5511138  5511257  5511427  5511611  5511715  5511876  5512048  5512168  5512282  5512396  5512554  5512713  5512819  5512924  5513331  5513435  5513722  5513842  5513999  5514148  5514274  5514393  5514508  5514630  5514762  5515078  5515191  5515309  5515453  5515568  5516371  5516488  5516592  5516740  5516888  5517032  5517173  5517291  5517402  5517556  5517657  5517793  5518357  5518496  5518601  5518742  5518888  5519002  5519109  5519275  5519394  5519515  5519617  5519743  5519845  5519979  5520172  5520283  5520400  5521029  5521144  5521285  5521459  5521598  5521756  5521888  5521991  5522156  5522308  5522444  5522576  5522686  5522853  5522974  5523098  5523200  5523301  5523928  5524043  5524203  5528306  5528420  5528609  5528716  5528844  5528955  5529085  5529649  5529771  5529932  5530055  5530172  5530313  5530465  5530570  5530704  5530814  5530995  5531118  5531291  5531403  5532431  5532565  5532793  5532938  5533280  5533444  5533568  5533694  5533855  5534033  5534177  5534341  5534496  5534597  5534708  5534809  5534967  5551074  5553553, , 5018760  5018947  5020551  5021266  5035404  5040975  5044119  5072077  5139303  5140312  5145981  5146498  5146620  5149517  5201715  5202153  5241297  5312233  5312290  5321996  5328319  5329803  5329944  5330060  5330087  5330772  5330982  5331113  5331316  5332049  5332141  5332296  5333279  5333531  5334857  5338615  5339852  5343377  5348143  5349305  5350653  5361119  5361154  5362557  5362691  5364408  5366052  5366150  5372690  5381665  5386409  5398930  5431740  5435261  5439815  5440124  5454849  5454944  5493343, 5018867  5019849  5021188  5021988  5040618  5041552  5046206  5072572  5140236  5140572  5145990  5146570  5147494  5149783  5201833  5204898  5241889  5312244  5318798  5328167  5329790  5329911  5330046  5330073  5330757  5330923  5331095  5331238  5332010  5332107  5332266  5333215  5333500  5333587  5334906  5339826  5343175  5348119  5349172  5350249  5351736  5361140  5362536  5362663  5364319  5366043  5366130  5372680  5375392  5384502  5389114  5400930  5435230  5439384  5440041  5443831  5454881  5456425  5494028, 5538387  5538765  5539149  5542607, 5538560  5539137  5542564  5542877, 5053016  5058088  5103488  5110185  5114133  5121631  5155269  5156682  5213900  5219514  5224404  5224855  5225272  5278262  5278369  5290733  5306950  5307677  5308944  5309290  5309671  5397068  5424199  5476854  5476983  5506017  5507877  5524232  5524396  5528036  5532654, 5057745  5060641  5108472  5114114  5114586  5121700  5155825  5160493  5214432  5219783  5224815  5225057  5225330  5278295  5290244  5291303  5306994  5308491  5309042  5309492  5309738  5358854  5398042  5425292  5476915  5479373  5507753  5524214  5524329  5524483  5532538  5534971, 5018868, 5018869, 5018870, 5538390, 5538395, 5538546  5538550, 5538564, 204, no_go, 1, 1, 0, 0, 0, 5553608, 5553617, 5553624, L0:R1, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5553918  5554381  5554505  5554727  5554869  5554983  5555097  5555212  5555326  5555442  5555568  5555692  5555817  5555941  5556071  5556208  5556355  5556494  5556643  5556805  5556910  5557032  5557194  5557310  5557449  5557589  5557744  5557921  5558084  5558243  5558358  5558497  5558635  5558792  5558906  5559031  5559433  5559648  5559794  5559954  5560113  5560227  5560349  5560451  5560556  5560682  5560790  5560894  5561050  5561173  5561371  5561489  5561609  5561784  5562904  5563011  5563120  5563232  5563384  5563831  5563933  5564652  5564782  5564894  5565018  5565128  5565230  5565373  5565553  5565699  5565836  5566000  5566194  5566326  5566488  5566602  5566714  5567342  5567716  5567956  5568099  5568255  5568395  5568538  5569506  5569625  5569837  5569991  5570362  5570617, , 5578157, 5584455, 5572783, 5573681, 5554146  5562766  5563705  5570476  5570707, 5561821  5563259  5570390  5570689  5570779, 5561828, 5561835, 5561843, 5572795, 5572810, 5572961  5572975, 5573682, , , 0, 0, 0, 0, 0, , 5584467, 5584470, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 5578159, 5578160, 5584456, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5605148  5605293  5605417  5605542  5605674  5606290  5606435  5606572  5606757  5606904  5607044  5607160  5607286  5607427  5607579  5607680  5607857  5607987  5608889  5608999  5621635  5621742  5621882  5621986  5637254  5637386  5637523  5637628  5637768  5637897  5638026  5638205  5638392  5657668  5657937  5658064  5658225  5659163  5659297  5659440  5659806  5659935  5660064  5660172  5660341  5660464  5667000  5667147  5667252  5667452  5667569  5667705  5667841  5667986  5668104  5668225  5668339  5668460  5668583  5668710  5668840  5668967  5669109  5669396  5669526  5669640  5669837  5669942  5670047  5670181  5670284  5670391  5670537  5670690  5670833  5670996  5671101  5671593  5671834  5672013  5672123  5672229  5672362  5672505  5672696  5672827  5672984  5673147  5673250  5673411  5673579  5674125  5674260  5674398  5674525  5674681  5674791  5674907  5675200  5675325  5675708  5676191  5676303  5676406  5676546  5676687  5676914  5677029, , 5584824  5585304  5585401  5613283  5641246, 5585291  5585365  5591628  5619215  5647194, 5662224, 5664389, 5604921  5621453  5636282  5636994  5657434  5657801  5660426  5666736, 5608971  5621972  5636408  5638181  5657687  5660411  5660454  5677191, 5585291, 5585293, 5585294, 5662235, 5662246, 5662397  5662408, 5664400, , , 0, 0, 0, 0, 0, , 5677234, 5677241, L1:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 5666759, , 5677196, 5666770
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5677332  5683492  5683656  5683815  5683927  5684336  5684470  5684644  5684769  5688713  5688838  5688953  5689094  5689207  5689369  5689470  5689573  5689729, , 5693967, 5705506, 5692625, 5692800, 5677627  5683297  5688519, 5677662  5684782  5689725, 5678074, 5678075, 5678076, 5692629, 5692634, 5692785  5692789, 5692804, , , 0, 0, 0, 0, 0, , 5705547, 5705554, L1:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 5693978, 5693983, 5705511, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5727558  5728146  5742472  5742574  5742704  5743197  5743322  5743452  5743581  5743727  5743858  5743982  5744340  5744510  5745192  5745306  5745410  5745562  5745666  5745871  5747621  5747730  5747839  5748406  5748580  5749079  5749189  5749294  5749406  5749784  5749956  5750100  5750244  5750402  5750560  5751001  5751112  5751376  5751482  5751588  5751761  5751914  5752034  5752147  5752250  5752362  5752506  5752667  5753756  5753873  5754706  5754826  5754967, , 5705647  5705749  5709422  5709461  5714978  5715012  5716748  5722951  5734076  5738055  5760898, 5705698  5705778  5709430  5711887  5714994  5716521  5716875  5723585  5738023  5738343  5766559, 5758682  5758935, 5758887  5759124, 5727311  5742312  5747405, 5728160  5745804  5754931, 5706045, 5706046, 5706047, 5758693, 5758706, 5758857  5758868, 5758899, , , 0, 0, 0, 0, 0, , 5766771, 5766772, L1:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 5760923, 5760936, 5766572, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
