max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  3790790, 1  1535561  4031828  4031978  4225662  4225930  4226246  4226350  4226498  4226667  4226785  4227188  4244620  4251980  4255489  4256705  5780304, 1346449  1537819  5910321, 1347099  1538246  5911400, 1534980  4026742  4251854, 1535541  4031799  4255465, 1538872  3428627  3428808  3429183  3435000  3435280  3435835  3436203  3963134  4020161  4244659  5895362  5896000  5902352  5920386, 1539375  3428722  3428873  3429259  3435104  3435388  3435998  3474794  3963637  4024685  4249399  5895975  5902180  5903988  5920594, 5807467, 5807475, 5807483, 5910330, 5910340, 5910491  5910501, 5911410, L, 5920406, 5920417, 5920606, 0, 0, 0, 0, 0, 5920673, 5920686, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5940283  5940513  5940619  5940748  5940884  5941006  5941134  5941258  5941385  5941626  5941761  5941892  5942021  5942149  5942565  5942673  5942814  5942940  5943049  5943209  5943316  5943484  5943643  5944248  5953462  5953596  5953739  5953879  6000538, 6024866  6025337, 6025055  6025512, 5940033  5953172, 5944181  5953899, 5920925  5925059  5928382  5957288  5957567  5962408  5991424  6027626, 5924953  5925102  5928430  5957524  5959042  5962464  5991437  6027819, 5924953, 5924955, 5924956, 6024873, 6024882, 6025033  6025040, 6025063, L, 6027643, 6027653, 6027828, 0, 0, 0, 0, 0, 6027885, 6027895, L2:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6044604  6044712  6044839  6044992  6045108  6045225  6045395  6045792  6045897  6046003  6046175  6046455  6046650  6070513  6070626  6070852  6072372  6072652  6072783  6072937  6073052  6073211  6073359  6073469, 6139193, 6140143, 6044225  6044422  6069991  6070026  6070310  6070687  6072218  6079073  6079124, 6044276  6046637  6070007  6070173  6070600  6070929  6073439  6079111  6079227, 6028041  6032900  6037134  6091731  6093524  6093685, 6032599  6032960  6038490  6093322  6093585  6093739, 6032600, 6032601, 6032602, 6139201, 6139211, 6139362  6139371, 6140152, , , , , 1, 1, 0, 0, 0, 6155236, 6155247, L2:R0, 100.00, 000(1)1, 000(1)1, 204, no_go, 6155223, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6172557  6172964  6173067  6173193  6173552  6173681, 6176410, 6177260, 6172369  6172752, 6172596  6173696, 6182159, 6182329, 6155711, 6155712, 6155712, 6176412, 6176416, 6176566  6176569, 6177263, L, 6182166, 6182169, 6182333, 0, 0, 0, 0, 0, 6182359, 6182364, L3:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6211459  6211564  6226288  6226426  6226530  6226662  6226864  6226995  6227125  6227263  6227417  6227548  6227685  6227816  6228239  6228342  6228471  6228614  6228761  6229184  6229292  6229433  6229567  6229694  6229816  6230310  6230467  6231044  6231207  6231355  6231476  6231596  6231743  6232165  6232276  6232494  6232606  6232737, 6223753, 6223933, 6211200  6226163, 6211582  6233025, 6183446  6188569  6191082  6192624  6194379  6194570  6195081  6198535  6198759  6205754  6218343  6219442, 6188281  6191031  6191298  6194339  6194461  6194990  6195309  6198550  6202262  6207127  6218537  6221553, 6182729, 6182730, 6182731, 6223758, 6223765, 6223916  6223922, 6223939, R, 6226176, , 6233036, 0, 0, 0, 0, 0, 6233106, 6233118, L3:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 6226183
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6233286  6237642  6237753  6237856  6237999  6238185  6238434  6238596  6279816  6279938  6280162  6280287  6280456  6280666  6280792  6280912  6281034  6281179  6281313  6281441  6281743  6281876  6282022  6282140  6282250  6282439  6282593  6282846  6282948  6283073  6283430  6283572  6283689  6283882  6283986  6284093  6284635  6285232  6285688  6285837  6286192  6286347  6286871  6286974  6287225  6287345  6287449  6287559  6287666  6287779  6287908  6288069  6288476  6288665  6288773  6288914  6289286  6289563  6289670  6289816  6289958  6290222  6290332  6290456  6290570  6290885  6291067  6291296  6291432  6291534  6291694  6291867  6291977  6292170  6292277  6292396  6292714  6292817  6292921, 6274465  6275447  6276972  6277242, 6274985  6276835  6277154  6277444, 6233681  6233768  6234262  6234333  6234597  6234643  6237167  6237460  6279496, 6233750  6234229  6234314  6234395  6234610  6234872  6237294  6238534  6293020, 6241053  6241746  6260124, 6241102  6242792  6260984, 6233677, 6233678, 6233679, 6274470, 6274478, 6274629  6274635, 6274992, R, 6279512, , 6293023, 0, 0, 0, 0, 0, 6293045, 6293049, L3:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 6279520
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6293103  6295090  6295196  6295351  6295468  6299479  6299621  6299734  6299843  6299965  6300130  6300292  6300426  6300583  6300689  6300852  6301011  6301144  6301275  6301381  6380073  6380180  6380369  6380472  6380588  6380721  6380838  6380956  6381081  6381204  6381333  6381929  6382095  6382213  6382366  6382470  6382956  6383063  6383179  6383403  6383507  6383733  6383884  6384334  6384481  6384645  6384791  6384933  6385036  6385146  6385262  6385674  6385845  6385997  6386148  6386461  6386691  6387140, 6375662  6376356  6377042  6377633, 6375847  6376375  6377207  6378007, 6294880  6297384  6299102  6299170  6307545  6307764  6379802, 6295471  6297475  6299116  6301328  6307561  6307946  6387244, 6326895  6328140  6352287  6357315  6374464, 6327919  6328626  6353619  6358087  6374571, 6293612, 6293613, 6293614, 6375669, 6375677, 6375827  6375834, 6375855, R, 6379821, , 6387244, 0, 0, 0, 0, 0, 6387251, 6387253, L3:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 6379830
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6388623  6388724  6388852  6388956  6389108  6401922  6402076  6402230  6402371  6402501  6402800  6402935  6403048  6403215  6403351  6403513  6403680  6403912  6404038  6404172  6404299  6404441  6404582  6404757  6404898  6405076  6411671  6432156  6433441  6433546  6433673  6433825  6434012  6434146  6434273  6434444  6434548  6434776  6434884  6435052, 6438096, 6439064, 6388393  6389097  6401685  6409810  6410659  6431398  6431902  6432251  6432575  6432770  6432982, 6389064  6389110  6405151  6409831  6410753  6431700  6432234  6432524  6432739  6432968  6435158, 6414545  6416125  6416586  6416824  6440728, 6416096  6416313  6416803  6416847  6449769, 6387789, 6387790, 6387791, 6438107, 6438119, 6438269  6438281, 6439075, L, 6440752, 6440763, 6449781, 0, 0, 0, 0, 0, 6449856, 6449869, L4:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6466077  6466181  6466477  6466588  6466956  6467151  6467282  6467406  6467529  6467657  6467791  6467952  6468453  6468612  6468720  6468824  6469574  6469687  6469850  6470391  6470499  6470650  6470763  6470873  6470979  6471094  6471204  6472020  6473154  6473255  6473358  6473502  6474024  6474177  6474357  6474461  6474593  6474706  6474850  6475195  6475321  6475517  6475660  6475808  6475919  6476196  6476304  6476414  6476573  6476685  6476796  6477030  6477187  6477297  6477616, 6463277, 6463593, 6465795, 6477797, 6450056  6454272  6458992  6459098  6460770, 6452396  6455539  6459046  6459150  6461270, 6452396, 6452398, 6452399, 6463279, 6463283, 6463434  6463437, 6463596, R, 6465802, , 6477807, 0, 0, 0, 0, 0, 6477873, 6477885, L4:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 6465806
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6478043  6479340  6479446  6479561  6485812  6485940  6486146  6505098  6505220  6505329  6505477  6505617  6505777  6505884  6506005  6506135  6506246  6506474  6506634  6506756  6506899  6507071  6507176  6507285  6507467  6507574, 6509427  6510573, 6509613  6510645, 6479085  6485570  6504506  6504756  6505527  6508764  6508830, 6479568  6486198  6504691  6505508  6507704  6508818  6508843, 6488833  6490206  6513747, 6489905  6490368  6521597, 6478418, 6478419, 6478420, 6509434, 6509443, 6509593  6509600, 6509620, L, 6513764, 6513773, 6521607, 0, 0, 0, 0, 0, 6521662, 6521672, L5:R4, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6536186  6536291  6536403  6536719  6536848  6536988  6537131  6537334  6537449  6537567  6552508  6552662  6552783  6552976  6553078  6553182  6553449  6553550  6553655  6553781  6553946  6554050  6554201  6554371  6554647  6554756, 6555703, 6556288, 6535939  6551913  6552105  6554413, 6537602  6551993  6554345  6554732, 6522540  6522701  6528686  6558104, 6522568  6524417  6530116  6568873, 6522294, 6522295, 6522296, 6555709, 6555716, 6555867  6555873, 6556295, L, 6558118, 6558127, 6568882, 0, 0, 0, 0, 0, 6568931, 6568940, L6:R4, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
