max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, L_reward_ts, well_off_ts, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1    52653    53304  1691171  1776737  1776883  1776999  1777107  1777216  1777362  1777478  1777590  1777698  1777819  1777938  1778057  1778178  1778295  1778541  1778709  1778861  1778981  1779102  1779226  1779368  1779479  1779616  1792565  1792670  1792873  1792989, 43618  1782427  1804396, 46950  1782456  1808589, 49349  1776575  1792236, 52647  1779573  1792951, 1775567, 1775568, 1775570, 1810377, 1810383, 1810392, 1810543  1810550, 1810576, 1810583, 204, no_go, 1, 1, 0, 0, 0, 1825638, 1825649, 1825657, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1828938  1956081  1956190  1956344  1956464  1956567  1956686  1956825  1956978  1957133  1957309  1957434  1957542  1957654  1957872  1969599  1969737  1969925  1970069  1970205, 1851201  1893259  1893550  1923596  1943277  1943379  1945396  1994195, 1851386  1893441  1894799  1923681  1943296  1943397  1945469  1994768, 1826018  1955809  1969195, 1826351  1957822  1970271, 1826591, 1826593, 1826594, 1998732, 1998739, 1998747, 1998897  1998904, 1998917, 1998924, 204, no_go, 1, 1, 0, 0, 0, 2013982, 2013993, 2014003, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2042350  2042723  2042788  2043060  2043217  2044444  2047368  2048388  2196202, 2042380  2042770  2043023  2043115  2043956  2044520  2048168  2048421  2201423, 2061127  2073808, 2061167  2074004, 2014417, 2014418, 2014418, 2184887  2185483  2186559  2186868  2189680  2190120  2192473, 2184891, 2184896, 2185047  2185052, 2185062  2186363  2186730  2188958  2189947  2190199  2192878, 2185067, , , 0, 0, 0, 0, 0, , 2201482, 2201491, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2196217, 2196225, 2201432, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2249963  2250066  2250246  2250351  2250467  2250580  2250703  2250846  2251004  2251175  2251315  2251463  2251624  2251740  2251848, 2201852  2212605  2224397  2225219  2225330  2256049, 2202303  2215779  2224405  2225247  2225446  2256937, 2249374  2282768  2289014, 2251808  2282888  2289038, 2202304, 2202305, 2202306, 2290843, 2290848, 2290855, 2291006  2291012, 2291024, 2291031, 204, no_go, 1, 1, 0, 0, 0, 2306080, 2306091, 2306099, L1:R0, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2396636  2396784  2396896  2396998  2397102  2397207  2397325  2397434  2397553  2397671  2397794  2397930  2398042  2398175  2398309  2398474  2398584  2398766  2398919  2399029  2399130  2399237  2399396  2399570  2399721  2399913  2400045  2400156  2400284  2400450  2400852  2401078  2401195  2401462  2401597  2401823, 2341750, 2341814, 2344392  2344503  2396351, 2344469  2344553  2401890, 2306569, 2306570, 2306571, 2386121  2386396  2389862  2390579  2390726  2394899, 2386123, 2386126, 2386277  2386279, 2386288  2389469  2389956  2390616  2390820  2395012, 2386291, , , 0, 0, 0, 0, 0, , 2401958, 2401970, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2396360, , 2401899, 2396365
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2402585  2402689  2411918  2412033  2412346  2412529  2412685  2412810, , , 2402342  2402455  2403734  2411686  2420268, 2402361  2402755  2403881  2412929  2420442, 2402756, 2402758, 2402759, 2414604  2415063, 2414607, 2414611, 2414763  2414766, 2414776  2416076, 2414780, , , 0, 0, 0, 0, 0, , 2420480, 2420486, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2420277, , 2420447, 2420282
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2422591  2439883  2440193  2440333  2440460  2440583  2440698  2440817  2440934  2441057  2441186  2441307  2441456  2441568  2441707  2441863  2442112  2442229  2442344  2442480  2442637  2442816  2442951  2443097  2443270  2443428  2443568  2443673  2443785  2443924  2444090  2444253  2444406  2444619  2444779  2445701  2446228  2446344  2446473  2446603  2446716  2446838  2446954  2447066  2447177  2447322  2447498  2447664  2447778  2447897  2448038  2448152  2448258  2462481  2462623  2462729  2462868  2463009  2463173  2463306, 2423247  2454455  2454515  2454614  2499843, 2423709  2454495  2454581  2455405  2504619, 2439552  2448478  2462150, 2448414  2448609  2463390, 2420979, 2420980, 2420981, 2496358, 2496368, 2496379, 2496530  2496540, 2496557, 2496568, , , 0, 0, 0, 0, 0, , 2504704, 2504717, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2499865, 2499877, 2504630, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2547417  2547728  2547920  2548035  2548152  2548265  2548404  2548527  2548649  2548797  2548934  2549063  2549192  2549341  2549447  2549643  2549819  2550011  2550169  2550288  2550420  2550605  2550737  2550908  2551074  2551179  2551418  2551586  2551743  2551929  2552101  2552220  2552337  2552443  2552610, 2506516  2506589  2508896  2513659  2513879  2516786  2516926  2519244  2519444  2519618  2519704  2519914  2520436  2521660  2523497  2523604  2523753  2524114  2537502  2538062, 2506534  2506606  2509483  2513751  2514027  2516862  2519156  2519336  2519493  2519657  2519876  2520416  2521634  2522241  2523580  2523680  2523796  2524428  2537790  2538460, 2547151, 2552926, 2505380, 2505381, 2505382, 2542444  2542877, 2542451, 2542460, 2542611  2542619, 2542632  2542909, 2542641, , , 0, 0, 0, 0, 0, , 2553113, 2553115, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2547169, , 2552939, 2547179
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2554309  2554524  2554643  2554780  2569765  2569878  2570040  2571137  2571833, 2603968, 2608668, 2554047  2569512  2570490  2571209  2572436, 2555000  2570415  2570556  2571239  2572553, 2553683, 2553683, 2553684, 2598337, 2598340, 2598345, 2598496  2598500, 2599398, 2599402, , , 0, 0, 0, 0, 0, , 2608707, 2608713, L3:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2603977, 2603982, 2608673, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2619116  2619223  2619326  2619427  2619585  2619763  2619964  2716513  2716697  2716856  2716988  2717245  2717443  2725263  2725585  2725707  2725818  2725925  2726050  2726211  2726333  2726463, 2624940  2625032  2631547  2635506  2651953  2747704, 2624968  2625864  2634092  2636338  2652881  2753106, 2618797  2661248  2716262  2717655  2724930, 2619998  2661924  2717622  2717981  2726451, 2609232, 2609232, 2609233, 2734350  2735872  2735981  2736393  2737011  2740069  2740480  2744645, 2734356, 2734364, 2734515  2734522, 2734535  2735935  2736084  2736897  2738755  2740382  2740853  2744861, 2734542, , , 0, 0, 0, 0, 0, , 2753185, 2753198, L4:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2747724, 2747736, 2753117, 
