max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   389456   389569   390071   390278   390681   390834   391058   391172   391284   391753   391918   392729   393289   403163   403274   403394   410762   410886  1759815  1760136  1760254  1939631  1939788  1939910  1940029  1940140  1940286  1940400  1940511  1940635  1940775  1940907  1941031  1941142  1941265  1941420  1943069  1943190  1943494  1943613  1943744  1943870  1980999  1981118  1981240  1981461  1981600  1981718  1982000  1982408  1982532  1982652  1982764  1983175  1983307  1983441  1984628  1984741  1984914  1985092  1987365  1987506  1987617  1987729  1987864  1988006  1988118  1988307  1989055  1989256  1989391  1989798  1989915  1990045  2010857  2011008  2011123  2011320  2011852  2011987  2012127  2012260  2012721  2014051  2022667  2022778  2022900  2023062  2023241  2038315  2038441  2038574  2038702  2046281  2046409  2046526  2046645  2046766  2047137  2047251  2047365  2047527  2047674  2047799  2047915  2048347  2048460  2048604  2049065  2049176  2049320  2049478  2049590  2050471  2121065  2121189  2121347  2182686  2182894  2183007  2183125  2183247  2183383  2183503  2183626  2183751  2183874  2184043  2184454  2185338  2189756  2189877  2190048  2190217  2190333  2190463  2190589  2190720  2190884  2191038  2191196  2191390  2192751  2192910  2193058  2193207  2193402  2193545  2193946  2194076  2194190  2194358  2194639  2195023  2195174  2195287  2196301  2196413  2196546  2196809  2196925  2197442  2197659  2198363  2198475  2198609  2198722  2198864  2198978  2199095  2200271  2200412  2200546  2200659  2200779  2200902  2201022  2263969  2264114  2264351  2264484  2264598  2337512  2337663  2349953  2350073  2350198  2350432  2350549  2350669  2351002  2351138  2351272  2352099  2352214  2352335  2352473  2352619  2353435  2354231  2354360  2354494  2354606  2354934  2355046  2355162  2355325  2355509  2355629  2355742  2356142  2356256  2356371  2379705  2379820  2380037  2380211  2380384  2447736  2447856  2448060  2448172  2448325  2448521  2448633  2449880  2449995  2450219  2454575, 1   391966   392669   392791   392904   393103   395096   424457  1761229  1929365  1929553  1929676  1929790  1929927  1930047  1930163  1930281  1930388  1930537  1930665  1930842  1930959  1931082  1931253  1931392  1931498  1931628  1931766  1931881  1931999  1932293  1932496  1932672  1933036  1956963  1957142  1957273  1957412  1957551  1957676  1957815  1957965  1958104  1958240  1958376  1958514  1958648  1968752  1968867  1971766  1972506  1972687  1972902  1973055  1973179  1973453  1973621  1973785  1973956  1974787  1975540  1975674  1976159  1976609  1976728  1976845  1977746  1977879  1978014  1978181  1979192  1979318  1979437  1979695  1999623  1999742  1999855  1999973  2000161  2000276  2000396  2000543  2000696  2017105  2017218  2017398  2017509  2017645  2018204  2018320  2020231  2020421  2042559  2043136  2065652  2065826  2066289  2066592  2067339  2067482  2067626  2067777  2067946  2068084  2068477  2068597  2069412  2069974  2070120  2070264  2070734  2070903  2071064  2071199  2072635  2072770  2072913  2073094  2076195  2076338  2076946  2077104  2077231  2077731  2077884  2078049  2078783  2078915  2079463  2080092  2080276  2081064  2081208  2082058  2082196  2082310  2082749  2083421  2083598  2093494  2102308  2102575  2103158  2103277  2103467  2103654  2104325  2104538  2104716  2105080  2105356  2105485  2105621  2105808  2106344  2106472  2106613  2106761  2106946  2107110  2108185  2108316  2110039  2110148  2110739  2111228  2111465  2112744  2112906  2113019  2113186  2114161  2114313  2114821  2114955  2115484  2115667  2116273  2116483  2116624  2116832  2116972  2118986  2123065  2123242  2123875  2124040  2124163  2124617  2124956  2125071  2125211  2125385  2125852  2126835  2126992  2137657  2137802  2137980  2138131  2138286  2138594  2138978  2139161  2139356  2139660  2139772  2139932  2140104  2140266  2140846  2141750  2142353  2142554  2143115  2143269  2143417  2143570  2144346  2144511  2144665  2144812  2146433  2146579  2147562  2148599  2149329  2149956  2150217  2151446  2152630  2154078  2154953  2155671  2155905  2156016  2156450  2165316  2165440  2165604  2165826  2165990  2166120  2166271  2166386  2167227  2167443  2168096  2168238  2168388  2168710  2168851  2169372  2169505  2169695  2169892  2170261  2171694  2174226  2174379  2174704  2174877  2175626  2175787  2175965  2176117  2176284  2176452  2176805  2176914  2178834  2202721  2203017  2203350  2203458  2203642  2204293  2204442  2204592  2204744  2206203  2206477  2207608  2208687  2208951  2209079  2209495  2209627  2209810  2209947  2210078  2211129  2212304  2214576  2214766  2215092  2215208  2215439  2215575  2216716  2217126  2219227  2220124  2220411  2221405  2221524  2222348  2222600  2223526  2223666  2223810  2225438  2225638  2226572  2226784  2226981  2228057  2229199  2229377  2229777  2230315  2230453  2230599  2231327  2231442  2231573  2231741  2232032  2232170  2232522  2234512  2234662  2234823  2235194  2235321  2235476  2236846  2238366  2239949  2241049  2243900  2244009  2244292  2244585  2244707  2244865  2245152  2245259  2246023  2246797  2246947  2247094  2248494  2248953  2249219  2250525  2250756  2251585  2251748  2251905  2252104  2252560  2254911  2255104  2255298  2255431  2255767  2256180  2256359  2256969  2257122  2257369  2257552  2257704  2260101  2260563  2260676  2261067  2261821  2261972  2262160  2262334  2265962  2266393  2266519  2266705  2266850  2267289  2267446  2267600  2268789  2269848  2270070  2270197  2270493  2271291  2271690  2272600  2273268  2273415  2273649  2273819  2275297  2276782  2277407  2278194  2279526  2279673  2279839  2280555  2280693  2283089  2284853  2285361  2286042  2286156  2287427  2287960  2288671  2289552  2289739  2290197  2291257  2292200  2293488  2294516  2297473  2297712  2297885  2298077  2298454  2300836  2302015  2304009  2304183  2305735  2305895  2306080  2306915  2308293  2308640  2309281  2309967  2311489  2311687  2312573  2312880  2313016  2313847  2315623  2316703  2316844  2319088  2319541  2319709  2320031  2320354  2320510  2320653  2322186  2322408  2323009  2323230  2323408  2324034  2324762  2325302  2325884  2326870  2328135  2328368  2329257  2329872  2330570  2331146  2331304  2331450  2331678  2332682  2333032  2334388  2335230  2335407  2339192  2339355  2339635  2340463  2341047  2341200  2342150  2343700  2344082  2344246  2344596  2344734  2344851  2345032  2345443  2345593  2360212  2360429  2360648  2360756  2361130  2361303  2361461  2361846  2362005  2363055  2363636  2363891  2364044  2364690  2365521  2365687  2365855  2366019  2367077  2367267  2367405  2382509  2382627  2382947  2383057  2383453  2383695  2385331  2385443  2386212  2386958  2387089  2388165  2388830  2389724  2393060  2393196  2394043  2394151  2394327  2394593  2395180  2395371  2395891  2416640, 402889  1939391  1943656  1980883  2010673  2022565  2038161  2039323  2046100  2099365  2120923  2182639  2197269  2198230  2263763  2337367  2349875  2378348  2379526  2447538, 410740  1943625  1943900  1990038  2014208  2023200  2038762  2039408  2050564  2099648  2121418  2196889  2197700  2201091  2264544  2337723  2356392  2378444  2380399  2450206, 415195  1928743  1956696  1978619  1978995  1999349  2016748  2019828  2032455  2042070  2065280  2093039  2101601  2118577  2122559  2122858  2141256  2147879  2148047  2148177  2148220  2148334  2153091  2160563  2165010  2165309  2166352  2172504  2172615  2173163  2173987  2177707  2178531  2202377  2205977  2208378  2210589  2210760  2214068  2218876  2222169  2226393  2228340  2228713  2228810  2232889  2232983  2233176  2238042  2240915  2243371  2253412  2254671  2260939  2262393  2265687  2267986  2269120  2269551  2269838  2275574  2275766  2275980  2276432  2284656  2286352  2286750  2286946  2287069  2290944  2293321  2297105  2299387  2299663  2302353  2303813  2310941  2311271  2315106  2315158  2315257  2318766  2321168  2321700  2327698  2327977  2333096  2333131  2333994  2338774  2342529  2343531  2343774  2343897  2343988  2344024  2348136  2359922  2367384  2367420  2381484  2392518  2416378, 424423  1933020  1978594  1978889  1979682  2000709  2018418  2020528  2027695  2032595  2043318  2083878  2093556  2117507  2119292  2122830  2141232  2147840  2147960  2148141  2148201  2148283  2151840  2157027  2160893  2165273  2166326  2172228  2172571  2172907  2173672  2176787  2178019  2178546  2205070  2207844  2210576  2210716  2212555  2217341  2221771  2225830  2228265  2228400  2228747  2232812  2232942  2233110  2237137  2240166  2241040  2252901  2254037  2260879  2262298  2262410  2267966  2269055  2269163  2269676  2275554  2275679  2275846  2276018  2283311  2286269  2286425  2286777  2286980  2290601  2292744  2294367  2299277  2299457  2302236  2302381  2310198  2311252  2314207  2315136  2315221  2317447  2321149  2321318  2327636  2327764  2333052  2333109  2333171  2335531  2342415  2342581  2343657  2343879  2343958  2344006  2347578  2348192  2367371  2367398  2367846  2390381  2395878  2417731, 2018910  2019169  2041242  2044407  2457612, 2018989  2019276  2041563  2044975  2458036, 2117511, 2117516, 2117521, 2457613, 2457615, 2457766  2457767, 2458038, 204, no_go, 1, 1, 0, 0, 0, 2473056, 2473062, 2473065, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2536382  2536515  2536653  2536766  2536920  2537050  2537884  2538085  2538423  2538567  2538755  2539515  2539627  2539774  2539932  2540103  2540229  2540616  2540731  2541408  2541552  2541673  2542101  2542227  2542425  2542602  2542722  2542853  2543008  2543130  2543249  2543900  2544121  2544374  2544612  2544860  2545571  2545683  2545834  2546002  2546423  2546664  2546777  2546913  2547042  2547211  2547358  2547496  2548067  2548212  2548324  2548436  2548586  2548742  2548875  2548991  2549563  2549903  2550014  2550128  2550614  2550747  2550876  2551042  2551182  2551301  2551502  2551613  2551922  2552234  2552844  2552968  2553137  2553297  2553456  2553590  2553711  2553829  2553961  2554447  2554562  2554690  2555221  2555456  2555682  2557952  2558065  2562877  2563181  2566833  2567413  2567570  2567714  2567858  2568053  2568172  2568332  2568456  2568581  2568715  2568831  2569472  2569591  2569717  2569847  2569967  2570085  2570216  2570328  2570442  2570555  2571538  2571663  2571804  2571987  2572140  2572736  2572854  2572987  2573128  2573283  2573922  2574042  2574165  2575255  2576070  2576186  2576299  2576698  2577027  2577158  2581710  2581821, 2585063  2585368  2585491  2585605  2585721  2585834  2585957  2586084  2586245  2586386  2586565  2597612  2597754  2597922  2598077  2598207  2598318  2599124, 2536232  2554055  2554367  2555021  2557765  2558396  2561679  2562649  2563053  2566725  2567189  2571345  2576893  2581445  2581576, 2554037  2554123  2554626  2555700  2558010  2558506  2561906  2562838  2563095  2566867  2570482  2576674  2577097  2581547  2581969, 2584745, 2599515, 2583639, 2583868, 2475484, 2475485, 2475486, 2583647, 2583656, 2583807  2583815, 2583878, , , 0, 0, 0, 0, 0, , 2599600, 2599613, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2584763, 2584773, 2599526, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2621766  2621876  2622051  2622755  2633760  2633873  2634005  2634121, 2599910  2600082  2600200  2600313  2600845  2600968  2601142  2601665  2604713  2604862  2605128  2605492  2605648  2606195  2606577  2606767  2606877  2607099  2607254  2607808  2607968  2608475  2608613  2608781  2608952  2609435  2609549  2610362  2610545  2610694  2611740  2612234  2612426  2613364  2613880  2615496  2615627  2617837  2618287  2618504  2619030  2619346  2619797  2620117  2625377  2626309  2626538  2626847  2627003  2627209  2628291  2628480  2628650  2628839  2629939  2630103  2630283  2631398  2637147  2638254  2638390  2638519  2638648  2638769  2638928  2639056  2639182  2646669  2646817  2649411  2649574  2650103  2650237  2650403  2652851  2652999  2653343  2653475  2653883  2654184  2654431  2657637  2658350  2658620  2658781  2659775  2662687  2662805  2662959  2663538  2663679  2663799  2665226  2666189  2666373  2667143  2667337  2667987  2668128  2668455  2668589, 2621638  2633654, 2622689  2634444, 2599795  2612542  2612598  2614162  2614361  2614565  2616396  2617342  2625070  2636745, 2612514  2612553  2614137  2614261  2614416  2615766  2616732  2620357  2631376  2669048, 2635930, 2636137, 2612518, 2612523, 2612528, 2635942, 2635955, 2636106  2636118, 2636151, , , 0, 0, 0, 0, 0, , 2669090, 2669097, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2636771, 2636785, 2669053, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2669619  2669726  2670629  2671907  2672547  2673040  2673178  2673505  2673974  2674145  2674313  2675393  2675913  2676288  2676447  2677781  2678306  2678486  2679718  2682430  2682556  2683212  2684321  2685713  2689150  2690159  2690289  2690413  2690806  2691356  2691529  2692265  2694051  2694727  2694882  2696506  2696653  2696766  2697010  2697595  2697747  2697894  2698505  2698670  2698865  2699039  2699248  2699943  2700544  2701407  2701522  2701659  2703219  2703392  2703974  2704847  2704997  2706574  2706761  2706933  2707076  2707430  2707654  2712572  2712802  2712931  2713046  2713757  2714002  2714208  2714801  2714954  2715144  2715451  2716079  2717146  2717455  2717734  2718443  2718622  2719184  2719447  2719554  2719666  2720514  2720791  2721378  2721526  2721713  2722526  2722650  2722790  2723979  2724122  2725468  2725652  2725802  2726259  2726419  2726728  2726862  2728094  2729472  2730084  2730676  2731031  2731324  2731517  2731669  2736946  2738071  2738211  2738606  2738793  2738937  2739117  2740195  2740342  2740507  2740993  2741224  2741875  2741996  2743598  2744586  2744870  2745155  2746743  2746863  2747035  2747174  2747335  2748466  2749123  2752359  2752593  2752745  2753062  2753317  2753477  2753663  2754433  2755176  2755796  2755933  2756108  2756232  2756356  2757688  2757887  2758040  2758662  2759291  2759499  2759943  2760059  2760210  2760377  2760757  2761444  2762139  2762333  2762482  2763694  2767844  2767967  2768087  2768363  2768504  2768633  2775943  2776074  2782430  2782598  2782734  2783678, , , 2669191  2675064  2688122  2688174  2688751  2688913  2692530  2692732  2693042  2693197  2702967  2706261  2706349  2712077  2715820  2716691  2716834  2720181  2720351  2723057  2723261  2723787  2728411  2728618  2729281  2732478  2736334  2742397  2742600  2742787  2743126  2743695  2743774  2744332  2745620  2747694  2747852  2748201  2748275  2751831  2754039  2754172  2756615  2756800  2757478  2763218  2767396, 2675048  2688099  2688161  2688240  2688892  2692518  2692648  2692835  2693162  2701996  2705101  2706321  2709458  2715719  2715881  2716747  2720115  2720277  2722936  2723095  2723286  2728376  2728529  2728670  2732309  2732508  2742293  2742464  2742631  2742804  2743147  2743751  2743821  2745142  2747567  2747721  2747887  2748227  2749341  2753965  2754118  2756530  2756668  2756825  2762685  2764287  2784198, 2766477, 2766672, 2675050, 2675052, 2675055, 2766486, 2766496, 2766647  2766656, 2766681, , , 0, 0, 0, 0, 0, , 2784283, 2784296, L0:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2767415, 2767425, 2784209, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2786861  2786973  2787149  2787266  2787403  2788101  2788236  2789281  2789915  2790816  2791353  2793802  2793974  2794130  2794830  2795408  2795650  2795813  2796153  2796291  2796412  2796657  2796800  2799373  2799489  2799611  2799738  2799892  2800020  2800176  2800308  2807288  2807863  2807975  2808336  2808595  2808751  2809892, , , 2786503  2798968, 2796781  2810483, 2798072, 2798247, 2785228, 2785229, 2785229, 2798076, 2798081, 2798231  2798236, 2798251, , , 0, 0, 0, 0, 0, , 2810536, 2810544, L0:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2798977, 2798983, 2810490, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2823949  2824090  2826109  2826281  2826474  2826811  2844731  2844911  2845079, 2810761  2811028  2811541  2811715  2813899  2814802  2814929  2815040  2821253  2821409  2821605  2822250  2836925  2837217  2837612  2837797  2838326  2839632  2839768  2840094  2840590  2841278  2841415  2842238  2842395  2842646  2847209  2847389  2847526  2847689  2847837  2848849  2848988  2849832  2850610  2850721  2851636  2851771  2851916  2852428  2853217  2853405  2854328  2854471  2854643  2855122  2855260  2855401  2855582  2855706  2856703  2861483  2861736  2861882  2862755  2862899  2863075  2863200  2864122  2864270  2864408  2864682  2868308  2868490  2868651  2868825  2869440  2869958  2871223  2871370  2871535  2871834  2873247  2873700  2874353  2875629  2875828  2875977  2878455  2878579  2878697  2878820  2878945  2879098  2879508  2888016  2888153  2888310  2888861  2889020  2889173  2889311  2889488  2889660  2889842  2889956, 2823749  2825902  2844565, 2824086  2826741  2845111, 2810662  2813408  2820577  2836617  2846769  2852890  2853016  2857178  2861213  2867813  2869238  2873049  2878012, 2811688  2815379  2822312  2842893  2852874  2852962  2857126  2857242  2864901  2869203  2872214  2876023  2890087, 2877221, 2877391, 2811689, 2811690, 2811692, 2877224, 2877227, 2877378  2877382, 2877394, , , 0, 0, 0, 0, 0, , 2890135, 2890143, L0:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2878019, 2878025, 2890093, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2890244  2893010  2893131  2893249  2893372  2893497  2893653  2894091  2896930  2899981  2900895  2901521  2901682  2903106  2903513  2903721, , , 2890348  2892592, 2890402  2903780, 2891913, 2892077, 2890856, 2890858, 2890859, 2891914, 2891917, 2892067  2892069, 2892079, , , 0, 0, 0, 0, 0, , 2903815, 2903821, L0:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2892597, 2892599, 2903784, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2904493  2904760  2906926  2907042  2907164  2907281  2907432  2907559  2907698  2917470  2917621  2917755, , , 2903902  2906438, 2904742  2917766, 2905754, 2905919, 2904743, 2904744, 2904745, 2905755, 2905758, 2905909  2905911, 2905921, , , 0, 0, 0, 0, 0, , 2917798, 2917803, L0:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2906443, 2906446, 2917770, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2918204  2920175  2920514  2920782  2920902  2921606  2923312  2923433  2923552  2923671  2923794  2923937  2924070  2927525  2927676  2928311  2928785  2928959, , , 2917911  2918342  2919906  2921728  2922888, 2918318  2918444  2921680  2921755  2929068, 2922251, 2922421, 2918445, 2918446, 2918448, 2922254, 2922258, 2922408  2922411, 2922424, , , 0, 0, 0, 0, 0, , 2929112, 2929119, L0:R8, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2922895, 2922900, 2929074, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 100, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2931591  2931706  2931825  2931975  2932103  2938837  2938998  2939154  2939301  2939459  2939578, , , 2931118, 2939889, 2930497, 2930661, 2929798, 2929799, 2929800, 2930498, 2930501, 2930652  2930653, 2930663, , , 0, 0, 0, 0, 0, , 2939917, 2939922, L0:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2931122, 2931124, 2939893, 
