max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   338393   338529   338640   338893   339046   339913   346741   346895   347038   347235   347602   347798   355688   916195   916317   916424   916554   916658   917549   917669   918319   919345   919877   920033  1041775  1042487  1042885  1042998  1176568  1176679  1176791  1176903  1177042  1177145  1177247  1177360  1177467  1177590  1177759  1177863  1177982  1178759  1179722  1179837  1179944  1180090  1180199  1180321  1180452  1180646  1180801  1180947  1181093  1181196  1225285  1225392  1225531  1225669  1225772  1225890  1226074  1226194  1226312  1226426  1226554  1226692  1245517  1245636  1245740  1245846  1245962  1246071  1246177  1246299  1265107  1265815  1299658  1299765  1299897  1300022  1300169  1300302  1300408  1300577  1300681  1300857  1300970  1301080  1301243  1301386  1301527  1301672  1301825  1301991  1302365  1302542  1320289  1320394  1340272  1340431  1340560  1340725  1340849  1341010  1341141  1341304  1359111, 1, 346485  1176315  1179236  1225108  1245350  1265459  1299481  1319982  1340031  1359013, 347801  1177942  1181142  1226710  1246253  1302513  1320500  1341272  1359026, 350475  1397095  1397773, 351203  1397290  1398508, 1175774, 1175778, 1175783, 1197381  1209662  1242924  1249344  1253543  1283376  1287510  1307375  1307467  1322144  1352916  1352995  1378244  1380847  1385829  1390443, 1203917  1211149  1243383  1249475  1255396  1283629  1287637  1307445  1307526  1322456  1352962  1353448  1380380  1381273  1390230  1391083, 1397105, 1397115, 1397265  1397275, 1397299, 204, no_go, 1, 1, 0, 0, 0, 1412374, 1412388, 1412399, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1414316  1414453  1414590  1414708  1414817  1414991  1415190  1415400  1415606  1415847  1416047  1416235  1423623  1423774  1423928  1424047  1424161  1424722  1468914  1469017  1469119  1469231  1469394  1469584  1469763  1484888  1495990  1496164  1499990  1500101  1500231  1500356  1500476  1500608  1500726  1500861  1500983  1501086  1501195  1501313  1501445  1501576  1501688  1501826  1502045  1502283  1502861  1502985  1503123  1503250  1503443  1503584  1503726  1503891  1504022  1504139  1504281  1504415  1506214  1506337  1506505  1506614  1506765  1507019  1507216  1507719  1507837  1507964  1508112  1508245  1508362  1509188  1509293  1509470  1509630  1509754  1509910  1510015  1510149  1510255  1510382  1510567  1510686  1510813  1510964  1511767  1511870  1512070  1512192  1512315  1512581, , 1414176  1423350  1468711  1473531  1499664  1499762  1519578, 1416191  1424211  1469782  1473655  1499718  1512569, 1515977, 1516310, 1413660, 1413661, 1413662, 1439182  1450159  1485397  1486862  1486948, 1444277  1451335  1485663  1486903  1488574, 1515979, 1515982, 1516133  1516135, 1516314, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 1519613, 1519620, 1519624, L1:R0, 0.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, L, 1519584, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1519791  1520148  1536819  1536961  1537094  1537226  1537335  1537783  1537966  1538241, , 1536625  1551557, 1520135  1538226, 1548483, 1548654, 1520227, 1520228, 1520229, 1523971  1534221, 1533578  1534586, 1548486, 1548490, 1548641  1548644, 1548658, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 1551605, 1551613, 1551619, L2:R0, 0.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, L, 1551565, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1551794  1551940  1552112  1552260  1552588  1571663  1571792  1571901  1572702  1572855  1573002  1573189  1573339  1573511  1573911  1574037  1574146  1574340  1574659  1574928  1575060  1575211  1575322  1575460  1576228  1576520  1576680  1576830  1576964  1577122  1577225  1577380  1577845  1577947  1578103  1578244  1578375  1578561  1578834  1578938  1579043  1579193  1579340  1579633  1579930  1580301  1580463  1580615  1580849  1580985  1581400  1581671  1581800  1582017  1582171  1582465  1582716  1582845  1583053  1583442  1583548  1583746  1583900  1584062  1584192  1584346  1584506  1584617  1585503  1585606  1585710  1585870  1585985  1586134  1587748  1588196  1588308  1588412  1588530  1588773  1588877  1589046  1590911  1591152  1591493  1591611  1591724  1591873  1592039  1592271  1592462  1592566  1592682  1592816  1592962  1593110  1593263  1594633  1594756  1594913  1595058, , 1571471  1572287  1578991  1583271  1588598  1588761  1588963  1589087  1589545  1590613  1592319, 1552564  1571961  1578921  1582911  1588580  1588743  1588921  1589006  1589145  1590109  1592282  1594888, 1597311, 1597484, 1552565, 1552566, 1552567, 1555505  1603750, 1556452  1615686, 1597314, 1597319, 1597470  1597474, 1597488, , , 0, 0, 0, 0, 0, , 1615724, 1615731, L2:R1, 33.33, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1603759, 1603764, 1615691, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1642342  1642470  1642923, , 1642186, 1642947, 1646444, 1647405, 1621069, 1621071, 1621072, 1615820  1621088  1621239  1623769  1634247  1634393  1636013  1637655  1652047, 1621069  1621209  1623606  1634179  1634317  1634416  1637626  1637689, 1646449, 1646454, 1646605  1646609, 1647410, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 1652104, 1652113, 1652121, L2:R2, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 1652057, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1662655  1672175, 1663586  1672293, 1654127, 1654128, 1654129, 1655562, 1654127  1660158, 1662656, 1662660, 1662811  1662813, 1663588, 204, no_go, 1, 1, 0, 0, 0, 1678610, 1678617, 1678621, L2:R2, 25.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1710508  1710618  1710726  1710869  1711068  1711220  1711575  1715597  1715699  1715824  1715940  1716048  1716199  1716356  1716506  1716636  1721509  1721678  1721832  1721955  1722067  1722171  1722277  1722380  1722610  1722967  1723108  1723223  1723340  1723492  1723760  1723895  1724017  1724182  1724889, , 1710287  1715363  1721283  1731299, 1711609  1716555  1724849, 1729028, 1729835, 1679079, 1679080, 1679081, 1691990  1696405, 1692428  1696884, 1729034, 1729042, 1729193  1729200, 1729842, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 1731381, 1731392, 1731402, L3:R2, 20.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, L, 1731315, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1731714  1731824  1731955  1732337  1828654  1828766  1828884  1829007  1829118  1829225  1829335  1829571  1829699  1830260  1836773  1836888  1836993  1837157  1837318  1837522  1837696  1837813  1837960  1838102  1838251  1838399  1838571  1838717  1838887  1838997  1839160  1839403  1839523  1839653  1839788  1839939  1841664  1841783  1841930  1842090  1842244  1842490  1842785  1842900  1843051  1843213  1843382  1843504  1843614  1844014  1844150  1844261  1844441  1844556  1845396  1845642  1845787  1845973  1846136  1846266  1846370  1846476  1846804  1846932  1847119  1847233  1847338  1847510  1847689  1847803  1848568  1848683  1848801  1848959, , 1828478, 1732310  1848952, 1826064, 1826269, 1732311, 1732312, 1732313, 1734230  1734945  1736257  1738947  1754241  1754489  1759571  1759769  1759884  1777459  1777643  1777744  1782129  1782169  1786751  1788243  1788432  1788602  1788683  1795448  1800421  1800655  1800943  1806503  1806586  1806650  1806759  1815328  1818786  1819517, 1734737  1735278  1737344  1754176  1754295  1759559  1759726  1759851  1777354  1777533  1777703  1778418  1782140  1786732  1788136  1788295  1788468  1788652  1795061  1800054  1800614  1800902  1806387  1806553  1806602  1806716  1814246  1818311  1819046  1821277, 1826076, 1826088, 1826239  1826251, 1826281, , , 0, 0, 0, 0, 0, , 1849017, 1849027, L4:R2, 33.33, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1828502, , 1848967, 1828516
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1850798  1850929  1851542  1851705  1851844, , 1850635  1857112, 1851729, 1853818  1854143, 1853984  1854526, 1849807, 1849807, 1849808, , , 1853820, 1853823, 1853973  1853975, 1853986, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 1857150, 1857157, 1857162, L5:R2, 28.57, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, L, 1857118, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1857317  1857421  1857547  1857712  1857922  1858065  1858177  1858296  1858632  1878207  1878366  1878505  1879399  1879535  1879711  1879817  1879947  1880114  1880304  1880454  1880605, , 1877998  1879272  1894267, 1858653  1878531  1880660, 1884724  1885616  1888795  1891436, 1885544  1885631  1891423  1892255, 1858654, 1858656, 1858658, 1860838  1867562  1881845  1882668, 1864050  1874501  1882603  1883795, 1884729, 1884736, 1884887  1884893, 1885551, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 1894348, 1894360, 1894369, L6:R2, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, L, 1894282, , , 
