max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   225566   242033   242159   242371   242548   242759   842872   843148   843266   843789   849193   849299   857073   857422   972381   972485   972590   972743   972856   972962   973072   973189   973312   973438   973571   973700   973830   977007   977110   977258  1021368  1021488, 1, 241452   244503   972176   976748  1021158, 242794   244733   973886   977251  1021453, 246324  1033562, 247532  1033825, 248018  1001865  1003426, 249180  1003414  1003749, 976710, 976715, 976720, 1033569, 1033578, 1033728  1033736, 1033833, 204, no_go, 1, 1, 0, 0, 0, 1048895, 1048906, 1048916, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1052739, 1052902, 1056889, 1060381, 1050011, 1050011, 1050012, 1052740, 1052742, 1052893  1052894, 1052904, , , 0, 0, 0, 0, 0, , 1060401, 1060405, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1056893, 1056896, 1060383, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1083043  1083160  1084617  1084834  1085643  1085766  1085868  1085974  1086119  1086261  1086393  1086667  1087800  1088861  1088988  1089103  1089413  1089603  1089763  1089889  1090020  1090157  1090263  1090368  1090838  1090958  1091406  1091740  1091864  1092191  1092298  1092432  1092617  1092749  1092883  1093020  1093506  1093626  1093809  1094376  1094480  1094594  1094739  1094978  1095093  1095223  1095367  1096162  1096307  1096451  1096598  1096701  1096862  1097061  1097167  1097971  1098157  1099191  1099305  1099516  1099694  1099984  1100504  1100615  1100726  1101244  1108676  1108806  1108912  1109014  1109133  1109235  1109339  1109447  1109573  1109696  1110198  1110319  1110451  1110589  1111525  1112175  1112279  1112438  1112678  1112853  1113015  1113132  1113243  1113366  1113522  1113670  1114136  1114252  1114941  1115053  1115158  1115383  1116525  1116634  1117039  1117152  1117665  1117775  1117895  1118027  1118187  1118344  1118749  1118860  1119297  1119492, , 1082819  1084430  1085442  1094261  1096899  1096992  1099567  1099718  1099795  1101261  1108492, 1083134  1084820  1093742  1096809  1096975  1099452  1099606  1099777  1101211  1101280  1119485, 1104973  1105619, 1105176  1106045, 1067508, 1068058, 1060907, 1060908, 1060908, 1104986, 1104999, 1105150  1105163, 1105189, , , 0, 0, 0, 0, 0, , 1119538, 1119546, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1108662, , 1119498, 1108663
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1119746  1119889  1119994  1120661  1120822  1121820  1121932  1122033  1122782  1122934  1123078  1123622  1124485  1125086  1125203  1142624  1142727  1142848  1142949, , 1119650  1119780  1119855  1124243  1142384  1143665  1144557, 1119669  1119827  1123581  1125153  1142940  1143845  1144640, 1156114, 1156718, 1129415  1158777, 1137142, 1123584, 1123587, 1123590, 1156119, 1156126, 1156277  1156283, 1156724, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 1158850, 1158861, 1158870, L1:R2, 66.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 1158791, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1172494  1175355  1175675  1175888  1176020  1176654  1176844  1187278  1187382  1187486  1187588  1187713  1187833  1187946  1188058  1188171  1188293  1188486  1188612  1188740  1189074  1190227  1190338  1190444  1190565  1191476  1191587  1192729  1192834  1192961  1193314  1193475  1193598  1193702  1193845  1193987  1194114  1194366  1194567  1195052  1195168  1195277  1195399  1195549  1196124  1196995  1197125  1197329  1197473  1197587  1198017  1198199  1198329  1199135  1199295, , 1172316  1175170  1176560  1177044  1187093, 1172628  1176203  1176573  1177054  1199335, 1183369  1183698  1183883, 1183543  1183782  1183944, 1160615, 1159339  1162551, 1159457, 1159458, 1159459, 1183372, 1183377, 1183528  1183533, 1183547, , , 0, 0, 0, 0, 0, , 1199417, 1199429, L2:R2, 75.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1187103, , 1199346, 1187109
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1200109  1238311  1238436  1240486, , 1199922  1238075  1240211  1259188, 1200140  1238415  1240443, 1257106, 1257277, 1216806  1225827  1227033, 1217055  1226308  1227522, 1200141, 1200142, 1200143, 1257109, 1257114, 1257264  1257268, 1257281, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 1259237, 1259245, 1259251, L3:R2, 60.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, L, 1259197, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1259417  1259525  1284232  1284334  1284440  1284548  1284658  1284763  1284874  1284986  1285099  1285215  1285345  1285451  1285735  1285853  1285985  1286087  1286222  1286356  1287353  1287469  1287647  1287752  1287861  1288118  1288311  1288543  1288648  1289308  1289457  1289687  1289823  1289962  1290107  1290258  1290431  1290548  1290746  1290920  1291205  1291774  1291885  1292030  1292710  1292851  1293123  1293489  1293621  1294283, , 1284056, 1259555  1294398, 1281520, 1281687, 1271016  1277342  1278028, 1273385  1277635  1278283, 1259823, 1259824, 1259825, 1281522, 1281526, 1281676  1281679, 1281690, , , 0, 0, 0, 0, 0, , 1294466, 1294477, L4:R2, 66.67, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1284062, , 1294407, 1284066
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1294626  1294899  1295032  1295965  1296073  1296203  1296338  1296495  1296611  1296838  1296944  1297080  1297181  1298031  1298147  1298282  1298426  1298534  1298671  1298777  1298939  1299046  1299325  1299460  1299571  1299679  1300307  1300439  1300583  1300728  1300878  1301039  1301172  1302081  1302214  1302356  1302466  1302576  1303203  1303323  1303460  1304154  1304269  1304426  1305773  1305889  1305996  1306149, , 1294678  1294751  1296701  1296877  1296940  1299305  1299379  1305629, 1294720  1296616  1296759  1296917  1299200  1299362  1304399  1305942, 1308527, 1308724, 1310313, 1316496, 1296618, 1296620, 1296623, 1308536, 1308547, 1308698  1308707, 1308734, , , 0, 0, 0, 0, 0, , 1316573, 1316584, L4:R3, 71.43, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1310333, 1310344, 1316506, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1319375  1319484  1319609  1319733  1319842  1319984  1320098  1320401  1320510  1320983  1321121  1321249  1322339  1322557  1323382  1323500  1323641  1323778  1324051, , 1319232, 1323805, 1326071, 1326245, 1328665, 1341919, 1317322, 1317323, 1317324, 1326074, 1326080, 1326231  1326235, 1326249, , , 0, 0, 0, 0, 0, , 1341956, 1341962, L4:R4, 75.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1328673, 1328678, 1341924, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1345131  1345239  1356742  1356845  1356981  1357115  1357487  1357635  1363983  1364100  1364202  1364313  1364423  1364529  1364643  1364759  1364882  1365005  1365148  1365329  1365460  1367585  1367711  1367865  1367976  1368443  1368560  1368707  1368830  1369179  1369283  1370095  1370216  1370429  1370563  1370706, , 1344936  1356472  1363804, 1345482  1357376  1370832, 1361448, 1361770, 1350755, 1352955, 1342540, 1342541, 1342542, 1361452, 1361456, 1361606  1361609, 1361773, , , 0, 0, 0, 0, 0, , 1370888, 1370897, L5:R4, 77.78, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1363811, , 1370840, 1363816
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1371075  1371282  1371475, , 1371020  1371174  1371276, 1371153  1371268  1371381, 1373798, 1373965, 1375292, , 1371504, 1371506, 1371508, 1373800, 1373803, 1373954  1373956, 1373968, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 1375330, 1375337, 1375342, L5:R5, 70.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 1375298, , , 
