max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, 195549k, error_id, error_string, house_light_on_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   863335   872370   872515   872647   872855  1015097  1015282  1015725  1015967  1017778  1017890  1018018  1018624  1022646  1022772  1129587  1129728  1130815  1141237  1141864  1141969  1142082  1142196  1142330  1142496  1142623  1142753  1142866  1142979  1143097  1143207  1143317  1143439  1143618  1143760  1143894  1144017  1144141  1144281  1144412  1144541  1144676  1144818  1144970  1145104  1145422  1145544  1145658  1145765  1145960  1146236  1183239  1183471  1183611  1183729  1183883  1184041  1184626  1184734  1184870  1212102  1212210  1212421  1212547  1212923  1213052  1213176  1213284  1213422  1213788  1214031  1214451, 1   863254   864668   880718  1016074  1016225  1016334  1157951  1158053  1158214  1158324  1158479  1158599  1158750  1158861  1158966  1159202  1159325  1159438  1159553  1159692  1159835  1160040  1160183  1160329  1160493  1160595  1160710  1160853  1161001  1161139  1161295  1161438  1161587  1161745  1161927  1162125  1162238  1162370  1162528  1162746  1163167  1163313  1163471  1163593  1163774  1163911  1164080  1164231  1164382  1164540  1164695  1164848  1165003  1165155  1165314  1165457  1165595  1165711  1166320  1166473  1166611  1166759  1166919  1167083  1167286  1167399  1167563  1168069  1168196  1168379  1168513  1168667  1168834  1169009  1169176  1169329  1169483  1169637  1169833  1169968  1170126  1170291  1170454  1170610  1170779  1170932  1171095  1171263  1171414  1171586  1171758  1171920  1172072  1172230  1172389  1172545  1172738  1172897  1173050  1173259  1173416  1173524  1173692  1173851  1174007  1174165  1174330  1174518  1174623  1175430  1175542  1175652  1175801  1175946  1176101  1176261  1176428  1176601  1176770  1176937  1177115  1177286  1177456  1177635  1177804  1177967  1178130  1178284  1178473  1178625  1178770  1178872  1179080  1179359  1179526  1179640  1179786  1179943  1180491  1180625  1180999  1191614  1191810  1231564  1231689  1236566  1236678  1236790  1236901  1237004  1237108  1237222  1237331  1237470  1237772  1237911  1238033  1238157  1238287  1238418  1238559  1238693  1238825  1238963  1239104  1239248  1239393  1239541  1239685  1239844  1239983  1240132  1240282  1240421  1240569  1240727  1240885  1241042  1241200  1241352  1241517  1241667  1241859  1242003  1242162  1242271  1242875  1242984  1243094  1243244  1243395  1243546  1243695  1243856  1244185  1244349  1244582  1244712  1244857  1244997  1245111  1245898  1246022  1246164  1246316  1246456  1246598  1246745  1246895  1246997  1247159  1247329  1247491  1247673  1247834  1247996  1248114  1248462  1248568  1248685  1248854  1249351  1249465  1249595  1249726  1249850  1249984  1250098  1250215  1250332  1250457  1250614  1251033  1251139  1251293  1251400  1251557  1251668  1251782  1252056  1252171  1252293  1252405  1252509  1252655  1253008  1253138  1253251  1253551  1253656  1253763  1253888  1254024  1254145  1254265  1254418  1254571  1254731  1254839  1254947  1255496  1255619  1255840  1255997  1256150  1256315  1256423  1256795  1256911  1257042  1257207  1257363  1257525  1257889  1258029  1258145  1258473  1258585  1258744  1258848  1258966  1259099  1259234  1259695  1259864  1260491  1261000  1261135  1261240  1261376  1261479  1261643  1261749  1261853  1262307  1262472  1262633  1262794  1262902  1263031  1263141  1263890, 871638   872071  1141683  1183120  1184115  1184628  1186834  1211838  1213917, 871945   872877  1146222  1184081  1184130  1184888  1186934  1213731  1213928, 875336  1233554  1233812, 876030  1233792  1234853, 880523  1157029  1157468  1166012  1175246  1180749  1191181  1230983  1231050  1236378, 880706  1157171  1165668  1174578  1180568  1180972  1191806  1231039  1231675  1263973, 1137296, 1137301, 1137306, 1233560, 1233567, 1233718  1233724, 1233799, R, 1236393, 1236402, 1263986, 0, 0, 0, 0, 0, 1264184, 1264185, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1279941  1280078  1280189  1281027  1307552  1307666  1307783  1307899  1319145  1319307  1319903  1320016  1321196  1321314  1321431  1321583  1321695  1322084  1322210  1322796  1322928  1323102  1323843  1324095  1325056  1325172, 1264195  1275952  1276067  1276172  1276293  1276419  1276592  1276715  1276848  1276968  1277463  1277589  1277725  1282677  1282829  1282980  1283344  1283587  1283750  1284300  1284446  1284594  1284746  1284885  1285176  1286097  1286252  1286365  1286545  1286956  1287063  1287224  1287397  1287654  1287808  1287960  1288076  1288181  1288306  1288445  1290853  1291764  1293476  1311455  1311638  1311784  1312246  1312385  1312990  1313139  1313256  1313908  1314054  1314203  1314758  1314870  1314978  1315128  1315277  1315430  1327387  1327491  1327643  1327759  1327879  1328022  1328137  1328261  1328376  1328519  1328643  1328769  1328902  1329029  1329163  1329298  1329430  1329569  1329712  1329866  1330011  1330148  1330287  1330433  1330590  1330748  1330898  1331050  1331271  1331416  1331567  1331718  1331880  1332020  1332124  1332352  1332501  1332621  1332747  1332910  1333056  1333210  1333358  1333832  1333973  1334143  1334480  1334589  1334762  1334865  1334969  1335073  1335232  1335472  1335590  1335750  1335906  1336070  1336231  1336391  1336553  1336724  1336893  1337057  1337216  1337373  1337529  1337686  1337847  1338388  1338522  1338697  1338804  1339294  1339457  1339645  1339943  1340105  1340293  1340438  1340602  1341109  1341235  1341378  1341536  1341685  1341834  1341986  1342154  1342312  1342494  1342634  1342991  1343164  1343298  1343453  1343598  1343757  1343915  1344076  1344241  1344412  1344582  1344683  1344875  1345402  1345555  1345709  1345828  1346098  1346204  1346313  1346438  1346546  1346655  1346809  1346973  1347498  1347657  1347807  1347935  1348256  1348422  1348579  1348690  1348818  1348988  1349191  1349348  1349491  1349622  1349758  1349961  1350071  1350175  1350284  1350440  1350592  1350760, 1279692  1307268  1318737  1323685, 1280961  1307928  1323120  1325113, 1325766, 1325940, 1275577  1282307  1285914  1286756  1288436  1288744  1290573  1291460  1291509  1293114  1311331  1317116  1317169  1327203, 1277846  1285133  1286476  1288391  1288473  1288794  1290822  1291481  1291718  1293419  1315450  1317137  1317516  1350812, 1265463, 1265464, 1265465, 1325769, 1325774, 1325926  1325930, 1325944, R, 1327212, 1327217, 1350820, 0, 0, 0, 0, 0, 1350870, 1350879, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1367446  1367576  1367698  1367816  1368082  1368292  1376282, 1351199  1351319  1351471  1351664  1351768  1351986  1352090  1352389  1352499  1352648  1352808  1353006  1353150  1353293  1353453  1353572  1353917  1354071  1354238  1354401  1354620  1354777  1354932  1355056  1355821  1356321  1356469  1356639  1356811  1356918  1357026  1357156  1357440  1357619  1357737  1357869  1358069  1358223  1358371  1358534  1358661  1358858  1358967  1360641  1361070  1361181  1361344  1361559  1361864  1361967  1362130  1362288  1362755  1362886  1365744  1366096  1370622  1370943  1371208  1371311  1371474  1371681  1371846  1372001  1372148  1374976  1378940  1379048  1379460  1379590  1379766  1379921  1380059  1380180  1380306  1380435  1380569  1380700  1380832  1380964  1381102  1381236  1381374  1381519  1381666  1381813  1381957  1382102  1382254  1382401  1382552  1382710  1382864  1383017  1383161  1383310  1383465  1383610  1383760  1383914  1384063  1384224  1384381  1384539  1384693  1384846  1385003  1385167  1385324  1385483  1385650  1385810  1385976  1386138  1386290  1386448  1386604  1386761  1386923  1387083  1387241  1387407  1387566  1387714  1387861  1388020  1388264  1388366  1388533  1388696  1388871  1389047  1389155  1389291  1389392  1389495  1389599  1389787  1389942  1390094  1390249  1390403  1390561  1390718  1390875  1391034  1391201  1391364  1391529  1391689  1391863  1392123  1392256  1392381  1392553  1392658  1392813  1392995  1393293  1393493  1393649  1393798  1393958  1394062  1394480  1394600  1394736  1394895  1395048  1395204  1395380  1395513  1395855  1395993  1396148  1396308  1396469  1396633  1396799  1396936  1397152  1397271  1397411  1397575  1397747  1397913  1398430  1398582  1398714  1398819  1398943  1399114  1399272  1399376  1399620  1399771  1399903  1400068  1400236  1400396  1400562  1400685  1401070  1401205  1401422  1401946  1402194  1402358  1402523  1402696  1402882  1403016  1403356  1403528  1403708  1403871  1404045  1404168  1404313  1404472, 1367113  1367887  1375933, 1367868  1368371  1376269, 1377164, 1377530, 1351006  1358983  1359159  1359311  1360435  1365449  1370223  1374642  1378775, 1358905  1359020  1359172  1359345  1362955  1366118  1372107  1375080  1404556, 1358911, 1358917, 1358923, 1377178, 1377192, 1377342  1377355, 1377531, R, 1378777, 1378778, 1404563, 0, 0, 0, 0, 0, 1404602, 1404610, L0:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1404707  1404855  1405013  1406398  1406830  1407260  1407411  1409554  1409664  1409968  1410332  1412080  1412339  1415064  1415175, , , 1413474, 1413655, 1404738  1404896  1405064  1405219  1406324  1409133  1411611  1411893  1414876, 1404879  1405026  1405116  1405255  1407380  1410087  1411836  1412350  1415169, 1405304, 1405307, 1405309, 1413480, 1413486, 1413637  1413642, 1413661, R, 1414889, 1414895, 1415182, 0, 0, 0, 0, 0, 1415226, 1415235, L0:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1437992  1438106, 1415789  1415927  1416240  1416350  1416498  1416625  1416748  1416874  1417003  1417135  1417270  1417408  1417545  1417687  1417832  1417976  1418120  1418266  1418414  1418567  1418713  1418859  1419005  1419151  1419305  1419459  1419622  1419776  1419928  1420082  1420244  1420395  1420585  1420707  1420868  1421255  1421381  1421515  1421683  1421841  1421998  1422154  1422312  1422471  1422631  1422796  1423037  1423179  1423335  1423651  1423802  1423967  1424137  1424299  1424456  1424619  1424774  1424934  1425101  1425277  1425441  1425598  1425850  1425963  1426073  1426187  1426289  1426880  1427004  1427171  1427295  1427405  1427532  1427788  1427932  1428337  1428480  1428634  1428784  1428961  1429089  1429359  1429547  1429663  1429779  1429939  1430078  1430272  1430389  1430919  1431037  1431474  1431576  1431716  1431866  1432027  1432190  1432369  1432491  1432813  1432966  1433128  1433279  1433380  1433502  1433721  1435384  1435567  1435781  1435888  1436238  1440199  1440824  1441005  1442312  1443305  1443408  1443513  1443660  1443766  1444265  1444382  1444500  1444628  1444768  1444909  1445045  1445185  1445331  1445498  1445638  1445800  1445906  1446097  1446207  1446536  1446690  1447082  1447646  1447795  1447948  1448108  1448224  1449007  1449115  1449313  1449802  1450447  1450592  1450751  1450915  1451693  1451805  1466870  1467050  1467332  1470976  1471089  1471193  1471315  1471520  1471630  1471746  1471860  1471997  1472121  1472243  1472364  1472493  1472620  1472753  1472883  1473019  1473158  1473438  1473579  1473719  1473872  1474022  1474165  1474325  1474480  1474633  1474784  1474937  1475092  1475242  1475399  1475558  1475715  1475869  1476019  1476182  1476338  1476523  1476684  1476841  1476980  1477146  1477302  1477458  1477611  1477758  1477908  1478055  1478207  1478365  1478523  1478674  1478825  1478983  1479145  1479300  1479458  1479648  1479796  1479970  1480087  1480191  1480415  1480561  1480703  1480880  1480990  1481327  1481444  1481590  1481692  1481848  1481986  1482243  1482346  1482467  1482575  1482779  1482926  1483080  1483230  1483389  1483560  1483753  1483893  1484009  1484326  1484648  1484819  1484975  1485088  1485221  1485378  1485535  1485807  1486215  1486334  1486509  1486637  1486763  1486901  1487065  1487238  1487350  1487460  1487820  1487951  1488066  1488210, 1437784  1468080, 1438206  1468346, 1469549, 1469796, 1415418  1426705  1434991  1439863  1440949  1442901  1443104  1453247  1466440  1467151  1470775, 1426248  1433897  1436178  1440925  1441009  1443086  1451899  1453466  1467023  1467311  1488267, 1426256, 1426265, 1426273, 1469559, 1469570, 1469721  1469731, 1469808, R, 1470798, 1470809, 1488279, 0, 0, 0, 0, 0, 1488349, 1488362, L0:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1489617  1489819  1489990  1490123  1490371  1491615  1491729  1491927  1492073  1492183  1492344  1492452  1492594  1492726  1492853  1492985  1493103  1493246  1493379  1493519  1493653  1493795  1493938  1494080  1494232  1494384  1494533  1494688  1494845  1494999  1495150  1495324  1495467  1495623  1495772  1495934  1496092  1496261  1496425  1496583  1496744  1496909  1497065  1497220  1497379  1497543  1497709  1497869  1498024  1498184  1498353  1498518  1498680  1498841  1499010  1499180  1499341  1499509  1499674  1499826  1499998  1500167  1500320  1500481  1500639  1500804  1500966  1501142  1501316  1501477  1501633  1501794  1501956  1502110  1502270  1502542  1502720  1502895  1503048  1503213  1503322  1503634  1503770  1503879  1504045  1504234  1504353  1504474  1504586  1504745  1504866  1505127  1505382  1505531  1505687  1505838  1505998  1506156  1506321  1506445  1506792  1506896  1507079  1507233  1507484  1507640  1507808  1507962  1508078  1508180  1508564  1508666  1508805  1509013  1509167  1509327  1509489  1509661  1509823  1509972  1510183  1510312  1510452  1510615  1510779  1510951  1511341  1511627  1511980  1512126  1512382, , , 1490572, 1490740, 1488538  1489453  1491445, 1488660  1490319  1512393, 1489152, 1489153, 1489154, 1490574, 1490578, 1490729  1490731, 1490743, R, 1491451, 1491455, 1512398, 0, 0, 0, 0, 0, 1512432, 1512438, L0:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1518741  1518944  1519065, 1516821  1517008  1517119  1517395  1517498  1517612  1520899  1521043  1521300  1523998  1524114  1524336  1524449  1524558  1524663  1524812  1525010  1525126  1525284  1525410  1525547  1525671  1525808  1525955  1526092  1526229  1526375  1526517  1526666  1526814  1526963  1527115  1527277  1527427  1527583  1527734  1527894  1528043  1528198  1528357  1528522  1528676  1528831  1528986  1529152  1529322  1529477  1529633  1529792  1529960  1530123  1530286  1530448  1530599  1530750  1530917  1531099  1531267  1531432  1531596  1531758  1531915  1532072  1532237  1532404  1532569  1532741  1532916  1533091  1533264  1533425  1533591  1533768  1533948  1534118  1534288  1534457  1534611  1534758  1534922  1535090  1535254  1535430  1535782  1535958  1536133  1536338  1536476  1536634  1536742  1536981  1537138  1537307  1537434  1537809  1537972  1538127  1538242  1538350  1538474  1538630  1538965  1539257  1539411  1539532  1539760  1539926  1540081  1540245  1540354  1540457  1540878  1541114  1541272  1541433  1541587, 1518339  1518788, 1518734  1519114, 1522191, 1522365, 1516552  1520409  1523822, 1517621  1521258  1541725, 1513201, 1513202, 1513203, 1522195, 1522200, 1522351  1522355, 1522369, R, 1523831, 1523836, 1541729, 0, 0, 0, 0, 0, 1541759, 1541764, L0:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1541837  1544042  1544143  1544441  1544545  1544647  1544798  1544922  1545041  1545187  1545319  1545444  1545578  1545723  1545861  1546003  1546147  1546295  1546441  1546592  1546754  1546901  1547052  1547203  1547358  1547520  1547674  1547828  1547982  1548148  1548312  1548469  1548643  1548808  1548968  1549135  1549299  1549462  1549624  1549780  1549935  1550093  1550262  1550424  1550594  1550755  1550913  1551072  1551242  1551401  1551566  1551727  1551892  1552046  1552202  1552363  1552529  1552698  1552870  1553037  1553201  1553360  1553522  1553695  1553870  1554040  1554215  1554386  1554567  1554728  1554895  1555061  1555234  1555399  1555573  1555713  1555827  1555932  1556054  1556186  1556288  1556514  1556918  1557073  1557229  1557740  1557875  1558026  1558183  1558335  1558488  1558637  1558803  1558978  1559412  1559556  1559728  1559887  1560048  1560210  1560378  1560536  1560696  1560866  1561036  1561216  1561323  1561431  1561824  1561970  1562141  1562303  1562465  1562949  1563085  1563232  1563376  1563535  1563697  1563866  1563976  1564390  1564505  1564674  1564833  1565110  1565265, , , 1542545  1542856, 1542708  1542900, 1543864, 1565352, 1542540, 1542541, 1542542, 1542546, 1542548, 1542699  1542700, 1542710, R, 1543870, 1543872, 1565356, 0, 0, 0, 0, 0, 1565386, 1565391, L0:R8, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1567257  1567361  1567479  1567585  1567705  1567837  1569716  1569911  1570089  1570490  1570610  1571453  1573323  1573434  1573541  1573651  1573758  1574091  1574192  1574334  1574462  1574591  1574721  1574855  1574992  1575132  1575279  1575419  1575566  1575717  1575864  1576017  1576174  1576340  1576490  1576641  1576793  1576940  1577088  1577244  1577404  1577536  1577687  1577840  1577997  1578159  1578330  1578490  1578647  1578810  1578969  1579123  1579284  1579445  1579612  1579775  1579933  1580086  1580243  1580412  1580572  1580727  1580882  1581048  1581220  1581380  1581545  1581716  1581877  1582038  1582195  1582473  1582629  1582800  1582902  1583062  1583217  1583382  1583553  1583679  1583893  1584004  1584138  1584452  1584608  1585063  1585189  1585341  1585486  1585627  1585778  1586067  1586184  1586317  1586465  1586623  1586762  1587039  1587174  1587333  1587489  1587745  1587850  1588218  1588342  1588487  1588642  1588790  1588942  1589100  1589246  1589590  1589742  1589909  1590073  1590405  1590634  1590786  1591257  1591416, , , 1572126, 1572301, 1566798  1569318  1569412  1570621  1571263  1573147, 1567868  1569372  1570562  1570722  1571541  1591421, 1566125, 1566126, 1566127, 1572130, 1572135, 1572286  1572290, 1572306, R, 1573157, 1573162, 1591426, 0, 0, 0, 0, 0, 1591458, 1591464, L0:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1594473  1594576  1594698  1594900  1595013  1597227  1597330  1597435  1597542  1597661  1597813  1597987  1598110  1598230  1598349  1598484  1598618  1598745  1598881  1599019  1599158  1599303  1599451  1599602  1599757  1599905  1600058  1600218  1600381  1600541  1600701  1600857  1601005  1601152  1601306  1601458  1601620  1601774  1601924  1602079  1602241  1602396  1602552  1602722  1602892  1603051  1603214  1603376  1603540  1603699  1603850  1604009  1604176  1604335  1604493  1604641  1604813  1604990  1605164  1605330  1605507  1605666  1605824  1605978  1606144  1606319  1606476  1606580  1606742  1606847  1607080  1607221  1607329  1607434  1607538  1607670  1607827  1607992  1608405  1608535  1608695  1608847  1608998  1609158  1609311  1609477  1609612  1609781  1609895  1610060  1610215  1610370  1610692  1610836  1611149  1611272  1611589  1611726  1611839  1611950  1612099  1612250  1612401  1612547  1612699  1612862  1613016  1613197  1613329  1613523  1613660  1613776  1613908  1614074  1614520  1614671, 1593086, 1593306, 1595833, 1596001, 1594001  1597057, 1595044  1614803, 1592152, 1592152, 1592153, 1595836, 1595839, 1595990  1595993, 1596004, R, 1597063, 1597067, 1614806, 0, 0, 0, 0, 0, 1614830, 1614834, L0:R10, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , 
