max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, L_reward_ts, well_off_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1    46643    46939    47116  2722146  2722388  2724508  2993072  2993185  2993325  2993439  2993684  2993796  2993906  2994021  2994132  2994249  2994364  2994483  2994605  2994729  2994870  2995244  2995355, 39756  3001447  3023379  3030386, 41934  3005042  3023668  3030885, 44314  3041666  3041870, 45246  3041850  3042499, 45716  2992673  3011276, 47303  2995286  3011582, 2968670, 2968672, 2968675, 3041672, 3041679, 3041830  3041837, 3041857, 204, no_go, 1, 1, 0, 0, 0, 3056914, 3056924, 3056933, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 3062825  3062930  3063036  3063195  3096637  3096814  3096951  3097150  3097277  3097400  3097545  3097955  3098094  3098215  3098338  3098441  3098570  3099109  3099226  3099368  3099700  3099972  3100099  3100229  3100379  3100572  3100787  3100983  3101189  3101676  3101784  3102242  3102373  3103138  3103288  3103721  3103860  3103988  3104496  3104738  3104841  3104947  3105289  3105422  3106124  3106313  3106999  3107211  3107347  3107505  3107613  3107870  3108568  3108680  3108782  3114439  3114552  3203190  3204339  3204459  3204639  3204760  3204883  3205020  3205125  3205494  3205607  3206049  3206161  3206311  3206853  3206956  3224954  3225217  3225481  3225666  3225872  3225982  3226090  3226198  3226317  3226540  3304996  3305137  3305241  3305397  3305621  3305839  3306007  3306144  3306464  3306769  3349411  3349518  3349625  3349738  3350023, 3077191  3082529  3128657  3160878  3162089  3165639  3168029  3168140  3168500  3168611  3168879  3169013  3169096  3175324  3182310  3183021  3215335  3216708  3260308  3262655  3262944  3270159  3270206  3271256  3278718  3295069  3297788  3298817  3299407  3299517  3329796, 3081331  3083084  3128900  3160947  3165568  3165655  3168102  3168171  3168549  3168854  3168965  3169063  3169114  3176249  3182479  3183208  3215591  3219094  3262483  3262848  3262965  3270190  3271207  3271716  3279314  3295086  3298566  3299379  3299483  3299855  3330240, 3197746  3353496, 3198081  3353669, 3062573  3096427  3114262  3143486  3143567  3201410  3202073  3202338  3203210  3204023  3207056  3207293  3208145  3211137  3224745  3225081  3226636  3251994  3304611  3304942  3305364  3349230, 3063157  3108739  3114571  3143507  3143745  3201561  3202146  3203115  3203221  3206991  3207085  3207513  3208239  3211191  3224984  3226489  3226650  3252316  3304767  3305341  3306397  3349996, 3271218, 3271229, 3271240, 3353500, 3353504, 3353655  3353659, 3353673, 204, no_go, 1, 1, 0, 0, 0, 3368709, 3368717, 3368723, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 3394982  3395087, 3374587  3379516  3379670  3382275  3382761, 3374630  3379575  3382214  3382290  3382949, 3400554, 3401407, 3394712  3404320, 3395047, 3369555, 3369556, 3369556, 3400557, 3400561, 3400712  3400715, 3401411, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 3404367, 3404376, 3404382, L0:R1, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 3404328, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 3405839  3406069  3406190  3406299  3406495  3410198  3456608  3456713  3457158  3457691  3457814, 3412774  3416509  3469789  3475394  3475471  3476388  3476486  3482722  3490284, 3412855  3416711  3470229  3475450  3475505  3476399  3476521  3482745  3490958, 3568401, 3568771, 3405111  3405755  3405801  3456451, 3404463  3405396  3405779  3406542  3457810, 3405022, 3405023, 3405024, 3568407, 3568415, 3568566  3568573, 3568778, 204, no_go, 1, 1, 0, 0, 0, 3583835, 3583846, 3583855, L0:R1, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 3694711  3694820  3694922  3695032  3695172  3695563  3695688  3696084  3696224  3696397  3705834  3705952  3845517  3845664  3845821  3846232  3846335, 3658506  3755859  3763030  3763143  3830400  3830440  3887421  3893047  3893129, 3660320  3756318  3763123  3763324  3830424  3830506  3888137  3893063  3893422, 3900849  3901855  3903472, 3901792  3901891  3903682, 3648509  3648561  3694374  3705673  3840252  3845108  3845272  3905465, 3648525  3648629  3696384  3705956  3840302  3845141  3846289, 3584330, 3584331, 3584332, 3900857, 3900866, 3901017  3901025, 3901801, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 3905570, 3905584, 3905596, L0:R2, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, R, 3905484, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 3979928, 4015916, 3967490  3968954  3977457, 3968856  3969259  3977565, 3906320, 3905760  3906426, 3906301, 3906302, 3906304, 3967491, 3967494, 3967645  3967647, 3968858, , , 0, 0, 0, 0, 0, , 4015944, 4015948, L1:R2, 33.33, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 3979934, 3979938, 4015919, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 4048580  4048709  4048928  4049103  4049571  4049700  4049810  4049940  4050764  4050881  4051786  4051951  4052085  4052623  4052786  4053591  4053785  4054253  4054694  4055928  4056068  4056378  4056505  4057110  4057231  4058407  4058558  4059369  4059508  4059657  4059904  4060407  4060532  4060660  4061425  4061546  4061670  4061817  4061944  4062635  4062744  4063273  4063391  4063494  4064666  4064788  4064927  4065114  4065259  4065390  4065942  4066072  4066243  4066698  4069118  4069271  4069532  4069698  4069836  4070388  4070514  4070645  4070780  4070919  4071227  4071358  4071493  4071777  4072931  4073033  4073190  4073374  4073904  4074131  4074277  4075606  4075741  4075843  4076065  4076982  4077127  4077261  4077460  4077698  4077841  4078241  4078659  4079026  4079467  4079900  4080551  4080907  4081434  4081540  4084392  4084537  4084702  4085221  4085338  4085454  4085556  4092202  4092849  4092979  4093106  4093218  4094078  4094184  4094287  4094735  4094861  4094979  4095424  4095536  4095748  4096940  4097080  4097226  4097410  4097537  4097763  4097959  4098093  4098256  4098456  4098563  4098752  4100029  4100217  4232557  4232790  4233006  4233146  4233745  4233872  4234111  4234238  4234370  4234494  4234599  4234737  4353745  4358871  4359006  4359359  4481830  4481990  4482197  4482317  4482440  4482560  4482680  4482806  4482957  4483269  4483405  4483624  4483763  4483910  4484488  4484638  4485318  4485430  4485628  4485747  4486019  4489174  4490360  4490996  4491150  4491295  4491671  4491957  4492086  4492564  4492717  4492819  4493125  4493376  4493512  4493665  4493804  4494400  4494656  4494788  4494913  4495018  4495349  4495718  4495924  4496217  4496490  4496609  4496712  4496889  4497018  4497377  4497943  4499855  4500011  4500799  4500920  4501076  4501224  4501343  4501593  4501755  4501862  4502336  4502479  4502584  4502741  4502858  4503147  4503325  4503612  4504714  4504873  4505357  4505518  4505673  4505845  4506360  4506470  4508085  4508426  4508572  4508680  4508797  4509093  4509230  4509331  4509702  4510285  4510413  4510516  4510639  4510920  4511042  4511236  4511495  4511596  4511711  4513147  4513274  4513389  4513641  4513794  4514277  4514451  4514629  4515637  4515810  4516402  4516521  4516684  4516811  4516987  4518256  4518374  4518739  4518912  4519362  4519489  4519599  4519763  4520248  4520352  4520478  4520981  4521103  4521217  4521574  4521689  4521855  4521965  4522184  4523383  4523771  4523876  4524220  4524327  4552583  4552707  4552830  4553234  4553374  4553998  4554123  4554711  4562550  4562673  4563306  4563409  4563851  4590497  4590918  4591034  4591756  4592628  4592755  4593003  4596313  4633133  4656859  4656966  4657071  4657465  4660203  4686774  4686923  4687063  4687212, 4016017  4018740  4022217  4024493  4025728  4036458  4041240  4107684  4131050  4136811  4144452  4146295  4179701  4179951  4222193  4224308  4225039  4226765  4307988  4335029  4370956  4388204  4410568  4434629  4449760  4450924  4451759  4457474  4462630  4529266  4531904  4533157  4536859  4538431  4546148  4570258  4571189  4577577  4635943  4636517  4638201  4638889  4639170  4639271  4639415  4641516  4647923  4648677  4652659  4652741  4665438, 4018496  4018837  4022414  4025686  4029891  4038230  4041710  4114141  4131375  4137528  4145425  4146355  4179889  4179965  4223014  4224987  4225095  4227128  4308390  4335637  4363174  4371211  4388236  4434597  4441235  4450419  4451189  4455752  4457686  4463268  4531863  4532052  4533267  4537540  4538820  4547397  4570596  4571434  4579007  4636259  4636730  4638500  4639126  4639228  4639282  4639664  4647883  4648549  4648746  4652691  4653295  4665711, 4691953  4694991, 4693016  4695382, 4048196  4064414  4079525  4092566  4092596  4232105  4358595  4481370  4481537  4503291  4521367  4521461  4523145  4525138  4526581  4552336  4562293  4563144  4563595  4589668  4596089  4632830  4656544  4658438  4658686  4658875  4686358, 4063553  4079428  4085533  4092579  4100211  4234754  4359333  4481497  4503272  4521316  4521441  4522175  4524298  4525268  4526614  4554834  4562744  4563381  4563870  4593001  4596292  4633274  4657449  4658535  4658767  4659019  4687169, 4018497, 4018498, 4018499, 4691963, 4691975, 4692126  4692137, 4693028, 204, no_go, 1, 1, 0, 0, 0, 4708115, 4708132, 4708145, L1:R2, 33.33, 000(1)1, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 4738741  4738861  4801250  4801387  4801494  4806530, 4714666  4718831  4719089  4725366  4727050  4755970  4756318  4759057  4767464  4767953  4768373  4768684  4769742  4771020  4772323  4808740  4809803  4820235  4836702, 4714997  4719027  4719115  4725453  4727578  4756031  4756333  4759300  4767480  4768092  4768508  4768779  4770046  4771043  4772413  4809086  4811340  4820557, 4826999  4827279  4827392  4827605, 4827253  4827347  4827588  4828118, 4738475  4800997  4806262  4806621  4806682, 4738895  4801638  4806584  4806655  4806702, 4709132, 4709132, 4709133, 4827008, 4827018, 4827169  4827178, 4827263, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 4836821, 4836836, 4836850, L2:R2, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, L, 4836725, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 4838120  4847265  4848699, 4837034  4839063  4847314  4848843, 4855712, 4855912, , , 4837424, 4837425, 4837426, 4855714, 4855717, 4855868  4855870, 4855915, 204, no_go, 1, 1, 0, 0, 0, 4870940, 4870946, 4870951, L2:R2, 25.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 4927675  4927797  4932082  4932186  4932301  4932426  4932921  4933065  4933629  4972092  4972273  4972417  4972928  4973052  4973674  4973784  4974324  4974441  4974701  5030362  5030519  5030915  5031051  5070310  5070431  5070691  5070836  5071003  5071123  5071238  5071347  5071461  5071583  5071725  5071836  5071989  5072114  5072246  5072377  5072506  5072648  5073287  5073972  5074074  5074238  5074340  5074552  5074803  5074908  5075045  5075565  5077078  5077205  5077423  5077543  5077660  5077821  5078016  5078439, 4889981  4893759  4914062  4915090  4918439  4956251  4957519  4958089  4978970  4979902  4983524  5004397  5008892  5009090  5009631  5010235  5018859, 4890194  4894017  4914311  4915260  4919070  4956471  4957735  4958590  4979119  4980243  4983678  5004513  5009065  5009178  5009903  5011264  5019061, 5064274  5065436, 5064508  5066257, 4908201  4923894  4925784  4931374  4931823  4933897  4971799  5028876  5029746  5030127  5070132, 4908209  4924251  4927768  4931612  4933746  4934016  4974859  5029037  5029933  5031033  5078541, 4871502, 4871503, 4871504, 5064286, 5064300, 5064450  5064463, 5064522, , , 0, 0, 0, 0, 0, , 5078582, 5078589, L2:R3, 40.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 5070133, , 5078546, 5070135
