max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_well_all_on_ts, L_well_all_off_ts, error_id, error_string, house_light_on_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  209996  210103  210390  210674  211223  214656  310752  311805  314441  325563  330319, 1  211028  211347  211456  341922, 225896, 225898, 225900, 317668  341751, 317689  341965, 340340, 340343, 340347, 340498  340501, 341206, 341210, R, 341758, 341764, 341969, 0, 0, 0, 0, 0, 341999, 342005, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 347644  355393  393054  396871  396983  397315  397453  397672  398350  398504  398621  398795  398902  399011  399500  400300  400849  401374  402281  402543  402693  402800  402931  403053  403173  403290  403398  403513  403629  403757  403879  404015  404228  404354  404528  404695  404812  404925  405039  405157  405297  405511  405688  405807  405924  406053  406173  406305  406543  407076  407200  407307  407427  407569  407837  439958  440079  440341  440734  440840  441151  443893  484661  484803  485316  486164  486498  486604  486714  486827  486935  487066  487202  487308  487869  487976  488092  488340  488477  488754, 342140  342714  342837  342946  343064  344608  344715  347639  347780  355384  355504  358180  358297  393044  393154  399148  411109  417392  418048  419979  420083  420201  420310  420422  420530  420662  420797  421016  421118  421225  421332  421452  421559  421678  421789  421892  422300  422417  422538  422644  422757  422890  423028  423157  423298  423583  423750  423880  424013  424147  424253  424356  424476  424696  424903  425034  425141  425259  425394  425502  425618  425733  425879  426114  426292  426433  426536  426653  426864  426970  427299  433753  462391, 343666, 343667, 343669, 419848  419905  420110  420281  427529  433376  462174, 419884  420078  420220  427264  427719  433792  462354, 492746  492958  493074  494494, 492749, 492752, 492903  492906, 492928  493012  493671  494807, 492931, , , , , 1, 1, 0, 0, 0, 507976, 507982, L0:R1, 100.00, 000(1)1, 000(1)1, 349235  395645  396732  397138  397837  397938  398627  398698  399513  399633  399693  399798  400413  400622  400685  401404  401666  439804  440505  441708  442250  442455  443134  443663  484237  484317  484539  485738  486296, 349329  395825  396960  397668  397868  398552  398658  399491  399531  399646  399773  400391  400429  400656  401389  401476  407808  440328  441495  442232  442266  443117  443153  443919  484278  484520  485300  486203  488723, 204, no_go, 507968, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 595584, 522745  576409  576513  576727  576910  577061  577227  577354  577863  577970  578079  578208  578519  579020  579457  579701  579883, 508628, 508630, 508630, 521700  522159  522902  575955, 521994  522710  523303  579926, 581941, 581945, 581950, 582102  582106, 582117, 582122, L, 595354, , 595632, 0, 0, 0, 0, 0, 595668, 595675, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 595344, 595627, , , , 595359
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 595764  596265  596373  596489  596602  596710  596923  597062  597177  597315  597428  597539  597656  597769  597884  598003  598129  598245  598369  598528  598728  598853  598977  599118  599254  599378  599574  599690  599811  599932  600039  600156  600848  601289  601480  602318  602600  603005  603122  603251  603389  603507  603616  603735  603847  603978  604095  604266  604473  605877  606289  606509  606917  607450  607582  609998  611366  611509  611620  611737  611875  611982  612108  612257  612374  612504  612615  612955  613084  613193  613709  613824  613933  614543  614957  615197  615340  615451  615680  615795  615953  656899  657072  657182  657335  657441  657564  657672  658226  658490, 649146  649276  649385  649603  649717  649847  649995  650125  651409  651518  651734  651849  651993, 596104, 596105, 596105, 648694  648994  650999  651262, 648903  650073  651132  651995, 664731, 664735, 664739, 664890  664894, 664904, 664908, , , , , 1, 1, 0, 0, 0, 679953, 679959, L1:R1, 100.00, 000(1)1, 000(1)1, 596175  601044  602838  602912  605182  605656  605774  607221  609824  611204  656673, 600868  602707  602883  604500  605246  605755  606932  607555  610057  615897  658499, 204, no_go, 679945, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 696518  696639  696778  696945  697157  697948  698438  698555  698718  699633  699761  700046  700670  701554  701889  702006  702127  702241  702369  702479  702588  702704  702824  702946  707286  708826, , 680540, 680541, 680542, 681411  682255, 681421  682290, 736695, 736702, 736710, 736861  736868, 736882, 736890, L, 738706, , 738952, 0, 0, 0, 0, 0, 739007, 739017, L2:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 696399  697986  698279  701406  708635  708707  708765  708852  708978  738690, 697972  698007  700724  702899  708646  708747  708839  708866  708998  738944, , , , 738715
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 739149  739375  739481  739738  739846  739954  740063  740176  740296  740421  740540  740655  740772  740885  740998  741107  741227  741352  741477  741605  741735  741852  741964  742071  742187  742292  742463  742590  742708  742903  743081  743201  743419  743564  743706  743841  743949  744118  744252  744392  744531  744669  744805  744938  745072  745355  745936  746331  746559  746664  746772  746897  747047  747182  747314  747540  747655  747764  747905  748026  748139  748461  748669  748785  748964  749079  749212  749342  749455  749569  749770  749889  750210  750339  750460  750617  750973  752164  752292  752403  752596  752826  756150  756259  756374  756524  777644  777752  778838  779171  779786  779892  780300  780865  781000  781182  781290  781400  781527  781635  781903  782274  783584  789944  824966  825077  825360, 794178  794351  794461  794602  794742  794873  795072  795404  795634  795786  796082  799086  799239  799419  799522  799639  799766  799964  836461  836683, 745917, 745923, 745929, 793824  798190  798265  798617  798850  835815  836098  836206, 796096  798235  798464  798653  799924  836063  836145  836652, 896900  897302, 896908, 896917, 897067  897075, 897089  898191, 897097, , , , , 1, 1, 0, 0, 0, 912178, 912188, L2:R1, 100.00, 000(1)1, 000(1)1, 739185  739290  746070  751965  755807  755976  756058  777461  779602  780756  789693  824808, 739237  745911  750941  752784  755914  756006  756549  779191  780476  783601  789899  825410, 204, no_go, 912165, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 920660  920801  920908  930672  930788  930916  931332  931454  931864  933663  933919  934073  934181  934288  934396, , 912819, 912820, 912821, 1006178, 1006588, 1068675, 1068679, 1068684, 1068835  1068839, 1068851, 1068856, L, 1069572, , 1069744, 0, 0, 0, 0, 0, 1069780, 1069788, L3:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 920349   930284   931200   933490  1069561, 921048   930865   931837   934310  1069739, , , , 1069578
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1069907  1070125  1070264  1070414  1070536  1070664  1070776  1070908  1071023  1071140  1071258  1071371  1071484  1071603  1071725  1071853  1071981  1072109  1072219  1072333  1072449  1072595  1072727  1072850  1072960  1073068  1073175  1073325  1073433  1073561  1073703  1073824  1073936  1074068  1074211  1074356  1074489  1074622  1074762  1074896  1075038  1075180  1075306  1075484  1075624  1075766  1075906  1076056  1076178  1076460  1076690  1076826  1076942  1077049  1077171  1077293  1077402  1077738  1077849  1077970  1078090  1078202  1078363  1078480  1078778  1078898  1079066  1079174  1079294  1079406  1080096  1080328  1080459  1080577  1080692  1080880  1080998  1081162  1081432  1081553  1081695  1082238  1082646  1082755  1082917  1083038  1083210  1083375  1083893  1084455  1084574  1085120  1085251  1086935  1087075  1087267  1087392  1087751  1089532  1101618, 1121209  1121848  1133278  1133516, 1079361, 1079370, 1079379, 1118180  1121164  1125219  1125358  1125383  1132922  1133540, 1118914  1121980  1125236  1125369  1125470  1133494  1133569, 1135843, 1135850, 1135858, 1136009  1136016, 1136030, 1136038, , , , , 1, 1, 0, 0, 0, 1151110, 1151119, L3:R1, 100.00, 000(1)1, 000(1)1, 1069952  1079933  1081684  1081994  1082130  1082534  1083425  1083602  1084723  1085127  1086750  1087068  1087619  1088274  1101386, 1079353  1081646  1081963  1082060  1082159  1083329  1083445  1084701  1085063  1085210  1087026  1087561  1087652  1088310  1101611, 204, no_go, 1151098, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1155011  1155155  1155268  1155468  1155578  1155706  1155817  1158160  1158270  1190066  1190274  1190397  1190561  1190688  1195893  1196005  1196283  1196439  1196550  1196760  1197217  1199432  1199567  1199805  1211482  1219704, , 1151692, 1151693, 1151694, , , 1230999  1231360, 1231006, 1231014, 1231165  1231172, 1231186  1231515, 1231195, , , , , 1, 1, 0, 0, 0, 1246271, 1246281, L3:R1, 100.00, 000(1)1, 000(1)1, 1154917  1157838  1189997  1195618  1196152  1197099  1198789  1199254  1200404  1211373, 1155907  1158283  1190703  1195960  1196741  1197603  1199055  1199854  1202440  1211386, 204, no_go, 1246259, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1270236  1270386  1270536  1270643  1270825  1279895  1280577  1280759  1280960  1281730  1281887  1282051  1282160  1284732  1284847  1335907  1336013  1336129  1336292  1336403  1336517  1336644  1336757  1336872  1337212  1337329  1337448  1337674  1337789  1337918  1338134  1338257  1338380  1338723  1338927  1339064  1339171  1339528  1339637  1339778  1339888  1340375  1340486  1341786  1342096  1342215  1342325  1342470  1342595  1342753  1342883  1343016  1343151  1343290  1343453  1343561  1344521  1344636  1344747  1344880  1345006  1345113  1345234  1345348  1345726  1345855  1346225  1346416  1346611  1347030  1347140  1347288  1347412  1347782  1347891  1349339  1349536  1349774  1350207  1350336  1350458  1350664  1350785  1350929  1351054  1351185  1351318  1351490  1351602  1351960  1352113  1352231  1352565  1352849  1353035  1353157  1353321  1353437  1353553  1353681  1353805  1353935  1354055  1354346  1354459  1354767  1354935  1355042  1355509  1355617  1355731  1355865  1355975  1356101  1356261  1356388  1358276  1358513  1363869  1363975  1364913  1367169  1367276  1367452  1368388  1372570  1372888  1373588  1376591  1377185  1377343  1377820  1380726  1381974  1388650  1388790  1388902  1390094  1390274  1390624  1390741  1390921  1391140  1391418  1391551  1393339  1393495  1393698  1393863  1394285  1400869  1401536  1401652  1402846  1404329  1404804  1405152  1405594  1405709  1406921  1407115  1407736  1408380  1408540  1408646  1409010  1409124  1409432  1409556  1409810  1410122  1410387  1410543  1410738  1410850  1410982  1411105  1411234  1411342  1411524  1411732  1412997  1413185  1413345  1413796  1414302  1414618  1416403  1416528  1416826  1416972  1417095  1420890  1421070  1421198  1421373  1421727  1421865  1421975  1422108  1422228  1424900  1425009  1425424  1425538  1430274  1433015  1433619  1433762, 1437938  1438168  1438317  1438432  1438540  1450259, 1246793, 1246793, 1246794, 1320460  1320868  1322041  1437638  1450066, 1320617  1320932  1322258  1438587  1450270, 1441222, 1441225, 1441229, 1441380  1441383, 1441393, 1441397, R, 1450075, 1450080, 1450275, 0, 0, 0, 0, 0, 1450306, 1450312, L3:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1270057  1279386  1279639  1280236  1280325  1280644  1281631  1284534  1335720  1341952  1350055  1350138  1358519  1363815  1364549  1365342  1368278  1370657  1372371  1373894  1376484  1377097  1380369  1380624  1380696  1381796  1381998  1388448  1389955  1393310  1394071  1398312  1400077  1404766  1406745  1407413  1407446  1408087  1408726  1412690  1414456  1416743  1420687  1424704  1426156  1432699  1433436, 1270811  1279546  1279938  1280250  1280618  1280925  1281955  1284898  1341807  1349797  1350081  1356364  1358687  1364098  1364895  1365526  1368626  1370863  1372522  1374070  1376568  1377809  1380563  1380679  1380714  1381961  1382089  1389078  1391556  1393898  1394121  1398903  1400131  1405629  1407128  1407433  1407458  1408150  1411671  1413780  1416546  1417121  1422251  1425715  1426166  1433168  1433739, , , , 
