max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_well_all_on_ts, R_well_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  187550  187667  187776  193261  349253, 1  188358  188601, 201186, 201187, 201189, 362512, 362514, 362517, 362667  362669, 363209, 363211, 204, no_go, 1, 1, 0, 0, 0, 378233, 378240, 378244, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 397267, 397181  398741, 379144, 379144, 379145, 408816, 408818, 408821, 408972  408974, 408983, 408986, 204, no_go, 1, 1, 0, 0, 0, 424010, 424016, 424022, L0:R0, 0.00, 000(1)1, 000(1)1, 395389  395504  397713, 395432  397161  398702, , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 445658  445843  445953  446171  446299  446400  446505  446638  446750  446860  446971  447078  447181  447310  447417  462590  488826  490019  490144  490263  490381  490500  490602  490708  490813  490925  491033  491152  491255  491358  491467  491573  491681  491785  491901  492008  492109  492261  492366  492474  492576  492684  492798  492905  493027  493148  493319  493445  493547  493651  493761  493869  494056  494159  494286  494398  494578  494758  494898  495037  495153  495318  495478  495605  495728  495851  495973  496092  496409  496646  496785  496942  497087  497239  497557  497715  497833  497973  498100  498230  498408  498540  498700  498915  499068  499219  499334  499442  500245  500373  500516  500666  500815  500978  501080  501227  501495  530512  530616  530727  530847  530968  531087  531198  531358  531461  531764  531915, 517002  517224  517536  518352  518569  518734  518885  519200  519377  519530  519668  520621  520797  521212  521869  521992  522103  522231  522380  522601, 424386, 424387, 424387, 535222, 535226, 535232, 535383  535388, 535399, 535404, 204, no_go, 1, 1, 0, 0, 0, 550446, 550455, 550462, L0:R0, 0.00, 000(1)1, 000(1)1, 516137  521426  521593, 521318  521489  522539, 445492  445686  447392  488676  489888  530300, 445593  447358  447501  489024  501518  531883, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 569910  570485  570589  570695  570812  570954  571073  571186  571292  571470  571631  571776  571905, 596729  596927  597072  597328  597464  597704  597818  597939  598182  598529  598683  598955  599092  599296  599420  599559  599700  604829  605165  605339  605485  605762  606287  606683  607338  608182  608353  608494  608760  609175  609380  609530  609720  610204  610345, 551067, 551067, 551068, 603486, 603491, 603497, 603648  603653, 603665, 603671, , , 0, 0, 0, 0, 0, , 610532, 610541, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 596401  596480  604481, 596413  599981  610469, 570540, 571862, R, 604493, 604499, 610478, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 675755  680794  682301  682404  682523  682629  682743  682865  682988  683159, 610672  616888  617008  617416  627427  629714  629842  630003  630145  630278  658237  658391  662643  662899  663064  663856  664036, 611266, 611267, 611268, 684845, 684853, 684861, 685012  685021, 685035, 685043, , , 0, 0, 0, 0, 0, , 697964, 697975, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 616430  620563  629524  657465  657612  657938  658484  662144  662364  697625, 617389  620590  630338  657574  657718  658384  658788  662252  664083  697896, 675584  680437  681953  682167, 675869  680469  682112  683143, R, 697643, 697652, 697906, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 722006  722111  722213  722329  722433  722569  722693  722806  722938  723049  723166  723281  723409  723536  723665  723790  723929  724044  724156  724262  724415  724549  724682  724822  724963  725082  725200  725362  725467  725604  725801  725909  726043  726147  726295  726446  726680  726823  726972  727113  727258  727411  727570  727731  727951, 698539  698747  699002  699202  699555  700886  702374  702577  702720  703013  703343  703951  704586  704901  705071  705399  705627  707905  708468, 705583, 705586, 705589, 710432  710833, 710435, 710440, 710591  710595, 710605  712103, 710609, , , 0, 0, 0, 0, 0, , 728096, 728108, L1:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 698124  707613, 705581  708423, 721681, 728022, L, 721690, , 728032, 721696
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 728771, 728772, 728772, 732210, 732211, 732213, 732364  732365, 732374, 732376, 204, no_go, 1, 1, 0, 0, 0, 747392, 747398, 747401, L1:R2, 100.00, 000(1)1, 000(1)1, , , , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 781762  781867  782065  782200  782393  782534  782652  782776  815642  815788  815898  816030  816144, 754539  791782  791888  795152  795367, 747821, 747822, 747823, 820054, 820058, 820064, 820215  820220, 820232, 820237, 204, no_go, 1, 1, 0, 0, 0, 835280, 835290, 835297, L1:R2, 100.00, 000(1)1, 000(1)1, 753785  754670  791425  794896, 754592  754741  792062  795548, 781578  815413, 782814  816167, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 869552  869747  869865  871000  871103  871246  871356  871561  871707  966298  966414  966517  966644  966758  966866  966980  967140  967246  967356  967469  967584  967737  967863  968003  968126  968241  968359  968483  968620  968756  968899  969372  969515  969678  969782  969955  970155  970273  970429  970532  970676  970818  970988  971127  971271  971748  971890  972006  972108  972282  972390  972512  972664  972797  973341  973570  973834  973970  974112  974214  974704  974880  975001  975293, 937236  937354  937553  941213  941333  941504, 835859, 835859, 835860, 956322, 956326, 956333, 956484  956489, 956499, 956505, , , 0, 0, 0, 0, 0, , 975574, 975587, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 937044  940663  941020, 937608  940904  941516, 869444  870647  870727  966119, 869803  870672  871655  975489, L, 966129, , 975500, 966135
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 975765   978368   978494   978619   978734   978857   978963   979120   979277   979410   993138   993244  1090800  1090902  1091009  1091145  1091250  1091386  1091550  1091700  1091807  1092057  1092224  1092396  1092561  1092706  1092907  1104333  1104508  1104626  1104789  1104904  1105042  1105148  1105307  1118586  1118693  1118811, 987921   988046  1056992  1057103  1057243, 976313, 976314, 976315, 1122417  1122813, 1122429, 1122444, 1122594  1122608, 1122626  1123096, 1122639, 204, no_go, 1, 1, 0, 0, 0, 1137647, 1137651, 1137653, L2:R2, 100.00, 000(1)1, 000(1)1, 987591   988375   988482  1055947  1056233  1056272  1056382  1056436  1057396, 988114   988416   988851  1056016  1056254  1056368  1056394  1057347  1057434, 977938   978251   981978   992931  1079460  1081812  1090142  1090440  1093025  1104173  1118206  1118300, 978208   979479   982163   993319  1081783  1081894  1090166  1092940  1093369  1105245  1118244  1118829, , , , , 
