max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   351853   353635   373425   373566  1425978  1428947  1429052  1431108  1548434  1548619  1548729  1548848  1548957  1549077  1549185  1549307  1549413  1549560  1549667  1549777  1549892  1550000  1550109  1550217  1550327  1550442  1550554  1550680  1550801  1550919  1551049  1551161  1551307  1551427  1555441  1555563  1555681  1555796  1555969  1556117  1556229  1556342  1556477  1556627  1556801  1556940, 1   356042   356142   356633   384572  1427581  1566462  1566567  1566722  1566842  1566957  1567064  1567170  1567286  1567404  1567515  1567637  1567785  1567921  1568069  1568207  1568521  1568771  1568923  1573902  1578725  1578849  1579038  1579155  1579272  1579389  1579511  1579642  1579785  1579908  1580129  1580273, 252147   258024   263127   263835   364107  1548237  1548439  1555153, 257008   258143   263354   264513   373413  1548381  1551449  1556900, 377549  1565841  1565930  1566125  1570800  1573287  1573422  1578353, 384569  1565875  1565990  1568874  1571200  1573403  1574138  1580319, 1538266, 1538270, 1538275, 1576547, 1576548, 1576550, 1576701  1576702, 1576845, 1576847, R, 1578357, 1578359, 1580323, 0, 0, 0, 0, 0, 1580349, 1580354, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1594612  1594721  1594858  1656983  1657096  1657200  1657448  1657625  1657731  1660149  1689483  1689600  1689763  1689869  1690007  1690151  1690320  1690438  1690554  1690672  1690791  1690919  1691053  1691205  1691348  1691467  1691573  1691722  1691882  1692084  1692190  1692334, 1597011  1597158  1653808  1654017  1654237  1680571  1680780  1681112, 1594289  1594351  1605622  1656794  1658698  1659353  1689148, 1594327  1594960  1605662  1657682  1658792  1659721  1692382, 1596688  1626989  1653554  1680400, 1597115  1627094  1654397  1681067, 1582675, 1582676, 1582678, 1685725, 1685731, 1685738, 1685889  1685895, 1685908, 1685915, L, 1689162, , 1692392, 0, 0, 0, 0, 0, 1692457, 1692469, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1689170, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1692762  1692881  1693015  1693143  1697967  1698078  1718205  1718312  1718418  1718523  1718638  1718755  1718897  1719003  1719109  1719215  1719326  1719454  1719559  1719667  1719804  1719962  1720154  1720273  1720381  1720504  1720646  1720860  1720968  1721099  1721499  1721621  1721780  1721887  1721992  1722105, 1713153  1713318  1713444  1713558  1713764  1713879  1714004, 1692631  1697827  1717977, 1693150  1698189  1722321, 1712679, 1714056, 1693151, 1693153, 1693154, 1716455  1716698, 1716458, 1716463, 1716614  1716618, 1716681  1716898, 1716685, L, 1717986, , 1722330, 0, 0, 0, 0, 0, 1722386, 1722396, L2:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1717992, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1724730  1724900  1725004  1725118  1727826  1727931  1728105  1728218  1757074  1757187  1757305  1757423  1757533  1757688  1757832  1757939  1758054  1758184  1758445  1799362  1799490  1799638  1799989  1801180  1801325  1801507  1801663  1801792  1802388  1803697  1804010  1804152  1804292  1804411  1804526  1804674  1804793  1804963  1805093  1805723  1805845  1808107  1808329  1808435  1808549  1808665  1808773  1808877  1821840  1821982  1822677  1822837  1855892  1856008  1856166  1856282  1856389  1856514  1856637  1856742  1856849  1856955  1857062  1857172  1857283  1857426  1857552  1857688  1857793  1857898  1858035  1858182  1858636  1858743  1858889  1859391  1859963  1860093  1860211  1860331  1860483  1860627  1860775  1861189  1861354  1861779  1861901  1862061  1862235  1862370  1862483  1863305  1863425  1863556  1863659  1863800  1863953  1864115  1864252  1864703  1864812, 1737190  1737354  1737473  1737617  1754489  1754588  1754710  1754908  1776816  1777073  1783745  1783864  1784047  1784193  1815885  1816031  1816145  1817467  1817614  1817762  1819175  1819681  1819846  1844166  1844305, 1724568  1727594  1756850  1799171  1805601  1807560  1807925  1821654  1855562, 1725070  1728199  1758550  1805042  1805810  1807577  1808889  1822787  1864915, 1736866  1754083  1776230  1776406  1783363  1797599  1815575  1817065  1843641  1845629  1845689, 1737632  1754982  1776327  1777038  1784443  1797830  1816091  1819840  1844271  1845644  1846391, 1722967, 1722968, 1722969, 1848579  1848951, 1848582, 1848586, 1848737  1848740, 1848750  1849795, 1848754, L, 1855571, , 1864925, 0, 0, 0, 0, 0, 1864992, 1865004, L3:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1855576, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1865164  1897085  1897235  1897364  1897475  1897831  1897950  1898239  1898691  1898820  1898954  1899111  1899224  1899418  1899571  1899788  1899938  1900059  1900182  1900312  1900474  1900623  1900760  1905230  1905341  1905486  1905591  1905817  1905965  1906155  1906429  1912176  1912312  1912430  1936129  1936331  1937948  1938074  1938182  1938303  1938667  1938804  1961518  1961655  1961760  1961882  1962027  1962501  1963073  1963236  1963350  1963489  1963948  1992959  1993090  1993211  1993992  1994178  1994292  2076790  2076914  2077077  2077612  2077730  2077852  2078001  2078199  2081155, 1916387  1916509  1916881  1917041  1917264  1917627  1918199  1951280  1951536  1951650  1951776  1952505  1952793  1952908  1953024  1953129  1982936  1983055  1983194  1983339  1983531  1983629  1984880  1984992  1985101  1985251  1985351  1985505  1985771  1985872  1986632  1986879  2046476  2046701  2046828  2046947  2047078  2047332  2047503  2047618  2093866  2093995  2094134, 1896779  1896934  1898912  1899216  1899326  1899693  1904814  1911904  1911972  1935777  1961356  1963331  1992796  1992906  2076450  2076581  2080830  2081016, 1896873  1898778  1899009  1899297  1899397  1900720  1906302  1911940  1912362  1938637  1963177  1963777  1992807  1994219  2076529  2078175  2080976  2081178, 1916118  1918283  1950996  1982759  1986643  1986692  1986927  1989079  1989258  2045955  2093576, 1918172  1918347  1953147  1986602  1986662  1986732  1986977  1989182  1989571  2047574  2094210, 1865894, 1865895, 1865896, 2096074  2096776, 2096084, 2096096, 2096247  2096257, 2096275  2098680, 2096286, , , , , 1, 1, 0, 0, 0, 2111385, 2111398, L3:R1, 100.00, 000(1)1, 000(1)1, , 204, no_go, 2111371
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2172631  2172740  2228957  2229064  2229195  2259218  2259323  2259453  2259598  2259706  2259828  2259989  2260722  2260882  2261170  2354633  2354746  2354875  2356036  2356157  2356285  2356443  2357145  2357317  2357493  2357604  2357754  2362626  2362731  2362844  2363388  2363518  2363664  2364166  2364286  2364399  2364943  2365087  2398501  2398610  2398719  2398830  2398978  2399330  2399440  2399577  2399690  2399820  2400099  2400208  2401138  2401270  2402456  2402574  2403107  2403249  2403361  2403650  2406097  2406244  2406350  2406482  2408772, 2265401  2265992  2324495  2324678  2324846, 2153909  2172391  2228720  2258996  2354445  2362132  2362301  2398207  2405734  2408576, 2154138  2172703  2229160  2261159  2357575  2362210  2364897  2403596  2407352  2408895, 2265098  2324047, 2265988  2325048, 2112083, 2112084, 2112085, 2408169, 2408181, 2408194, 2408345  2408358, 2408376, 2408389, L, 2408603, , 2408896, 0, 0, 0, 0, 0, 2408904, 2408906, L4:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 2408774, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 2409364, 2409365, 2409366, 2410637, 2410638, 2410640, 2410791  2410792, 2411993, 2411995, , , , , 1, 1, 0, 0, 0, 2427016, 2427021, L4:R1, 100.00, 000(1)1, 000(1)1, , 204, no_go, 2427011
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2477652  2477769  2477885  2478008  2478798  2478939  2479052  2479196  2479322  2479442  2479566  2479694  2479816  2480083  2480725  2480837  2481034  2481149  2481271  2481396  2481811  2481980  2484938  2486507  2487462  2487617  2488195  2488358  2488489  2488654  2488805  2488974  2489153  2489270  2489406  2489536  2489641  2489781  2489947  2490125  2491877  2491989  2492125  2492865  2493069  2493174  2493305  2493700  2493816  2493955  2494115  2494236  2494363  2495679  2495784  2496614  2496731  2506376  2506495  2506612  2506934  2507048  2507162  2507290  2508272  2508673  2508793  2511982  2512095  2512249  2512373  2512480  2514181  2514408  2514554  2514705  2515176  2515323  2515432  2515562  2516299  2516443  2516788  2517127  2517525  2518572  2518709  2521871  2522098  2522256  2522381  2523079  2523189  2523414  2523554  2523672  2525848  2526000  2526113  2526267  2526381  2526544  2526670  2526774  2526915  2527473  2527622  2528476  2529122  2529229  2530289  2530436  2532089  2532198  2532443  2532775  2532882  2532995  2533570  2533675  2533786  2535071  2535199  2587401  2587512  2587643  2587777  2587885  2587996  2588126  2588271  2588400  2589305  2589445  2589916  2590049  2590918  2591062  2591266  2591388  2591497  2591741  2591868  2591986  2592843  2593630  2593759  2593885  2596452  2596693  2596828  2597747  2597888  2603183  2603294  2603399  2603927  2604058  2604222  2604331  2701438  2702774  2702938  2703057  2703167  2703276  2703405  2703516  2703620  2703772  2703882  2703999  2704107  2704223  2704340  2704466  2704952  2705083  2705236  2706585  2707686  2708306  2708484  2708791  2708900  2709055  2709167  2709726  2709942  2710097  2710205  2710576  2710685  2710834  2710961  2711090  2711224  2712832  2712984  2713128  2713815  2713976  2714119  2714297  2715375  2715525  2715698  2715829  2715952  2716664  2716797  2716918  2717039  2718154  2718385  2718992  2719143  2939480  2939610  2939825  2940295  2940814  2940920  2941046  2941896  2942156  2942305  2942454  2942774  2943090  2951000  2951138, 2453515  2453633  2454309  2562858  2563029  2563880  2564236  2570623  2572948  2573094  2573336  2573627  2573779  2573944  2574132  2575250  2575476  2576135  2576264  2576521  2576655  2576775  2957843  2957955  2958072  2958200  2958313  2958425  2958546  2958666  2958785  2958924  2959098  2959615  2961145  2961305  2961435  2961694  2962172  2962420  2962887  2963452  2963560, 2477484  2477667  2506091  2511803  2511898  2512238  2512713  2513931  2521775  2525226  2525790  2527477  2530022  2531803  2531977  2587105  2590563  2594350  2596304  2602929  2702824  2717993  2939047  2950700  2954369  2968222, 2477650  2496539  2508844  2511882  2512220  2512555  2513583  2518554  2525210  2525328  2526784  2529271  2530482  2531919  2535137  2589855  2593921  2594384  2597885  2604369  2717003  2719102  2943270  2951062  2955668  2968370, 2453111  2562421  2562533  2570242  2572420  2580212  2582350  2957408, 2454288  2562448  2564206  2572297  2576758  2580239  2582370  2963780, 2427492, 2427492, 2427493, 2966140, 2966144, 2966150, 2966300  2966305, 2966315, 2966320, L, 2968232, , 2968376, 0, 0, 0, 0, 0, 2968414, 2968421, L5:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 2968238, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2968826  2968948  2969052  2969169  2969280  2969397  2969504  2969622  2969742  2969860  2969982  2970137  2970267  2970378  2970719  2971293  2971431  2971598  2971814  2972090  2972228  2973200  2973368  2973479  2973601  2973858  2974112  2974241  2975319  2975431  2975535  2976172  2976304  2976411  2976553  2976706  2992573  2992682  2992789  2992926  2993038  2993156  2993267  2993379  2993484  2993597  2993717  2993840  2993966  2994137  2994460  2994596  2994717  2995492  2995606  2995732  2998271  2999078  2999226  2999364  2999539  2999708  3000620  3000792  3000945  3001075  3001190  3001415  3001542  3001656  3002067  3002188  3002336  3002840  3003742  3003892  3003997  3005278  3005403  3005521  3005676  3005818  3006473  3006601  3006708  3007439  3007560  3007696  3007806  3007956  3008374  3008478  3008614, 2980571  2980795  2985608  2985833  2985984  2986141  2989291  2989396, 2968520  2975131  2992285, 2973906  2976759  3008624, 2980206  2981291  2982221  2985226  2988649  2988948, 2980852  2981512  2982432  2986722  2988795  2989382, 2973909, 2973913, 2973918, 2990351, 2990360, 2990370, 2990521  2990531, 2990546, 2990555, L, 2992304, , 3008627, 0, 0, 0, 0, 0, 3008651, 3008656, L6:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 2992314, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 180, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3009030  3009258  3013126  3013239  3013349  3013466  3013575  3014113  3014218  3014389  3014498  3015272  3015398  3017150  3017258, 3019808  3019931, 3008869  3012960  3016910, 3009220  3015317  3017271, 3019370  3025533, 3020021  3025594, 3009310, 3009312, 3009313, 3027376  3028064  3028232  3028987  3029347  3029940  3030608, 3027380, 3027386, 3027537  3027542, 3027553  3028188  3028541  3029099  3029525  3030095  3030882, 3027558, , , , , 1, 1, 0, 0, 0, 3042627, 3042636, L6:R1, 100.00, 000(1)1, 000(1)1, , 204, no_go, 3042615
