max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   318084   318598   318760   318948   319058   319244  5006736  5032884  5032997  5033209  5033388  5033493  5033617  5033733  5033850  5033964  5034077  5034194  5034310  5034427  5034542  5034654  5034909  5035019  5035129  5035279  5035385  5035579, 1  326595, 5006546  5032598, 5006874  5035643, 5009110, 5009112, 5009114, 5014117, 5014176, 5020786, 5020788, 5020792, 5020943  5020946, 5020966, 5020969, L, 5032605, 5032609, 5035650, 0, 0, 0, 0, 0, 5035693, 5035700, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5035803  5058812  5058933  5059047  5059164  5059275, , 5058344  5086230, 5059315, 5036748, 5036748, 5036749, 5047809, 5048157, 5074334  5084137, 5074336, 5074340, 5074490  5074493, 5074501  5084459, 5074504, L, 5086237, , , 1, 0, 0, 0, 1, 5086280, 5086285, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 5086272, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5086619  5086769  5240818  5241060  5241175  5247557  5247732  5248311  5248438  5248578, 5112172  5112298  5112424  5119903  5235061  5235173  5235305  5274663  5274858  5274984  5275105  5275350  5277725  5277833, 5240544  5247397  5247824  5247918  5248181  5295179, 5086806  5241113  5247791  5247872  5247982  5248526, 5086806, 5086808, 5086809, 5111739  5119468  5200726  5234725  5274483  5277392, 5112449  5120056  5201061  5235365  5275179  5277812, 5292566, 5292573, 5292582, 5292733  5292741, 5292755, 5292764, L, 5295197, , , 1, 0, 0, 0, 1, 5295283, 5295293, L3:R0, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 5295270, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5295447  5295586  5295693  5314883, 5306642  5306770, 5296927  5314490  5327227, 5295730  5297042  5315030, 5295797, 5295798, 5295799, 5306387, 5306705, 5320989, 5320992, 5320996, 5321146  5321149, 5321158, 5321161, L, 5327235, , , 1, 0, 0, 0, 1, 5327279, 5327285, L4:R0, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 5327271, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5327535  5327644  5327798  5328034  5335260  5335554  5335677  5335791  5336103  5336440  5337527  5337914, , 5335368, 5327997  5336388, 5327998, 5328000, 5328001, , , 5342307  5347489  5351599  5356707, 5342310, 5342314, 5342464  5342467, 5343277  5347513  5352801  5356787, 5343281, , , , , 1, 1, 0, 0, 0, 5358327, 5358333, L4:R0, 25.00, 000(1)1, 000(1)1, 204, no_go, 5358319, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5358994  5359160  5359838, 5379983  5380094  5380786  5380909  5381033  5381152  5381259  5381367  5381480  5381592  5381710  5381830  5381947  5382062  5382187  5382312  5382482  5382585  5382800  5383062  5383175  5383360, 5358572  5359453, 5359126  5359879, 5359127, 5359128, 5359129, 5379788, 5383435, 5367414  5372865  5375582, 5367416, 5367419, 5367570  5367572, 5367581  5373697  5376709, 5367584, R, 5379795, , 5383441, 0, 0, 0, 0, 0, 5383485, 5383493, L4:R1, 40.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 5379800
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5396127  5396255  5396733  5396846  5408129  5408242  5408371, 5383598  5383817  5384014  5384232  5384397  5384510  5384639  5384744  5384876  5384996  5385158  5385261  5385535  5386923  5387039  5392388  5392499  5392613  5399382  5399588  5399693  5399870  5400004  5402234  5403860  5429437  5429549, 5395875  5396630  5407928  5414393  5457238, 5396381  5396801  5408419  5414610, 5385598, 5385602, 5385604, 5383631  5386767  5392202  5399011  5402037  5427368  5429093, 5385596  5387156  5392775  5400038  5402195  5427630  5429596, 5446275  5449885  5451156  5451352  5451677  5451813  5452139  5454105  5454192, 5446283, 5446293, 5446444  5446453, 5447009  5449915  5451301  5451548  5451777  5452053  5452279  5454160  5454223, 5447018, L, 5457262, , , 1, 0, 0, 0, 1, 5457514, 5457516, L5:R1, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 5457511, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5457611  5457719  5458306  5458485  5462170  5514255  5514378  5514521  5514701  5514823  5514948  5515073  5515197  5515313  5515432  5515546  5515659  5515776  5515897  5516018  5516143  5516283  5516411  5516556  5516664  5516771  5516878  5517030  5517235  5517351  5517466  5517607  5517729  5517846  5517990  5518129  5518274  5518420  5518526, 5469441  5469616  5469911  5482601  5482719  5482821  5482954  5483063  5483473  5483580  5483999  5484203  5485033  5485268  5485380, 5458320  5461890  5513954, 5457849  5458560  5462168  5518642, 5457976, 5457977, 5457979, 5469247  5471203  5482461  5483307  5484741  5484833, 5469848  5471308  5483048  5483951  5484752  5485392, 5501697, 5501703, 5501710, 5501861  5501868, 5501881, 5501888, L, 5513968, 5513975, 5518653, 0, 0, 0, 0, 0, 5518726, 5518738, L6:R1, 42.86, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5518911  5519422  5519531  5519654  5520659  5520821  5520967  5521094  5521221  5522457  5522570  5522684  5525612  5525719  5525932  5526057  5526170, , 5519275  5520442  5522270  5525360, 5519599  5521146  5522814  5526135, 5519600, 5519601, 5519603, 5541900, , 5533334  5539598, 5533338, 5533343, 5533494  5533499, 5533932  5539661, 5533937, R, 5541911, , , 1, 0, 0, 0, 1, 5541971, 5541979, L6:R2, 37.50, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 5541961, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5555203  5555329  5563790  5563967  5564075  5564209  5586034  5586166  5586272  5586425  5586881  5605536  5605684  5605828  5606329  5607694  5607812  5607923  5608048  5608281  5612975  5613099  5613212  5613477, 5542093  5542333  5543020  5543140  5543241  5544382  5552486  5567614  5567740  5567960  5568065  5568226  5568338  5624799  5624916  5625020  5625171  5625273  5625416  5625532  5625638  5625764  5625877  5625991  5626105  5626221  5626345  5626467  5626580  5626700  5626823  5627066  5627200  5627312  5627497  5627787  5627928  5628039  5628179  5628295  5628431  5628635  5628755, 5554998  5563624  5585780  5586606  5605358  5606066  5607599  5612735, 5555574  5564213  5586485  5586675  5605962  5606160  5608360  5613201, 5543246, 5543247, 5543249, 5543288  5544129  5552124  5567336  5624601, 5543245  5543340  5544428  5552509  5568443  5628875, 5616072  5621349, 5616081, 5616092, 5616243  5616252, 5616821  5622049, 5616831, R, 5624623, , 5628876, 0, 0, 0, 0, 0, 5628889, 5628892, L6:R3, 44.44, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 5624634
