max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_well_all_on_ts, R_well_all_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  1051237  1051424  1051543  1051705  1051822  1052185  1053191  1053293  1053423  1057935  1058350  1180580  1180683  1181031  1181325  1181431  1181539  1181650  1182133  1182236  1182340  1182443  1182579  1182689  1182792  1182946  1183047  1183152  1183275  1183477  1183596  1183707  1183822  1183928  1184033  1184139  1184243  1184346  1184493  1184598  1184717  1184827  1184945  1185047  1185156  1185260  1185397  1185508  1185610  1185719  1185825  1185937  1186044  1186147  1186269  1186380  1186504  1186607  1186745  1186859  1186967  1187121  1187228  1187365  1187492  1187609  1187718  1188278  1188407  1188673  1188824  1188982  1189138  1189346  1189455, 1, 1053937, 1053939, 1053941, 1181335  1181490  1181813, 1181406  1181530  1189511, 1191780, 1191790, 1191802, 1191953  1191964, 1192332, 1192343, 204, no_go, 1, 1, 0, 0, 0, 1207428, 1207443, 1207456, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1227410  1264371  1264491  1264595  1264754  1264862  1264976  1265093  1265195  1265351  1265489  1265766, , 1208630, 1208630, 1208631, 1264207  1265610, 1265472  1265698, 1323323, 1323331, 1323339, 1323490  1323498, 1323512, 1323521, 204, no_go, 1, 1, 0, 0, 0, 1338586, 1338598, 1338608, L0:R0, 0.00, 000(1)1, 000(1)1, 1219224  1280199  1280257  1281110  1312765  1312883  1317366  1317875  1317898  1318096  1318665  1318754  1319482  1320783  1321154, 1224517  1280208  1280272  1281121  1312815  1317294  1317702  1317886  1317927  1318160  1318677  1318774  1319495  1320942  1321263, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1361627  1361811  1361966  1362077  1362228  1362399  1362764  1362872  1363133  1363236  1363375  1363481  1363636  1363792  1363939  1364041  1364234  1364414  1364529  1364697  1365137  1365414  1366237  1366379  1366519  1366667  1366792  1367181  1367341  1367451  1367603  1367705  1370329  1370489  1370656  1370759  1370948  1371075  1371480  1371611  1371724  1371827  1372456  1372624  1372758  1372892  1373181  1373307  1373924  1374035  1375660  1375788  1375927  1376062  1376198  1376342  1376559  1376662  1376775  1376902  1377128  1377391  1377514  1377619  1377774  1378235  1378369  1378507  1378646  1378790  1378917  1379074  1407643  1407753  1407859  1407969  1408094  1408569  1411738  1413829, , 1339147, 1339148, 1339149, 1361452  1370304  1375407  1406340, 1367622  1374126  1379064  1406545, 1408820, 1408832, 1408845, 1408996  1409008, 1409027, 1409040, , , 0, 0, 0, 0, 0, , 1433391, 1433393, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1390607  1391063  1396802  1422339, 1390667  1391841  1397600  1433381, R, 1422508, 1422509, 1433382, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1499299  1499405  1499506  1499609  1499730  1499846  1499953  1500066  1500172  1500380  1500483  1500588  1500704  1500837  1501049  1501158  1501275  1501391  1501508  1501627  1501753  1501872  1501990  1502120  1502251  1502393  1502501  1502630  1502757  1502896  1503001  1503156  1503260  1503392  1503532  1503675  1503815  1503966  1504100  1504235  1504342  1504544  1504788  1504961  1505067  1505246  1505485  1505627  1505804  1506071  1506247  1506390  1506519  1506692  1506870  1507182  1507514  1507685  1507860  1507981  1508121  1508227  1508448  1508685  1508790  1508911  1509217  1509407  1509566  1509705  1510048  1510167  1510278  1510411  1510534  1510714  1511067  1511808  1511955  1512059  1512184  1512303  1512662  1512796  1513184  1513337  1513458  1513597  1513704  1513826  1517451  1517575  1517678  1518040  1518196  1518715  1518869  1520078  1520189  1520304  1520417  1521130  1521275  1521400  1521551  1521657  1522322  1522436  1522854  1522989  1570654  1570756  1570876  1571041  1571358  1571484  1571659  1571771  1572569  1599369  1599471  1599582  1599715  1600033  1600146  1618063  1618186  1618316  1635039  1635292  1635404, , 1435318, 1435319, 1435320, 1499267  1509985  1512556  1517284  1517854  1569832  1570268  1570454  1599122  1599190  1617956  1618164  1635109  1635389  1635470  1635529  1650820, 1509754  1512538  1513816  1517813  1522974  1569853  1570416  1572631  1599143  1600118  1618082  1618250  1635354  1635425  1635496  1635548  1650869, 1652436  1655744, 1652450, 1652464, 1652615  1652785, 1655440  1655862, 1655441, , , 0, 0, 0, 0, 0, , 1667677, 1667680, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1433463  1435378  1435481  1435680  1441638  1441859  1441934  1471310  1494103  1494406  1494473  1578466  1614124  1614253  1657840, 1435317  1435409  1435508  1437430  1441815  1441917  1442485  1474228  1494355  1494443  1494544  1578482  1614182  1615083  1667660, R, 1657842, 1657844, 1667662, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1668315, 1668315, 1668316, , , 1683868  1684580  1684728, 1683869, 1683872, 1684023  1684025, 1684033  1684690  1684742, 1684035, 204, no_go, 1, 1, 0, 0, 0, 1699060, 1699067, 1699073, L0:R2, 100.00, 000(1)1, 000(1)1, 1669918  1671313, 1670519  1671461, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1733267  1733376  1733482  1733587  1733693  1733810  1733994  1734104  1734213  1734322  1734490  1734592  1734710  1734831  1734949  1735068  1735193  1735340  1735460  1735598  1735734  1735860  1735965  1736079  1736184  1736381  1736524  1736663  1736805  1736943  1737077  1737216  1737367  1737529  1737872  1738050  1738196  1739117  1739247  1739453  1739617  1739750  1739902  1740049  1741510  1741679  1741857  1742009  1742160  1742316  1742433  1742539  1742644  1742748  1742906  1743035  1743140  1743263  1743405  1743843  1743955  1744115  1744257  1744642  1744747  1745081  1745260  1745373  1745474  1745607  1745737  1745869  1745978  1746094  1746207  1746770  1746947, , 1699442, 1699443, 1699444, 1733082, 1746970, 1726720  1727001  1727806  1727899, 1726722, 1726725, 1726876  1726878, 1726887  1727789  1727830  1728762, 1726889, , , 0, 0, 0, 0, 0, , 1747158, 1747160, L1:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1701318  1721714  1721775, 1701826  1721748  1722779, L, 1733090, , 1746983, 1733094
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1748208  1753121  1753309  1753490  1753635  1753754  1754457  1754575  1754735  1754894  1755053  1755872  1755976  1756175  1756684  1756797  1756965  1757079  1757216  1757591  1757731  1757999  1758106  1758281  1758388  1759104  1759580  1776392  1776528  1777001  1777207  1777317  1853352  1853885  1853991  1854097  1854226  1854329  1854476  1854656  1866194  1866297  1866415  1866530  1866647  1866784  1866928  1867029  1867272  1868771  1868925  1869061  1869169  1869325  1869489  1870420  1870565  1870678  1891557  1891677  1891879  1892052  1892175  1892592  1892770  1892917  1893056  1893497  1893625  1893730  1958404  1958512  1958709  1958863  1958986  1959118  1959403  1959539  1959642  1960701  1960810, , 1747751, 1747752, 1747755, 1747277  1747364  1752773  1752832  1755721  1776252  1776522  1776954  1777024  1853164  1853231  1853617  1865847  1891251  1891458  1956520  1958268  2005014, 1747303  1747456  1752783  1754856  1759592  1776492  1776598  1776973  1777304  1853213  1853332  1854674  1870742  1891440  1893756  1956554  1960885  2005251, 2002971, 2002974, 2002979, 2003129  2003133, 2003142, 2003146, , , 0, 0, 0, 0, 0, , 2005287, 2005294, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1781217  1895768, 1785728  1896437, L, 2005022, , 2005256, 2005027
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2005372  2005495  2005677  2005780  2005949  2006064  2006196  2006300  2006416  2006551  2006688  2006873  2006985  2007105  2007214  2007333  2007446  2007572  2007697  2007823  2007964  2008090  2008263  2008370  2008497  2008631  2008758  2008909  2009136  2009272  2009409  2009562  2009714  2009823  2010213  2010324  2010792  2011361  2011542  2011665  2011822  2011976  2012220  2012356  2012497  2012646  2012977  2013084  2013480  2013639  2013794  2013942  2014088  2014533  2014675  2014820  2015076  2015206  2015781  2015924  2016092  2016300  2016432  2016548  2016695  2016869  2017032  2017138  2017257  2017690  2017809  2020703  2020823  2020928  2021038  2021197  2021315  2021475  2021655  2022531  2023194  2024421  2088850  2088953  2089060  2089176  2089331  2089435  2089569  2089691  2089833  2089944  2090067  2090220  2091620  2091728  2092582  2093101  2093303  2093618  2093737  2093867  2094009  2094112  2114818  2114954  2115180  2115307  2115420  2115532  2115641  2115749  2115875  2116262  2116425  2116835  2117088  2117260  2125456  2125635  2125871  2156962, , 2015339, 2015347, 2015355, 2005412  2005581  2015678  2020358  2023107  2088766  2114650  2115042  2118713  2119513  2121481  2123606  2124576  2125242  2126478  2126620  2156812, 2005567  2015332  2017975  2022979  2023411  2094208  2114917  2117220  2118738  2119528  2122781  2123629  2124734  2125854  2126526  2127468  2156994, 2162587, 2162599, 2162614, 2162765  2162779, 2162798, 2162967, , , 0, 0, 0, 0, 0, , 2182526, 2182530, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2027326  2071416  2071599  2074708  2074906  2083587  2083902  2100163  2102496  2103358  2103536  2107213  2107304  2139697  2140815  2141115  2175529, 2028850  2071467  2071718  2074821  2077059  2083696  2084466  2101292  2103334  2103428  2105880  2107293  2107335  2139755  2140832  2142156  2182515, R, 2175531, 2175533, 2182516, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2293565  2293673  2293780  2293998  2294122  2294253  2294585  2294772  2294879  2294991  2295121  2295293  2295575  2295701  2368825  2368962  2369069  2370027  2370808  2371019  2371164, , 2183833, 2183834, 2183835, 2293249  2368643  2368771  2369542  2370872, 2295711  2368676  2369106  2370859  2371196, 2375136  2375726  2378585, 2375143, 2375152, 2375303  2375311, 2375325  2378213  2378732, 2375333, , , 0, 0, 0, 0, 0, , 2391994, 2392004, L2:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2183032  2242792  2298329  2355978  2356096  2357630  2358230  2361553  2384074, 2183832  2242961  2299307  2356002  2357555  2357922  2359146  2361970  2391922, R, 2384093, 2384103, 2391931, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 175, 1, 0, 1, 0, 175, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2419228  2419335  2419480  2419641  2419786  2420977  2421109  2421255  2421410  2421522  2421627  2421764  2421888  2421993  2422258  2424402  2424518  2424626  2424738  2480129  2480254  2480376  2480504  2480634  2480798  2480903  2481049  2481158  2481263  2481462  2481598  2481725  2482151  2482378  2482541  2482647  2482757  2482868  2483122  2483230  2483335  2483573  2483721  2483859  2484006  2484121  2484888  2485045  2485190  2485300  2485967  2486073  2486305  2486477  2486618  2486734  2486849  2487014  2487147  2487294  2487436  2487688  2487837  2487950  2488245  2488685  2488840  2489015  2489147  2489446  2489555  2489686  2489830  2490637  2490773  2491761  2491884  2491999  2492100  2492201  2492304  2492444  2492645  2492805  2492968  2503711  2503817  2503942  2504050  2504169  2504272  2504410  2504560  2504877  2504987  2505099  2505210  2505326  2505447  2505572  2505710  2505840  2505973  2506107  2506251  2506370  2506471  2506574  2506723  2506940  2507097  2507261  2507427  2507581  2507734  2507835  2507938  2508113  2508220  2508440  2508601  2508768  2508916  2509065  2509213  2509388  2509498  2510464  2510625  2510775  2510914  2511050  2511226  2511360  2511472  2511815  2511942  2512083  2512301  2512410  2512539  2512705  2512868  2512993  2513119  2513808  2513943  2514064  2514235  2514417  2514558, , 2392576, 2392576, 2392577, 2419081  2424111  2479883  2480404  2480552  2493053  2503413, 2422038  2424757  2480387  2480478  2492996  2493099  2514706, 2498841, 2498842, 2498843, 2498994  2498995, 2499471, 2499472, , , 0, 0, 0, 0, 0, , 2514777, 2514788, L3:R4, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 2395098  2430020  2430399, 2396361  2430324  2431157, L, 2503416, , 2514716, 2503418
