max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1    44162    44291  4973915  5192452  5192574  5192730  5192835  5192940  5193052  5193158  5193267  5193375  5193490  5193603  5193732  5193847  5193989  5194120  5194240  5194363  5194473  5194602  5194728  5194871  5195015  5195141  5195258, 36779    37087  5213026  5237501, 36895    38455  5217173  5245853, 42759    42955    43664  5192151, 42850    43132    44345  5195215, 46745  5226062, 47378  5227234, 5190616, 5190619, 5190622, 5226068, 5226077, 5226228  5226235, 5227241, L, 5237517, 5237525, 5245861, 0, 0, 0, 0, 0, 5245914, 5245923, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5262010  5262153  5262322  5262434  5263034  5263163  5263328  5263439  5263795  5299962  5300071  5300277  5331286  5331417  5331521  5331629  5331736  5331841  5331998  5332104  5332301  5332470  5332646  5333785  5334138  5334245  5334389  5334540  5334656  5335345  5336090  5336201  5336341  5336477  5337067  5337745  5337951  5338105  5338236  5338370  5338637  5393248  5393366  5393503  5393698  5393873  5393991  5394096  5394199  5394338  5394544  5394660  5394769  5394892  5395017  5395267  5395429  5395558  5395692  5395827  5395995  5396118  5396221  5396331  5396474  5396808  5397191  5397399  5397508  5397678  5398650, 5251913  5253429  5253497  5254864  5322859  5323564  5326668  5367371  5368022, 5252474  5253468  5253667  5255522  5323383  5324958  5326752  5367972  5369453, 5261670  5299635  5331079  5332111  5332329  5347144  5393058, 5263773  5300381  5332077  5332248  5338683  5347348  5398716, 5386386, 5387278, 5247745, 5247746, 5247746, 5386396, 5386408, 5386559  5386570, 5387289, R, 5393082, , 5398718, 0, 0, 0, 0, 0, 5398735, 5398739, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 5393094, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5398784  5416369  5416476  5416590  5416737  5417108  5417238  5417378  5441437  5441556  5441672  5441839  5452405  5452523  5452674  5452814  5452922  5453028  5453150  5453253  5453363  5453472  5453584  5453697  5453818  5453938  5454069  5454195  5454321  5454461  5454598  5454728  5454850  5454991  5455136  5455270  5455476  5455588  5455702  5455909  5457336  5457484  5457639  5459336  5459502  5461163  5461297  5461762  5461916  5462025  5462127  5462232  5462386  5462710  5463162  5463331  5463440  5463580  5463734  5463838  5463973  5464086  5464755  5465000  5465142  5465299  5465480  5466555  5466725  5467103  5467218  5467401  5467506  5467627, 5408687  5410114  5410636, 5409208  5410329  5410751, 5416107  5416160  5417024  5441214  5452225, 5416141  5416853  5417418  5441817  5467693, 5445718, 5445896, 5399396, 5399397, 5399398, 5445722, 5445728, 5445879  5445884, 5445901, R, 5452236, , 5467706, 0, 0, 0, 0, 0, 5467892, 5467894, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 5452242, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5472589  5472693  5472797  5475117  5490243  5490570  5490678, 5477733  5484419  5486355  5486579  5492687  5495208  5496928  5496994, 5478099  5486314  5486518  5486595  5492849  5496890  5496981  5497195, 5468195  5472442  5474879  5475382  5489965  5511279, 5468270  5473065  5475226  5475410  5490762, 5508269, 5508845, 5468376, 5468377, 5468378, 5508275, 5508282, 5508433  5508440, 5508852, R, 5511293, , , 1, 0, 0, 0, 1, 5511366, 5511375, L1:R3, 75.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 5511355
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5511536  5511661  5513174, , , 5513014  5525955, 5511832  5513312, 5520303  5522508  5523854, 5520462  5522531  5524131, 5511920, 5511921, 5511922, 5520305, 5520308, 5520458  5520460, 5520465, R, 5525962, , , 1, 0, 0, 0, 1, 5526003, 5526009, L1:R4, 60.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 5525996
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5526151  5526284  5526403  5526556  5526697  5526807  5527619  5558827  5559017  5559148  5559493  5559818  5579644  5579776  5579887  5580004  5580198  5601032  5601174  5601367  5606838  5607120  5607240  5607454  5607611  5607735  5607898  5608019  5608124  5608294  5608451  5621045  5632914  5633043  5633198  5633310  5633463  5633859  5635462  5635578  5635835  5636045  5636184  5637842  5637994  5638249  5643507  5643887  5644008  5644115  5645075  5645188  5645304  5645449  5646034  5646137  5667777  5667956  5668061  5668222  5668794  5669000  5669103  5681265  5681388  5681530  5681634  5681776  5681879  5681984  5682087  5682191  5682296  5682406  5682526  5682647  5682776  5683122  5683226  5683722  5683993  5684139  5684544  5684695  5688143  5688265  5688430  5688699  5688891  5689163  5689294  5689398  5689513  5690064  5690167  5690322  5690487  5690609  5691790  5691914  5692019  5692143, 5530708  5531017  5535247  5536066  5574881  5588856  5591639  5593459  5594632  5595273  5625401  5625610  5626269  5629558  5629959  5651733, 5530977  5532270  5535506  5536559  5576371  5589100  5592876  5593814  5595179  5597241  5625579  5625660  5626389  5629919  5629995  5652225, 5558472  5579456  5600761  5601792  5606663  5607744  5620769  5632741  5643348  5643672  5667568  5668360  5668418  5668550  5681104, 5527625  5559882  5580204  5601747  5602023  5607690  5609099  5621035  5638267  5643537  5646492  5668314  5668381  5668440  5669185  5692260, 5675005  5676475, 5675558  5676758, 5527626, 5527628, 5527630, 5675011, 5675017, 5675168  5675173, 5675565, R, 5681118, , 5692271, 0, 0, 0, 0, 0, 5692344, 5692357, L1:R5, 66.67, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 5681125, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5692531  5696181  5696363  5717987  5718129  5718234  5718438  5719189  5735915  5736041  5736310  5744089  5744197  5744438  5744544  5744667  5744777  5744977  5746830  5746945  5747083  5747228  5747905  5748062  5748249  5748352  5749412  5749516  5749722  5749834  5750140  5751172  5753151  5753356  5767070  5767397  5769367  5775766  5791013  5807509  5807652  5822401  5822818, 5700637  5701209  5701484  5701805  5707981  5713252  5713568  5714658  5715216  5724172  5761941  5763418  5764244  5764557  5814152  5814909  5818065, 5701178  5701443  5701551  5702017  5708395  5713512  5714582  5714734  5715256  5724295  5762256  5763633  5764469  5764620  5814627  5816378  5818306, 5695969  5717725  5735734  5743691  5748104  5749188  5752890  5766810  5769160  5775554  5790810  5791099  5807126  5809994  5822155  5823052  5841427, 5696386  5719207  5736054  5748089  5748299  5751159  5753333  5767694  5769453  5775827  5791080  5791276  5807711  5810162  5823012  5823283, 5833470, 5833897, 5693078, 5693079, 5693080, 5833474, 5833479, 5833630  5833634, 5833902, R, 5841436, , , 1, 0, 0, 0, 1, 5841487, 5841494, L1:R6, 57.14, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 5841479
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5841835  5845132  5845259  5845436  5845677  5846139  5846242  5865958  5866078  5877156  5877259  5877393  5884669  5884822  5885056  5898976, 5858966  5859630, 5859034  5860056, 5844989  5865644  5866510  5877002  5884146  5884356  5898823  5926805, 5842295  5846205  5866369  5866546  5877922  5884310  5885021  5899140, 5921183, 5923884, 5847486, 5847488, 5847490, 5921189, 5921197, 5921347  5921353, 5923891, R, 5926818, , , 1, 0, 0, 0, 1, 5926891, 5926900, L1:R7, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 5926880
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5927015  5942548  5942684  5967022  5967177  5967617  5967725  5967963  5993357  5993464  6000443  6000744  6000848  6000952  6001482  6001588  6001703  6001809  6001944  6003291  6003447  6003590  6003893  6004103, 5932930  5933083  5934622  5934909  5936545  5938961  5964296  6016164  6059683  6067306  6067354  6077879  6078965, 5933049  5933386  5934855  5936328  5936749  5939274  5964906  6016375  6060010  6067321  6074876  6078876  6081492, 5942339  5966832  5967427  5993134  6000243  6000558  6042190  6102113  6108559  6108692  6118469, 5927377  5942653  5967302  5968023  5994003  6000527  6004092  6042316  6102472  6108663  6109058, 6114055, 6115110, 5927571, 5927572, 5927573, 6114066, 6114079, 6114229  6114241, 6115123, R, 6118494, , , 1, 0, 0, 0, 1, 6118746, 6118748, L1:R8, 44.44, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 6118743
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 6118851  6119083  6201740  6262071  6262209, 6127233  6127507  6127837  6129458  6130650  6135405  6135697  6138000  6138440  6161265  6161975  6162286  6238635  6239203  6239857, 6127426  6127775  6128173  6130544  6135395  6135683  6136127  6138129  6141644  6161552  6162240  6162609  6239171  6239596  6240575, 6145540  6201360  6213456  6213899  6214404  6226281  6261843, 6119571  6145907  6203100  6213795  6214370  6216615  6226458  6263188, 6271605  6287150, 6272450  6287344, 6119572, 6119573, 6119574, 6271614, 6271625, 6271775  6271784, 6272460, , , , , 1, 1, 0, 0, 0, 6287549, 6287560, L1:R8, 44.44, 000(1)1, 000(1)1, , 204, no_go, 6287535
