max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  151597  151698  151887  152723  270565  270668  270790  270908  271017  271123  271230  271344  271450  271553  271659  271787  271901  272017  272145  272258  272384  272580  272710  272845  272985  273099  273239  273363  273473  274069  274196  274315  275284  291310  291519  291628  291949  304161  304272  304401  304510  304646  304793  304927  305093  305327  307835  308012  308132  329278  329393  329541  329704  329851  330240  330388  330757  330885  331034  332088  332307  332443  332559  332724  333586  334278  334413  334560  334672  334996  335111  335250  336209  336369  336504  336608  337298  337429  337534  337676  338479  338614  338724  339373  339534  339652  340075  340215  340385  340488  341019  341268  341451  341623  393031  393207  393376  393495  393612  393802  393930  394841  394981  395085  395188  395299  395975  417894  418024  435822  435923  436129  436236  436337  436464  436577  436680  436783  436887  436992  437102  437327  437442  437560  438281  438421  438560  438684  441205  441829  441942  442066  442213  442711  442849  443047  443168  443289  443390  443512  443637  443780  444721  444858  444963  445632  445793  445908  446030  446192  446936  447498  447656  447803  447910  448438  449386  449503, 1, 270395  278306  291131  303928  306103  306277  307732  311102  329023  392936  394774  417587  417950  435629, 275382  278412  291918  305380  306235  306291  308151  311518  341609  393990  396025  417920  418040  449507, 276973, 276978, 276982, 280852  319386  320974  352256  352345  356714  364630  367826  368036  368370  368765  369862  371334  373175  373803  374678  408060  408113  409658  424235  424919, 287239  319776  322453  352322  356004  359190  366839  367998  368242  368726  369290  370758  372848  373417  373976  377442  408077  408481  409848  424612  426424, 430882  431346, 430893, 430904, 431055  431067, 431318  431961, 431329, L, 435652, 435664, 449512, 0, 0, 0, 0, 0, 449543, 449548, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450078  450249  450380  450911  451035  451165  451307  452109  452616  452720  452865  452994  453116  453269, , 449943, 453216, 453218, 453220, 453223, 466017, 487648, 461315, 461318, 461321, 461472  461475, 461484, 461487, R, 466024, , 487652, 0, 0, 0, 0, 0, 487680, 487685, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 466028, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 496034  496197  496346  497680  497782  497913  498080  498275  498446  499207  509916  510052  510189  510423  510529  510672  510790  510968  511385  511507, , 495759  497520  509663  509694  513505, 496436  499269  509678  511525  514362, 488229, 488229, 488230, 488479  502003  504195  506947  507203  526368, 490173  502839  505292  507187  507308  543223, 521935  523602  523826, 521942, 521949, 522100  522106, 522411  523668  524268, 522418, R, 526384, , 543232, 0, 0, 0, 0, 0, 543285, 543294, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 526392, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 552631  552774  552894  553391  553499  553607  553736  554168  560924  561090  561274  561419  561588  561694  561804  561908  563072  563210  563349  563936, , 552427  560697  562839  565285, 554262  561856  563468  565517, 546713, 546714, 546715, 543791  557064  570070  571388  572557  572879  584606, 546713  557725  571280  572052  572752  574389, 581246, 581253, 581260, 581411  581417, 581535, 581542, R, 584621, , , 1, 0, 0, 0, 1, 584694, 584704, L1:R3, 75.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 584683
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 591734  609692  609821  609925  610028  610132  610241  610345  610447  610550  610659  610761  610864  610980  611096  611209  611320  611461  611593  611698  611811  611954  612100  612242  612382  612568  612676  612837  612967  613231  613368  614585  614747  616778  616901  617061  617678  617810  617973  618077  618407  618566  618902  619406  619565  619701  620959  621071  621440  621546  621692  621864  621987, , 591534  609507, 591842  622061, 585556, 585558, 585559, 600341, 585556  601470, 604216  605245, 604218, 604220, 604371  604374, 604479  605381, 604481, L, 609513, 609517, 622070, 0, 0, 0, 0, 0, 622129, 622139, L2:R3, 80.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 622280  635017  635124  635232  635345  648059  648996  649169  649444  649948  653565  653736  653912  654078  660356  660460  660779  660993  662029  662235  662482  662787  662900  663056  663161  663822  663960  664084  664187  664725  664968  665331  665463  665615  665760  665888  667770  667886  668535  685137  685538  689090  710578  711071  711314  724887  725367  725682  729963  730160  730271  730439  730544  730654  730865  731899, , 634867  647864  648751  649246  649277  653263  653485  660100  661903  668637  684909  688833  710365  711120  711213  724205  729762, 635388  648089  649231  649267  650027  653469  653918  660874  668587  668687  685555  689411  711098  711164  711414  725417  731992, 622773, 622774, 622775, 628383  629464  630379  638147  638713  679704  680794  681281  706030  720178  741459, 629323  629597  630722  638701  643318  680615  680871  681688  707458  720566  762094, 737284, 737286, 737290, 737441  737444, 737863, 737866, R, 741466, , 762098, 0, 0, 0, 0, 0, 762124, 762129, L2:R4, 83.33, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 741470, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 767635  768680  768806  768928  769036  769253  769383  769689  769827  770040  770329  770464  770594  770838  770951  771461  771605  798011  798162  799800  799980  800512  810150  810264, , 767130  768524  770161  770338  797804  799349  799722  809803, 767675  770142  770308  771617  798210  799635  800050  810368, 762758, 762759, 762759, 778400  779501  802903  804413  821058  822472  823356  832680, 778685  779993  804148  805544  821870  822653  824717, 827288  827764, 827296, 827305, 827456  827464, 827494  829910, 827503, R, 832700, , , 1, 0, 0, 0, 1, 832795, 832806, L2:R5, 71.43, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 832782
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 836855  837003  838268  838385  838492  838651  838757  839215  840033  840136  840291  840446  840565  841361  845619  846264  846444  846830  846964, , 836619  836687  838089  845434  846311, 836667  837609  841394  846294  846454, 833740, 833741, 833742, 853914, 833740  864543, 849564  851318, 849568, 849574, 849725  849730, 850136  851499, 850141, R, 853926, , 864549, 0, 0, 0, 0, 0, 864591, 864599, L2:R6, 75.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 853933, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 868905  869116  869335  869437  869721  869828  870036  870486  870626  870787  870960  871270  881220  881336  881467  881570  883812, , 867534  868822  869739  870756  881075  883682, 867908  869044  870642  871227  882333  884372, 865215, 865215, 865216, 877442  900616, 878490  916935, 890214  892749  895525, 890219, 890225, 890375  890380, 890739  892843  895816, 890744, R, 900629, , 916942, 0, 0, 0, 0, 0, 916987, 916996, L2:R7, 77.78, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 900636, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 925785  926018  928285  928623  928768  928886  929014  929175  930170  930633  948550  948714  948819  948930  949172  949280  949617  949916  950068  953237, , 925502  928072  948320  949786  952972, 926556  930254  949726  950191  953331, 917554, 917554, 917555, 920550  932725  933460  934855  941336  942935  956469  965234, 920951  933435  934835  934883  942014  944526  957469, 961667, 961674, 961681, 961832  961840, 962711, 962718, R, 965250, , , 1, 0, 0, 0, 1, 965329, 965339, L2:R8, 70.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 965318
