max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, L_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  4341087  4468634  4468779  4468885  4468995  4469107  4469217  4469323  4469436  4469541  4469672  4469797  4470067  4470189  4470361  4470753  4470885  4471036  4471155  4471614  4471738  4500909  4501037  4501157  4501334  4501813  4535949  4536092  4537379  4537618  4537757  4537910  4538425  4608323  4608445  4608624  4608779  4608900  4609567  4644879  4645017  4645128  4645453  4646022  4647187  4648081  4648205  4648313  4648452  4649207  4649316  4649422  4649581  4650124  4650241  4650358  4650617  4651716, 1   143156   143728   144082   144268  4342362  4342641  4342751  4481393  4481525  4481632  4481737  4481930  4482044  4482158  4482277  4482402  4482530  4482660  4482792  4482937  4483077  4483217  4483357  4483505  4483664  4483809  4484047  4484176  4484285  4484480  4484604  4484728  4485071  4485175  4485369  4485528  4485634  4485747  4485984  4486102  4486209  4486360  4486583  4486702  4486906  4487022  4487138  4487293  4487541  4487698  4487863  4488024  4488185  4488345  4488463  4488583  4488799  4489011  4489137  4489261  4489590  4489706  4513516  4513670  4513792  4514648  4514750  4514964  4515075  4515244  4515346  4515511  4533734  4533991  4544111  4544241  4544405  4544518  4544662  4544777  4546933  4547041  4547154  4547259  4547441  4547560  4547680  4547815  4547954  4548096  4548238  4548402  4549001  4549304  4549481  4549686  4549817  4549944  4550611  4550721  4550852  4551086  4551582  4551841  4551945  4552078  4552181  4552342  4552513  4552689  4552818  4553625  4553752  4553967  4554100  4554231  4554366  4554591  4554737  4554897  4555026  4555154  4555259  4555489  4555696  4556358  4556484  4556637  4556793  4556923  4557681  4557800  4558041  4558175  4558312  4558537  4558846  4558971  4559086  4559235  4559340  4559443  4559560  4559713  4559873  4560156  4560263  4561168  4561289  4561426  4561558  4561666  4561809  4562038  4562146  4562284  4562454  4562614  4562835  4563531  4564051  4564161  4564361  4564517  4564680  4564808  4565693  4565812  4566019  4566177  4566348  4566977  4567087  4567236  4567341  4567486  4576059  4576954  4577079  4577185  4577287  4577405  4577734  4577950  4578054  4578249  4578382  4579440  4580021  4580910  4581099  4581222  4581339  4581457  4582269  4582391  4583209  4583499  4583836  4583945  4584078  4584216  4584349  4614403  4614521  4614627  4614784  4614900  4615245  4615356  4615495  4615844  4624304  4624572  4625074  4625868  4626290  4630023  4630133  4630238  4630344  4630453  4631800  4632075  4632237  4633255  4633371  4633505  4635882  4636003  4655668  4655781  4655953  4656152  4656326  4656440  4656552  4657186  4665176  4665284  4665444  4665621  4665740  4665856  4665971  4666083  4666203  4666326  4666446  4666564  4666700  4666830  4666960  4667090  4667305  4667418  4667522  4667666  4667792  4668022  4668163  4668264  4668375  4668513  4668653  4668818  4668987  4669126  4669275  4669432  4669589  4669778  4669902  4670043  4670189  4670294  4670426  4670536  4670662  4670969  4671128  4671291  4671698  4671810  4671922  4672112  4672247  4672364  4672521  4672695  4672944  4673069  4673183  4673454  4673651  4673804  4674016  4674123  4674479  4674581  4674774  4674881  4675032  4675208  4675313  4675420  4675559  4675721  4675885  4676060  4676170  4676280  4676431  4677103  4677277  4677492  4677637  4677777  4677982  4678094  4678223  4678984  4679113  4679280  4679407  4679512  4679665  4679823  4679977  4680082  4680923  4681025  4681248  4681385  4681488  4681632  4681777  4681978  4682106  4682243  4682921  4683501  4683641  4683758  4683881  4684099  4684264  4684411  4684523  4684666  4684800  4685725  4685963  4686094  4686253  4686402  4686630  4686733  4686840  4687457  4687600  4687728  4687847  4687962  4688190  4688348  4688578  4689199  4689337  4689502  4689611  4689727  4689870  4690025  4690185  4690350  4690541  4690698  4690840  4690950  4691054  4691190  4692635  4692772  4692961  4693103  4693255  4693406  4693681  4693917  4694023  4694163  4694441  4694544  4694974  4695564  4695674  4696365  4696733  4696981  4697101, 140736   142412  4480397  4480874  4481209  4481233  4481668  4490862  4513248  4514438  4533432  4543766  4575766  4576776  4580338  4580673  4580757  4614150  4623741  4629926  4630554  4631546  4655258  4664985, 140916   145033  4480515  4481152  4481221  4481652  4490387  4491038  4513945  4515681  4533980  4567610  4576142  4580013  4580487  4580687  4584311  4615970  4626010  4630480  4630588  4636087  4657203  4698880, 146940  4661925  4662740, 147641  4662114  4663133, 4468345  4500355  4500466  4535739  4537005  4540854  4541451  4601905  4607933  4644536, 4471868  4500386  4501974  4536172  4538397  4541122  4541515  4602124  4609753  4651736, 4472059, 4472065, 4472071, 4661933, 4661941, 4662092  4662099, 4662122, R, 4665001, 4665011, 4698881, 0, 0, 0, 0, 0, 4698894, 4698896, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4712451  4712598  4712954  4713137  4713993  4716226  4716470  4716642  4717461  4717583, 4700674  4700787  4701204  4701316  4705437, 4700493  4705154  4723671, 4701504  4705467, 4720624  4721275, 4721221  4721625, 4712101  4715285  4715809, 4713998  4715308  4717618, 4701505, 4701507, 4701508, 4720628, 4720634, 4720784  4720789, 4721226, R, 4723682, , , 1, 0, 0, 0, 1, 4723743, 4723750, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 4723733, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4746943  4747162  4747581  4747696  4748361  4748758  4749933  4778278  4778425  4778599  4779062  4779557  4779713  4780012  4784046  4784265  4784372  4785991  4787714  4787823  4787969  4788161  4788909  4789014  4789170  4789349  4791195  4801690  4802007  4802151  4802851  4803187  4803312  4804230  4804447  4804593  4804819  4804955  4808004  4808597, 4723874  4724299  4725055  4725213  4725374  4726456  4726562  4726792  4727274  4727419  4727523  4727685  4728019  4766192  4766296  4766460  4766681  4766803  4773837  4774073  4774214  4774334  4796416  4796595  4796720  4796882  4797402  4798142, 4765893  4773661  4774466  4774912  4796133  4820404, 4728109  4766771  4774386  4774693  4775031  4797441, 4817917, 4818553, 4732282  4742079  4745866  4777952  4783277  4783834  4800515  4807570  4808413, 4732350  4742453  4750018  4779961  4783705  4791247  4804992  4808119  4808820, 4728111, 4728113, 4728116, 4818086, 4818088, 4818239  4818240, 4818554, R, 4820407, , , 1, 0, 0, 0, 1, 4820430, 4820433, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 4820424, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 4820766  4820907, 4821449  4830361, 4821409  4821459, 4826386  4827614, 4826769  4827846, , , 4821489, 4821490, 4821492, 4826387, 4826390, 4826541  4826543, 4826771, R, 4830367, , , 1, 0, 0, 0, 1, 4830404, 4830409, L0:R4, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 4830397, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4841606  4845563  4845692  4846819  4846945  4847110  4847295  4847889, 4830737  4830901  4831831  4831993  4832171  4832813  4857350  4857496  4857653  4876002  4876682  4876830  4896338  4896441  4896543  4897136  4897283  4897536  4897698  4898641  4898850  4899012  4899121  4899340  4899503  4899641  4899773  4900152  4900556  4900660  4900800  4900986  4901182  4901696  4910751  4910905  4911034, 4831385  4832519  4857146  4875438  4876633  4876813  4895883  4897869  4898030  4898344  4899904  4910505  4934084, 4831329  4832357  4832581  4857718  4876607  4876645  4876846  4897807  4898009  4898077  4899795  4901663  4911130, 4930156  4932005, 4930707  4932243, 4834603  4841326  4842681  4845182  4920576, 4836376  4841807  4843125  4847825  4920593, 4831329, 4831331, 4831332, 4930168, 4930181, 4930332  4930344, 4930719, R, 4934111, , , 1, 0, 0, 0, 1, 4934305, 4934306, L0:R5, 20.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 4934301, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4943070  4943345  4943454  4993447  4993670  4994287  4994444  4995369  4995517, 4934493  4934599  4934755  4935905  4936122  4936273  4959601  4960066  4960202  4960363  4960480  4986053  4986202  4986578  4986700  4987268  4989707  4989809, 4934994  4959282  4959903  4985805  4986853  4986954  5011440, 4934781  4936462  4959739  4960454  4986792  4986874  4989929, 5007705, 5009146, 4942448  4993123  4993207, 4943486  4993179  4995510, 4934886, 4934887, 4934888, 5007712, 5007720, 5007872  5007879, 5009155, R, 5011457, , , 1, 0, 0, 0, 1, 5011540, 5011551, L0:R6, 16.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 5011528, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5021263, 5011927  5012744  5013201  5013336  5013463  5013608  5013871, , 5013898, 5024410, 5025779, 5018306  5019190  5019943  5021097, 5018456  5019571  5020230  5021598, 5013899, 5013901, 5013903, 5024413, 5024418, 5024568  5024572, 5025783, , , , , 1, 1, 0, 0, 0, 5040824, 5040830, L0:R6, 16.67, 000(1)1, 000(1)1, 204, no_go, 5040817, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5070209  5070321  5071367  5071488  5071665  5071793  5072564, 5042012  5042134  5042332, 5041691  5083154, 5042866, 5080057, 5080717, 5065785  5069833  5071139, 5067042  5070393  5072909, 5041321, 5041323, 5041324, 5080060, 5080066, 5080217  5080221, 5080721, R, 5083162, , , 1, 0, 0, 0, 1, 5083212, 5083218, L0:R7, 14.29, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 5083204, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5093956, 5083491  5083621  5083767  5083969  5087343, 5084700  5087105, 5084655  5084762  5087332, 5096500  5098078  5102237, 5096672  5099168  5102373, 5090226  5093565, 5090704  5094372, 5084656, 5084657, 5084659, 5096503, 5096507, 5096658  5096662, 5096676, , , , , 1, 1, 0, 0, 0, 5111721, 5111728, L0:R7, 14.29, 000(1)1, 000(1)1, 204, no_go, 5111713, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 110, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 5115879  5116019  5116269  5121794  5121979  5122326  5122518  5122663  5122880  5124259  5124365  5124469  5124951  5125058  5125509  5126461  5135069  5135734, 5115461  5121513  5134570  5135210  5135654  5148100, 5118081  5126649  5135063  5135261  5135677, 5143863  5145009, 5144518  5145202, , , 5112172, 5112173, 5112174, 5143867, 5143873, 5144024  5144029, 5144523, R, 5148112, , , 1, 0, 0, 0, 1, 5148177, 5148184, L0:R8, 12.50, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 5148167, 
