max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, L_well_all_on_ts, well_id, well_on_ts, L_reward_ts, L_well_all_off_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   854059   854165   854278   855034   855190   855315   855448   856065   856207  1083456  1083565  1083687  1083799  1083971  1084111  1084227  1084350  1084470  1084592  1084715  1084822  1084967, 1   855286   855567   855669   855806  1029466, 844239, 844239, 844240, 1026443  1026584  1027899, 1026518  1027315  1030084, 1073303, 1073306, 1073311, 1073462  1073466, 1074223, 1074227, 1083301, L, 1083311, 1083316, 1085034, 1085040, 0, 0, 0, 0, 0, 1085083, 1085091, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1085194  1085438  1085607  1085742  1085847  1085977  1086163  1086286  1086426  1086551  1086679  1086801  1086951  1087092  1087245  1087392  1087539  1087694  1087845  1087988  1088133  1088244  1088371  1088555  1088681  1088808  1088917  1089029  1089139  1089389  1089543  1089715  1112069  1112189  1112561  1113019  1113128  1113241  1113384  1113493  1113624  1113730  1113838  1114045  1122030  1122160  1124249  1183477  1183621  1183728  1183835  1183945  1184093  1184214  1184330  1184437  1184656  1184821  1184987  1185103  1185356  1185499  1185657  1185764  1185870  1186032  1186327  1186443  1186586  1186779  1189027  1193351  1193457  1193566  1193706  1194582  1194750  1195118  1196550  1196660  1196796  1196913  1197042  1197150  1197264  1197380  1197546  1197664  1197772  1197905  1198020  1198153  1198282  1198437  1198583  1198713  1198852  1198983  1199116  1199249  1199380  1199515  1199666  1199774  1199892  1200048  1200193  1200345  1200527  1200634  1200835  1200953  1201064  1212699  1212827  1212962  1213076  1213256  1213364  1213523, 1109395  1109521  1151429  1151538  1151650  1151801  1151963  1152084  1152196  1152304  1152423  1152533  1152651  1152754  1152894  1153016  1153138  1153244  1153350  1153472  1153603  1153776  1153977  1154085  1154191  1154304  1154442  1154585  1154696  1154945  1155058  1155378  1155490  1155601  1155706  1155854  1156090  1156201  1156423  1156556  1156812  1156952  1157072  1157181  1157318  1194318  1194456  1194589  1194713  1196049  1197682  1220988  1221091  1221193  1221303  1221421  1221565  1221683  1221819  1221925  1222034  1222140  1222251  1222364  1222466  1222591  1222724  1222852  1222980  1223107  1223243  1223382  1223525  1223659  1223801  1223969  1224120  1224349  1224461  1224576  1224697  1224897  1225118, 1089700, 1089705, 1089710, 1108682  1109364  1109790  1109863  1136912  1138003  1151123  1168100  1220939, 1108838  1109489  1109835  1109941  1137037  1138029  1157441  1168149  1225171, 1215194, 1215362, 1215364, 1215515  1215516, 1216079, 1216080, 1085200  1089721  1111859  1112772  1121922  1183158  1183526  1188902  1196402  1212556, R, 1220942, , 1089696  1089893  1112540  1113974  1122140  1183502  1186719  1189067  1201113  1213707, 1225177, 0, 0, 0, 0, 0, 1225214, 1225222, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1220944, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1242983  1277361  1277477  1277623  1277748  1277855  1277965, 1226240  1231936  1232056  1232203  1232307  1232455  1232559  1232662  1232825  1232949  1233192  1233308  1233436  1233546  1267031, 1225957, 1225958, 1225959, 1225735  1231680  1266954, 1225791  1233509  1267394, 1306571, 1306576, 1306583, 1306734  1306739, 1306872, 1306878, 1242796  1277184  1307530, L, 1307542, 1307549, 1242993  1277890  1307711, 1307717, 0, 0, 0, 0, 0, 1307760, 1307768, L2:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1307924  1308105  1308271  1308468  1308577  1308684  1308791  1308929  1309104  1309251  1309374  1309505  1309626  1309757  1309887  1310014  1310144  1310276  1310420  1310543  1310673  1310794  1310917  1311038  1311173  1311324  1311449  1311656  1311772  1318431  1318566  1318680  1318806  1318960  1319323  1319454  1321513  1323540  1323722  1323937  1324096  1324236  1324352  1324508  1324616  1324733  1324841  1324955  1325093, 1327203  1327347  1327480  1327598  1327865  1328001  1333265, 1311833, 1311837, 1311842, 1326989  1333099, 1328034  1333400, 1336010, 1336022, 1336034, 1336185  1336197, 1336215, 1336226, 1308025  1313385  1313524  1318257  1319194  1319375  1319535  1321202  1323350  1345549, L, 1345573, 1345586, 1311828  1313396  1313542  1318966  1319211  1319388  1319915  1321457  1325036  1345754, 1345766, 0, 0, 0, 0, 0, 1345845, 1346015, L3:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1346053  1347014  1349897  1350184  1352098  1354640  1354785  1354904  1355014  1355120  1355227  1355339  1355465  1355583  1355704  1355830  1355941  1356065  1356188  1356344  1356453  1356581  1356702  1356817  1356957  1357064  1357173  1357305  1357437  1357578  1357724  1357857  1358005  1358166  1358280  1358419  1358526  1358678  1358834  1358941  1359048  1359172  1359294  1359438  1359546  1359693  1376109  1376245  1376369  1376479  1376618  1409251  1529638  1529859  1529965  1530086  1530200  1530308  1668225  1668397  1682954, 1362971  1363081  1399364  1399506  1399693  1399808  1399916  1539053  1693765  1693868  1693972  1694084  1694217  1694347  1694530  1694636  1694764  1694878  1695502  1695630  1695754  1695894  1696023  1696150  1696287  1696429  1696562  1696680  1696782  1696974  1697087  1697189  1697300  1697414  1697533  1697640  1697883  1698087  1698255  1698412  1698516  1698818  1698970  1699128  1699276  1699480  1699606  1699790  1699892  1700002, 1346541, 1346542, 1346543, 1362745  1399218  1405590  1408491  1410531  1693584, 1363046  1399873  1406033  1408547  1410621  1700052, 1685621, 1685622, 1685625, 1685776  1685778, 1686834, 1686836, 1354482  1375876  1529325  1660937  1667403  1667534  1667810  1668281  1669156  1669518  1683310  1683470, R, 1693589, , 1359670  1376610  1530319  1660959  1667517  1667718  1667828  1669041  1669480  1669563  1683440  1683503, 1700060, 0, 0, 0, 0, 0, 1700110, 1700119, L3:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1693591, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1703063  1703201  1703397  1703557  1703869  1704018  1704122  1704228  1704351  1704486  1704610  1724243  1724351  1724457  1724587, 1700688, 1700689, 1700691, 1700246  1700330  1702740  1703530  1703824  1704072  1724083  1724806  1725350, 1700281  1700338  1703349  1703800  1704042  1704571  1724608  1724834  1725381, 1725726  1730086  1732577  1737210  1738143  1738283  1738326  1738496, 1725731, 1725739, 1725890  1725896, 1726003  1730100  1732594  1737847  1738268  1738297  1738414  1738840, 1726009, , , , , , , 1, 1, 0, 0, 0, 1741089, 1741101, L3:R2, 100.00, 000(1)1, 000(1)1, , 204, no_go, 1741077
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1744669  1744816  1744932  1745047  1745159  1745286  1745396  1745597  1745712  1745831  1745956  1746089  1746212  1746344  1746471  1746598  1746731  1746857  1746997  1747140  1747283  1747426  1747563  1747732, , 1741581, 1741582, 1741583, , , 1742038, 1742039, 1742041, 1742192  1742193, 1742201, 1742203, 1744584, L, 1744588, 1744590, 1747840, 1747845, 0, 0, 0, 0, 0, 1747879, 1747886, L4:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1747993  1748643  1749011  1749127  1749240  1749419  1749532  1749648  1749754  1749865  1749972  1750267  1750393  1750508  1750728  1750890  1751015  1751124  1751231  1751446  1751617  1751736  1753206  1753325  1753518  1758936  1759041  1759158  1759297  1759419, 1762370  1762480  1762802  1762948  1763058  1763174  1763507  1763628  1763769  1763898  1764025  1764153  1764292  1764429  1764567  1764700  1764877  1764997  1765186  1765322  1765476  1765598  1765754  1765925  1766121  1766228  1766343  1766487  1766590  1766742, 1748411, 1748413, 1748415, 1762176, 1766729, 1760984  1761240, 1760991, 1760999, 1761150  1761159, 1761179  1761377, 1761187, 1747987  1748124  1748189  1748604  1748746  1748790  1751687  1752960  1758842, R, 1762193, , 1748087  1748182  1748219  1748621  1748775  1751661  1751764  1753525  1759432, 1766755, 0, 0, 0, 0, 0, 1766990, 1766991, L4:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1762202, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774334  1774448  1774556  1774680  1776836  1777974  1778122  1778236  1778375  1778484  1778598  1778895  1779020  1779147  1779253  1779367  1779480  1779590  1779698  1780001  1780129  1780675  1780790  1780899  1781557  1781698  1781826  1781948  1782064  1782880  1783002  1783109  1783220  1783357  1783754  1796753  1799743, 1787384  1787564, 1767498, 1767498, 1767499, 1787071, 1787879, 1797583, 1797592, 1797601, 1797752  1797762, 1797776, 1797785, 1774169  1774822  1776589  1778007  1778659  1781472  1796445  1796606  1799540, L, 1799559, 1799569, 1774739  1774840  1776604  1778567  1780811  1783714  1796577  1796832  1799734, 1799753, 0, 0, 0, 0, 0, 1799816, 1799827, L5:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1799977  1800449  1800558  1825220  1825372  1825478  1825590  1825696  1825802  1825941  1826064  1826177  1826291  1826408  1826521  1826649  1826786  1826911  1827035  1827166  1827293  1827423  1827554  1827689  1827824  1827963  1828098  1828208  1828321  1828468  1828623  1828760  1828876  1829347  1829470  1829582  1830648  1830755  1830863  1831214  1831323  1832017  1833103  1833256  1833368  1833478  1833587  1833959  1834104  1834222  1834360  1834531  1834639  1834889  1837620  1837941  1838053  1838163  1838280  1838391  1838496  1838609  1838718, 1821782  1821915  1840764  1840872  1842454  1842804  1843471  1845341  1845485, 1800452, 1800453, 1800455, 1821469  1840342  1848051, 1821921  1840964  1848212, 1843773, 1843786, 1843801, 1843951  1843964, 1844139, 1844140, 1800385  1824990  1830358  1831869  1831946  1832961  1833416  1837424  1837609  1837796, R, 1848053, , 1800394  1829649  1831489  1831924  1831969  1833383  1834856  1837580  1837638  1838676, 1848213, 0, 0, 0, 0, 0, 1848226, 1848229, L5:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1848055, , , 
