max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_well_all_on_ts, L_well_all_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  794062  794302, 1  795264  795466, 770119, 770120, 770120, 988698  988811  989265, 988762  989077  990976, 997317  997569  997708  997846  997927, 997319, 997323, 997473  997476, 997517  997641  997771  997909  998806, 997520, 204, no_go, 1, 1, 0, 0, 0, 1012557, 1012566, 1012572, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1013452, 1013453, 1013454, , , 1062585, 1062586, 1062588, 1062739  1062740, 1062749, 1062751, 204, no_go, 1, 1, 0, 0, 0, 1077768, 1077773, 1077777, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1078951  1079182  1079300  1079412  1079535  1079655  1079766  1079919  1080048  1080159  1080314  1080465  1080624  1080992  1081206  1081374  1081518  1082960  1083096  1083292  1083505  1083635  1083823  1110948  1111131  1111269  1111383  1111495  1111607  1112041  1119718  1119860  1195782  1196276, , 1078089, 1078090, 1078090, 1097106, 1097125, 1246583  1249954, 1246590, 1246599, 1246750  1246757, 1249837  1250069, 1249845, 204, no_go, 1, 1, 0, 0, 0, 1264908, 1264920, 1264930, L0:R0, 0.00, 000(1)1, 000(1)1, 1078872  1082598  1082730  1083010  1110810  1147998, 1081578  1082702  1082934  1083846  1111889  1148098, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1308400  1308546  1308662  1308822  1308983  1309097  1309209  1309321  1309447  1309560  1309674  1309839  1309952  1310064  1310183  1310325  1319378  1319525  1319657  1319776  1319915  1320076  1320195  1320315  1320460  1320588  1320726, , 1265353, 1265354, 1265355, , , 1314023, 1314026, 1314031, 1314181  1314185, 1314195, 1314199, , , 0, 0, 0, 0, 0, , 1320886, 1320894, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1307869  1308207  1319162, 1308045  1310411  1320840, L, 1319172, 1319177, 1320846, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1321504  1321748  1321865  1321978  1322098  1322222  1322342  1322529  1322646  1322762  1323006  1323132  1323272  1323478  1323600  1323712  1323857  1323984  1324115  1324247  1324507  1324632  1324742  1324858  1324996  1325114  1325228  1325363  1325504  1325641  1325783  1325922  1326034  1326188  1326319  1326444  1326594  1326736  1326853  1327000  1327138  1327277  1327422  1327558  1327698  1327847  1327985  1328128  1328270  1328408  1328670  1328800  1328940  1329100  1329275  1329403  1329558  1329715  1329864  1330055  1330360  1330494  1330646  1330786  1330936  1332007  1332126  1332421  1332544  1332742  1333237  1333354  1333494  1334394  1335705  1335844  1335973  1336094  1336268  1336441  1336613  1336765  1336921  1337274  1337455  1337570  1337709  1337831  1337956  1338107  1338225  1338383  1338521  1338676  1338796  1338958  1339083  1339196  1339333  1339454  1339598  1339722  1339855  1340374  1340721  1340838  1340954  1341070  1341227  1341369  1341492  1341633  1341757  1342267  1343348  1343492  1343609  1343730  1343843  1343960  1344083  1344195  1344344  1346122  1346292  1346657  1346778  1346914  1347073  1347210  1347326  1410915  1411036  1411178  1411303  1411416  1411550  1411666  1411798  1411926  1412064  1412200  1412332  1412458  1412585  1412712  1412844  1412985  1413284  1413406  1413551  1413686  1413828  1415194  1415373  1415488  1415601  1415725  1415848  1415981  1416093  1416217  1416331  1416562  1416743  1417783  1417900  1418024  1418184  1418311  1418427  1418580  1418739  1418897  1419071  1419829  1419954  1420099  1420225  1420345  1420457  1420610  1420767  1420920  1421069  1421227  1421415  1421526  1421670  1421863  1422061  1422211  1422334  1422466, 1362044  1362178  1362308  1362453  1362613  1362753  1362893  1363030  1363172  1363319  1363457  1363589  1363724  1363859  1363995  1364134  1364271  1364406  1364544  1364685  1364838  1364984  1365133  1365298  1365432  1365580  1365732  1365871  1366159  1366313  1366459  1366612  1366762  1366981  1367124  1367825  1369984  1370100  1370993  1371400  1372944  1373113  1373258  1373413  1373572  1373883  1374044  1374323  1377270  1377406  1377553  1377701  1377852  1378007  1378170  1378340  1378500  1378616  1378795  1381786  1381968  1382208  1382349  1382534  1392651  1392941, 1324276, 1324279, 1324282, 1361309  1378783  1381515  1392284, 1378764  1378929  1382520  1393256, 1408118, 1408119, 1408121, 1408272  1408273, 1408281, 1408283, , , 0, 0, 0, 0, 0, , 1422792, 1422803, L2:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1321077  1324292  1340512  1343191  1344399  1346237  1354148  1410340, 1324273  1340492  1342233  1344338  1344442  1347277  1354178  1422721, L, 1410344, 1410348, 1422731, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1422954  1425771  1426725  1426839  1427005  1427166  1458532  1458727  1458882  1459113  1459233  1459369  1459483  1459813  1461068  1461189  1461362  1461475  1463194, , 1423534, 1423535, 1423536, 1518488, 1518708, 1505812, 1505816, 1505820, 1505971  1505975, 1505985, 1505989, , , 0, 0, 0, 0, 0, , 1518749, 1518755, L2:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1426477  1458499, 1427101  1463172, R, 1518497, , 1518714, 1518502
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1547094  1547208  1547321  1547482  1553230  1553344  1553456  1553571  1553687  1553879  1554001  1554125  1554271  1554435  1554575  1554693  1554898  1555046  1555197  1555427  1556007  1556128, 1518845  1520435  1520563  1520686  1520821  1520949  1521075  1521206  1521336  1521471  1521605  1521735  1521865  1521996  1522128  1522262  1522399  1522524  1522654  1522794  1522959  1523105  1523246  1523398  1523530  1526801  1526928  1527066  1527188  1527360  1527522  1527665  1527870  1528055  1528225  1528376  1528535  1528687  1528900  1529464  1529995  1530269  1532166  1532376  1532512  1532661  1532810  1532952  1533102  1533634  1534129  1534252  1534394  1535381  1535516  1535676  1535822  1535968  1536117  1536273  1536537  1536747  1536945  1537141  1537312  1537486  1543227  1543422  1543839  1544059  1578839  1579081  1579540  1579674  1579790  1579925  1580054  1580179  1580306  1580433  1580565  1580693  1580818  1580950  1581091  1581229  1581502  1585968  1586139  1586286  1586593  1586751  1587361  1587480  1587719  1587871  1588040  1588196  1588357  1588523  1588683  1589027  1589175  1589576  1589694  1589863  1590041, 1519257, 1519258, 1519259, 1519744  1542422  1578398, 1538354  1544331  1590160, 1576407, 1576408, 1576410, 1576560  1576561, 1576569, 1576570, , , 0, 0, 0, 0, 0, , 1590209, 1590217, L2:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1547011  1552942  1553187  1557956  1558089, 1548647  1552986  1556108  1557975  1558264, R, 1578402, , 1590166, 1578404
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1604577  1612069  1612205  1612341  1612461  1612592  1612711  1612833  1612947  1613103  1613230  1613418  1630230  1630401, 1593230  1593423  1620436  1620861  1621098  1621241  1621390  1622277  1622397  1622536  1629203  1669880, 1590837, 1590838, 1590838, 1592702  1594350  1594700  1620032  1623037  1629124  1669246  1683184, 1593521  1594431  1594752  1622717  1623811  1629194  1670335  1683425, 1671816, 1671823, 1671832, 1671983  1671991, 1672005, 1672013, , , 0, 0, 0, 0, 0, , 1683491, 1683502, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1611655  1611832  1630110  1637437, 1611729  1613252  1630428  1637864, R, 1683202, , 1683434, 1683211
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1700013  1700232  1700368, 1704512  1704636  1704774  1704906  1705038  1705166  1705289  1705409  1705534  1705656  1705781  1705908  1706035  1706491  1712772  1712945  1713260  1713506  1713675  1713826  1714850  1714957  1715338  1715837  1716132  1716251  1716399  1717082  1717262  1717412  1717597  1717809  1717988  1718141  1718296  1736890  1737439  1737581  1737717  1737849  1737971  1738107  1738236  1738363  1738494  1738633  1738767  1738900  1739033  1739237  1740341  1743675  1743846  1743986  1744453  1745107  1745251  1745398  1745554  1746254  1746411  1746566  1747697  1747865  1748018  1748267  1748448  1748601  1748762  1749317  1749463  1749657  1750392  1751008  1752042  1752263  1752553  1752839  1753163  1753300  1753485  1753673  1753896  1754664  1754790  1754970  1755624  1755767  1756339  1756511  1756675  1757075  1757222  1757379, 1684116, 1684117, 1684117, 1686394  1703782  1703821  1716875  1719251  1736520, 1686420  1703808  1716349  1718281  1719629  1757514, 1725918, 1725925, 1725933, 1726084  1726092, 1726105, 1726113, , , 0, 0, 0, 0, 0, , 1757535, 1757539, L2:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1699835, 1700295, R, 1736537, , 1757516, 1736546
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1765106  1765218  1765337  1765513  1765676  1765793  1766001  1766127  1766388  1767214  1767384  1767618  1767729  1767913  1768049  1768165  1768281  1768422  1768954  1769719  1769864  1769985  1770109  1770274  1770545  1770660  1771157  1772204  1772331  1772466  1772613  1772946  1773191  1773320  1773451  1773879  1774006  1774131  1774409  1779193  1779336  1779462  1779584  1780463, 1757584  1758874  1759111  1759289  1759633  1760629  1760766  1760879  1762129  1762358  1784228  1784823  1784960  1785097  1785222  1785349  1785472  1785597  1785725  1785863  1786004  1786137  1786412  1786754  1791969  1792138  1792431  1793161  1793380  1793548  1793704  1793854  1794004  1794163  1794308  1794849  1795004  1795152  1795791  1796316  1796567  1796767  1797146  1797318  1797486  1797661  1798693  1798825  1798979  1799123  1799609  1799863  1800363  1800492  1800995  1801214  1801503  1801674  1802015  1802170, 1757986, 1757987, 1757988, 1757590  1758332  1759900  1759968  1761915  1783979, 1757620  1759719  1759936  1760828  1762446  1802235, 1781874, 1781884, 1781897, 1782048  1782060, 1782077, 1782088, , , 0, 0, 0, 0, 0, , 1802273, 1802279, L2:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1765116  1766309  1767083  1774476  1779046  1779988, 1766169  1766372  1774400  1774615  1779573  1780387, R, 1784002, , 1802241, 1784014
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1849844  1849996  1850121  1850747  1850866  1851005  1851132  1852503  1852619  1852744  1853184  1853304  1853467  1853870  1854025  1854151  1854313  1854465  1854586  1869071  1869184  1869319  1869475  1869597  1869727  1908131  1908371  1908484  1908657  1908786  1908922  1909341  1909453  1909577  1917859  1918288, 1803259  1803431  1803613  1803814  1812675  1812839  1813457  1813858  1814097  1844423  1844702  1844862  1845042  1845185  1847022  1847388  1847532  1847683  1865590  1865925  1883038  1883201  1903161  1903570  1921188  1921316  1921440  1921573  1921705  1921830  1921959  1922088  1922213  1922341  1922465  1922585  1922711  1922834  1927111  1927259  1927561  1928025  1928192  1929435  1929583  1930116  1930263  1931032  1931473  1931714  1931878  1932034, 1804199, 1804201, 1804204, 1802717  1802784  1811564  1812344  1843871  1844090  1846141  1846515  1865032  1865234  1881884  1886685  1886894  1887806  1902588  1902694  1902784  1920842, 1802755  1804198  1811830  1814129  1843975  1845155  1846227  1847939  1865188  1866221  1883404  1886842  1886911  1887901  1902642  1902752  1903584  1932221, 1919838, 1919840, 1919843, 1919994  1919996, 1920006, 1920008, , , 0, 0, 0, 0, 0, , 1932271, 1932278, L2:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1849670  1853323  1868925  1907877  1908118, 1853291  1854559  1869679  1908083  1909547, R, 1920848, , 1932227, 1920851
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1947407  1947670  1947816  1947928  1948066  1949920  1950032  1950244  1950369  1950593  1950849  1950985  1951112, 1932847  1954374  1954506  1954633  1954770  1954906  1955043  1955178  1955320  1955457  1955802  1958923  1959073  1959464  1959661  1959832  1960671  1960833  1960984  1961313  1961466, 1932952, 1932953, 1932954, 1932389  1953441, 1932813  1961747, 1952529, 1952533, 1952538, 1952689  1952694, 1952704, 1952709, , , 0, 0, 0, 0, 0, , 1961806, 1961816, L2:R7, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1947005  1947225  1949680  1950707, 1947136  1948118  1950544  1951104, R, 1953452, , 1961755, 1953458
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1991278  1991392  1991565  1991691  1991822  1991954  1992084  1992205  1992332  1992460  1992585  1992715  1992881  1993013  1994929  1995054  1995165  1995311  1995591  1995715  1995862  1996009  1996142  1996259  1996382  1996495  1996692  1996816  1996930  1997053  1997200  1997433  1997566  1997688  1997801  1998010, 1981793  1982155  1982438  1982679  1985000, 1962439, 1962439, 1962440, 1981070  1981418  1983718, 1981364  1982736  1985123, 1986410  1986682, 1986412, 1986416, 1986567  1986570, 1986579  1990159, 1986582, , , 0, 0, 0, 0, 0, , 1998106, 1998116, L3:R7, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1991085, 1998044, L, 1991092, 1991097, 1998052, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1998820  1998981  1999253  1999380  1999607  1999721  1999880, , 1998612, 1998613, 1998613, , , 2003103, 2003105, 2003108, 2003259  2003261, 2003355, 2003358, 204, no_go, 1, 1, 0, 0, 0, 2018382, 2018388, 2018394, L3:R7, 100.00, 000(1)1, 000(1)1, 1998655, 1999892, , , , , 
