max_trials, repeat_wrong, prob_stay_win_correct, prob_stay_win_wrong, prob_switch_win_correct, prob_switch_win_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, blk_MaxNumTrials, blk_TrialNum, blk_num, L_reward_prob, R_reward_prob, Blk1_PR_L, Blk1_PR_R, Blk2_PR_L, Blk2_PR_R, Blk3_PR_L, Blk3_PR_R, Blk4_PR_L, Blk4_PR_R, Blk5_PR_L, Blk5_PR_R, Blk6_PR_L, Blk6_PR_R, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, odor_port_all_on_ts, odor_port_all_off_ts, odor_port_on_ts, odor1_on_ts, odor1_off_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, E, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    86418    92109    92437   179481   179889   180064   180545   180656   180761   180865   180969   183617   184292   184998   206114   211794  1687788  1791439  1791551  1792093  1792226  1792329  1792434  1792542  1792651  1792760  1792876  1792989  1793104  1793225  1793355  1793477  1793604  1793879  1794003  1797519  1797788  1797912  1798036  1798205  1798339  1798556  1824325  1824717  1825139  1825726  1826787  1828595, 1    97876   183668   184217   184340   184455   184567   184870   184975   185081   185379   214251   219545  1688889  1689098  1689260  1805073  1805177  1805291  1805401  1805512  1805770  1806081  1806194  1806305  1806423  1806538  1806656  1806775  1806898  1807022  1807171  1811055  1811193  1811424  1811580  1811703  1812096  1812209  1812345  1812483  1812587  1812715  1845733  1845836  1845970  1846349  1846556  1847117, 83714    83953    87424   205982  1791198  1823726  1823972  1824454  1824822  1826515  1827084  1827701  1828015, 83847    86393    92085   211786  1798507  1823778  1824323  1824675  1825810  1826755  1827309  1827996  1828622, 93589   214124  1804684  1804837  1813584  1815629  1845559  1846362, 97861   219522  1804761  1812810  1813654  1815639  1846325  1847156, 1798516, 1798525, 1798535, 200, no_start, 1, 1, 0, 0, 0, 1848585, 1848594, 1848601, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , , , , , , , 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, L, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 1850277, 1850277, 1850278, 200, no_start, 1, 1, 0, 0, 0, 1900288, 1900292, 1900294, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , , , , , , , , 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, N, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1903606  1903846, , 1903026  1903684  1907628, 1903548  1904104  1907881, 1927703, , 1901351, 1901352, 1901353, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 1927754, 1927762, 1927769, L0:R1, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 1900489  1925240  1925907  1926174, 1901350  1925416  1925987  1926299, 1925242, 1925245, 1925249, 1925253, 1925404  1925407, 1925420, R, 1927712, , , 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, L, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1939973  1940088  1940214  1940500  1940841, 1928668  1928799  1928950, 1939290  1939380  1939588, 1939324  1939450  1940766, 1927996  1928376  1928555  1946781, 1927851  1928126  1928499  1929007, 1928500, 1928502, 1928503, 202, wrong_choice_chose_R, 1, 0, 0, 1, 0, 1946840, 1946849, 1946856, L0:R2, 0.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 1944696, 1945387, 1944700, 1944705, 1944709, 1944715, 1944865  1944870, 1945392, R, 1946791, , , 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, R, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1950772  1950904  1951659  1951808  1952052  1952269  1952371  1953126  1953367  1953474  1953616  1953764  1953918  1954027  1954142  1954411  1954638  1955189  1955326  1955854  1956074  1959261  1959482  1960163  1960281  1960389  1960509  1960622  1960776  1960911  1963104  1964180  1964304  1964876  1965382  1966895  1968115  1968322  1968752  1971983  1972127  1972592  1972748  1974281  1974387  1975160  1975764  1976337  1976446, 1947595  1947732, 1950289  1950326  1965613  1966143  1971696  1973261, 1950318  1965407  1965685  1968766  1972757  1976414, 1947208  1947250  1947420  1980584, 1946954  1947236  1947297  1947848  1980787, 1947342, 1947344, 1947345, , , 0, 0, 0, 0, 0, , 1980872, 1980886, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1978726, 1979341, 1978736, 1978746, 1978757, 1978768, 1978919  1978931, 1979353, R, 1980607, 1980618, 1980798, 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, N, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1981255  1981431  1981705  1981817  1981921  1982030  1982146  1988290  1988416  1989224  1989328  1989535  1989676  1989810  1989951  1990095  1990687  1990792  1990920  1991582  1991690  1991826  1992039  1992171  1992308  1992411  1993103  1993218  1993948  1994059  1994205  1994354  1995375  1995483  1995611  1996819  1996925  1997134  1997285  1997531, 2001398, , 1981068  1981142, 1981122  1997296, 1997301, 1997307, 1997314, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 2001479, 2001490, 2001501, L1:R3, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 1998927, 1999455, 1998934, 1998941, 1998947, 1998954, 1999105  1999112, 1999462, L, 2001414, , , 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, R, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2003382  2003481  2004001  2004210  2004983  2005696  2006386  2011551, , 2002277  2005111  2006151  2009932  2010186, 2002054  2004915  2005655  2006321  2009942  2011594, 2015931, 2016107, 2002190, 2002191, 2002192, , , 0, 0, 0, 0, 0, , 2016148, 2016154, L1:R4, 40.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2014114, 2014418, 2014117, 2014123, 2014126, 2014131, 2014282  2014286, 2014424, R, 2015940, 2015946, 2016112, 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, N, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2016504  2016694  2016800  2016986  2017095  2017200  2017307  2017415  2017530  2017642  2017756  2017867  2024294  2024436  2024546  2024687  2024843  2024960  2025084  2025189  2025314  2025705  2025832  2025965  2026101  2026229  2026940  2027049  2027164  2027298  2027444  2027586  2027753  2028473  2028587  2028713  2028969  2029129  2029320  2030631  2030733  2031387  2031498  2031664  2032147  2033225  2033392  2033534  2034088  2034216  2034686, 2042303, , 2016286  2037230, 2034617  2037428, 2034623, 2034630, 2034637, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 2042400, 2042414, 2042425, L2:R4, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 2039260  2040458, 2040343  2040810, 2039267, 2039275, 2039283, 2039291, 2039442  2039450, 2040351, L, 2042321, , , 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, R, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2042869  2044721  2045084  2045839  2045957  2046492  2046667, 2053752  2053971  2054099, 2043014  2043255  2043681  2048271  2058311, 2042880  2043049  2043337  2046650  2048288, 2053222  2053579  2053787, 2053270  2053707  2054179, 2043156, 2043157, 2043159, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 2058376, 2058385, 2058393, L3:R4, 28.57, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 2056209, 2056656, 2056213, 2056218, 2056223, 2056229, 2056380  2056385, 2056662, L, 2058322, , , 
Inf, 0, 0.5, 0.5, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 170, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, 50000, 50000, 5, 5, 5, R, 50, 1, 1, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2058981  2060138  2060305  2060819  2061773  2061962  2062077  2064761, 2068963  2069123  2069769  2069879, 2058606  2059442  2064156  2064460  2065014  2074856, 2058528  2059048  2062112  2064227  2064671  2065036  2074968, 2068576  2068754, 2068661  2069833, 2059049, 2059051, 2059052, 203, wrong_choice_chose_L, 1, 0, 0, 1, 0, 2074937, 2074949, 2074958, L4:R4, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 2071537  2071820  2072347  2072652  2072713, 2071727  2072157  2072558  2072666  2073149, 2071542, 2071547, 2071553, 2071559, 2071710  2071715, 2071733, L, 2074871, , , 
