max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   217230   217808   217921   218027   218305   218409   218542   218659   218994   222323   222427   222545   223154   223282   223753   298589   298705   298810   304343   612799   622863   703751  1561175  1561290  1561407  1562092  1562202  1764899  1765036  1765193  1765300  1765407  1765529  1765643  1765761  1765906  1766011  1766120  1766231  1766342  1766448  1766569  1766681  1766801  1766921  1767050  1767157  1767285  1767465  1767584  1767700  1767815  1767952  1768081  1768223  1768371, 1   223085   223677   224428   224529   225183   225295   307463   313149  1562301  1562455  1773635  1773756  1773869  1773977  1774082  1774195  1774313  1774427  1774551  1774675  1774798  1774924  1775065  1775205  1775511  1775617  1775738  1775941  1776123, 2112    85981   103155   298200  1764843  1781601, 2164    86122   105708   304325  1768361  1781721, 307220  1773324, 313141  1776056, 1768609, 1768620, 1768630, 1779227, 1779240, 1779255, 1779405  1779419, 1779438, 1779608, L, 1781603, 1781604, 1781722, 0, 0, 0, 0, 0, 1781732, 1781735, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1781855  1782120  1782233  1782367  1782482  1782609  1782714  1782841  1782950  1783112  1784101  1784368  1784486  1784603  1784711  1784818  1784926  1785057  1785174  1785302  1785428  1785628, , 1781860, 1785581, 1789265, 1789442, 1785584, 1785587, 1785591, 1787864, 1787868, 1787873, 1788023  1788027, 1788038, 1788042, R, 1789275, , 1789447, 0, 0, 0, 0, 0, 1789481, 1789488, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1789281, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1809812  1809922  1810026  1810138, 1790021  1790139  1790251  1790363  1790475  1790597  1790723  1790852  1791325  1791518  1791634  1791840  1792009  1792186  1792315  1792425, 1809602  1809637, 1809622  1810151, 1789632  1789702  1813433, 1789654  1792399  1813606, 1792402, 1792405, 1792408, 1811891, 1811895, 1811901, 1812052  1812058, 1812300, 1812305, R, 1813444, , 1813612, 0, 0, 0, 0, 0, 1813652, 1813659, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1813450, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1814078  1814210  1814323  1814539  1814654  1814781  1814906  1815032  1815508  1815734  1815878  1815977, 1819379  1845679, 1819445  1845812, 1813803, 1816103, 1816105, 1816108, 1816111, 1844332, 1844335, 1844339, 1844490  1844493, 1844623, 1844627, L, 1845687, 1845691, 1845816, 0, 0, 0, 0, 0, 1845846, 1845852, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1845936  1846433  1846539  1846659  1846770  1846882  1846996  1847108  1847223  1847334  1848810  1848943  1849072  1849177  1849302  1849407  1849563  1849717  1850047, , 1845943  1846128  1864102, 1846086  1849998  1864239, , , 1850001, 1850004, 1850008, 1862703, 1862707, 1862711, 1862862  1862866, 1862900, 1862904, L, 1864112, 1864118, 1864244, 0, 0, 0, 0, 0, 1864279, 1864285, L3:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1864760  1864867  1864972  1865083  1865192  1865307  1865420  1865527  1865659  1865825  1867376  1867500  1867610, , 1864508, 1867640, 1876789, 1876960, 1867642, 1867645, 1867648, 1875065, 1875068, 1875073, 1875223  1875226, 1875282, 1875286, R, 1876796, , 1876964, 0, 0, 0, 0, 0, 1876993, 1876998, L3:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1876800, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1877577  1877711  1877823  1877933  1878040  1878157  1878277  1878406  1878532  1878662  1879091  1879196  1879495  1879845  1880081, 1896516, 1896652, 1877245  1877298  1879900, 1877269  1879790  1880203, 1879792, 1879795, 1879798, 1894992, 1894995, 1895001, 1895152  1895156, 1895229, 1895233, L, 1896525, 1896530, 1896657, 0, 0, 0, 0, 0, 1896691, 1896697, L4:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1896780  1897026  1897132  1897239  1897349  1897453  1897565  1897670  1897788  1897895  1898004  1898928  1899079  1900188, , 1896801  1900035, 1898863  1900288, 1902777, 1902950, 1898865, 1898867, 1898869, 1901511, 1901514, 1901518, 1901669  1901673, 1901689, 1901693, R, 1902785, , 1902955, 0, 0, 0, 0, 0, 1902986, 1902992, L4:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1902790, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1903072  1903534  1903649  1903861  1903972  1904091  1904215  1904336  1904463  1904588  1904720  1904857  1905124  1905256  1905549  1905673, 1909834, , 1903074  1903208, 1903138  1905734, 1905737, 1905740, 1905743, 1908502, 1908505, 1908510, 1908661  1908665, 1908746, 1908750, L, 1909843, , , 1, 0, 0, 0, 1, 1909893, 1909900, L5:R4, 88.89, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1909884
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1910291, , 1910040  1910219  1910418, 1909986  1910141  1910239  1910602, 1914034, , 1910340, 1910342, 1910344, 1912480, 1912482, 1912485, 1912636  1912639, 1912818, 1912821, R, 1914040, , , 1, 0, 0, 0, 1, 1914079, 1914084, L5:R5, 80.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1914072
