max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    26319   162104   162222   162481   162611   162720   162937   163094   163213   163334   163443   163555   165199   165304   208851   209732   209860   209984   215130   215235   227949   231239  1413912  1414025  1414266  1414476  1414622  1414751  1414855  1560309  1560971  1561081  1561200  1561308  1561419  1561531  1561635  1561748  1561853  1561958  1562068  1562176  1562280  1562392  1562498  1562606  1562715  1562824  1562932  1563040  1563149  1563252  1563362  1563487  1563613  1563735  1563868  1564007  1564130  1564260  1564388  1564518  1564651  1564784  1564930  1565151  1567393  1567534  1567641  1567778  1567902  1568014  1568122  1568235  1568360  1568466  1568574  1568716  1568854  1568988  1569619  1569798  1599633  1599841  1599951  1600060, 1   166337   166438   169694   225518  1415160  1415267  1576877  1577003  1577104  1577202  1577300  1577416  1577637  1577752  1577888  1578007  1578129  1578252  1578383  1578527  1578651  1578782  1578920  1579062  1579201  1579360  1579499  1579697  1579803  1581270  1581387  1581588  1581709  1581952  1582855  1582972  1583220, 12    12854    13845    14014    16239    26040   209514  1560798  1599446  1599586  1609299, 10769    13163    13969    14959    16329    26395   215104  1569878  1599489  1600000  1609449, 218902   219281  1576482  1582978  1593213  1593413, 219056   225513  1582954  1583248  1593323  1593721, 1570046, 1570048, 1570049, 1606602, 1606609, 1606618, 1606769  1606776, 1607153, 1607161, L, 1609316, 1609325, 1609457, 0, 0, 0, 0, 0, 1609512, 1609523, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1609658  1609768  1610016  1610123  1610243  1610361  1610486  1610613  1610740  1610872  1614166  1614283  1614390  1614592  1614737  1614860  1614968  1615974  1616194  1633762  1633938  1634065  1634212  1634320, , 1609661  1633577  1633711  1633871, 1616182  1633614  1633828  1634363, 1628006  1641462, 1628230  1641645, 1616185, 1616188, 1616191, 1638709, 1638714, 1638721, 1638871  1638877, 1638950, 1638957, R, 1641475, , 1641652, 0, 0, 0, 0, 0, 1641696, 1641704, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1641482, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1697504  1697623  1697734  1697879, 1641906  1642041  1642168  1642274  1642942  1643054  1643170  1643299  1643429  1643551  1643679  1643817  1643950  1644083  1644220  1644353  1644547  1644657  1644760  1644889  1645373  1645487  1645602  1645744  1645880  1645980  1646123  1648703  1648930  1649071  1649223  1649421  1649550  1649687  1650838  1650938  1651045  1651211  1651348  1651491  1651636  1652165  1652267  1652487  1652622  1652760  1652915  1653083  1653724  1653935  1654074  1654755  1654883  1655030  1655138  1655870  1663826  1663943  1664084  1664846  1664973  1665191  1670019  1670132  1670319  1670542  1670769  1671664  1671914  1672043  1672168  1672517  1672749  1672860  1673008  1673333  1673459  1673590  1674527  1674634  1674760  1674888  1675026  1675670  1675793  1675893  1675995  1676116  1676830  1676930  1677131  1677277  1677428  1677596  1677755  1678604  1678708  1678839  1679514  1679621  1679719  1679862  1680618  1680826  1680976  1681124  1681245  1681947  1682169  1682413  1682627  1682790  1683624  1683722  1683850  1683978  1684115  1684253  1684397  1685415  1685651  1685779  1686398  1686543  1686687  1686835  1686934  1687073  1687264  1687567  1688483  1689206  1689318  1689466  1690046  1690785  1690888  1691159  1692149, 1697348  1697524  1721785, 1697511  1698061  1721911, 1641816  1653665  1663355  1663527  1669476  1688100  1688187  1691822, 1653633  1656095  1663458  1665481  1688004  1688162  1691216  1692095, 1653639, 1653645, 1653652, 1718908, 1718916, 1718925, 1719076  1719085, 1719271, 1719279, L, 1721802, , , 1, 0, 0, 0, 1, 1721890, 1721901, L2:R1, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1721877
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722054  1722268  1722376  1722516, , 1722106, 1722525, 1729351, 1729400, 1722625, 1722626, 1722628, 1726475, 1726477, 1726479, 1726630  1726632, 1726778, 1726780, R, 1729356, , , 1, 0, 0, 0, 1, 1729391, 1729395, L2:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1729384
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1729881  1729990  1730159  1730281, 1739070, 1739231, 1729467  1729710, 1729631  1730269, 1730270, 1730272, 1730274, 1733767  1734753, 1733769, 1733772, 1733923  1733925, 1733934  1736662, 1733937, L, 1739077, 1739081, 1739235, 0, 0, 0, 0, 0, 1739260, 1739267, L3:R2, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1739378  1739565  1739671  1739806  1739911  1740021  1740130  1740248  1740370  1740497  1740618  1740738  1740874  1740991  1745537  1745643  1745747  1745869  1746000  1746118  1746265  1746387  1748113  1748225, , 1739337  1748203, 1748161  1748257, , , 1748164, 1748168, 1748172, 1751329  1752161, 1751333, 1751340, 1751490  1751495, 1751505  1753156, 1751511, , , , , 1, 1, 0, 0, 0, 1766563, 1766571, L3:R2, 60.00, 000(1)1, 000(1)1, , 204, no_go, 1766554
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1801065  1811800, 1801222  1811928, , , 1767059, 1767060, 1767060, 1809327, 1809328, 1809330, 1809481  1809483, 1809915, 1809917, L, 1811804, 1811807, 1811931, 0, 0, 0, 0, 0, 1811949, 1811953, L4:R2, 66.67, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1812050  1812159  1812274  1812380  1812489  1812622  1812727  1812866  1812980  1813100  1813223  1813346  1813470  1813593  1813715  1817849  1818037  1818172  1819043  1819486  1819629  1819738  1819857  1820395  1820575  1822106  1822337  1822483  1823609  1823759  1823902  1824008  1824115, , 1812008  1821854  1834257, 1819813  1824110, , , 1819816, 1819821, 1819824, 1829675  1830385  1831195, 1829680, 1829687, 1829838  1829844, 1829856  1830486  1831990, 1829862, L, 1834271, , , 1, 0, 0, 0, 1, 1834346, 1834355, L5:R2, 57.14, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1834335
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1834474  1834624  1834867  1835021  1835129, , 1834564  1843625, 1834507  1835225, , , 1835226, 1835228, 1835230, 1839094  1839933, 1839096, 1839099, 1839250  1839252, 1839420  1841086, 1839423, L, 1843633, , , 1, 0, 0, 0, 1, 1843673, 1843678, L6:R2, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1843665
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1843908  1844114  1844234  1844409  1844556, , 1843831  1844054  1844339  1858711, 1843749  1844008  1844209  1844667  1858844, , , 1844237, 1844239, 1844241, 1851793  1856155, 1851795, 1851799, 1851950  1851953, 1852367  1856295, 1852370, L, 1858719, 1858723, 1858848, 0, 0, 0, 0, 0, 1858879, 1858884, L7:R2, 55.56, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
