max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    39785    40342    40449    40772    40895    41012    48649    48765    62219    62354    63512    68180   157929   669993  1918264  1918678  1918795  1918932  1919038  1919407  1919807  1920409  2041729  2041848  2041966  2042083  2042199  2042309  2042440  2042558  2042686  2042790  2042910  2043043  2043174  2043279  2043393  2043505  2043639  2043774  2043912  2044060  2050532  2050650  2050760, 1    43803    44253    44909    47011    51763    51877    58104    62200    62337    62469    62608    73621    78947  1919517  1919670  2055238  2055349  2055455  2055568  2055693  2055971  2056107  2056244  2056378  2056535  2056631  2056817  2056968  2057120  2057273  2057424  2057575  2058268  2058428  2058601  2058767  2059110  2059696  2059866  2060015  2061171  2061281  2061431  2061614  2062689  2062803  2062956  2064198  2064309  2064460  2064643  2073927  2074028  2074424  2074683  2074828  2075105  2075256  2075405  2075555  2075705  2075934  2076428  2076585  2076683  2077176  2077366  2077943  2079228  2079348  2079501  2079673  2080372  2080486  2080642, 12     5306     6883    62988  2041572, 4825     5499     7239    68164  2050774, 73412  2054900  2073540, 78937  2065041  2080728, 2050783, 2050792, 2050801, 2070435, 2070436, 2070438, 2070589  2070590, 2070748, 2070750, R, 2073544, 2073546, 2080733, 0, 0, 0, 0, 0, 2080766, 2080774, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2085266  2085373  2085524  2085661  2086980  2087101  2091742  2112111  2112221  2112333  2112447  2112569  2112701  2112814  2112918  2113030  2113145  2113332  2113490  2113626  2113763  2113888  2117360  2117484  2117600  2117722  2118454  2118557  2118664  2118770  2119017  2119964  2120082  2120804  2120916  2121021  2121161  2121316  2121480  2121634  2122005  2122166  2122277  2122383  2122564  2122873  2123021  2123213  2123442  2123548  2123653  2124874  2124981  2125146  2125255  2125369  2126107  2126213  2126327  2126441  2126553  2127734  2127872  2128023  2128153  2128926  2129031  2129136  2129244  2129428  2129534  2129655  2129809  2130020  2130202  2130311  2130503  2130617  2131864  2132014  2132167  2132312  2132435  2133024  2133760  2134041  2134197  2134387  2134546  2134700  2134843  2134982  2137932  2138038  2138183  2138314  2138463  2138619  2138776  2138942  2139327  2139491  2139667  2139809  2139934  2140070  2140519  2140631  2141037  2141273  2142613  2143294  2143439  2143559  2145154  2145289  2145432  2145606  2145766  2145981  2146122  2146239  2146361  2148691  2148796  2148937  2149048  2149193  2150044  2150509  2151297  2151427  2151764  2152716  2152875  2153634  2153747  2153877  2154007  2154127  2155102  2155255  2155404  2155513  2155998  2156594  2156758  2156897  2157052  2157215  2157343  2157478  2157614  2157720  2157844  2158018  2158843  2158949  2160147  2160302  2160451  2160621  2160727  2160865  2160990  2161124  2163573  2163684  2163804  2163924  2164055  2164777  2164901  2165021  2165163  2165281  2165459  2166312  2166480  2166637  2167693  2167831  2167992  2168274  2183766  2184463  2187045  2187165  2202764  2202932  2203166  2203290  2203511  2204745  2204903  2206017  2206163  2266432  2266555  2266746  2266856  2267596  2267734  2349208  2354435  2354601  2354715  2354856  2366223  2366356  2372515  2372663  2372806  2372942, 2080857  2264151  2382812, 2085057  2085786, 2085761  2395761, 2093791  2102377  2180634  2197664  2252393  2263535  2276595  2295734  2319022  2322505  2359403  2382399  2392067, 2094764  2102888  2181334  2198303  2253212  2264239  2277206  2296305  2319651  2322759  2360473  2383176  2393602, 2081999, 2082000, 2082001, 2090976  2099610  2178265  2194882  2247240  2249639  2261334  2292729  2351585  2357151  2363482  2368985  2376333  2377314  2378895  2388694, 2090978, 2090981, 2091132  2091136, 2091489  2100182  2178628  2195657  2247997  2250436  2261410  2293460  2352144  2357241  2364409  2370454  2377252  2378833  2380145  2389747, 2091492, L, 2091498, , 2395772, 0, 0, 0, 0, 0, 2395844, 2395856, L1:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 2091502, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2466524  2467019  2467141  2467551  2467689  2467835  2467981  2468126  2468271  2468421  2468813  2469074  2469220  2469821  2469987  2470164  2470494  2470694  2470915  2472073  2472182  2472335  2472505  2472674  2472846  2473020  2473196  2473400  2475026  2475157  2475309  2478844  2479016  2479172, , , 2465774, 2479782, 2396922, 2396923, 2396924, 2462323  2462530, 2462324, 2462326, 2462477  2462478, 2462486  2462907, 2462488, R, 2465778, 2465781, 2479789, 0, 0, 0, 0, 0, 2479833, 2479841, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2486513, , , , 2480518, 2480518, 2480519, 2484039, 2484040, 2484042, 2484193  2484194, 2484840, 2484842, L, 2486517, , , 1, 0, 0, 0, 1, 2486544, 2486548, L2:R2, 75.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 2486539
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2486844  2486950  2488312  2488424  2488755  2498492  2498971  2499422  2499582, , 2486642  2488001  2488224  2499176, 2486593  2486963  2488104  2488786  2499499, 2506199, , 2487010, 2487011, 2487013, 2502253, 2502256, 2502261, 2502412  2502416, 2503923, 2503927, R, 2506208, , , 1, 0, 0, 0, 1, 2506258, 2506264, L2:R3, 60.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 2506249
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2513733  2513857  2513978  2514082  2514229  2514335  2514497  2514603  2514708  2514812  2514941  2515084  2515224  2520861  2520997  2521106  2521230  2521340  2521455  2521640  2521752  2521940  2522056  2522217  2523405  2523530  2523651  2523763  2526809  2526914  2527036  2527188  2527295, 2506640  2506817, 2513474, 2527545, , 2507406, 2508110, 2508112, 2508113, 2510017  2510851  2511393, 2510018, 2510021, 2510171  2510173, 2510756  2511332  2511636, 2510758, L, 2513480, , 2527552, 0, 0, 0, 0, 0, 2527599, 2527608, L3:R3, 66.67, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 2513484, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2527814  2528535, 2534835  2534971  2535715  2535862  2536002  2536152  2536301  2536454  2536608  2537248  2537582  2538454  2538654  2538824  2539609  2539706  2539872  2540021  2540189  2540359  2540564  2540719  2541564  2542604  2542742  2542916  2543110, 2527729  2528400, 2527780  2528637, 2534354, 2543194, 2528349, 2528350, 2528352, 2531495, 2531497, 2531501, 2531651  2531653, 2531943, 2531945, R, 2534360, 2534364, 2543200, 0, 0, 0, 0, 0, 2543242, 2543249, L3:R4, 71.43, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2633914  2634275, 2640029, , 2543356  2543661  2543940  2544250  2545297  2547746  2554736  2555031  2555914  2618566  2633252, 2543580  2543735  2544214  2545133  2547693  2547815  2554780  2555772  2556070  2618941  2634313, 2545135, 2545137, 2545139, 2636994, 2636999, 2637005, 2637155  2637160, 2637243, 2637248, L, 2640040, , , 1, 0, 0, 0, 1, 2640103, 2640110, L4:R4, 62.50, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 2640093
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2640338  2640513  2640674  2641166  2641297, , 2648097, 2641282, , , 2641283, 2641284, 2641286, 2643390, 2643391, 2643394, 2643545  2643547, 2646257, 2646259, L, 2648102, , , 1, 0, 0, 0, 1, 2648136, 2648141, L5:R4, 55.56, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 2648130
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2648418  2648543  2648723  2648827  2648948, , , 2648976, 2653924  2662165, 2654850, 2648977, 2648978, 2648980, 2657430, 2657432, 2657435, 2657586  2657588, 2659826, 2659829, R, 2662171, , , 1, 0, 0, 0, 1, 2662208, 2662213, L5:R5, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 2662201
