max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   53439   53555  114377  114484  114597  114705  114907  115019  115138  115257  115385  115545  115821  115945  140314  140642  140774  140995  141117  141255  141388  141524  141659  141796  141929  142149  142439  142678, 1   54168   54274   54545  118870  118984  119091  119227  119347  119472  119680  119936  120073  120206  120345  120483  120652  120797  120935  121078  121253  121375  121694  133899, 113976  127439  127498  140012, 115977  127466  127798  142734, 118506  133624, 121710  134117, 121715, 121720, 121726, 138504, 138510, 138518, 138669  138676, 138857, 138864, L, 140027, 140036, 142743, 0, 0, 0, 0, 0, 142804, 142815, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 158119, , , , 144402, 144403, 144403, 156341, 156342, 156344, 156495  156496, 156828, 156830, L, 158124, , , 1, 0, 0, 0, 1, 158149, 158153, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 158144, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158445, 163148  163269  163378  163558  163668  164147  164424  165826  165948  166124  166804  166929  167576  167725  177637  177746  178001  178112  178263  178373  178554  178679  178787  178902  179023  179142  179272  179404  179546  179694  179837  179965  180139  180257  180406  180548  180687  180824  180958  181100  181250  181402  181540  181679  181821  181969  182128  182285  182444  182600  182754  183020  183179  183460  184002  184107  184255  184388  184531  184693  184805  185608  185729  185874  186019  186139, , 158525, 162811  162879  166658  177453, 162820  166141  167720  186502, 158557, 158558, 158559, 171147, 171150, 171155, 171307  171311, 171321, 171325, R, 177462, , 186513, 0, 0, 0, 0, 0, 186580, 186593, L2:R1, 66.67, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 177467
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212854  213180  213294  213904  214035  214167  214304  214444  214592  214742  214915  215045  215196  215303  215410  215632  215801, 187159  187629  187835  187940  188049  188165  188268  188958  189103  189238  189385  189540  189691  189843  189966  190311  190603  191255  191357  191557  191676  192099  192251  192395  192538  192687  192841  192955  193064  194421  194772  194877  195078  195219  195361  195511  195670  195804  196118  196238  196342  196557  196715  196876  196999  197601  197779  198076  209438, 201537  212551, 202021  217545, 186926  190047  190146  190220  190294  194151  197323  197469  209111, 190023  190103  190172  190252  193246  197209  197414  198112  209531, 190025, 190028, 190030, 211295, 211304, 211315, 211465  211475, 211490, 211501, L, 212572, 212583, 217558, 0, 0, 0, 0, 0, 217794, 217795, L3:R1, 75.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217801  218251, , 217975  221948, 218210, , , 218252, 218253, 218255, 220484, 220485, 220488, 220639  220641, 220722, 220724, L, 221954, , , 1, 0, 0, 0, 1, 221984, 221988, L4:R1, 60.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 221978, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222336  222495, , , 222492, 225347, , 222492, 222493, 222494, 224092, 224093, 224096, 224246  224248, 224338, 224340, R, 225351, , , 1, 0, 0, 0, 1, 225381, 225385, L4:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 225375, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 237374  237520  237742  237865  237985  238439  238556  238676  238807  238938  239081  239222  239370  239512  239647  239793  239945  240108  240412  240559  240683  241329, 225731, 237100, 241334, , 225827, 225827, 225828, 225829, 235468, 235469, 235471, 235622  235623, 236035, 236037, L, 237104, 237107, 241340, 0, 0, 0, 0, 0, 241373, 241379, L5:R2, 57.14, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248753  252795  265469  265973  267840  268030  268519  270377  282985  283426  283537  283666  283776  283970  284096  284210  284321  284461  284593  284729  284869  285005  285148  285306  285462  285586  285742, 244163  244288  244420  245100  245331  245455  245630  246051  246250  258688  260502  260697  276611  277134  277968  278348  278669  279178, 248478  263945  264193  265110  265319  266249  268349  269974  270011  282697, 248877  264089  264272  265135  266196  267971  268413  269998  270490  286027, 243798  244905  258409  259866  259983  276265  277597  278144, 244460  246293  258439  259898  260276  277127  277904  279146, 241864, 241865, 241865, 281368, 281377, 281388, 281539  281548, 281628, 281638, L, 282718, 282728, 286040, 0, 0, 0, 0, 0, 286274, 286275, L6:R2, 62.50, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286281  286587, , 286395  287246, 286630  287499, 289983, , 286758, 286759, 286761, 288803, 288805, 288807, 288958  288960, 288968, 288970, R, 289988, , , 1, 0, 0, 0, 1, 290023, 290027, L6:R3, 55.56, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 290016, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 140, 1, 0, 1, 0, 140, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293728  293966  294083  294222  294696  294822  294951  295069  295207  295340  295477  295613  295754  295886  296023  296164  296345  296483  296624  296791, 290190  290315, 293453, 296796, , 290473, 290508, 290509, 290510, 291527, 291528, 291531, 291681  291683, 291780, 291782, L, 293457, 293460, 296801, 0, 0, 0, 0, 0, 296833, 296839, L7:R3, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
