max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   76957   77161   77301   77410   77622   77740   79505   84426   84622   84820   85091   85239   85525  710394  710694  844591  844696  844862  844993  845100  845218  845326  845458  845564  845670  845798  845929  846134  849937  850072  850296  869704  888254  888364  888469  888598  888730  888869  888980  889109  889232  889633  893643  894172  894617  894738  895314  895436  895921  896031, 1   92826   92993   93349   93521  854023  854159  854268  854380  854502  854630  854759  854894  855023  855158  855293  855428  855563  855704  855842  855983  856126  856264  856409  856554  856696  856832  856933  857078  857187  857594  857716  857928  858064  858233  858351  858497  858640  858785  858926  859067  859211  859397  859511  859664  859810  859953  860107  860257  860403  860634  860743  860884  861054  861660  861857  861997  862145  862297  862452  862604  862712  862850  863035  863147  863272  863692, 83624   84114  844409  869519  888073, 83874   85632  850189  869880  896163, 89706  886309, 90862  886470, 91507  853701, 93545  863720, 850194, 850200, 850206, 886310, 886311, 886462  886463, 886471, L, 888076, 888079, 896167, 0, 0, 0, 0, 0, 896195, 896200, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 896269, 901385  901561  901704  901810  901909  902013  902126  902240  902358  902472  902604  902743  902885  903029  903162  903289  903434  903562  903751  903851  903973  904115  904255  904387  904531  904677  904823  904970  905118  905268  905410  905560  905713  905857  906005  906156  906314, , , 899384, 899652, 901080, 906748, 897720, 897720, 897721, 899385, 899387, 899538  899539, 899654, R, 901084, , 906755, 0, 0, 0, 0, 0, 906797, 906805, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 901086, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 934060  934208  934346  934451, 911380  911488  911591  911759  911984  912206  912457  914036  914136  914235  914336  914449  914548  914657  914761  915625  915737  915838  915953  916099  916362  916498  917204  917303  917412  917581  917701  917820  917952  918081  918178  918297  918409  919479  919930  920052  920152  920258  920407  920954  921145  921266  921459  921596  921700  921818  922002  922099  922230  922351  922804  922902  923026  923158  923266  923380  923521  923872  924055  924253  924366  924492  924635  924747  925067  925264  925393  925535  925678  925832  925928  926433  926616  926790  926891  927021  927349  927450  927604  927733  927838  929696  929797  929922  930064  938475  938648  938805  938910  939010  939114  939223  939337  939458  939578  939696  939823  939963  940095  940227  940363  940494  940641  940771  940906  941047  941194  941677  941779  941890  941996  942105  942234  942839  942956  943057  943162  943277  943948  944091  944218  944354  944476  944606  945072  945238  945360  945490  945587  946002  946132  946405  946558, 933811, 934325, 936776, 937119, 906912  911025  913807  915396  918620  919254  928540  930371  938229, 907031  912413  914712  918591  918636  928207  930277  930413  946932, 907386, 907387, 907388, 936790, 936962, 937112  937113, 937120, R, 938231, , 946939, 0, 0, 0, 0, 0, 946984, 946993, L1:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 938233, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 968111  968222  968357  968462  968569  968677  968787  968901  969023  970106  972328  972435  972562  972666  973041  973206, 949525  950129  950397  950886  951021  951123  951314  951468  951972  952118  952219  952470  952573  952702  952804  952911  953035  953801  954299  954489  954661  954826  955332  955463  955596  955696  955817  956174  956343  956468  956589  956787  957027  957958  958429  958631  958763  958898  960975, 967902, 973263, 966338, 966523, 949196  953140  953400  957651  960794, 953126  953232  957050  959098  960966, 947615, 947615, 947616, 966344, 966352, 966503  966510, 966531, L, 967917, 967925, 973274, 0, 0, 0, 0, 0, 973336, 973347, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 980500  980620  980726  985638  985806  985937  986055  986177  986287  986460  990106  990219  990352, 975797  975894  976003  976191  976288, 980327  985470, 980715  990407, 983832, 984010, 975468, 976305, 973939, 973940, 973941, 983834, 983838, 983989  983992, 984013, L, 985478, 985482, 990412, 0, 0, 0, 0, 0, 990445, 990451, L3:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 990530, 994569   994678   994823   994922   995027   995138   995256   995378   995500   995642   995772   995902   996030   996160   996291   996426   996560   996694   996835   997071   997807   997994   998114   998240   998590   998778   998917   999377   999820   999976  1000096  1000223  1000358  1000479  1001225  1001369  1001493  1001622  1001756  1001890  1002379  1002536  1002690  1002792  1002938  1003323  1003610  1003749  1003867  1003965  1004868  1004974  1005088  1005192  1005298  1005801  1005972  1006082  1006237  1006344  1006478  1006575  1006771  1006912  1007030  1007134  1007265  1007389  1007782  1007919  1008532  1009140  1009316  1009436  1009532, , , 992190  992735, 992613  992985, 994219, 1009633, 990979, 990980, 990981, 992191, 992193, 992344  992345, 992615, R, 994223, , 1009644, 0, 0, 0, 0, 0, 1009715, 1009728, L3:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 994226, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1015327  1015440  1015566  1015671  1015792  1015913  1016028  1016202  1016342  1019367  1019551  1019660  1019783  1020303, , 1015165, 1020352, 1013774, 1013938, , , 1010284, 1010285, 1010286, 1013775, 1013777, 1013928  1013929, 1013940, L, 1015170, 1015172, 1020356, 0, 0, 0, 0, 0, 1020383, 1020389, L4:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1020455, 1023354  1023489  1023586  1023728  1023851, 1029849, , 1028475, 1028658, 1023105, 1023824, 1020960, 1020961, 1020961, 1028477, 1028481, 1028632  1028634, 1028661, L, 1029855, , , 1, 0, 0, 0, 1, 1029891, 1029896, L5:R3, 87.50, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 1029884
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1030011  1030121  1030245  1030349, 1034693  1034818  1035021  1035122  1035226  1035331  1035446  1035561  1035676  1035843  1036035  1036154  1036279  1036412  1036531  1036674  1036810  1036941  1037076  1037220  1037359  1037503  1037639  1037778  1037914  1038186  1038760  1038952  1039075  1039222  1039746  1039890  1040014  1040147  1040279  1040442  1041014  1041210  1041332  1041460  1041596  1041792  1041965  1042598  1042735  1042859  1042989  1043117  1043249  1043372  1043874  1043989  1044086  1044187  1044314  1044439  1045075  1045190  1045342  1045448  1045554  1046059  1046488  1046615  1046735  1046913  1047243  1047401  1047523  1047654  1047781  1048425  1048593  1048710  1048839  1048971  1049722  1049844  1049944  1050098  1050288, , 1030302, 1032854, 1033061, 1034389, 1050300, 1030368, 1030369, 1030371, 1032856, 1032858, 1033009  1033011, 1033063, R, 1034394, , 1050313, 0, 0, 0, 0, 0, 1050391, 1050560, L5:R4, 88.89, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 1034397, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1057825  1057934  1058040  1058156  1058263  1058382  1058497  1058613  1058717  1063042  1063178  1063287, 1050904  1051042  1051588  1051776  1051953  1052052, 1057660, 1063362, 1055878, 1056251, 1050745  1053591, 1052197  1053609, 1052198, 1052200, 1052203, 1055880, 1055884, 1056034  1056037, 1056254, L, 1057667, 1057671, 1063367, 0, 0, 0, 0, 0, 1063401, 1063407, L6:R4, 90.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
