max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   277932   278036   278142   278263   278513   279021   279172   281337   281673   281781   282018   282149   282375  1031046  1031362  1031764  1188889  1188999  1189103  1189209  1189362  1189480  1189587  1189692  1189814  1189921  1190052  1190185  1190326  1190513  1194226  1194331  1194477  1194654  1194801  1211098  1211212  1211353  1211478  1211610  1211738  1211868  1212000  1212140  1212282, 1   290999  1171427  1171590  1171716  1171852  1171989  1172129  1172273  1172416  1172556  1172698  1172841  1172976  1173114  1173257  1173398  1173536  1173681  1173820  1173959  1174106  1174333  1174470  1174587  1174705  1174845  1174998  1175144  1175291  1175449  1175603  1175760  1175906  1176048  1176194  1176333  1176487  1176629  1176785  1176936  1177085  1177237  1177361  1177512  1177662  1177817  1177984  1178145  1178303  1178456  1178606  1178762, 279887   280298   280878  1188629  1210911, 280169   280778   282497  1194605  1215288, 285798  1166263  1207013, 286533  1166348  1207650, 290219  1171159, 291871  1178736, 1169371, 1169375, 1169380, 1207013, 1207015, 1207166  1207168, 1207651, L, 1210914, 1210916, 1215291, 0, 0, 0, 0, 0, 1215313, 1215319, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1215374, 1218231, 1226219, , 1224632, 1224798, 1218010, 1218285, 1216342, 1216343, 1216343, 1224633, 1224636, 1224787  1224790, 1224800, L, 1226224, , , 1, 0, 0, 0, 1, 1226256, 1226261, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1226250, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1226392  1226517  1226624, , 1242315, 1226599, 1240107, 1240613, , , 1226719, 1226720, 1226721, 1240108, 1240111, 1240262  1240264, 1240615, L, 1242320, , , 1, 0, 0, 0, 1, 1242352, 1242356, L3:R0, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1242346, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1242537  1242680, 1299719  1300066  1300209  1300337  1300456  1300578  1300711  1300841  1300974  1301111  1301242  1301383  1301522  1301664  1301820  1302334  1302455  1302607  1303145  1303270, , 1242639, 1297400  1297689, 1297563  1298140, 1299506, 1303283, 1242842, 1242843, 1242844, 1297401, 1297404, 1297554  1297556, 1297565, R, 1299511, , 1303288, 0, 0, 0, 0, 0, 1303325, 1303331, L3:R1, 50.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1299514
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1310616, , 1308675, 1309157, , , 1303991, 1303992, 1303992, 1308676, 1308678, 1308829  1308830, 1309159, L, 1310620, , , 1, 0, 0, 0, 1, 1310647, 1310651, L4:R1, 40.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1310642, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1310824  1310947  1311055, , , 1311130, 1312952, 1313581, 1314564, , 1311160, 1311161, 1311163, 1312953, 1312956, 1313107  1313110, 1313583, R, 1314569, , , 1, 0, 0, 0, 1, 1314600, 1314605, L4:R2, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1314594, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1349020  1349129  1349264  1349385  1349510  1349634  1349762  1349893  1350028  1350164  1350303  1352929, 1314910  1315027  1344851  1345048  1345182, 1348765, 1353034, 1347401, 1347651, 1344558, 1315073  1345174, 1315073, 1315075, 1315076, 1347403, 1347406, 1347557  1347559, 1347654, L, 1348771, 1348774, 1353039, 0, 0, 0, 0, 0, 1353071, 1353077, L5:R2, 42.86, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1353157, , 1357832, , 1356001, 1356687, , , 1353665, 1353666, 1353666, 1356002, 1356004, 1356155  1356156, 1356689, L, 1357836, , , 1, 0, 0, 0, 1, 1357864, 1357868, L6:R2, 37.50, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1357858, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1358068  1358181  1358292  1359523  1359679  1359840  1359954  1360232  1360351  1360501  1360626  1360759  1360891  1361010, , 1359369  1359441  1359993, 1358274  1359379  1359924  1360953, 1365843, 1366441, , , 1358380, 1358382, 1358383, 1365847, 1365852, 1366003  1366007, 1366446, , , , , 1, 1, 0, 0, 0, 1381490, 1381496, L6:R2, 37.50, 000(1)1, 000(1)1, 204, no_go, 1381482, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 160, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1408409  1408565  1408727  1408848  1408971  1409081  1409235  1409334  1409463  1409591  1409721  1409853  1409988  1410121  1410262  1410466  1410580  1410695  1410825  1410963  1411654  1411800  1411945  1412092  1412826  1413089  1413356, , , 1406825, 1407268, 1408155, 1413405, 1382011, 1382011, 1382012, 1406826, 1406828, 1406979  1406980, 1407270, R, 1408159, , 1413410, 0, 0, 0, 0, 0, 1413447, 1413454, L6:R3, 44.44, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1408161
